ID,PROBE
AT1G01320,261053_at
AT1G01320,261054_at
AT1G02205,264147_at
AT1G02205,264146_at
AT1G03630,262617_at
AT1G03630,264839_at
AT1G04050,257404_at
AT1G04050,265089_at
AT1G04380,258920_at
AT1G04380,263649_at
AT1G05490,263204_at
AT1G05490,263203_at
AT1G07590,261438_at
AT1G07590,261088_at
AT1G07730,261464_at
AT1G07730,261463_at
AT1G07740,261464_at
AT1G07740,261463_at
AT1G07870,261461_at
AT1G07870,261436_at
AT1G08540,248512_at
AT1G08540,264781_at
AT1G12700,255936_at
AT1G12700,255935_at
AT1G13370,262979_s_at
AT1G13370,259387_at
AT1G14110,262651_at
AT1G14110,262652_at
AT1G18210,256127_at
AT1G18210,256129_at
AT1G19750,261644_s_at
AT1G19750,245764_s_at
AT1G21120,261450_s_at
AT1G21120,261449_at
AT1G21580,260923_at
AT1G21580,260873_at
AT1G27840,261644_s_at
AT1G27840,245764_s_at
AT1G29600,259778_at
AT1G29600,257507_at
AT1G31050,265159_at
AT1G31050,265160_at
AT1G42970,251905_at
AT1G42970,249942_at
AT1G42970,259625_at
AT1G47480,265561_s_at
AT1G47480,262444_at
AT1G55540,265069_at
AT1G55540,265074_at
AT1G55790,264543_at
AT1G55790,264544_s_at
AT1G61210,247680_s_at
AT1G61210,264880_at
AT1G62020,265187_at
AT1G62020,264309_at
AT1G64100,262340_at
AT1G64100,262328_at
AT1G65450,264163_at
AT1G65450,264160_at
AT1G65680,266134_s_at
AT1G65680,264640_at
AT1G65840,250736_s_at
AT1G65840,262933_at
AT1G68010,250800_at
AT1G68010,260014_at
AT1G69740,251960_at
AT1G69740,260370_at
AT1G70650,260180_at
AT1G70650,260177_at
AT1G72125,256334_at
AT1G72125,254010_at
AT1G73060,262368_at
AT1G73060,262359_at
AT1G73066,262368_at
AT1G73066,262359_at
AT1G73090,262360_at
AT1G73090,262370_at
AT1G75600,262979_s_at
AT1G75600,262973_at
AT1G76820,259873_s_at
AT1G76820,259881_at
AT1G80320,260302_at
AT1G80320,260298_at
AT2G01270,251134_at
AT2G01270,265739_at
AT2G07674,244921_s_at
AT2G07674,244922_s_at
AT2G07674,244923_s_at
AT2G07698,265228_s_at
AT2G07698,257323_at
AT2G07711,244926_s_at
AT2G07711,257338_s_at
AT2G07751,244921_s_at
AT2G07751,244920_s_at
AT2G12190,266155_at
AT2G12190,266154_at
AT2G16300,266743_at
AT2G16300,257437_s_at
AT2G16850,265409_at
AT2G16850,266533_s_at
AT2G17265,264853_at
AT2G17265,264855_at
AT2G18670,266016_at
AT2G18670,266071_at
AT2G18680,266016_at
AT2G18680,266071_at
AT2G20500,263395_at
AT2G20500,263370_at
AT2G25565,265912_at
AT2G25565,265906_at
AT2G25610,265886_at
AT2G25610,265910_at
AT2G27395,265643_at
AT2G27395,265640_at
AT2G31680,263449_at
AT2G31680,263398_at
AT2G32190,265670_s_at
AT2G32190,265674_at
AT2G35820,263952_s_at
AT2G35820,263947_at
AT2G36460,249281_at
AT2G36460,263921_at
AT2G36620,264092_at
AT2G36620,265210_at
AT2G37478,265952_at
AT2G37478,265953_at
AT2G37480,265952_at
AT2G37480,265953_at
AT2G39170,267016_at
AT2G39170,267014_at
AT2G42450,254740_s_at
AT2G42450,265879_at
AT2G44010,267259_at
AT2G44010,267226_at
AT2G44100,262045_at
AT2G44100,267236_at
AT2G45960,250604_at
AT2G45960,266927_at
AT2G47730,266502_at
AT2G47730,266461_at
AT3G03300,258848_at
