AT1G50500	HIT1
AT2G25340	ATVAMP712
AT1G19910	AVA-P2
AT1G65290	mtACP2
AT5G23290	PFD5
AT3G07980	MAP3KE2
AT3G23125	MIR173
AT5G40090	CHL1
AT3G04670	WRKY39
AT2G02320	PP2-B7
AT5G05440	PYL5
AT1G25350	OVA9
AT1G65360	AGL23
AT1G07960	PDIL5-1
AT5G44200	CBP20
AT1G60072	MIR859A
AT4G23220	CRK14
AT5G51020	CRL
ATMG01000	ORF114
AT5G44635	MCM6
AT3G27460	SGF29a
AT2G47170	ARF1A1C
AT1G05065	CLE20
AT1G74110	CYP78A10
AT4G25480	CBF3
AT1G08100	ACH2
AT1G25340	MYB116
AT4G15180	SDG2
AT1G80070	SUS2
AT2G20815	QWRF3
AT4G11420	EIF3A
AT3G57230	AGL16
AT5G36950	DEG10
AT5G66510	GAMMA CA3
AT1G56580	SVB
AT5G58190	ECT10
AT5G27570	CDC20.5
AT1G64900	CYP89
AT5G46795	MSP2
AT2G45580	CYP76C3
AT1G71160	KCS7
AT5G09462	CPuORF42
AT2G33700	PP2CG1
AT4G35490	MRPL11
AT5G04990	SUN1
AT3G06940	MUG5
AT1G80820	CCR2
AT5G26570	OK1
AT3G26660	LBD24
AT3G05680	EMB2016
AT1G28480	GRX480
ATMG00620	ORF139B
AT1G04860	UBP2
AT1G23820	SPDS1
ATMG01340	TRNM.2
AT5G23090	NF-YB13
AT2G20080	TIE2
AT3G52750	FTSZ2-2
AT5G46280	MCM3
AT3G02875	ILR1
AT4G15236	ABCG43
ATMG00340	TRNY.1
AT4G35783	DVL17
AT4G11090	TBL23
AT5G20300	Toc90
AT5G62490	HVA22B
AT1G76540	CDKB2;1
AT3G55630	DFD
AT1G27380	RIC2
AT4G15850	RH1
AT3G10985	WI12
AT2G05170	VPS11
AT1G04980	PDI10
AT3G04730	IAA16
AT5G33340	CDR1
AT4G02130	GATL6
AT2G42010	PLDBETA
AT5G63530	FP3
ATMG00960	CCB203
AT3G59940	KMD4
AT1G68020	TPS6
AT3G53750	ACT3
ATMG00900	ABCI3
AT5G66380	FOLT1
AT2G43650	EMB2777
AT5G54670	ATK3
AT1G78490	CYP708A3
AT4G18610	LSH9
AT2G20980	MCM10
AT2G33040	ATP3
AT1G13060	PBE1
AT1G31740	BGAL15
AT1G48175	TAD1
AT4G09800	RPS18C
AT4G17490	ERF6
AT4G22115	SCRL14
AT3G14850	TBL41
AT2G43330	INT1
AT2G37010	NAP12
AT1G63670	TRM12
AT4G26080	ABI1
AT1G10010	AAP8
AT4G02600	MLO1
AT3G62250	UBQ5
AT3G12090	TET6
AT3G48000	ALDH2
AT1G51140	FBH3
AT1G18450	ARP4
AT4G16430	JAM3
AT1G19440	KCS4
AT3G13100	ABCC7
AT5G38110	SGA1
AT3G54490	RPB5E
AT2G35550	BBR
AT1G73880	UGT89B1
AT1G75350	emb2184
AT3G26060	PRXQ
AT1G55540	LNO1
AT2G23420	NAPRT2
AT3G62340	WRKY68
AT2G44270	ROL5
AT4G37770	ACS8
AT5G19650	OFP8
AT1G62200	PTR6
AT2G15680	CML30
AT3G15840	PIFI
AT5G05780	AE3
AT1G19050	ARR7
AT5G25910	RLP52
AT2G39435	TRM18
AT5G20850	RAD51
