244901_at	ORF25
244902_at	NAD4L
244903_at	ORF149
244904_at	ORF275
244905_at	ORF122C
244906_at	ORF240A
244907_at	ORF120
244908_at	ORF107D
244909_at	ORF100A
244910_s_at	AT2G07686;ATMG00750
244911_at	ORF170
244912_at	AT2G07783;ATMG00830
244913_at	ORF121B
244914_at	AT2G07682;ATMG00850
244915_s_at	AT2G07682;ATMG00860
244916_at	AT2G07682;ATMG00880
244917_at	ORF184
244918_at	ORF106D
244919_at	AT2G07768;ATMG00960
244920_s_at	AT2G07751;ATMG00990
244921_s_at	AT2G07674;AT2G07751;ATMG01000
244922_s_at	AT2G07674;ATMG01010
244923_s_at	AT2G07674;ATMG01020
244924_at	AT2G07664;ATMG01040
244925_at	NAD7
244926_s_at	AT2G07711;AT2G07712;ATMG00520
244927_at	AT2G07663;AT2G07776;ATMG00530
244928_s_at	AT2G07716;ATMG00570
244929_at	NAD4
244930_at	AT2G07809;ATMG00600
244931_at	ORF110B
244932_at	ATCG01060
244933_at	ATCG01070
244934_at	ATCG01080
244935_at	ATCG01090
244936_at	ATCG01100
244937_at	ATCG01110
244938_at	ATCG01120
244939_at	ATCG00065
244940_at	ATCG00905;ATCG01230
244941_at	ORF153A
244942_at	ORF131
244943_at	NAD9
244944_s_at	ATMG00080;ATMG00090
244945_at	ABCI2
244946_at	no_match
244947_at	ORF121A
244948_at	ORF167
244949_at	ORF116
244950_at	COX2
244951_s_at	AT2G07723;ATMG00180
244952_at	AT2G07799;ATMG00260
244953_s_at	AT2G07731;ATMG00270
244954_s_at	AT2G07732;ATMG00280
244955_at	ORF127
244956_s_at	AT2G07737;ATMG00310
244957_at	ORF157
244958_at	ORF106B
244959_s_at	AT2G07708;ATMG00490;ATMG00500
244960_at	ATCG01020
244961_at	ATCG01040
244962_at	ATCG01050
244963_at	ATCG00570
244964_at	ATCG00580
244965_at	ATCG00590
244966_at	ATCG00600
244967_at	ATCG00630
244968_at	ATCG00640
244969_at	ATCG00650
244970_at	ATCG00660
244971_at	ATCG00670
244972_at	ATCG00680
244973_at	ATCG00690
244974_at	ATCG00700
244975_at	ATCG00710
244976_at	ATCG00720
244977_at	ATCG00730
244978_at	ATCG00740
244979_at	ATCG00750
244980_at	ATCG00760
244981_at	ATCG00770
244982_at	ATCG00780
244983_at	ATCG00790
244984_at	ATCG00800
244985_at	ATCG00810
244986_at	ATCG00820
244987_s_at	ATCG00830;ATCG01310
244988_s_at	ATCG00840;ATCG01300
244989_s_at	ATCG00860;ATCG01280
244990_s_at	ATCG00870;ATCG01270
244991_s_at	ATCG00890;ATCG01250
244992_s_at	ATCG00900;ATCG01240
244993_s_at	ATCG01000;ATCG01130
244994_at	ATCG01010
244995_at	ATCG00150
244996_at	ATCG00160
244997_at	ATCG00170
244998_at	ATCG00180
244999_at	ATCG00190
245000_at	ATCG00210
245001_at	ATCG00220
245002_at	ATCG00270
245003_at	ATCG00280
245004_at	ATCG00300
245005_at	ATCG00330
245006_at	ATCG00340
245007_at	ATCG00350
245008_at	ATCG00360
245009_at	ATCG00380
245010_at	ATCG00420
245011_at	ATCG00430
245012_at	ATCG00440
245013_at	ATCG00470
245014_at	ATCG00480
245015_at	ATCG00490
245016_at	ATCG00500
245017_at	ATCG00510
245018_at	ATCG00520
245019_at	ATCG00530
245020_at	ATCG00540
245021_at	ATCG00550
245022_at	ATCG00560
245023_at	ATCG00080
245024_at	ATCG00120
245025_at	ATCG00130
245026_at	ATCG00140
245027_at	HO2
245028_at	WEB1
245029_at	YAB5
245030_at	AT2G26620
245031_at	AT2G26360
245032_at	AT2G26630
245033_at	AT2G26380
245034_at	AT2G26390
245035_at	ARD
245036_at	Iqd4
245037_at	PIP5K3
245038_at	PLA2A
245039_at	AT2G26600
245040_at	AT2G26520
245041_at	AR781
245042_at	DUF3
245043_at	RCY1
245044_at	AT2G26500
245045_at	RPN13
245046_at	PDE135
245047_at	ATCG00020
245048_at	ATCG00040
245049_at	ATCG00050
245050_at	ATCG00070
245051_at	WRKY15
245052_at	AT2G26440
245053_at	AT2G26450
245054_at	SMU2
245055_at	AT2G26470
245056_at	UGT76D1
245057_at	AT2G26490
245058_at	AT2G39790
245059_at	RHC2A
245060_at	CYT1
245061_at	RCA
245062_at	BPM3
245063_at	AT2G39795
245064_at	AT2G39725
245065_at	AT2G39750
245066_at	TOPP4
245067_at	RNS2
245068_at	UGT84B1
245069_at	UGT84B2
245070_at	AtMT4b
245071_at	AT2G23230
245072_s_at	AT2G23190;AT2G23220
245073_at	AT2G23210
245074_at	AT2G23200
245075_at	CYP96A1
245076_at	GH3.3
245077_at	AT2G23160
245078_at	DEAR3
245079_at	AT2G23330
245080_at	AT2G23300
245081_at	no_match
245082_at	AT2G23270
245083_at	ATRER1C1
245084_at	MYB70
245085_at	PAB4
245086_at	eIF6B
245087_at	DAR2
245088_at	AT2G39850
245089_at	AT2G45290
245090_at	UMAMIT11
245091_at	AT2G40910
245092_at	BZIP17
245093_at	AT2G40815;AT2G40820
245094_at	DPE2
245095_at	AT2G40860
245096_at	CYSA
245097_at	AT2G40935
245098_at	ERS1
245099_at	RHC1A
245100_at	UBP5
245101_at	CYP98A3
245102_at	AT2G41580
245103_at	AT2G41590
245104_at	AT2G41600
245105_at	AT2G41610
245106_at	AT2G41650
245107_at	AT-HSFB3
245108_at	CKX1
245109_at	TPR15
245110_at	AT2G41550
245111_at	AT2G41570
245112_at	GPDHC1
245113_at	MIZ1
245114_at	TFIIB
245115_at	SFGH
245116_at	AT2G41620
245117_at	ACA4
245118_at	NTRC
245119_at	AT2G41640
245120_at	ESD6
245121_at	AT2G47610
245122_at	DIM1A
245123_at	CPSRP43
245124_at	U1A
245125_at	CKI1
245126_at	PFG1
245127_at	MHX
245128_at	AT2G45380
245129_at	CRR4
245130_at	AT2G45340
245131_s_at	AT2G45330;AT5G23600
245132_at	AT2G45320
245133_at	GAE4
245134_s_at	AT2G45250;AT4G38280
245135_at	AT2G45230
245136_at	SAG201
245137_at	AT2G45460
245138_at	AFO
245139_at	AHL22
245140_at	LBD18
245141_at	BEN1
245142_at	GCP1
245143_at	ZPR1
245144_at	MAP1A
245145_at	DHDPS2
245146_at	GOS12
245147_at	RAD51C
245148_at	AT2G45220
245149_at	CHB1
245150_at	PHR2
245151_at	AT2G47550
245152_at	NDT1
245153_at	AT5G12450
245154_at	AT5G12460
245155_at	AT5G12470
245156_at	CPK7
245157_at	NMA
245158_at	RALF18
245159_at	ATCSLD1
245160_at	RLP28
245161_at	NSP2
245162_at	XID
245163_at	YUC7
245164_at	HSP60-2
245165_at	AT2G33180
245166_at	AT2G33170
245167_s_at	AT2G33110;AT2G33120
245168_at	PED1
245169_at	AT2G33220
245170_at	AT2G47570
245171_at	AT2G47560
245172_at	AT2G47540
245173_at	HRE2
245174_at	AT2G47500
245175_at	UNE5
245176_at	AT2G47440
245177_at	ANNAT8
245178_at	FIS1B
245179_at	AT5G12400
245180_at	AT5G12410
245181_at	AT5G12420
245182_at	TPR16
245183_at	AT5G12440
245184_at	AT1G67790
245185_at	AT1G67760
245186_at	ARR11
245187_s_at	AT1G67650;AT1G67680
245188_at	AT1G67660
245189_at	AT1G67670
245190_at	AT1G67690
245191_at	TEL2
245192_at	AT1G67780
245193_at	SUFE2
245194_at	AT1G67820
245195_at	PSBY
245196_at	AT1G67750
245197_at	AT1G67800
245198_at	AT1G67700
245199_at	KCR1
245200_at	AT1G67850
245201_at	CSK
245202_at	AT1G67720
245203_at	AT3G33080
245204_at	AT5G12270
245205_at	AT5G12280
245206_at	DGS1
245207_at	AT5G12310
245208_at	LRP1
245209_at	AT5G12340
245210_at	AT5G12350
245211_at	SEC10
245212_at	no_match
245213_at	CP22
245214_at	AT1G67855
245215_at	FXG1
245216_at	IMPA-2
245217_at	AT1G38340
245218_s_at	AT1G58848;AT1G59218
245219_at	AT1G58807;AT1G59124
245220_at	AT1G58808;AT1G59171
245221_s_at	AT1G58889;AT1G59265
245222_at	AT3G29787
245223_at	AT3G29791
