Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics[age]	Unit[TimeUnit]	Characteristics[organism part]	Characteristics[genotype]	Description	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[genotype]	FactorValue[growth condition]
GSE10670GSM269826	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	8	week	leaf	empty pKYL71-35S vector	control line (C2) leaf, well watered, replicate 2:  C2 leaf-well watered-rep2. fully expanded leaves- well watered; 8 week old plants	P-G10670-1	P-G10670-2	GSE10670GSM269826 sample	P-G10670-4	GSE10670GSM269826 extract	total_RNA	P-G10670-3	GSE10670GSM269826 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	C2 leaf-well watered-rep2	A-AFFY-2	P-AFFY-6	C2 leaf-well watered-rep2	GSM269826.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10670/E-GEOD-10670.raw.1.zip	E-GEOD-10670-processed-data-1680987043.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10670/E-GEOD-10670.processed.1.zip	empty pKYL71-35S vector	control
GSE10670GSM269818	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	8	week	leaf	empty pKYL71-35S vector	control line (C2) leaf, well watered, replicate 1:  C2 leaf-well watered-rep1. fully expanded leaves- well watered; 8 week old plants	P-G10670-1	P-G10670-2	GSE10670GSM269818 sample	P-G10670-4	GSE10670GSM269818 extract	total_RNA	P-G10670-3	GSE10670GSM269818 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	C2 leaf-well watered-rep1	A-AFFY-2	P-AFFY-6	C2 leaf-well watered-rep1	GSM269818.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10670/E-GEOD-10670.raw.1.zip	E-GEOD-10670-processed-data-1680987043.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10670/E-GEOD-10670.processed.1.zip	empty pKYL71-35S vector	control
GSE10670GSM269827	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	8	week	leaf	empty pKYL71-35S vector	control line (C2) leaf, drought, replicate 2:  C2 leaf-drought-rep2. fully expanded leaves- 7d without water; 8 week old plants	P-G10670-1	P-G10670-2	GSE10670GSM269827 sample	P-G10670-4	GSE10670GSM269827 extract	total_RNA	P-G10670-3	GSE10670GSM269827 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	C2 leaf-drought-rep2	A-AFFY-2	P-AFFY-6	C2 leaf-drought-rep2	GSM269827.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10670/E-GEOD-10670.raw.1.zip	E-GEOD-10670-processed-data-1680987043.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10670/E-GEOD-10670.processed.1.zip	empty pKYL71-35S vector	water deprivation
GSE10670GSM269819	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	8	week	leaf	empty pKYL71-35S vector	control line (C2) leaf, drought, replicate 1:  C2 leaf-drought-rep1. fully expanded leaves- 7d without water; 8 week old plants	P-G10670-1	P-G10670-2	GSE10670GSM269819 sample	P-G10670-4	GSE10670GSM269819 extract	total_RNA	P-G10670-3	GSE10670GSM269819 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	C2 leaf-drought-rep1	A-AFFY-2	P-AFFY-6	C2 leaf-drought-rep1	GSM269819.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10670/E-GEOD-10670.raw.1.zip	E-GEOD-10670-processed-data-1680987043.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10670/E-GEOD-10670.processed.1.zip	empty pKYL71-35S vector	water deprivation
GSE10670GSM269814	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	8	week	leaf	pKYL71-35S::InsP5-ptase (line “T6”)	transgenic line (T6) leaf, well watered, replicate 1:  T6 leaf-well watered-rep1. fully expanded leaves- well watered; 8 week old plants	P-G10670-1	P-G10670-2	GSE10670GSM269814 sample	P-G10670-4	GSE10670GSM269814 extract	total_RNA	P-G10670-3	GSE10670GSM269814 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	T6 leaf-well watered-rep1	A-AFFY-2	P-AFFY-6	T6 leaf-well watered-rep1	GSM269814.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10670/E-GEOD-10670.raw.1.zip	E-GEOD-10670-processed-data-1680987043.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10670/E-GEOD-10670.processed.1.zip	pKYL71-35S::InsP5-ptase (line “T6”)	control
GSE10670GSM269822	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	8	week	leaf	pKYL71-35S::InsP5-ptase (line “T6”)	transgenic line (T6) leaf, well watered, replicate 2:  T6 leaf-well watered-rep2. fully expanded leaves- well watered; 8 week old plants	P-G10670-1	P-G10670-2	GSE10670GSM269822 sample	P-G10670-4	GSE10670GSM269822 extract	total_RNA	P-G10670-3	GSE10670GSM269822 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	T6 leaf-well watered-rep2	A-AFFY-2	P-AFFY-6	T6 leaf-well watered-rep2	GSM269822.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10670/E-GEOD-10670.raw.1.zip	E-GEOD-10670-processed-data-1680987043.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10670/E-GEOD-10670.processed.1.zip	pKYL71-35S::InsP5-ptase (line “T6”)	control
GSE10670GSM269830	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	8	week	leaf	pKYL71-35S::InsP5-ptase (line “T6”)	transgenic line (T6) leaf, well watered, replicate 3:  T6 leaf-well watered-rep3. fully expanded leaves- well watered; 8 week old plants	P-G10670-1	P-G10670-2	GSE10670GSM269830 sample	P-G10670-4	GSE10670GSM269830 extract	total_RNA	P-G10670-3	GSE10670GSM269830 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	T6 leaf-well watered-rep3	A-AFFY-2	P-AFFY-6	T6 leaf-well watered-rep3	GSM269830.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10670/E-GEOD-10670.raw.1.zip	E-GEOD-10670-processed-data-1680987043.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10670/E-GEOD-10670.processed.1.zip	pKYL71-35S::InsP5-ptase (line “T6”)	control
GSE10670GSM269832	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	8	week	leaf	pKYL71-35S::InsP5-ptase (line “T8”)	transgenic line (T8) leaf, well watered, replicate 3:  T8 leaf-well watered-rep3. fully expanded leaves- well watered; 8 week old plants	P-G10670-1	P-G10670-2	GSE10670GSM269832 sample	P-G10670-4	GSE10670GSM269832 extract	total_RNA	P-G10670-3	GSE10670GSM269832 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	T8 leaf-well watered-rep3	A-AFFY-2	P-AFFY-6	T8 leaf-well watered-rep3	GSM269832.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10670/E-GEOD-10670.raw.1.zip	E-GEOD-10670-processed-data-1680987043.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10670/E-GEOD-10670.processed.1.zip	pKYL71-35S::InsP5-ptase (line “T8”)	control
GSE10670GSM269816	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	8	week	leaf	pKYL71-35S::InsP5-ptase (line “T8”)	transgenic line (T8) leaf, well watered, replicate 1:  T8 leaf-well watered-rep1. fully expanded leaves- well watered; 8 week old plants	P-G10670-1	P-G10670-2	GSE10670GSM269816 sample	P-G10670-4	GSE10670GSM269816 extract	total_RNA	P-G10670-3	GSE10670GSM269816 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	T8 leaf-well watered-rep1	A-AFFY-2	P-AFFY-6	T8 leaf-well watered-rep1	GSM269816.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10670/E-GEOD-10670.raw.1.zip	E-GEOD-10670-processed-data-1680987043.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10670/E-GEOD-10670.processed.1.zip	pKYL71-35S::InsP5-ptase (line “T8”)	control
GSE10670GSM269824	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	8	week	leaf	pKYL71-35S::InsP5-ptase (line “T8”)	transgenic line (T8) leaf, well watered, replicate 2:  T8 leaf-well watered-rep2. fully expanded leaves- well watered; 8 week old plants	P-G10670-1	P-G10670-2	GSE10670GSM269824 sample	P-G10670-4	GSE10670GSM269824 extract	total_RNA	P-G10670-3	GSE10670GSM269824 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	T8 leaf-well watered-rep2	A-AFFY-2	P-AFFY-6	T8 leaf-well watered-rep2	GSM269824.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10670/E-GEOD-10670.raw.1.zip	E-GEOD-10670-processed-data-1680987043.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10670/E-GEOD-10670.processed.1.zip	pKYL71-35S::InsP5-ptase (line “T8”)	control
