Source Name	Characteristics [Organism]	Characteristics[Age]	Unit[TimeUnit]	Characteristics[OrganismPart]	Characteristics[CellType]	Characteristics[Genotype]	Description	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Comment [Array Design URI]	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[ORGANISM PART]	FactorValue[CELL TYPE]	FactorValue[GENOTYPE]	FactorValue[COMPOUND]
GSE10749GSM271055	Arabidopsis thaliana	10	days	whole organism	n/a	Col-0	plant material (Col-0), 4h treatment with 75 ÂµM phytoprostane A1, first replicate:  Three independent replicates were done for each treatment.. 10 days old Arabidopsis plants (ecotype Col-0) were grown in Murashige and Skoog liquid medium; 4h treatment with 75 ÂµM phytoprostane A1, first replicate	GSE10749GSM271055 sample	P-G10749-2	GSE10749GSM271055 extract	total_RNA	P-G10749-1	GSE10749GSM271055 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis plant (Col-0), 4h_response to phytoprostane A1_rep1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	Arabidopsis plant (Col-0), 4h_response to phytoprostane A1_rep1	GSM271055.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10749/E-GEOD-10749.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10749-processed-data-1634561603.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10749/E-GEOD-10749.processed.1.zip	whole organism	n/a	Col-0	phytoprostane
GSE10749GSM270870	Arabidopsis thaliana	n/a	days	n/a	mixotrophic	not specified	cell culture, 4 h treatment with 75ÂµM phytoprostane A1, thtird replicate:  Three independent replicates were done for each treatment. . mixotrophic cell culture, 4 h treatment with 75 ÂµM phytoprostane A1	GSE10749GSM270870 sample	P-G10749-2	GSE10749GSM270870 extract	total_RNA	P-G10749-1	GSE10749GSM270870 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis cell culture, 4 h_response to phytoprostane A1_rep3	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	Arabidopsis cell culture, 4 h_response to phytoprostane A1_rep3	GSM270870.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10749/E-GEOD-10749.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10749-processed-data-1634562123.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10749/E-GEOD-10749.processed.1.zip	n/a	mixotrophic	not specified	phytoprostane
GSE10749GSM271082	Arabidopsis thaliana	10	days	whole organism	n/a	tga2;tga5;tga6 mutant	plant material (tga2-5-6), 4h treatment with 75 ÂµM OPDA, third replictate:  Three independent replicates were done for each treatment.. 10 days old Arabidopsis plants (tga2-5-6) were grown in Murashige and Skoog liquid medium; 4h treatment with 75 ÂµM OPDA, third replicate	GSE10749GSM271082 sample	P-G10749-2	GSE10749GSM271082 extract	total_RNA	P-G10749-1	GSE10749GSM271082 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis plant (tga2-5-6), 4h_response to OPDA_rep3	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	Arabidopsis plant (tga2-5-6), 4h_response to OPDA_rep3	GSM271082.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10749/E-GEOD-10749.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10749-processed-data-1634561603.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10749/E-GEOD-10749.processed.1.zip	whole organism	n/a	tga2;tga5;tga6 mutant	12-oxo-phytodienoic acid
GSE10749GSM270868	Arabidopsis thaliana	n/a	days	n/a	mixotrophic	not specified	cell culture, 4 h treatment with 75ÂµM phytoprostane A1, second replicate:  Three independent replicates were done for each treatment. . mixotrophic cell culture, 4 h treatment with 75 ÂµM phytoprostane A1	GSE10749GSM270868 sample	P-G10749-2	GSE10749GSM270868 extract	total_RNA	P-G10749-1	GSE10749GSM270868 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis cell culture, 4 h_response to phytoprostane A1_rep2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	Arabidopsis cell culture, 4 h_response to phytoprostane A1_rep2	GSM270868.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10749/E-GEOD-10749.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10749-processed-data-1634562123.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10749/E-GEOD-10749.processed.1.zip	n/a	mixotrophic	not specified	phytoprostane
GSE10749GSM270865	Arabidopsis thaliana	n/a	days	n/a	mixotrophic	not specified	cell culture, 4 h treatment with 0.5% methanol in water (control), third replicate:  Three independent replicates were done for each treatment. . mixotrophic cell culture, 4 h treatment with 0.5% methanol in water, control	GSE10749GSM270865 sample	P-G10749-2	GSE10749GSM270865 extract	total_RNA	P-G10749-1	GSE10749GSM270865 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis cell culture, 4 h_control_rep3	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	Arabidopsis cell culture, 4 h_control_rep3	GSM270865.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10749/E-GEOD-10749.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10749-processed-data-1634562123.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10749/E-GEOD-10749.processed.1.zip	n/a	mixotrophic	not specified	none
GSE10749GSM271060	Arabidopsis thaliana	10	days	whole organism	n/a	Col-0	plant material (Col-0), 4h treatment with 75 ÂµM OPDA, third replicate:  Three independent replicates were done for each treatment.. 10 days old Arabidopsis plants (ecotype Col-0) were grown in Murashige and Skoog liquid medium; 4h treatment with 75 ÂµM OPDA, third replicate	GSE10749GSM271060 sample	P-G10749-2	GSE10749GSM271060 extract	total_RNA	P-G10749-1	GSE10749GSM271060 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis plant (Col-0), 4h_response to OPDA_rep3	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	Arabidopsis plant (Col-0), 4h_response to OPDA_rep3	GSM271060.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10749/E-GEOD-10749.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10749-processed-data-1634561603.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10749/E-GEOD-10749.processed.1.zip	whole organism	n/a	Col-0	12-oxo-phytodienoic acid
GSE10749GSM271071	Arabidopsis thaliana	10	days	whole organism	n/a	tga2;tga5;tga6 mutant	plant material (tga2-5-6), 4h treatment with 0.5% methanol in water, third replicate:  Three independent replicates were done for each treatment.. 10 days old Arabidopsis plants (tga2-5-6) were grown in Murashige and Skoog liquid medium; 4h treatment with 0.5% methanol in water (Control), third replicate	GSE10749GSM271071 sample	P-G10749-2	GSE10749GSM271071 extract	total_RNA	P-G10749-1	GSE10749GSM271071 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis plant (tga2-5-6), 4h_control_rep3	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	Arabidopsis plant (tga2-5-6), 4h_control_rep3	GSM271071.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10749/E-GEOD-10749.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10749-processed-data-1634561603.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10749/E-GEOD-10749.processed.1.zip	whole organism	n/a	tga2;tga5;tga6 mutant	none
GSE10749GSM271073	Arabidopsis thaliana	10	days	whole organism	n/a	tga2;tga5;tga6 mutant	plant material (tga2-5-6), 4h treatment with 75 ÂµM phytoprostane A1, second replictate:  Three independent replicates were done for each treatment.. 10 days old Arabidopsis plants (tga2-5-6) were grown in Murashige and Skoog liquid medium; 4h treatment with 75 ÂµM phytoprostane A1, second replicate	GSE10749GSM271073 sample	P-G10749-2	GSE10749GSM271073 extract	total_RNA	P-G10749-1	GSE10749GSM271073 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis plant (tga2-5-6), 4h_response to phytoprostane A1_rep2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	Arabidopsis plant (tga2-5-6), 4h_response to phytoprostane A1_rep2	GSM271073.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10749/E-GEOD-10749.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10749-processed-data-1634561603.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10749/E-GEOD-10749.processed.1.zip	whole organism	n/a	tga2;tga5;tga6 mutant	phytoprostane
GSE10749GSM271054	Arabidopsis thaliana	10	days	whole organism	n/a	Col-0	plant material (Col-0), 4h treatment with 0.5% methanol in water, third replicate:  Three independent replicates were done for each treatment.. 10 days old Arabidopsis plants (ecotype Col-0) were grown in Murashige and Skoog liquid medium; 4h treatment with 0.5% methanol in water (Control); third replicate	GSE10749GSM271054 sample	P-G10749-2	GSE10749GSM271054 extract	total_RNA	P-G10749-1	GSE10749GSM271054 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis plant (Col-0), 4h_control_rep3	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	Arabidopsis plant (Col-0), 4h_control_rep3	GSM271054.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10749/E-GEOD-10749.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10749-processed-data-1634561603.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10749/E-GEOD-10749.processed.1.zip	whole organism	n/a	Col-0	none
GSE10749GSM271065	Arabidopsis thaliana	10	days	whole organism	n/a	tga2;tga5;tga6 mutant	plant material (tga2-5-6), 4h treatment with 0.5% methanol in water, first replicate:  Three independent replicates were done for each treatment.. 10 days old Arabidopsis plants (tga2-5-6) were grown in Murashige and Skoog liquid medium; 4h treatment with 0.5% methanol in water (Control), first replicate	GSE10749GSM271065 sample	P-G10749-2	GSE10749GSM271065 extract	total_RNA	P-G10749-1	GSE10749GSM271065 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis plant (tga2-5-6), 4h_control_rep1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	Arabidopsis plant (tga2-5-6), 4h_control_rep1	GSM271065.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10749/E-GEOD-10749.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10749-processed-data-1634561603.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10749/E-GEOD-10749.processed.1.zip	whole organism	n/a	tga2;tga5;tga6 mutant	none
