Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[developmental stage]	Characteristics[age]	Unit[time unit]	Characteristics[organism part]	Characteristics[genotype]	Description	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[genotype]	FactorValue[compound]
GSE11216GSM282703	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	4	day	whole organism	arf2 mutant	"arf2 on BRZ:  Total RNA was extracted from 4-day-old, etiolated arf2 Arabidopsis seedlings grown on 0.5 ÂµM BRZ.. 4-day-old, etiolated arf2 seedlings grown on 0.5 ÂµM BRZ"	GSE11216GSM282703 sample	P-G11216-2	GSE11216GSM282703 extract	total_RNA	P-G11216-1	GSE11216GSM282703 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	arf2_brz_2	A-AFFY-2	P-AFFY-6	arf2_brz_2	GSM282703.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11216/E-GEOD-11216.raw.1.zip	E-GEOD-11216-processed-data-1679154707.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11216/E-GEOD-11216.processed.1.zip	arf2 mutant	brassinazole
GSE11216GSM282702	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	4	day	whole organism	Columbia	"Col on mock:  Total RNA was extracted from 4-day-old, etiolated arf2 and Col Arabidopsis seedlings grown on 0.5 ÂµM BRZ or mock treatments.. 4-day-old, etiolated Col seedlings grown on mock treatments"	GSE11216GSM282702 sample	P-G11216-2	GSE11216GSM282702 extract	total_RNA	P-G11216-1	GSE11216GSM282702 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Col_mock_rep3	A-AFFY-2	P-AFFY-6	Col_mock_rep3	GSM282702.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11216/E-GEOD-11216.raw.1.zip	E-GEOD-11216-processed-data-1679154707.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11216/E-GEOD-11216.processed.1.zip	Columbia	none
GSE11216GSM282698	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	4	day	whole organism	Columbia	"Col on BRZ:  Total RNA was extracted from 4-day-old, etiolated arf2 and Col Arabidopsis seedlings grown on 0.5 ÂµM BRZ or mock treatments.. 4-day-old, etiolated Col seedlings grown on 0.5 ÂµM BRZ"	GSE11216GSM282698 sample	P-G11216-2	GSE11216GSM282698 extract	total_RNA	P-G11216-1	GSE11216GSM282698 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Col_BRZ_rep2	A-AFFY-2	P-AFFY-6	Col_BRZ_rep2	GSM282698.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11216/E-GEOD-11216.raw.1.zip	E-GEOD-11216-processed-data-1679154707.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11216/E-GEOD-11216.processed.1.zip	Columbia	brassinazole
GSE11216GSM282693	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	4	day	whole organism	arf2 mutant	"arf2 on BRZ:  Total RNA was extracted from 4-day-old, etiolated arf2 Arabidopsis seedlings grown on 0.5 ÂµM BRZ.. 4-day-old, etiolated arf2 seedlings grown on 0.5 ÂµM BRZ"	GSE11216GSM282693 sample	P-G11216-2	GSE11216GSM282693 extract	total_RNA	P-G11216-1	GSE11216GSM282693 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	arf2_brz_1	A-AFFY-2	P-AFFY-6	arf2_brz_1	GSM282693.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11216/E-GEOD-11216.raw.1.zip	E-GEOD-11216-processed-data-1679154707.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11216/E-GEOD-11216.processed.1.zip	arf2 mutant	brassinazole
GSE11216GSM282700	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	4	day	whole organism	Columbia	"Col on mock:  Total RNA was extracted from 4-day-old, etiolated arf2 and Col Arabidopsis seedlings grown on 0.5 ÂµM BRZ or mock treatments.. 4-day-old, etiolated Col seedlings grown on mock treatments"	GSE11216GSM282700 sample	P-G11216-2	GSE11216GSM282700 extract	total_RNA	P-G11216-1	GSE11216GSM282700 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Col_mock_rep1	A-AFFY-2	P-AFFY-6	Col_mock_rep1	GSM282700.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11216/E-GEOD-11216.raw.1.zip	E-GEOD-11216-processed-data-1679154707.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11216/E-GEOD-11216.processed.1.zip	Columbia	none
GSE11216GSM282699	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	4	day	whole organism	Columbia	"Col on BRZ:  Total RNA was extracted from 4-day-old, etiolated arf2 and Col Arabidopsis seedlings grown on 0.5 ÂµM BRZ or mock treatments.. 4-day-old, etiolated Col seedlings grown on 0.5 ÂµM BRZ"	GSE11216GSM282699 sample	P-G11216-2	GSE11216GSM282699 extract	total_RNA	P-G11216-1	GSE11216GSM282699 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Col_BRZ_rep3	A-AFFY-2	P-AFFY-6	Col_BRZ_rep3	GSM282699.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11216/E-GEOD-11216.raw.1.zip	E-GEOD-11216-processed-data-1679154707.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11216/E-GEOD-11216.processed.1.zip	Columbia	brassinazole
GSE11216GSM282696	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	4	day	whole organism	arf2 mutant	"arf2 on mock:  Total RNA was extracted from 4-day-old, etiolated arf2 and Col Arabidopsis seedlings grown on 0.5 ÂµM BRZ or mock treatments.. 4-day-old, etiolated arf2 seedlings grown on mock treatments"	GSE11216GSM282696 sample	P-G11216-2	GSE11216GSM282696 extract	total_RNA	P-G11216-1	GSE11216GSM282696 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	arf2_mock_rep3	A-AFFY-2	P-AFFY-6	arf2_mock_rep3	GSM282696.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11216/E-GEOD-11216.raw.1.zip	E-GEOD-11216-processed-data-1679154707.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11216/E-GEOD-11216.processed.1.zip	arf2 mutant	none
GSE11216GSM282697	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	4	day	whole organism	Columbia	"Col on BRZ:  Total RNA was extracted from 4-day-old, etiolated arf2 and Col Arabidopsis seedlings grown on 0.5 ÂµM BRZ or mock treatments.. 4-day-old, etiolated Col seedlings grown on 0.5 ÂµM BRZ"	GSE11216GSM282697 sample	P-G11216-2	GSE11216GSM282697 extract	total_RNA	P-G11216-1	GSE11216GSM282697 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Col_BRZ_rep1	A-AFFY-2	P-AFFY-6	Col_BRZ_rep1	GSM282697.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11216/E-GEOD-11216.raw.1.zip	E-GEOD-11216-processed-data-1679154707.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11216/E-GEOD-11216.processed.1.zip	Columbia	brassinazole
GSE11216GSM282701	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	4	day	whole organism	Columbia	"Col on mock:  Total RNA was extracted from 4-day-old, etiolated arf2 and Col Arabidopsis seedlings grown on 0.5 ÂµM BRZ or mock treatments.. 4-day-old, etiolated Col seedlings grown on mock treatments"	GSE11216GSM282701 sample	P-G11216-2	GSE11216GSM282701 extract	total_RNA	P-G11216-1	GSE11216GSM282701 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Col_mock_rep2	A-AFFY-2	P-AFFY-6	Col_mock_rep2	GSM282701.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11216/E-GEOD-11216.raw.1.zip	E-GEOD-11216-processed-data-1679154707.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11216/E-GEOD-11216.processed.1.zip	Columbia	none
GSE11216GSM282694	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	4	day	whole organism	arf2 mutant	"arf2 on mock:  Total RNA was extracted from 4-day-old, etiolated arf2 Arabidopsis seedlings grown on mock treatments.. 4-day-old, etiolated arf2 seedlings grown on mock treatment"	GSE11216GSM282694 sample	P-G11216-2	GSE11216GSM282694 extract	total_RNA	P-G11216-1	GSE11216GSM282694 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	arf2_mock_rep1	A-AFFY-2	P-AFFY-6	arf2_mock_rep1	GSM282694.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11216/E-GEOD-11216.raw.1.zip	E-GEOD-11216-processed-data-1679154707.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11216/E-GEOD-11216.processed.1.zip	arf2 mutant	none
