Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Characteristics[DevelopmentalStage]	Characteristics[Ecotype]	Characteristics[OrganismPart]	Characteristics[Age]	Unit[TimeUnit]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[GROWTH CONDITION]	FactorValue[TREATMENT TIME]	Unit[TimeUnit]
GSE11558GSM291119	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root:  roots of 2 weeks old seedlings grown on vertical agar plates. ecotype col2	seedling	Col-2	root	2	weeks	P-G11558-1	P-G11558-21	GSE11558GSM291119 sample	P-G11558-14	GSE11558GSM291119 extract	total_RNA	P-G11558-3	GSE11558GSM291119 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	root - 21% oxygen - 48h - A	A-AFFY-2	P-AFFY-6	root - 21% oxygen - 48h - A	GSM291119.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11558/E-GEOD-11558.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11558-processed-data-1680990554.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11558/E-GEOD-11558.processed.1.zip	21% oxygen	48	hours
GSE11558GSM290756	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root:  roots of 2 weeks old seedlings grown on vertical agar plates. ecotype col2	seedling	Col-2	root	2	weeks	P-G11558-1	P-G11558-5	GSE11558GSM290756 sample	P-G11558-4	GSE11558GSM290756 extract	total_RNA	P-G11558-3	GSE11558GSM290756 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	root - 01% oxygen - 30min - D	A-AFFY-2	P-AFFY-6	root - 01% oxygen - 30min - D	GSM290756.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11558/E-GEOD-11558.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11558-processed-data-1680990554.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11558/E-GEOD-11558.processed.1.zip	1% oxygen	30	minutes
GSE11558GSM291124	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root:  roots of 2 weeks old seedlings grown on vertical agar plates. ecotype col2	seedling	Col-2	root	2	weeks	P-G11558-1	P-G11558-21	GSE11558GSM291124 sample	P-G11558-14	GSE11558GSM291124 extract	total_RNA	P-G11558-3	GSE11558GSM291124 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	root - 21% oxygen - 48h - F	A-AFFY-2	P-AFFY-6	root - 21% oxygen - 48h - F	GSM291124.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11558/E-GEOD-11558.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11558-processed-data-1680990554.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11558/E-GEOD-11558.processed.1.zip	21% oxygen	48	hours
GSE11558GSM290827	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root:  roots of 2 weeks old seedlings grown on vertical agar plates. ecotype col2	seedling	Col-2	root	2	weeks	P-G11558-1	P-G11558-11	GSE11558GSM290827 sample	P-G11558-4	GSE11558GSM290827 extract	total_RNA	P-G11558-3	GSE11558GSM290827 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	root - 04% oxygen - 48h - B	A-AFFY-2	P-AFFY-6	root - 04% oxygen - 48h - B	GSM290827.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11558/E-GEOD-11558.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11558-processed-data-1680990554.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11558/E-GEOD-11558.processed.1.zip	4% oxygen	48	hours
GSE11558GSM290760	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root:  roots of 2 weeks old seedlings grown on vertical agar plates. ecotype col2	seedling	Col-2	root	2	weeks	P-G11558-1	P-G11558-8	GSE11558GSM290760 sample	P-G11558-4	GSE11558GSM290760 extract	total_RNA	P-G11558-3	GSE11558GSM290760 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	root - 04% oxygen - 2h - D	A-AFFY-2	P-AFFY-6	root - 04% oxygen - 2h - D	GSM290760.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11558/E-GEOD-11558.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11558-processed-data-1680990554.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11558/E-GEOD-11558.processed.1.zip	4% oxygen	2	hours
GSE11558GSM290761	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root:  roots of 2 weeks old seedlings grown on vertical agar plates. ecotype col2	seedling	Col-2	root	2	weeks	P-G11558-1	P-G11558-8	GSE11558GSM290761 sample	P-G11558-4	GSE11558GSM290761 extract	total_RNA	P-G11558-3	GSE11558GSM290761 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	root - 04% oxygen - 2h - F	A-AFFY-2	P-AFFY-6	root - 04% oxygen - 2h - F	GSM290761.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11558/E-GEOD-11558.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11558-processed-data-1680990554.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11558/E-GEOD-11558.processed.1.zip	4% oxygen	2	hours
GSE11558GSM291023	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root:  roots of 2 weeks old seedlings grown on vertical agar plates. ecotype col2	seedling	Col-2	root	2	weeks	P-G11558-1	P-G11558-15	GSE11558GSM291023 sample	P-G11558-14	GSE11558GSM291023 extract	total_RNA	P-G11558-3	GSE11558GSM291023 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	root - 08% oxygen - 30min - G	A-AFFY-2	P-AFFY-6	root - 08% oxygen - 30min - G	GSM291023.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11558/E-GEOD-11558.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11558-processed-data-1680990554.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11558/E-GEOD-11558.processed.1.zip	8% oxygen	30	minutes
GSE11558GSM290753	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root:  roots of 2 weeks old seedlings grown on vertical agar plates. ecotype col2	seedling	Col-2	root	2	weeks	P-G11558-1	P-G11558-2	GSE11558GSM290753 sample	P-G11558-4	GSE11558GSM290753 extract	total_RNA	P-G11558-3	GSE11558GSM290753 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	root - 01% oxygen - 2h - E	A-AFFY-2	P-AFFY-6	root - 01% oxygen - 2h - E	GSM290753.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11558/E-GEOD-11558.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11558-processed-data-1680990554.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11558/E-GEOD-11558.processed.1.zip	1% oxygen	2	hours
GSE11558GSM290759	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root:  roots of 2 weeks old seedlings grown on vertical agar plates. ecotype col2	seedling	Col-2	root	2	weeks	P-G11558-1	P-G11558-7	GSE11558GSM290759 sample	P-G11558-4	GSE11558GSM290759 extract	total_RNA	P-G11558-3	GSE11558GSM290759 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	root - 01% oxygen - 48h - F	A-AFFY-2	P-AFFY-6	root - 01% oxygen - 48h - F	GSM290759.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11558/E-GEOD-11558.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11558-processed-data-1680990554.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11558/E-GEOD-11558.processed.1.zip	1% oxygen	48	hours
GSE11558GSM291020	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root:  roots of 2 weeks old seedlings grown on vertical agar plates. ecotype col2	seedling	Col-2	root	2	weeks	P-G11558-1	P-G11558-13	GSE11558GSM291020 sample	P-G11558-14	GSE11558GSM291020 extract	total_RNA	P-G11558-3	GSE11558GSM291020 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	root - 08% oxygen - 2h - F	A-AFFY-2	P-AFFY-6	root - 08% oxygen - 2h - F	GSM291020.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11558/E-GEOD-11558.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11558-processed-data-1680990554.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11558/E-GEOD-11558.processed.1.zip	8% oxygen	2	hours
