Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Description	Comment [Sample_source_name]	Comment [Sample_characteristics]	Characteristics[ecotype]	Characteristics[genotype]	Characteristics[age]	Unit[time unit]	Characteristics[organism part]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[genotype]	FactorValue[compound]
GSE11807GSM298424	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	plant leaf, H2O 4h:  No. A. thaliana Col-0, 6 week old plants, leaf material	plant leaf, H2O 4h	A. thaliana Col-0, 6 week old plants, leaf material	Col-0	wild type	6	week	leaf	P-G11807-1	P-G11807-5	GSE11807GSM298424 sample	P-G11807-4	GSE11807GSM298424 extract	total_RNA	P-G11807-3	GSE11807GSM298424 LE biotin	biotin	synthetic_RNA	A.thaliana Col-0, H2O 4h rep1	A-AFFY-2	P-AFFY-6	GSM298424.CEL	GSM298424.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11807/E-GEOD-11807.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11807-processed-data-1762042209.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11807/E-GEOD-11807.processed.1.zip	wild type	none
GSE11807GSM298425	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	plant leaf, H2O 4h:  No. A. thaliana Col-0, 6 week old plants, leaf material	plant leaf, H2O 4h	A. thaliana Col-0, 6 week old plants, leaf material	Col-0	wild type	6	week	leaf	P-G11807-1	P-G11807-5	GSE11807GSM298425 sample	P-G11807-4	GSE11807GSM298425 extract	total_RNA	P-G11807-3	GSE11807GSM298425 LE biotin	biotin	synthetic_RNA	A.thaliana Col-0, H2O 4h rep2	A-AFFY-2	P-AFFY-6	GSM298425.CEL	GSM298425.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11807/E-GEOD-11807.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11807-processed-data-1762042209.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11807/E-GEOD-11807.processed.1.zip	wild type	none
GSE11807GSM298474	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	plant leaf, Flg22 4h:  No. A. thaliana, ERF104 over expresser, 6 week old plants, leaf material	plant leaf, Flg22 4h	A. thaliana, ERF104 over expresser, 6 week old plants, leaf material	Col-0	35S::ERF104	6	week	leaf	P-G11807-1	P-G11807-2	GSE11807GSM298474 sample	P-G11807-4	GSE11807GSM298474 extract	total_RNA	P-G11807-6	GSE11807GSM298474 LE biotin	biotin	synthetic_RNA	A.thaliana 35S::ERF104, Flg22 4h rep1	A-AFFY-2	P-AFFY-6	GSM298474.CEL	GSM298474.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11807/E-GEOD-11807.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11807-processed-data-1762042209.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11807/E-GEOD-11807.processed.1.zip	35S::ERF104	flg22
GSE11807GSM298490	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	plant leaf, Flg22 4h:  No. A. thaliana, mpk6-ko, 6 week old plants, leaf material	plant leaf, Flg22 4h	A. thaliana, mpk6-ko, 6 week old plants, leaf material	Col-0	mpk6 knockout	6	week	leaf	P-G11807-1	P-G11807-2	GSE11807GSM298490 sample	P-G11807-4	GSE11807GSM298490 extract	total_RNA	P-G11807-6	GSE11807GSM298490 LE biotin	biotin	synthetic_RNA	A.thaliana mpk6-ko, Flg22 4h rep3	A-AFFY-2	P-AFFY-6	GSM298490.CEL	GSM298490.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11807/E-GEOD-11807.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11807-processed-data-1762042209.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11807/E-GEOD-11807.processed.1.zip	mpk6 knockout	flg22
GSE11807GSM298476	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	plant leaf, Flg22 4h:  No. A. thaliana, ERF104 over expresser, 6 week old plants, leaf material	plant leaf, Flg22 4h	A. thaliana, ERF104 over expresser, 6 week old plants, leaf material	Col-0	35S::ERF104	6	week	leaf	P-G11807-1	P-G11807-2	GSE11807GSM298476 sample	P-G11807-4	GSE11807GSM298476 extract	total_RNA	P-G11807-6	GSE11807GSM298476 LE biotin	biotin	synthetic_RNA	A.thaliana 35S::ERF104, Flg22 4h rep3	A-AFFY-2	P-AFFY-6	GSM298476.CEL	GSM298476.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11807/E-GEOD-11807.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11807-processed-data-1762042209.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11807/E-GEOD-11807.processed.1.zip	35S::ERF104	flg22
GSE11807GSM298471	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	plant leaf, H2O 4h:  No. A. thaliana, erf104-ko, 6 week old plants, leaf material	plant leaf, H2O 4h	A. thaliana, erf104-ko, 6 week old plants, leaf material	Col-0	erf104 knockout	6	week	leaf	P-G11807-1	P-G11807-5	GSE11807GSM298471 sample	P-G11807-4	GSE11807GSM298471 extract	total_RNA	P-G11807-6	GSE11807GSM298471 LE biotin	biotin	synthetic_RNA	A.thaliana erf104-ko, H2O 4h rep1	A-AFFY-2	P-AFFY-6	GSM298471.CEL	GSM298471.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11807/E-GEOD-11807.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11807-processed-data-1762042209.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11807/E-GEOD-11807.processed.1.zip	erf104 knockout	none
GSE11807GSM298488	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	plant leaf, Flg22 4h:  No. A. thaliana, mpk6-ko, 6 week old plants, leaf material	plant leaf, Flg22 4h	A. thaliana, mpk6-ko, 6 week old plants, leaf material	Col-0	mpk6 knockout	6	week	leaf	P-G11807-1	P-G11807-2	GSE11807GSM298488 sample	P-G11807-4	GSE11807GSM298488 extract	total_RNA	P-G11807-6	GSE11807GSM298488 LE biotin	biotin	synthetic_RNA	A.thaliana mpk6-ko, Flg22 4h rep2	A-AFFY-2	P-AFFY-6	GSM298488.CEL	GSM298488.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11807/E-GEOD-11807.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11807-processed-data-1762042209.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11807/E-GEOD-11807.processed.1.zip	mpk6 knockout	flg22
GSE11807GSM298418	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	plant leaf, Flg22 4h:  No. A. thaliana Col-0, 6 week old plants, leaf material	plant leaf, Flg22 4h	A. thaliana Col-0, 6 week old plants, leaf material	Col-0	wild type	6	week	leaf	P-G11807-1	P-G11807-2	GSE11807GSM298418 sample	P-G11807-4	GSE11807GSM298418 extract	total_RNA	P-G11807-3	GSE11807GSM298418 LE biotin	biotin	synthetic_RNA	A.thaliana Col-0, Flg22 4h rep3	A-AFFY-2	P-AFFY-6	GSM298418.CEL	GSM298418.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11807/E-GEOD-11807.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11807-processed-data-1762042209.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11807/E-GEOD-11807.processed.1.zip	wild type	flg22
GSE11807GSM298482	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	plant leaf, H2O 4h:  No. A. thaliana, ERF104 over expresser, 6 week old plants, leaf material	plant leaf, H2O 4h	A. thaliana, ERF104 over expresser, 6 week old plants, leaf material	Col-0	35S::ERF104	6	week	leaf	P-G11807-1	P-G11807-5	GSE11807GSM298482 sample	P-G11807-4	GSE11807GSM298482 extract	total_RNA	P-G11807-6	GSE11807GSM298482 LE biotin	biotin	synthetic_RNA	A.thaliana 35S::ERF104, H2O 4h rep3	A-AFFY-2	P-AFFY-6	GSM298482.CEL	GSM298482.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11807/E-GEOD-11807.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11807-processed-data-1762042209.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11807/E-GEOD-11807.processed.1.zip	35S::ERF104	none
GSE11807GSM298493	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	plant leaf, H2O 4h:  No. A. thaliana, mpk6-ko, 6 week old plants, leaf material	plant leaf, H2O 4h	A. thaliana, mpk6-ko, 6 week old plants, leaf material	Col-0	mpk6 knockout	6	week	leaf	P-G11807-1	P-G11807-5	GSE11807GSM298493 sample	P-G11807-4	GSE11807GSM298493 extract	total_RNA	P-G11807-6	GSE11807GSM298493 LE biotin	biotin	synthetic_RNA	A.thaliana mpk6-ko, H2O 4h rep1	A-AFFY-2	P-AFFY-6	GSM298493.CEL	GSM298493.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11807/E-GEOD-11807.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11807-processed-data-1762042209.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11807/E-GEOD-11807.processed.1.zip	mpk6 knockout	none
