Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[OrganismPart]	Characteristics[DevelopmentalStage]	Characteristics[Ecotype]	Description	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[ORGANISM PART]	FactorValue[DEVELOPMENTAL STAGE]
GSE12404GSM311288	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	embryo proper	linear-cotyledon stage	Ws-0	Arabidopsis linear-cotyledon stage embryo proper captured by LCM:  Embryo proper collected from seeds containing linear-cotyledon embryos 175 (+/- 11) microns in length  as determined by median section using the LEICA LMD6000 system for microdissection.. Genotype: Ws-0	P-G12404-5	P-G12404-1	GSE12404GSM311288 sample	P-G12404-4	GSE12404GSM311288 extract	total_RNA	P-G12404-3	GSE12404GSM311288 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Laser capture microdissected (LCM) embryo proper at the linear-cotyledon stage, biological replicate 2	A-AFFY-2	P-AFFY-6	Laser capture microdissected (LCM) embryo proper at the linear-cotyledon stage, biological replicate 2	GSM311288.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12404/E-GEOD-12404.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-12404-processed-data-1679280947.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12404/E-GEOD-12404.processed.1.zip	embryo proper	linear-cotyledon stage
GSE12404GSM311275	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	micropylar endosperm	pre-globular stage	Ws-0	Arabidopsis pre-globular stage micropylar endosperm captured by LCM:  Micropylar endosperm collected from seeds containing pre-globular embryo propers of 2 to 8 cells as determined by median section using the LEICA LMD6000 system for microdissection.. Genotype: Ws-0	P-G12404-2	P-G12404-1	GSE12404GSM311275 sample	P-G12404-4	GSE12404GSM311275 extract	total_RNA	P-G12404-3	GSE12404GSM311275 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Laser capture microdissected (LCM) micropylar endosperm at the pre-globular stage, biological replicate 1	A-AFFY-2	P-AFFY-6	Laser capture microdissected (LCM) micropylar endosperm at the pre-globular stage, biological replicate 1	GSM311275.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12404/E-GEOD-12404.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-12404-processed-data-1679280947.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12404/E-GEOD-12404.processed.1.zip	micropylar endosperm	pre-globular stage
GSE12404GSM311273	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	embryo proper	pre-globular stage	Ws-0	Arabidopsis pre-globular stage embryo proper captured by LCM:  Embryo proper collected from seeds containing pre-globular embryo propers of 2 to 8 cells as determined by median section using the LEICA LMD6000 system for microdissection.. Genotype: Ws-0	P-G12404-2	P-G12404-1	GSE12404GSM311273 sample	P-G12404-4	GSE12404GSM311273 extract	total_RNA	P-G12404-3	GSE12404GSM311273 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Laser capture microdissected (LCM) embryo proper at the pre-globular stage, biological replicate 1	A-AFFY-2	P-AFFY-6	Laser capture microdissected (LCM) embryo proper at the pre-globular stage, biological replicate 1	GSM311273.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12404/E-GEOD-12404.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-12404-processed-data-1679280947.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12404/E-GEOD-12404.processed.1.zip	embryo proper	pre-globular stage
GSE12404GSM311280	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	chalazal endosperm	pre-globular stage	Ws-0	Arabidopsis pre-globular stage chalazal endosperm captured by LCM:  Chalazal endosperm collected from seeds containing pre-globular embryo propers of 2 to 8 cells as determined by median section using the LEICA LMD6000 system for microdissection.. Genotype: Ws-0	P-G12404-2	P-G12404-1	GSE12404GSM311280 sample	P-G12404-4	GSE12404GSM311280 extract	total_RNA	P-G12404-3	GSE12404GSM311280 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Laser capture microdissected (LCM) chalazal endosperm at the pre-globular stage, biological replicate 2	A-AFFY-2	P-AFFY-6	Laser capture microdissected (LCM) chalazal endosperm at the pre-globular stage, biological replicate 2	GSM311280.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12404/E-GEOD-12404.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-12404-processed-data-1679280947.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12404/E-GEOD-12404.processed.1.zip	chalazal endosperm	pre-globular stage
GSE12404GSM311296	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	general seed coat	linear-cotyledon stage	Ws-0	Arabidopsis linear-cotyledon stage general seed coat captured by LCM:  General seed coat collected from seeds containing linear-cotyledon embryos 175 (+/- 11) microns in length  as determined by median section using the LEICA LMD6000 system for microdissection.. Genotype: Ws-0	P-G12404-5	P-G12404-1	GSE12404GSM311296 sample	P-G12404-4	GSE12404GSM311296 extract	total_RNA	P-G12404-3	GSE12404GSM311296 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Laser capture microdissected (LCM) general seed coat at the linear-cotyledon stage, biological replicate 2	A-AFFY-2	P-AFFY-6	Laser capture microdissected (LCM) general seed coat at the linear-cotyledon stage, biological replicate 2	GSM311296.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12404/E-GEOD-12404.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-12404-processed-data-1679280947.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12404/E-GEOD-12404.processed.1.zip	general seed coat	linear-cotyledon stage
GSE12404GSM311295	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	general seed coat	linear-cotyledon stage	Ws-0	Arabidopsis linear-cotyledon stage general seed coat captured by LCM:  General seed coat collected from seeds containing linear-cotyledon embryos 175 (+/- 11) microns in length  as determined by median section using the LEICA LMD6000 system for microdissection.. Genotype: Ws-0	P-G12404-5	P-G12404-1	GSE12404GSM311295 sample	P-G12404-4	GSE12404GSM311295 extract	total_RNA	P-G12404-3	GSE12404GSM311295 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Laser capture microdissected (LCM) general seed coat at the linear-cotyledon stage, biological replicate 1	A-AFFY-2	P-AFFY-6	Laser capture microdissected (LCM) general seed coat at the linear-cotyledon stage, biological replicate 1	GSM311295.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12404/E-GEOD-12404.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-12404-processed-data-1679280947.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12404/E-GEOD-12404.processed.1.zip	general seed coat	linear-cotyledon stage
GSE12404GSM311290	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	cellularized endosperm	linear-cotyledon stage	Ws-0	Arabidopsis linear-cotyledon stage cellularized endosperm captured by LCM:  Cellularized endosperm collected from seeds containing linear-cotyledon embryos 175 (+/- 11) microns in length  as determined by median section using the LEICA LMD6000 system for microdissection.. Genotype: Ws-0	P-G12404-5	P-G12404-1	GSE12404GSM311290 sample	P-G12404-4	GSE12404GSM311290 extract	total_RNA	P-G12404-3	GSE12404GSM311290 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Laser capture microdissected (LCM) cellularized endosperm at the linear-cotyledon stage, biological replicate 2	A-AFFY-2	P-AFFY-6	Laser capture microdissected (LCM) cellularized endosperm at the linear-cotyledon stage, biological replicate 2	GSM311290.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12404/E-GEOD-12404.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-12404-processed-data-1679280947.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12404/E-GEOD-12404.processed.1.zip	cellularized endosperm	linear-cotyledon stage
GSE12404GSM311283	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seed coat	pre-globular stage	Ws-0	Arabidopsis pre-globular stage general seed coat captured by LCM:  General seed coat collected from seeds containing pre-globular embryo propers of 2 to 8 cells as determined by median section using the LEICA LMD6000 system for microdissection.. Genotype: Ws-0	P-G12404-2	P-G12404-1	GSE12404GSM311283 sample	P-G12404-4	GSE12404GSM311283 extract	total_RNA	P-G12404-3	GSE12404GSM311283 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Laser capture microdissected (LCM) general seed coat at the pre-globular stage, biological replicate 1	A-AFFY-2	P-AFFY-6	Laser capture microdissected (LCM) general seed coat at the pre-globular stage, biological replicate 1	GSM311283.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12404/E-GEOD-12404.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-12404-processed-data-1679280947.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12404/E-GEOD-12404.processed.1.zip	seed coat	pre-globular stage
GSE12404GSM311276	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	micropylar endosperm	pre-globular stage	Ws-0	Arabidopsis pre-globular stage micropylar endosperm captured by LCM:  Micropylar endosperm collected from seeds containing pre-globular embryo propers of 2 to 8 cells as determined by median section using the LEICA LMD6000 system for microdissection.. Genotype: Ws-0	P-G12404-2	P-G12404-1	GSE12404GSM311276 sample	P-G12404-4	GSE12404GSM311276 extract	total_RNA	P-G12404-3	GSE12404GSM311276 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Laser capture microdissected (LCM) micropylar endospermr at the pre-globular stage, biological replicate 2	A-AFFY-2	P-AFFY-6	Laser capture microdissected (LCM) micropylar endospermr at the pre-globular stage, biological replicate 2	GSM311276.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12404/E-GEOD-12404.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-12404-processed-data-1679280947.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12404/E-GEOD-12404.processed.1.zip	micropylar endosperm	pre-globular stage
GSE12404GSM311287	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	embryo proper	linear-cotyledon stage	Ws-0	Arabidopsis linear-cotyledon stage embryo proper captured by LCM:  Embryo proper collected from seeds containing linear-cotyledon embryos 175 (+/- 11) microns in length  as determined by median section using the LEICA LMD6000 system for microdissection.. Genotype: Ws-0	P-G12404-5	P-G12404-1	GSE12404GSM311287 sample	P-G12404-4	GSE12404GSM311287 extract	total_RNA	P-G12404-3	GSE12404GSM311287 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Laser capture microdissected (LCM) embryo proper at the linear-cotyledon stage, biological replicate 1	A-AFFY-2	P-AFFY-6	Laser capture microdissected (LCM) embryo proper at the linear-cotyledon stage, biological replicate 1	GSM311287.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12404/E-GEOD-12404.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-12404-processed-data-1679280947.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12404/E-GEOD-12404.processed.1.zip	embryo proper	linear-cotyledon stage
