Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[OrganismPart]	Characteristics[Ecotype]	Characteristics[Genotype]	Characteristics[Age]	Unit[TimeUnit]	Description	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[GENOTYPE]	FactorValue[AGE]	Unit[TimeUnit]
GSE12691GSM318622	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	vegetative apex	Columbia	35S::319b	17	days	Arabidopsis thaliana vegetative apices, 35S:319b, 17DAS:  Apex_mir-319b_17DAS_1. Ecotype: Col; Plants overexpressing the endogenous microRNA 319b under 35S promoter	P-G12691-1	GSE12691GSM318622 sample	P-G12691-3	GSE12691GSM318622 extract	total_RNA	P-G12691-2	GSE12691GSM318622 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Apex_mir-319b_17DAS_1	A-AFFY-2	P-AFFY-6	Apex_mir-319b_17DAS_1	GSM318622.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12691/E-GEOD-12691.raw.1.zip	E-GEOD-12691-processed-data-1681130352.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12691/E-GEOD-12691.processed.1.zip	35S::319b	17	days
GSE12691GSM318620	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	vegetative apex	Columbia	35S::miR-3TCP	14	days	Arabidopsis thaliana vegetative apices, 35S:miR-3TCP, 14DAS:  Apex_mir-3TCP_14DAS_1. Ecotype: Col; Plants overexpressing an artificial microRNA, miR-3TCP, targeting the CIN-TCPs: TCP5, TCP13 and TCP17.	P-G12691-1	GSE12691GSM318620 sample	P-G12691-3	GSE12691GSM318620 extract	total_RNA	P-G12691-2	GSE12691GSM318620 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Apex_mir-3TCP_14DAS_1	A-AFFY-2	P-AFFY-6	Apex_mir-3TCP_14DAS_1	GSM318620.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12691/E-GEOD-12691.raw.1.zip	E-GEOD-12691-processed-data-1681130352.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12691/E-GEOD-12691.processed.1.zip	35S::miR-3TCP	14	days
GSE12691GSM318618	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	vegetative apex	Columbia	wild_type	14	days	Arabidopsis thaliana vegetative apices, 14DAS:  Apex_Col_14DAS_1. Ecotype: Col	P-G12691-1	GSE12691GSM318618 sample	P-G12691-3	GSE12691GSM318618 extract	total_RNA	P-G12691-2	GSE12691GSM318618 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Apex_Col_14DAS_1	A-AFFY-2	P-AFFY-6	Apex_Col_14DAS_1	GSM318618.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12691/E-GEOD-12691.raw.1.zip	E-GEOD-12691-processed-data-1681130352.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12691/E-GEOD-12691.processed.1.zip	wild_type	14	days
GSE12691GSM318624	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	vegetative apex	Columbia	35S::miR-3TCP; 35S::319b	18	days	Arabidopsis thaliana vegetative apices, octa, 18DAS:  Apex_octa_18DAS_1. Ecotype: Col; Plants overexpressing the endogenous microRNA 319b, and the artificial microRAN miR-3TCP, targeting TCP5, TCP13 and TCP17 under 35S promoter. Effectively, all eight CIN-TCP genes are knocked down	P-G12691-1	GSE12691GSM318624 sample	P-G12691-3	GSE12691GSM318624 extract	total_RNA	P-G12691-2	GSE12691GSM318624 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Apex_octa_18DAS_1	A-AFFY-2	P-AFFY-6	Apex_octa_18DAS_1	GSM318624.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12691/E-GEOD-12691.raw.1.zip	E-GEOD-12691-processed-data-1681130352.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12691/E-GEOD-12691.processed.1.zip	35S::miR-3TCP; 35S::319b	18	days
GSE12691GSM318626	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	vegetative apex	Landsberg erecta	BLS::TCP4	14	days	Arabidopsis thaliana vegetative apices, BLS>>TCP4 , 14DAS:  Apex_BLS>>TCP4_14DAS_1. Ecotype: Ler; Plants overexpressing a microRNA resistant version of TCP4 under the leaf specific BLS promoter.	P-G12691-1	GSE12691GSM318626 sample	P-G12691-3	GSE12691GSM318626 extract	total_RNA	P-G12691-2	GSE12691GSM318626 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Apex_BLS>>TCP4_14DAS_1	A-AFFY-2	P-AFFY-6	Apex_BLS>>TCP4_14DAS_1	GSM318626.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12691/E-GEOD-12691.raw.1.zip	E-GEOD-12691-processed-data-1681130352.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12691/E-GEOD-12691.processed.1.zip	BLS::TCP4	14	days
GSE12691GSM318621	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	vegetative apex	Columbia	35S::miR-3TCP	14	days	Arabidopsis thaliana vegetative apices, 35S:miR-3TCP, 14DAS:  Apex_mir-3TCP_14DAS_2. Ecotype: Col; Plants overexpressing an artificial microRNA, miR-3TCP, targeting the CIN-TCPs: TCP5, TCP13 and TCP17.	P-G12691-1	GSE12691GSM318621 sample	P-G12691-3	GSE12691GSM318621 extract	total_RNA	P-G12691-2	GSE12691GSM318621 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Apex_mir-3TCP_14DAS_2	A-AFFY-2	P-AFFY-6	Apex_mir-3TCP_14DAS_2	GSM318621.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12691/E-GEOD-12691.raw.1.zip	E-GEOD-12691-processed-data-1681130352.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12691/E-GEOD-12691.processed.1.zip	35S::miR-3TCP	14	days
GSE12691GSM318623	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	vegetative apex	Columbia	35S::319b	17	days	Arabidopsis thaliana vegetative apices, 35S:319b, 17DAS:  Apex_mir-319b_17DAS_2. Ecotype: Col; Plants overexpressing the endogenous microRNA 319b under 35S promoter	P-G12691-1	GSE12691GSM318623 sample	P-G12691-3	GSE12691GSM318623 extract	total_RNA	P-G12691-2	GSE12691GSM318623 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Apex_mir-319b_17DAS_2	A-AFFY-2	P-AFFY-6	Apex_mir-319b_17DAS_2	GSM318623.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12691/E-GEOD-12691.raw.1.zip	E-GEOD-12691-processed-data-1681130352.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12691/E-GEOD-12691.processed.1.zip	35S::319b	17	days
GSE12691GSM318625	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	vegetative apex	Columbia	35S::miR-3TCP; 35S::319b	18	days	Arabidopsis thaliana vegetative apices, octa, 18DAS:  Apex_octa_18DAS_2. Ecotype: Col; Plants overexpressing the endogenous microRNA 319b, and the artificial microRAN miR-3TCP, targeting TCP5, TCP13 and TCP17 under 35S promoter. Effectively, all eight CIN-TCP genes are knocked down	P-G12691-1	GSE12691GSM318625 sample	P-G12691-3	GSE12691GSM318625 extract	total_RNA	P-G12691-2	GSE12691GSM318625 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Apex_octa_18DAS_2	A-AFFY-2	P-AFFY-6	Apex_octa_18DAS_2	GSM318625.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12691/E-GEOD-12691.raw.1.zip	E-GEOD-12691-processed-data-1681130352.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12691/E-GEOD-12691.processed.1.zip	35S::miR-3TCP; 35S::319b	18	days
GSE12691GSM318619	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	vegetative apex	Columbia	wild_type	14	days	Arabidopsis thaliana vegetative apices, 14DAS:  Apex_Col_14DAS_2. Ecotype: Col	P-G12691-1	GSE12691GSM318619 sample	P-G12691-3	GSE12691GSM318619 extract	total_RNA	P-G12691-2	GSE12691GSM318619 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Apex_Col_14DAS_2	A-AFFY-2	P-AFFY-6	Apex_Col_14DAS_2	GSM318619.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12691/E-GEOD-12691.raw.1.zip	E-GEOD-12691-processed-data-1681130352.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12691/E-GEOD-12691.processed.1.zip	wild_type	14	days
GSE12691GSM318627	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	vegetative apex	Landsberg erecta	BLS::TCP4	14	days	Arabidopsis thaliana vegetative apices, BLS>>TCP4 , 14DAS:  Apex_BLS>>TCP4_14DAS_2. Ecotype: Ler; Plants overexpressing a microRNA resistant TCP4 under the leaf specific BLS promoter	P-G12691-1	GSE12691GSM318627 sample	P-G12691-3	GSE12691GSM318627 extract	total_RNA	P-G12691-2	GSE12691GSM318627 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Apex_BLS>>TCP4_14DAS_2	A-AFFY-2	P-AFFY-6	Apex_BLS>>TCP4_14DAS_2	GSM318627.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12691/E-GEOD-12691.raw.1.zip	E-GEOD-12691-processed-data-1681130352.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12691/E-GEOD-12691.processed.1.zip	BLS::TCP4	14	days
