Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Description	Comment [sample source name]	Comment [sample characteristics]	Characteristics[developmental stage]	Characteristics[genotype]	Characteristics[ecotype]	Characteristics[age]	Unit[time unit]	Characteristics[organism part]	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[genotype]	FactorValue[growth condition]
GSE12729GSM319205	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"MIF1-OE transgenic line #124, dark-grown 7-day-old seedlings:  N/A. Ecotype: Columbia; Transgenic line: MIF1OE#124, T2 generation.; Growth conditions: Seeds were sowed on 1x MS media with 50Âµg/mL of Hygromycin, stratified at 4oC in darkness for 2 days; germination was induced by exposure to light for 2 hours; seedlings were grown vertically at 22oC for 7 days in the dark before harvesting seedling materials for RNA extraction. Only the Hygromycin-resistant seedlings were harvested."	"MIF1-OE transgenic line #124, dark-grown 7-day-old seedlings"	"Ecotype: Columbia; Transgenic line: MIF1OE#124, T2 generation.; Growth conditions: Seeds were sowed on 1x MS media with 50Âµg/mL of Hygromycin, stratified at 4oC in darkness for 2 days; germination was induced by exposure to light for 2 hours; seedlings were grown vertically at 22oC for 7 days in the dark before harvesting seedling materials for RNA extraction. Only the Hygromycin-resistant seedlings were harvested."	seedling	35S::MIF1	Columbia	7	day	whole organism	GSE12729GSM319205 sample	P-G12729-2	GSE12729GSM319205 extract	total_RNA	P-G12729-1	GSE12729GSM319205 LE biotin	biotin	synthetic_RNA	"35S-MIF1 line #124, dark grown, replicate1"	A-AFFY-2	P-AFFY-6	GSM319205.CEL	GSM319205.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12729/E-GEOD-12729.raw.1.zip	E-GEOD-12729-processed-data-1684646715.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12729/E-GEOD-12729.processed.1.zip	35S::MIF1	dark
GSE12729GSM319206	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"MIF1-OE transgenic line #124, dark-grown 7-day-old seedlings:  N/A. Ecotype: Columbia; Transgenic line: MIF1OE#124, T2 generation.; Growth conditions: Seeds were sowed on 1x MS media with 50Âµg/mL of Hygromycin, stratified at 4oC in darkness for 2 days; germination was induced by exposure to light for 2 hours; seedlings were grown vertically at 22oC for 7 days in the dark before harvesting seedling materials for RNA extraction. Only the Hygromycin-resistant seedlings were harvested."	"MIF1-OE transgenic line #124, dark-grown 7-day-old seedlings"	"Ecotype: Columbia; Transgenic line: MIF1OE#124, T2 generation.; Growth conditions: Seeds were sowed on 1x MS media with 50Âµg/mL of Hygromycin, stratified at 4oC in darkness for 2 days; germination was induced by exposure to light for 2 hours; seedlings were grown vertically at 22oC for 7 days in the dark before harvesting seedling materials for RNA extraction. Only the Hygromycin-resistant seedlings were harvested."	seedling	35S::MIF1	Columbia	7	day	whole organism	GSE12729GSM319206 sample	P-G12729-2	GSE12729GSM319206 extract	total_RNA	P-G12729-1	GSE12729GSM319206 LE biotin	biotin	synthetic_RNA	"35S-MIF1 line #124, dark grown, replicate2"	A-AFFY-2	P-AFFY-6	GSM319206.CEL	GSM319206.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12729/E-GEOD-12729.raw.1.zip	E-GEOD-12729-processed-data-1684646715.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12729/E-GEOD-12729.processed.1.zip	35S::MIF1	dark
GSE12729GSM319207	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"MIF1-OE transgenic line #127, dark-grown 7-day-old seedlings:  N/A. Ecotype: Columbia; Transgenic line: MIF1OE#127, T2 generation.; Growth conditions: Seeds were sowed on 1x MS media with 50Âµg/mL of Hygromycin, stratified at 4oC in darkness for 2 days; germination was induced by exposure to light for 2 hours; seedlings were grown vertically at 22oC for 7 days in the dark before harvesting seedling materials for RNA extraction. Only the Hygromycin-resistant seedlings were harvested."	"MIF1-OE transgenic line #127, dark-grown 7-day-old seedlings"	"Ecotype: Columbia; Transgenic line: MIF1OE#127, T2 generation.; Growth conditions: Seeds were sowed on 1x MS media with 50Âµg/mL of Hygromycin, stratified at 4oC in darkness for 2 days; germination was induced by exposure to light for 2 hours; seedlings were grown vertically at 22oC for 7 days in the dark before harvesting seedling materials for RNA extraction. Only the Hygromycin-resistant seedlings were harvested."	seedling	35S::MIF1	Columbia	7	day	whole organism	GSE12729GSM319207 sample	P-G12729-2	GSE12729GSM319207 extract	total_RNA	P-G12729-1	GSE12729GSM319207 LE biotin	biotin	synthetic_RNA	"35S-MIF1 line#127, dark grown"	A-AFFY-2	P-AFFY-6	GSM319207.CEL	GSM319207.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12729/E-GEOD-12729.raw.1.zip	E-GEOD-12729-processed-data-1684646715.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12729/E-GEOD-12729.processed.1.zip	35S::MIF1	dark
GSE12729GSM319196	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"MIF1-OE transgenic line #127, light-grown 7-day-old seedlings:  N/A. Ecotype: Columbia; Transgenic line: MIF1OE#127, T2 generation.; Growth condition: Seeds were sowed on 1x MS media with 50Âµg/mL of Hygromycin, stratified at 4oC in darkness for 2 days, and then grown vertically at 22oC for 7 days before harvesting seedling materials for RNA extraction. The light intensity was 70~120 Âµmol m-2 s-1 and the photoperiod was 16h light/8h dark. Only the Hygromycin-resistant seedlings were harvested."	"MIF1-OE transgenic line #127, light-grown 7-day-old seedlings"	"Ecotype: Columbia; Transgenic line: MIF1OE#127, T2 generation.; Growth condition: Seeds were sowed on 1x MS media with 50Âµg/mL of Hygromycin, stratified at 4oC in darkness for 2 days, and then grown vertically at 22oC for 7 days before harvesting seedling materials for RNA extraction. The light intensity was 70~120 Âµmol m-2 s-1 and the photoperiod was 16h light/8h dark. Only the Hygromycin-resistant seedlings were harvested."	seedling	35S::MIF1	Columbia	7	day	whole organism	GSE12729GSM319196 sample	P-G12729-2	GSE12729GSM319196 extract	total_RNA	P-G12729-1	GSE12729GSM319196 LE biotin	biotin	synthetic_RNA	"35S-MIF1 line#127, light grown"	A-AFFY-2	P-AFFY-6	GSM319196.CEL	GSM319196.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12729/E-GEOD-12729.raw.1.zip	E-GEOD-12729-processed-data-1684646715.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12729/E-GEOD-12729.processed.1.zip	35S::MIF1	light
GSE12729GSM319204	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"MIF1-OE transgenic line #124, light-grown 7-day-old seedlings:  N/A. Ecotype: Columbia; Transgenic line: MIF1OE#124, T2 generation.; Growth conditions: Seeds were sowed on 1x MS media with 50Âµg/mL of Hygromycin, stratified at 4oC in darkness for 2 days, and then grown vertically at 22oC for 7 days before harvesting seedling materials for RNA extraction. The light intensity was 70~120 Âµmol m-2 s-1 and the photoperiod was 16h light/8h dark. Only the Hygromycin-resistant seedlings were harvested."	"MIF1-OE transgenic line #124, light-grown 7-day-old seedlings"	"Ecotype: Columbia; Transgenic line: MIF1OE#124, T2 generation.; Growth conditions: Seeds were sowed on 1x MS media with 50Âµg/mL of Hygromycin, stratified at 4oC in darkness for 2 days, and then grown vertically at 22oC for 7 days before harvesting seedling materials for RNA extraction. The light intensity was 70~120 Âµmol m-2 s-1 and the photoperiod was 16h light/8h dark. Only the Hygromycin-resistant seedlings were harvested."	seedling	35S::MIF1	Columbia	7	day	whole organism	GSE12729GSM319204 sample	P-G12729-2	GSE12729GSM319204 extract	total_RNA	P-G12729-1	GSE12729GSM319204 LE biotin	biotin	synthetic_RNA	"35S-MIF1 line #124, light grown, replicate2"	A-AFFY-2	P-AFFY-6	GSM319204.CEL	GSM319204.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12729/E-GEOD-12729.raw.1.zip	E-GEOD-12729-processed-data-1684646715.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12729/E-GEOD-12729.processed.1.zip	35S::MIF1	light
GSE12729GSM318536	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"MIF1-OE transgenic line #124, light-grown 7-day-old seedlings:  N/A. Ecotype: Columbia; Transgenic line: MIF1OE#124, T2 generation.; Growth conditions: Seeds were sowed on 1x MS media with 50Âµg/mL of Hygromycin, stratified at 4oC in darkness for 2 days, and then grown vertically at 22oC for 7 days before harvesting seedling materials for RNA extraction. The light intensity was 70~120 Âµmol m-2 s-1 and the photoperiod was 16h light/8h dark. Only the Hygromycin-resistant seedlings were harvested."	"MIF1-OE transgenic line #124, light-grown 7-day-old seedlings"	"Ecotype: Columbia; Transgenic line: MIF1OE#124, T2 generation.; Growth conditions: Seeds were sowed on 1x MS media with 50Âµg/mL of Hygromycin, stratified at 4oC in darkness for 2 days, and then grown vertically at 22oC for 7 days before harvesting seedling materials for RNA extraction. The light intensity was 70~120 Âµmol m-2 s-1 and the photoperiod was 16h light/8h dark. Only the Hygromycin-resistant seedlings were harvested."	seedling	35S::MIF1	Columbia	7	day	whole organism	GSE12729GSM318536 sample	P-G12729-2	GSE12729GSM318536 extract	total_RNA	P-G12729-1	GSE12729GSM318536 LE biotin	biotin	synthetic_RNA	"35S-MIF1 line #124, light grown, replicate1"	A-AFFY-2	P-AFFY-6	GSM318536.CEL	GSM318536.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12729/E-GEOD-12729.raw.1.zip	E-GEOD-12729-processed-data-1684646715.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12729/E-GEOD-12729.processed.1.zip	35S::MIF1	light
GSE12729GSM319209	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"vector transgenic line #4, dark-grown 7-day-old seedlings:  N/A. Transgenic line: pRR2222 vector #4, T2 generation.; Growth conditions: Seeds were sowed on 1x MS media with 50Âµg/mL of Hygromycin, stratified at 4oC in darkness for 2 days; germination was induced by exposure to light for 2 hours; seedlings were grown vertically at 22oC for 7 days in the dark before harvesting seedling materials for RNA extraction. Only the Hygromycin-resistant seedlings were harvested."	"vector transgenic line #4, dark-grown 7-day-old seedlings"	"Transgenic line: pRR2222 vector #4, T2 generation.; Growth conditions: Seeds were sowed on 1x MS media with 50Âµg/mL of Hygromycin, stratified at 4oC in darkness for 2 days; germination was induced by exposure to light for 2 hours; seedlings were grown vertically at 22oC for 7 days in the dark before harvesting seedling materials for RNA extraction. Only the Hygromycin-resistant seedlings were harvested."	seedling	empty pRR2222 vector	Columbia	7	day	whole organism	GSE12729GSM319209 sample	P-G12729-2	GSE12729GSM319209 extract	total_RNA	P-G12729-1	GSE12729GSM319209 LE biotin	biotin	synthetic_RNA	Dark-grown WT control (vector#4)	A-AFFY-2	P-AFFY-6	GSM319209.CEL	GSM319209.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12729/E-GEOD-12729.raw.1.zip	E-GEOD-12729-processed-data-1684646715.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12729/E-GEOD-12729.processed.1.zip	empty pRR2222 vector	dark
GSE12729GSM319210	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"vector transgenic line #7, dark-grown 7-day-old seedlings:  N/A. Transgenic line: pRRR2222 vector #7, T2 generation.; Growth conditions: Seeds were sowed on 1x MS media with 50Âµg/mL of Hygromycin, stratified at 4oC in darkness for 2 days; germination was induced by exposure to light for 2 hours; seedlings were grown vertically at 22oC for 7 days in the dark before harvesting seedling materials for RNA extraction. Only the Hygromycin-resistant seedlings were harvested."	"vector transgenic line #7, dark-grown 7-day-old seedlings"	"Transgenic line: pRRR2222 vector #7, T2 generation.; Growth conditions: Seeds were sowed on 1x MS media with 50Âµg/mL of Hygromycin, stratified at 4oC in darkness for 2 days; germination was induced by exposure to light for 2 hours; seedlings were grown vertically at 22oC for 7 days in the dark before harvesting seedling materials for RNA extraction. Only the Hygromycin-resistant seedlings were harvested."	seedling	empty pRR2222 vector	Columbia	7	day	whole organism	GSE12729GSM319210 sample	P-G12729-2	GSE12729GSM319210 extract	total_RNA	P-G12729-1	GSE12729GSM319210 LE biotin	biotin	synthetic_RNA	Dark-grown WT control (vector#7)	A-AFFY-2	P-AFFY-6	GSM319210.CEL	GSM319210.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12729/E-GEOD-12729.raw.1.zip	E-GEOD-12729-processed-data-1684646715.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12729/E-GEOD-12729.processed.1.zip	empty pRR2222 vector	dark
GSE12729GSM319208	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"vector transgenic line #1, dark-grown 7-day-old seedlings:  N/A. Ecotype: Columbia; Transgenic line: pRR2222 vector line#1, T2 generation.; Growth conditions: Seeds were sowed on 1x MS media with 50Âµg/mL of Hygromycin, stratified at 4oC in darkness for 2 days; germination was induced by exposure to light for 2 hours; seedlings were grown vertically at 22oC for 7 days in the dark before harvesting seedling materials for RNA extraction. Only the Hygromycin-resistant seedlings were harvested."	"vector transgenic line #1, dark-grown 7-day-old seedlings"	"Ecotype: Columbia; Transgenic line: pRR2222 vector line#1, T2 generation.; Growth conditions: Seeds were sowed on 1x MS media with 50Âµg/mL of Hygromycin, stratified at 4oC in darkness for 2 days; germination was induced by exposure to light for 2 hours; seedlings were grown vertically at 22oC for 7 days in the dark before harvesting seedling materials for RNA extraction. Only the Hygromycin-resistant seedlings were harvested."	seedling	empty pRR2222 vector	Columbia	7	day	whole organism	GSE12729GSM319208 sample	P-G12729-2	GSE12729GSM319208 extract	total_RNA	P-G12729-1	GSE12729GSM319208 LE biotin	biotin	synthetic_RNA	Dark-grown WT control (vector#1)	A-AFFY-2	P-AFFY-6	GSM319208.CEL	GSM319208.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12729/E-GEOD-12729.raw.1.zip	E-GEOD-12729-processed-data-1684646715.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12729/E-GEOD-12729.processed.1.zip	empty pRR2222 vector	dark
GSE12729GSM319202	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"vector transgenic line #4, light-grown 7-day-old seedlings:  N/A. Ecotype: Columbia; Transgenic line: pRRR2222 vector #4, T2 generation.; Growth conditions: Seeds were sowed on 1x MS media with 50Âµg/mL of Hygromycin, stratified at 4oC in darkness for 2 days, and then grown vertically at 22oC for 7 days before harvesting seedling materials for RNA extraction. The light intensity was 70~120 Âµmol m-2 s-1 and the photoperiod was 16h light/8h dark. Only the Hygromycin-resistant seedlings were harvested."	"vector transgenic line #4, light-grown 7-day-old seedlings"	"Ecotype: Columbia; Transgenic line: pRRR2222 vector #4, T2 generation.; Growth conditions: Seeds were sowed on 1x MS media with 50Âµg/mL of Hygromycin, stratified at 4oC in darkness for 2 days, and then grown vertically at 22oC for 7 days before harvesting seedling materials for RNA extraction. The light intensity was 70~120 Âµmol m-2 s-1 and the photoperiod was 16h light/8h dark. Only the Hygromycin-resistant seedlings were harvested."	seedling	empty pRR2222 vector	Columbia	7	day	whole organism	GSE12729GSM319202 sample	P-G12729-2	GSE12729GSM319202 extract	total_RNA	P-G12729-1	GSE12729GSM319202 LE biotin	biotin	synthetic_RNA	Light-grown WT control (vector#4)	A-AFFY-2	P-AFFY-6	GSM319202.CEL	GSM319202.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12729/E-GEOD-12729.raw.1.zip	E-GEOD-12729-processed-data-1684646715.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12729/E-GEOD-12729.processed.1.zip	empty pRR2222 vector	light
