Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Comment [Sample_source_name]	Comment [Sample_characteristics]	Characteristics[Genotype]	Characteristics[Ecotype]	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[SAMPLING TIME POINT]	Unit[TimeUnit]	FactorValue[GENOTYPE]
GSE13469GSM339547	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	ecotype 'Columbia':  d12Hex. Control sample in day 12	ecotype 'Columbia'	Control sample in day 12	empty Ti plasmid	Columbia	GSE13469GSM339547 sample	P-G13469-2	GSE13469GSM339547 extract	total_RNA	P-G13469-1	GSE13469GSM339547 LE biotin	biotin	synthetic_RNA	Environmental regulation of leaf colour in red 35S:PAP1 Arabidopsis -9	A-AFFY-2	P-AFFY-6	GSM339547.CEL	GSM339547.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13469/E-GEOD-13469.raw.1.zip	E-GEOD-13469-processed-data-1689069402.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13469/E-GEOD-13469.processed.1.zip	12	days	empty Ti plasmid
GSE13469GSM339541	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	ecotype 'Columbia':  d2Hex. Control sample in Day2	ecotype 'Columbia'	Control sample in Day2	empty Ti plasmid	Columbia	GSE13469GSM339541 sample	P-G13469-2	GSE13469GSM339541 extract	total_RNA	P-G13469-1	GSE13469GSM339541 LE biotin	biotin	synthetic_RNA	Environmental regulation of leaf colour in red 35S:PAP1 Arabidopsis -3	A-AFFY-2	P-AFFY-6	GSM339541.CEL	GSM339541.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13469/E-GEOD-13469.raw.1.zip	E-GEOD-13469-processed-data-1689069402.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13469/E-GEOD-13469.processed.1.zip	2	days	empty Ti plasmid
GSE13469GSM339546	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	ecotype 'Columbia':  d8Pap. Pap1 sample in day 8	ecotype 'Columbia'	Pap1 sample in day 8	35S::PAP1	Columbia	GSE13469GSM339546 sample	P-G13469-2	GSE13469GSM339546 extract	total_RNA	P-G13469-1	GSE13469GSM339546 LE biotin	biotin	synthetic_RNA	Environmental regulation of leaf colour in red 35S:PAP1 Arabidopsis -8	A-AFFY-2	P-AFFY-6	GSM339546.CEL	GSM339546.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13469/E-GEOD-13469.raw.1.zip	E-GEOD-13469-processed-data-1689069402.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13469/E-GEOD-13469.processed.1.zip	8	days	35S::PAP1
GSE13469GSM339544	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	ecotype 'Columbia':  d7Pap. Pap1 sample in day 7	ecotype 'Columbia'	Pap1 sample in day 7	35S::PAP1	Columbia	GSE13469GSM339544 sample	P-G13469-2	GSE13469GSM339544 extract	total_RNA	P-G13469-1	GSE13469GSM339544 LE biotin	biotin	synthetic_RNA	Environmental regulation of leaf colour in red 35S:PAP1 Arabidopsis -6	A-AFFY-2	P-AFFY-6	GSM339544.CEL	GSM339544.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13469/E-GEOD-13469.raw.1.zip	E-GEOD-13469-processed-data-1689069402.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13469/E-GEOD-13469.processed.1.zip	7	days	35S::PAP1
GSE13469GSM339542	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	ecotype 'Columbia':  d2Pap. pap1 sample in day2	ecotype 'Columbia'	pap1 sample in day2	35S::PAP1	Columbia	GSE13469GSM339542 sample	P-G13469-2	GSE13469GSM339542 extract	total_RNA	P-G13469-1	GSE13469GSM339542 LE biotin	biotin	synthetic_RNA	Environmental regulation of leaf colour in red 35S:PAP1 Arabidopsis -4	A-AFFY-2	P-AFFY-6	GSM339542.CEL	GSM339542.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13469/E-GEOD-13469.raw.1.zip	E-GEOD-13469-processed-data-1689069402.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13469/E-GEOD-13469.processed.1.zip	2	days	35S::PAP1
GSE13469GSM339543	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	ecotype 'Columbia':  d7Hex. Control sample in day 7	ecotype 'Columbia'	Control sample in day 7	empty Ti plasmid	Columbia	GSE13469GSM339543 sample	P-G13469-2	GSE13469GSM339543 extract	total_RNA	P-G13469-1	GSE13469GSM339543 LE biotin	biotin	synthetic_RNA	Environmental regulation of leaf colour in red 35S:PAP1 Arabidopsis -5	A-AFFY-2	P-AFFY-6	GSM339543.CEL	GSM339543.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13469/E-GEOD-13469.raw.1.zip	E-GEOD-13469-processed-data-1689069402.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13469/E-GEOD-13469.processed.1.zip	7	days	empty Ti plasmid
GSE13469GSM339545	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	ecotype 'Columbia':  d8Hex. Control sample in day 8	ecotype 'Columbia'	Control sample in day 8	empty Ti plasmid	Columbia	GSE13469GSM339545 sample	P-G13469-2	GSE13469GSM339545 extract	total_RNA	P-G13469-1	GSE13469GSM339545 LE biotin	biotin	synthetic_RNA	Environmental regulation of leaf colour in red 35S:PAP1 Arabidopsis -7	A-AFFY-2	P-AFFY-6	GSM339545.CEL	GSM339545.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13469/E-GEOD-13469.raw.1.zip	E-GEOD-13469-processed-data-1689069402.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13469/E-GEOD-13469.processed.1.zip	8	days	empty Ti plasmid
GSE13469GSM339540	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	ecotype 'Columbia':  d1Pap. Pap1 sample in day1	ecotype 'Columbia'	Pap1 sample in day1	35S::PAP1	Columbia	GSE13469GSM339540 sample	P-G13469-2	GSE13469GSM339540 extract	total_RNA	P-G13469-1	GSE13469GSM339540 LE biotin	biotin	synthetic_RNA	Environmental regulation of leaf colour in red 35S:PAP1 Arabidopsis -2	A-AFFY-2	P-AFFY-6	GSM339540.CEL	GSM339540.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13469/E-GEOD-13469.raw.1.zip	E-GEOD-13469-processed-data-1689069402.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13469/E-GEOD-13469.processed.1.zip	1	days	35S::PAP1
GSE13469GSM339548	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	ecotype 'Columbia':  d12Pap. Pap1 sample in day 12	ecotype 'Columbia'	Pap1 sample in day 12	35S::PAP1	Columbia	GSE13469GSM339548 sample	P-G13469-2	GSE13469GSM339548 extract	total_RNA	P-G13469-1	GSE13469GSM339548 LE biotin	biotin	synthetic_RNA	Environmental regulation of leaf colour in red 35S:PAP1 Arabidopsis -10	A-AFFY-2	P-AFFY-6	GSM339548.CEL	GSM339548.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13469/E-GEOD-13469.raw.1.zip	E-GEOD-13469-processed-data-1689069402.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13469/E-GEOD-13469.processed.1.zip	12	days	35S::PAP1
GSE13469GSM339539	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	ecotype 'Columbia':  d1Hex. Controls samples in day1	ecotype 'Columbia'	Controls samples in day1	empty Ti plasmid	Columbia	GSE13469GSM339539 sample	P-G13469-2	GSE13469GSM339539 extract	total_RNA	P-G13469-1	GSE13469GSM339539 LE biotin	biotin	synthetic_RNA	Environmental regulation of leaf colour in red 35S:PAP1 Arabidopsis	A-AFFY-2	P-AFFY-6	GSM339539.CEL	GSM339539.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13469/E-GEOD-13469.raw.1.zip	E-GEOD-13469-processed-data-1689069402.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13469/E-GEOD-13469.processed.1.zip	1	days	empty Ti plasmid
