Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Description	Comment [Sample_source_name]	Comment [Sample_characteristics]	Characteristics[age]	Unit[time unit]	Characteristics[organism part]	Characteristics[ecotype]	Characteristics[developmental stage]	Characteristics[genotype]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[time]	Unit[time unit]	FactorValue[genotype]	FactorValue[compound]
GSE13833GSM347990	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole aerial tissue of Arabidopsis npr1-3 seedlings 48h after DCA treatment:  The goal of this project was a comparative analysis of defense responses triggered by the synthetic elicitors 3,5-Dichloroanthranilic acid (DCA) or 2,6-Dichloroisonicotinic acid (INA) in Arabidopsis thaliana. . aerial tissues of 2 week old soil grown wild type Arabidopsis seedlings (accession Col-0) weretreated  with 100uM 3,5-Dichloroanthranilic acid (DCA), or 100uM 2,6-Dichloroisonicotinic acid (INA) or mock solution and harvested 48h or 6 days after the treatment.	whole aerial tissue of Arabidopsis npr1-3 seedlings 48h after DCA treatment	aerial tissues of 2 week old soil grown wild type Arabidopsis seedlings (accession Col-0) weretreated  with 100uM 3,5-Dichloroanthranilic acid (DCA), or 100uM 2,6-Dichloroisonicotinic acid (INA) or mock solution and harvested 48h or 6 days after the treatment.	2	week	aerial part	Col-0	seedling	npr1-3	P-G13833-2	P-G13833-1	GSE13833GSM347990 sample	P-G13833-4	GSE13833GSM347990 extract	total_RNA	P-G13833-3	GSE13833GSM347990 LE biotin	biotin	synthetic_RNA	npr1-3_DCA_48h_rep3	A-AFFY-2	P-AFFY-6	GSM347990.CEL	GSM347990.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13833/E-GEOD-13833.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-13833-processed-data-1747982140.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13833/E-GEOD-13833.processed.1.zip	2	day	npr1-3	3,5-dichloroanthranilic acid
GSE13833GSM347988	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole aerial tissue of Arabidopsis npr1-3 seedlings 48h after DCA treatment:  The goal of this project was a comparative analysis of defense responses triggered by the synthetic elicitors 3,5-Dichloroanthranilic acid (DCA) or 2,6-Dichloroisonicotinic acid (INA) in Arabidopsis thaliana. . aerial tissues of 2 week old soil grown wild type Arabidopsis seedlings (accession Col-0) weretreated  with 100uM 3,5-Dichloroanthranilic acid (DCA), or 100uM 2,6-Dichloroisonicotinic acid (INA) or mock solution and harvested 48h or 6 days after the treatment.	whole aerial tissue of Arabidopsis npr1-3 seedlings 48h after DCA treatment	aerial tissues of 2 week old soil grown wild type Arabidopsis seedlings (accession Col-0) weretreated  with 100uM 3,5-Dichloroanthranilic acid (DCA), or 100uM 2,6-Dichloroisonicotinic acid (INA) or mock solution and harvested 48h or 6 days after the treatment.	2	week	aerial part	Col-0	seedling	npr1-3	P-G13833-2	P-G13833-1	GSE13833GSM347988 sample	P-G13833-4	GSE13833GSM347988 extract	total_RNA	P-G13833-3	GSE13833GSM347988 LE biotin	biotin	synthetic_RNA	npr1-3_DCA_48h_rep1	A-AFFY-2	P-AFFY-6	GSM347988.CEL	GSM347988.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13833/E-GEOD-13833.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-13833-processed-data-1747982140.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13833/E-GEOD-13833.processed.1.zip	2	day	npr1-3	3,5-dichloroanthranilic acid
GSE13833GSM347989	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole aerial tissue of Arabidopsis npr1-3 seedlings 48h after DCA treatment:  The goal of this project was a comparative analysis of defense responses triggered by the synthetic elicitors 3,5-Dichloroanthranilic acid (DCA) or 2,6-Dichloroisonicotinic acid (INA) in Arabidopsis thaliana. . aerial tissues of 2 week old soil grown wild type Arabidopsis seedlings (accession Col-0) weretreated  with 100uM 3,5-Dichloroanthranilic acid (DCA), or 100uM 2,6-Dichloroisonicotinic acid (INA) or mock solution and harvested 48h or 6 days after the treatment.	whole aerial tissue of Arabidopsis npr1-3 seedlings 48h after DCA treatment	aerial tissues of 2 week old soil grown wild type Arabidopsis seedlings (accession Col-0) weretreated  with 100uM 3,5-Dichloroanthranilic acid (DCA), or 100uM 2,6-Dichloroisonicotinic acid (INA) or mock solution and harvested 48h or 6 days after the treatment.	2	week	aerial part	Col-0	seedling	npr1-3	P-G13833-2	P-G13833-1	GSE13833GSM347989 sample	P-G13833-4	GSE13833GSM347989 extract	total_RNA	P-G13833-3	GSE13833GSM347989 LE biotin	biotin	synthetic_RNA	npr1-3_DCA_48h_rep2	A-AFFY-2	P-AFFY-6	GSM347989.CEL	GSM347989.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13833/E-GEOD-13833.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-13833-processed-data-1747982140.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13833/E-GEOD-13833.processed.1.zip	2	day	npr1-3	3,5-dichloroanthranilic acid
GSE13833GSM347992	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole aerial tissue of Arabidopsis npr1-3 seedlings 48h after mock treatment:  The goal of this project was a comparative analysis of defense responses triggered by the synthetic elicitors 3,5-Dichloroanthranilic acid (DCA) or 2,6-Dichloroisonicotinic acid (INA) in Arabidopsis thaliana. . aerial tissues of 2 week old soil grown wild type Arabidopsis seedlings (accession Col-0) weretreated  with 100uM 3,5-Dichloroanthranilic acid (DCA), or 100uM 2,6-Dichloroisonicotinic acid (INA) or mock solution and harvested 48h or 6 days after the treatment.	whole aerial tissue of Arabidopsis npr1-3 seedlings 48h after mock treatment	aerial tissues of 2 week old soil grown wild type Arabidopsis seedlings (accession Col-0) weretreated  with 100uM 3,5-Dichloroanthranilic acid (DCA), or 100uM 2,6-Dichloroisonicotinic acid (INA) or mock solution and harvested 48h or 6 days after the treatment.	2	week	aerial part	Col-0	seedling	npr1-3	P-G13833-2	P-G13833-1	GSE13833GSM347992 sample	P-G13833-4	GSE13833GSM347992 extract	total_RNA	P-G13833-3	GSE13833GSM347992 LE biotin	biotin	synthetic_RNA	npr1-3_MOCK_48h_rep1	A-AFFY-2	P-AFFY-6	GSM347992.CEL	GSM347992.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13833/E-GEOD-13833.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-13833-processed-data-1747982140.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13833/E-GEOD-13833.processed.1.zip	2	day	npr1-3	none
GSE13833GSM347993	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole aerial tissue of Arabidopsis npr1-3 seedlings 48h after mock treatment:  The goal of this project was a comparative analysis of defense responses triggered by the synthetic elicitors 3,5-Dichloroanthranilic acid (DCA) or 2,6-Dichloroisonicotinic acid (INA) in Arabidopsis thaliana. . aerial tissues of 2 week old soil grown wild type Arabidopsis seedlings (accession Col-0) weretreated  with 100uM 3,5-Dichloroanthranilic acid (DCA), or 100uM 2,6-Dichloroisonicotinic acid (INA) or mock solution and harvested 48h or 6 days after the treatment.	whole aerial tissue of Arabidopsis npr1-3 seedlings 48h after mock treatment	aerial tissues of 2 week old soil grown wild type Arabidopsis seedlings (accession Col-0) weretreated  with 100uM 3,5-Dichloroanthranilic acid (DCA), or 100uM 2,6-Dichloroisonicotinic acid (INA) or mock solution and harvested 48h or 6 days after the treatment.	2	week	aerial part	Col-0	seedling	npr1-3	P-G13833-2	P-G13833-1	GSE13833GSM347993 sample	P-G13833-4	GSE13833GSM347993 extract	total_RNA	P-G13833-3	GSE13833GSM347993 LE biotin	biotin	synthetic_RNA	npr1-3_MOCK_48h_rep2	A-AFFY-2	P-AFFY-6	GSM347993.CEL	GSM347993.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13833/E-GEOD-13833.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-13833-processed-data-1747982140.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13833/E-GEOD-13833.processed.1.zip	2	day	npr1-3	none
GSE13833GSM347995	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole aerial tissue of Arabidopsis npr1-3 seedlings 48h after mock treatment:  The goal of this project was a comparative analysis of defense responses triggered by the synthetic elicitors 3,5-Dichloroanthranilic acid (DCA) or 2,6-Dichloroisonicotinic acid (INA) in Arabidopsis thaliana. . aerial tissues of 2 week old soil grown wild type Arabidopsis seedlings (accession Col-0) weretreated  with 100uM 3,5-Dichloroanthranilic acid (DCA), or 100uM 2,6-Dichloroisonicotinic acid (INA) or mock solution and harvested 48h or 6 days after the treatment.	whole aerial tissue of Arabidopsis npr1-3 seedlings 48h after mock treatment	aerial tissues of 2 week old soil grown wild type Arabidopsis seedlings (accession Col-0) weretreated  with 100uM 3,5-Dichloroanthranilic acid (DCA), or 100uM 2,6-Dichloroisonicotinic acid (INA) or mock solution and harvested 48h or 6 days after the treatment.	2	week	aerial part	Col-0	seedling	npr1-3	P-G13833-2	P-G13833-1	GSE13833GSM347995 sample	P-G13833-4	GSE13833GSM347995 extract	total_RNA	P-G13833-3	GSE13833GSM347995 LE biotin	biotin	synthetic_RNA	npr1-3_MOCK_48h_rep3	A-AFFY-2	P-AFFY-6	GSM347995.CEL	GSM347995.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13833/E-GEOD-13833.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-13833-processed-data-1747982140.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13833/E-GEOD-13833.processed.1.zip	2	day	npr1-3	none
GSE13833GSM347964	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole aerial tissue of Arabidopsis seedlings 48h after DCA treatment:  The goal of this project was a comparative analysis of defense responses triggered by the synthetic elicitors 3,5-Dichloroanthranilic acid (DCA) or 2,6-Dichloroisonicotinic acid (INA) in Arabidopsis thaliana. . aerial tissues of 2 week old soil grown wild type Arabidopsis seedlings (accession Col-0) weretreated  with 100uM 3,5-Dichloroanthranilic acid (DCA), or 100uM 2,6-Dichloroisonicotinic acid (INA) or mock solution and harvested 48h or 6 days after the treatment.	whole aerial tissue of Arabidopsis seedlings 48h after DCA treatment	aerial tissues of 2 week old soil grown wild type Arabidopsis seedlings (accession Col-0) weretreated  with 100uM 3,5-Dichloroanthranilic acid (DCA), or 100uM 2,6-Dichloroisonicotinic acid (INA) or mock solution and harvested 48h or 6 days after the treatment.	2	week	aerial part	Col-0	seedling	wild type	P-G13833-2	P-G13833-1	GSE13833GSM347964 sample	P-G13833-4	GSE13833GSM347964 extract	total_RNA	P-G13833-3	GSE13833GSM347964 LE biotin	biotin	synthetic_RNA	Col-0_DCA_48h_rep2	A-AFFY-2	P-AFFY-6	GSM347964.CEL	GSM347964.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13833/E-GEOD-13833.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-13833-processed-data-1747982140.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13833/E-GEOD-13833.processed.1.zip	2	day	wild type	3,5-dichloroanthranilic acid
GSE13833GSM347965	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole aerial tissue of Arabidopsis seedlings 48h after DCA treatment:  The goal of this project was a comparative analysis of defense responses triggered by the synthetic elicitors 3,5-Dichloroanthranilic acid (DCA) or 2,6-Dichloroisonicotinic acid (INA) in Arabidopsis thaliana. . aerial tissues of 2 week old soil grown wild type Arabidopsis seedlings (accession Col-0) weretreated  with 100uM 3,5-Dichloroanthranilic acid (DCA), or 100uM 2,6-Dichloroisonicotinic acid (INA) or mock solution and harvested 48h or 6 days after the treatment.	whole aerial tissue of Arabidopsis seedlings 48h after DCA treatment	aerial tissues of 2 week old soil grown wild type Arabidopsis seedlings (accession Col-0) weretreated  with 100uM 3,5-Dichloroanthranilic acid (DCA), or 100uM 2,6-Dichloroisonicotinic acid (INA) or mock solution and harvested 48h or 6 days after the treatment.	2	week	aerial part	Col-0	seedling	wild type	P-G13833-2	P-G13833-1	GSE13833GSM347965 sample	P-G13833-4	GSE13833GSM347965 extract	total_RNA	P-G13833-3	GSE13833GSM347965 LE biotin	biotin	synthetic_RNA	Col-0_DCA_48h_rep3	A-AFFY-2	P-AFFY-6	GSM347965.CEL	GSM347965.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13833/E-GEOD-13833.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-13833-processed-data-1747982140.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13833/E-GEOD-13833.processed.1.zip	2	day	wild type	3,5-dichloroanthranilic acid
GSE13833GSM347963	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole aerial tissue of Arabidopsis seedlings 48h after DCA treatment:  The goal of this project was a comparative analysis of defense responses triggered by the synthetic elicitors 3,5-Dichloroanthranilic acid (DCA) or 2,6-Dichloroisonicotinic acid (INA) in Arabidopsis thaliana. . aerial tissues of 2 week old soil grown wild type Arabidopsis seedlings (accession Col-0) weretreated  with 100uM 3,5-Dichloroanthranilic acid (DCA), or 100uM 2,6-Dichloroisonicotinic acid (INA) or mock solution and harvested 48h or 6 days after the treatment.	whole aerial tissue of Arabidopsis seedlings 48h after DCA treatment	aerial tissues of 2 week old soil grown wild type Arabidopsis seedlings (accession Col-0) weretreated  with 100uM 3,5-Dichloroanthranilic acid (DCA), or 100uM 2,6-Dichloroisonicotinic acid (INA) or mock solution and harvested 48h or 6 days after the treatment.	2	week	aerial part	Col-0	seedling	wild type	P-G13833-2	P-G13833-1	GSE13833GSM347963 sample	P-G13833-4	GSE13833GSM347963 extract	total_RNA	P-G13833-3	GSE13833GSM347963 LE biotin	biotin	synthetic_RNA	Col-0_DCA_48h_rep1	A-AFFY-2	P-AFFY-6	GSM347963.CEL	GSM347963.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13833/E-GEOD-13833.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-13833-processed-data-1747982140.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13833/E-GEOD-13833.processed.1.zip	2	day	wild type	3,5-dichloroanthranilic acid
GSE13833GSM347966	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole aerial tissue of Arabidopsis seedlings 48h after INA treatment:  The goal of this project was a comparative analysis of defense responses triggered by the synthetic elicitors 3,5-Dichloroanthranilic acid (DCA) or 2,6-Dichloroisonicotinic acid (INA) in Arabidopsis thaliana. . aerial tissues of 2 week old soil grown wild type Arabidopsis seedlings (accession Col-0) weretreated  with 100uM 3,5-Dichloroanthranilic acid (DCA), or 100uM 2,6-Dichloroisonicotinic acid (INA) or mock solution and harvested 48h or 6 days after the treatment.	whole aerial tissue of Arabidopsis seedlings 48h after INA treatment	aerial tissues of 2 week old soil grown wild type Arabidopsis seedlings (accession Col-0) weretreated  with 100uM 3,5-Dichloroanthranilic acid (DCA), or 100uM 2,6-Dichloroisonicotinic acid (INA) or mock solution and harvested 48h or 6 days after the treatment.	2	week	aerial part	Col-0	seedling	wild type	P-G13833-2	P-G13833-1	GSE13833GSM347966 sample	P-G13833-4	GSE13833GSM347966 extract	total_RNA	P-G13833-3	GSE13833GSM347966 LE biotin	biotin	synthetic_RNA	Col-0_INA_48h_rep1	A-AFFY-2	P-AFFY-6	GSM347966.CEL	GSM347966.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13833/E-GEOD-13833.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-13833-processed-data-1747982140.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13833/E-GEOD-13833.processed.1.zip	2	day	wild type	2,6-dichloroisonicotinic acid
