Source Name	Material Type	Characteristics [organism]	Term Source REF	Term Accession Number	Description	Comment[Sample_source_name]	Comment[Sample_characteristics]	Characteristics[Genotype]	Characteristics[organism part]	Characteristics[age]	Unit[time unit]	Characteristics[developmental stage]	Characteristics[ecotype]	Protocol REF	Protocol REF	Sample Name	Material Type	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Material Type	Label	Assay Name	Technology Type	Array Design REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Comment[CDF]	Factor Value[growth condition]	Factor Value[genotype]	Factor Value[organism part]	Factor Value [RNA]
GSE14502GSM362168	organism part	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling roots, 2hr Control, total mRNA, Root total RNA under control conditions. Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: control	7 day old Arabidopsis Seedling roots, 2hr Control, total mRNA	Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: control	p35S:His6FLAG-RPL18B	root	7	day	seedling	Col-0	P-G14502-1	P-G14502-2	GSE14502GSM362168 sample	organism part	P-G14502-5	GSE14502GSM362168 extract	total RNA	P-G14502-3	GSE14502GSM362168 LE biotin	synthetic RNA	biotin	root_control_total_rep1	array assay	A-AFFY-2	GSM362168	GSM362168.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14502/E-GEOD-14502.raw.1.zip	P-G14502-4	GSE14502GSM362168 Norm	GSM362168_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14502/E-GEOD-14502.processed.1.zip	ATH1-121501.CDF	control	p35S:His6FLAG-RPL18B	root	total mRNA
GSE14502GSM362169	organism part	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling roots, 2hr Control, total mRNA, Root total RNA under control conditions. Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: control	7 day old Arabidopsis Seedling roots, 2hr Control, total mRNA	Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: control	p35S:His6FLAG-RPL18B	root	7	day	seedling	Col-0	P-G14502-1	P-G14502-2	GSE14502GSM362169 sample	organism part	P-G14502-5	GSE14502GSM362169 extract	total RNA	P-G14502-3	GSE14502GSM362169 LE biotin	synthetic RNA	biotin	root_control_total_rep2	array assay	A-AFFY-2	GSM362169	GSM362169.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14502/E-GEOD-14502.raw.1.zip	P-G14502-4	GSE14502GSM362169 Norm	GSM362169_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14502/E-GEOD-14502.processed.1.zip	ATH1-121501.CDF	control	p35S:His6FLAG-RPL18B	root	total mRNA
GSE14502GSM362170	organism part	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling roots, 2hr Control, total mRNA, Root total RNA under control conditions. Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: control	7 day old Arabidopsis Seedling roots, 2hr Control, total mRNA	Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: control	p35S:His6FLAG-RPL18B	root	7	day	seedling	Col-0	P-G14502-1	P-G14502-2	GSE14502GSM362170 sample	organism part	P-G14502-5	GSE14502GSM362170 extract	total RNA	P-G14502-3	GSE14502GSM362170 LE biotin	synthetic RNA	biotin	root_control_total_rep3	array assay	A-AFFY-2	GSM362170	GSM362170.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14502/E-GEOD-14502.raw.1.zip	P-G14502-4	GSE14502GSM362170 Norm	GSM362170_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14502/E-GEOD-14502.processed.1.zip	ATH1-121501.CDF	control	p35S:His6FLAG-RPL18B	root	total mRNA
GSE14502GSM362171	organism part	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling roots, 2hr Control, total mRNA, Root total RNA under control conditions. Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: control	7 day old Arabidopsis Seedling roots, 2hr Control, total mRNA	Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: control	p35S:His6FLAG-RPL18B	root	7	day	seedling	Col-0	P-G14502-1	P-G14502-2	GSE14502GSM362171 sample	organism part	P-G14502-5	GSE14502GSM362171 extract	total RNA	P-G14502-3	GSE14502GSM362171 LE biotin	synthetic RNA	biotin	root_control_total_rep4	array assay	A-AFFY-2	GSM362171	GSM362171.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14502/E-GEOD-14502.raw.1.zip	P-G14502-4	GSE14502GSM362171 Norm	GSM362171_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14502/E-GEOD-14502.processed.1.zip	ATH1-121501.CDF	control	p35S:His6FLAG-RPL18B	root	total mRNA
GSE14502GSM362172	organism part	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling roots, 2hr hypoxia, total mRNA, Root total RNA under hypoxic conditions. Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: hypoxia	7 day old Arabidopsis Seedling roots, 2hr hypoxia, total mRNA	Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: hypoxia	p35S:His6FLAG-RPL18B	root	7	day	seedling	Col-0	P-G14502-1	P-G14502-2	GSE14502GSM362172 sample	organism part	P-G14502-5	GSE14502GSM362172 extract	total RNA	P-G14502-3	GSE14502GSM362172 LE biotin	synthetic RNA	biotin	root_hypoxia_total_rep1	array assay	A-AFFY-2	GSM362172	GSM362172.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14502/E-GEOD-14502.raw.1.zip	P-G14502-4	GSE14502GSM362172 Norm	GSM362172_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14502/E-GEOD-14502.processed.1.zip	ATH1-121501.CDF	hypoxia	p35S:His6FLAG-RPL18B	root	total mRNA
GSE14502GSM362173	organism part	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling roots, 2hr hypoxia, total mRNA, Root total RNA under hypoxic conditions. Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: hypoxia	7 day old Arabidopsis Seedling roots, 2hr hypoxia, total mRNA	Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: hypoxia	p35S:His6FLAG-RPL18B	root	7	day	seedling	Col-0	P-G14502-1	P-G14502-2	GSE14502GSM362173 sample	organism part	P-G14502-5	GSE14502GSM362173 extract	total RNA	P-G14502-3	GSE14502GSM362173 LE biotin	synthetic RNA	biotin	root_hypoxia_total_rep3	array assay	A-AFFY-2	GSM362173	GSM362173.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14502/E-GEOD-14502.raw.1.zip	P-G14502-4	GSE14502GSM362173 Norm	GSM362173_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14502/E-GEOD-14502.processed.1.zip	ATH1-121501.CDF	hypoxia	p35S:His6FLAG-RPL18B	root	total mRNA
GSE14502GSM362174	organism part	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling roots, 2hr hypoxia, total mRNA, Root total RNA under hypoxic conditions. Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: hypoxia	7 day old Arabidopsis Seedling roots, 2hr hypoxia, total mRNA	Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: hypoxia	p35S:His6FLAG-RPL18B	root	7	day	seedling	Col-0	P-G14502-1	P-G14502-2	GSE14502GSM362174 sample	organism part	P-G14502-5	GSE14502GSM362174 extract	total RNA	P-G14502-3	GSE14502GSM362174 LE biotin	synthetic RNA	biotin	root_hypoxia_total_rep4	array assay	A-AFFY-2	GSM362174	GSM362174.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14502/E-GEOD-14502.raw.1.zip	P-G14502-4	GSE14502GSM362174 Norm	GSM362174_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14502/E-GEOD-14502.processed.1.zip	ATH1-121501.CDF	hypoxia	p35S:His6FLAG-RPL18B	root	total mRNA
GSE14502GSM362175	organism part	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling roots, 2hr Control, p35S-enriched polysomal mRNA, Root polysomal RNA under control conditions. Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: control	7 day old Arabidopsis Seedling roots, 2hr Control, p35S-enriched polysomal mRNA	Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: control	p35S:His6FLAG-RPL18B	root	7	day	seedling	Col-0	P-G14502-1	P-G14502-2	GSE14502GSM362175 sample	organism part	P-G14502-5	GSE14502GSM362175 extract	total RNA	P-G14502-3	GSE14502GSM362175 LE biotin	synthetic RNA	biotin	root_control_p35S_rep1	array assay	A-AFFY-2	GSM362175	GSM362175.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14502/E-GEOD-14502.raw.1.zip	P-G14502-4	GSE14502GSM362175 Norm	GSM362175_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14502/E-GEOD-14502.processed.1.zip	ATH1-121501.CDF	control	p35S:His6FLAG-RPL18B	root	polysomal mRNA
GSE14502GSM362176	organism part	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling roots, 2hr Control, p35S-enriched polysomal mRNA, Root polysomal RNA under control conditions. Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: control	7 day old Arabidopsis Seedling roots, 2hr Control, p35S-enriched polysomal mRNA	Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: control	p35S:His6FLAG-RPL18B	root	7	day	seedling	Col-0	P-G14502-1	P-G14502-2	GSE14502GSM362176 sample	organism part	P-G14502-5	GSE14502GSM362176 extract	total RNA	P-G14502-3	GSE14502GSM362176 LE biotin	synthetic RNA	biotin	root_control_p35S_rep2	array assay	A-AFFY-2	GSM362176	GSM362176.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14502/E-GEOD-14502.raw.1.zip	P-G14502-4	GSE14502GSM362176 Norm	GSM362176_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14502/E-GEOD-14502.processed.1.zip	ATH1-121501.CDF	control	p35S:His6FLAG-RPL18B	root	polysomal mRNA
GSE14502GSM362177	organism part	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling roots, 2hr Control, p35S-enriched polysomal mRNA, Root polysomal RNA under control conditions. Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: control	7 day old Arabidopsis Seedling roots, 2hr Control, p35S-enriched polysomal mRNA	Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: control	p35S:His6FLAG-RPL18B	root	7	day	seedling	Col-0	P-G14502-1	P-G14502-2	GSE14502GSM362177 sample	organism part	P-G14502-5	GSE14502GSM362177 extract	total RNA	P-G14502-3	GSE14502GSM362177 LE biotin	synthetic RNA	biotin	root_control_p35S_rep3	array assay	A-AFFY-2	GSM362177	GSM362177.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14502/E-GEOD-14502.raw.1.zip	P-G14502-4	GSE14502GSM362177 Norm	GSM362177_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14502/E-GEOD-14502.processed.1.zip	ATH1-121501.CDF	control	p35S:His6FLAG-RPL18B	root	polysomal mRNA
