Source Name	Comment [Sample_characteristics]	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[Age]	Unit[TimeUnit]	Characteristics[OrganismPart]	Characteristics[Generation]	Characteristics[Genotype]	Characteristics[Organism]	Term Source REF	Term Accession Number	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue[GENERATION]	FactorValue[GENOTYPE]
GSM363547 1	Homozygous empty vector control (BIG), aerial parts, T3 generation, 18-day-old sample grown on solid MS- medium, one plant per batch was analyzed and taken as a control for K19624.	Gene expression data from aerial parts of rice LBD37 FOX Arabidopsis plants.	Aerial parts of the empty vector control (T3) for rice-Arabidopsis FOX lines, replicate 3	18	days	aerial parts	T3	empty pBIG2113SF vector	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE14646-2	GSM363547 extract 1	total RNA	P-GSE14646-7	GSM363547 LE 1	biotin	P-GSE14646-4	GSM363547	A-AFFY-2	P-GSE14646-5	P-GSE14646-6	GSM363547.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14646/E-GEOD-14646.raw.1.zip	P-GSE14646-1	GSM363547_sample_table.txt norm	GSM363547_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14646/E-GEOD-14646.processed.1.zip	T3	empty pBIG2113SF vector
GSM363546 1	Homozygous empty vector control (BIG), aerial parts, T3 generation, 18-day-old sample grown on solid MS- medium, one plant per batch was analyzed and taken as a control for K19624.	Gene expression data from aerial parts of rice LBD37 FOX Arabidopsis plants.	Aerial parts of the empty vector control (T3) for rice-Arabidopsis FOX lines, replicate 2	18	days	aerial parts	T3	empty pBIG2113SF vector	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE14646-2	GSM363546 extract 1	total RNA	P-GSE14646-7	GSM363546 LE 1	biotin	P-GSE14646-4	GSM363546	A-AFFY-2	P-GSE14646-5	P-GSE14646-6	GSM363546.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14646/E-GEOD-14646.raw.1.zip	P-GSE14646-1	GSM363546_sample_table.txt norm	GSM363546_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14646/E-GEOD-14646.processed.1.zip	T3	empty pBIG2113SF vector
GSM363545 1	Homozygous empty vector control (BIG), aerial parts, T3 generation, 18-day-old sample grown on solid MS- medium, one plant per batch was analyzed and taken as a control for K19624.	Gene expression data from aerial parts of rice LBD37 FOX Arabidopsis plants.	Aerial parts of the empty vector control (T3) for rice-Arabidopsis FOX lines, replicate 1	18	days	aerial parts	T3	empty pBIG2113SF vector	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE14646-2	GSM363545 extract 1	total RNA	P-GSE14646-7	GSM363545 LE 1	biotin	P-GSE14646-4	GSM363545	A-AFFY-2	P-GSE14646-5	P-GSE14646-6	GSM363545.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14646/E-GEOD-14646.raw.1.zip	P-GSE14646-1	GSM363545_sample_table.txt norm	GSM363545_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14646/E-GEOD-14646.processed.1.zip	T3	empty pBIG2113SF vector
GSM363544 1	Homozygous line K19624, aerial parts, T3 generation, 18-day-old sample grown on solid MS- medium, one plant per batch was analyzed.	Gene expression data from aerial parts of rice LBD37 FOX Arabidopsis plants.	Aerial parts of rice-Arabidopsis FOX line K19624, replicate 3	18	days	aerial parts	T3	Oryza sativa LDB37 overexpression	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE14646-2	GSM363544 extract 1	total RNA	P-GSE14646-7	GSM363544 LE 1	biotin	P-GSE14646-4	GSM363544	A-AFFY-2	P-GSE14646-5	P-GSE14646-6	GSM363544.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14646/E-GEOD-14646.raw.1.zip	P-GSE14646-1	GSM363544_sample_table.txt norm	GSM363544_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14646/E-GEOD-14646.processed.1.zip	T3	Oryza sativa LDB37 overexpression
GSM363543 1	Homozygous line K19624, aerial parts, T3 generation, 18-day-old sample grown on solid MS- medium, one plant per batch was analyzed.	Gene expression data from aerial parts of rice LBD37 FOX Arabidopsis plants.	Aerial parts of rice-Arabidopsis FOX line K19624, replicate 2	18	days	aerial parts	T3	Oryza sativa LDB37 overexpression	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE14646-2	GSM363543 extract 1	total RNA	P-GSE14646-7	GSM363543 LE 1	biotin	P-GSE14646-4	GSM363543	A-AFFY-2	P-GSE14646-5	P-GSE14646-6	GSM363543.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14646/E-GEOD-14646.raw.1.zip	P-GSE14646-1	GSM363543_sample_table.txt norm	GSM363543_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14646/E-GEOD-14646.processed.1.zip	T3	Oryza sativa LDB37 overexpression
GSM363542 1	Homozygous line K19624, aerial parts, T3 generation, 18-day-old sample grown on solid MS- medium, one plant per batch was analyzed.	Gene expression data from aerial parts of rice LBD37 FOX Arabidopsis plants.	Aerial parts of rice-Arabidopsis FOX line K19624, replicate 1	18	days	aerial parts	T3	Oryza sativa LDB37 overexpression	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE14646-2	GSM363542 extract 1	total RNA	P-GSE14646-7	GSM363542 LE 1	biotin	P-GSE14646-4	GSM363542	A-AFFY-2	P-GSE14646-5	P-GSE14646-6	GSM363542.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14646/E-GEOD-14646.raw.1.zip	P-GSE14646-1	GSM363542_sample_table.txt norm	GSM363542_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14646/E-GEOD-14646.processed.1.zip	T3	Oryza sativa LDB37 overexpression
GSM363541 1	The empty vector control (BIG), aerial parts, T2 generation, 18-day-old sample grown on solid MS- medium supplemented with 20 mg/l Hygromycin, one plant per batch was analyzed and taken as a control for K16331.	Gene expression data from aerial parts of rice LBD37 FOX Arabidopsis plants.	Aerial parts of the empty vector control for rice-Arabidopsis FOX lines, replicate 3	18	days	aerial parts	T2	empty pBIG2113SF vector	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE14646-2	GSM363541 extract 1	total RNA	P-GSE14646-7	GSM363541 LE 1	biotin	P-GSE14646-4	GSM363541	A-AFFY-2	P-GSE14646-5	P-GSE14646-6	GSM363541.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14646/E-GEOD-14646.raw.1.zip	P-GSE14646-1	GSM363541_sample_table.txt norm	GSM363541_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14646/E-GEOD-14646.processed.1.zip	T2	empty pBIG2113SF vector
GSM363540 1	The empty vector control (BIG), aerial parts, 18-day-old sample grown on solid MS- medium supplemented with 20 mg/l Hygromycin, one plant per batch was analyzed and taken as a control for K16331.	Gene expression data from aerial parts of rice LBD37 FOX Arabidopsis plants.	Aerial parts of the empty vector control for rice-Arabidopsis FOX lines, replicate 2	18	days	aerial parts	T2	empty pBIG2113SF vector	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE14646-2	GSM363540 extract 1	total RNA	P-GSE14646-7	GSM363540 LE 1	biotin	P-GSE14646-4	GSM363540	A-AFFY-2	P-GSE14646-5	P-GSE14646-6	GSM363540.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14646/E-GEOD-14646.raw.1.zip	P-GSE14646-1	GSM363540_sample_table.txt norm	GSM363540_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14646/E-GEOD-14646.processed.1.zip	T2	empty pBIG2113SF vector
GSM363539 1	The empty vector control (BIG), aerial parts, 18-day-old sample grown on solid MS- medium supplemented with 20 mg/l Hygromycin, one plant per batch was analyzed and taken as a control for K16331.	Gene expression data from aerial parts of rice LBD37 FOX Arabidopsis plants.	Aerial parts of the empty vector control for rice-Arabidopsis FOX lines, replicate 1	18	days	aerial parts	T2	empty pBIG2113SF vector	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE14646-2	GSM363539 extract 1	total RNA	P-GSE14646-7	GSM363539 LE 1	biotin	P-GSE14646-4	GSM363539	A-AFFY-2	P-GSE14646-5	P-GSE14646-6	GSM363539.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14646/E-GEOD-14646.raw.1.zip	P-GSE14646-1	GSM363539_sample_table.txt norm	GSM363539_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14646/E-GEOD-14646.processed.1.zip	T2	empty pBIG2113SF vector
GSM363538 1	Line K16331, aerial parts, T2 generation, 18-day-old sample grown on solid MS- medium supplemented with 20 mg/l Hygromycin, two plants were bulked as one batch.	Gene expression data from aerial parts of rice LBD37 FOX Arabidopsis plants.	Aerial parts of rice-Arabidopsis FOX line K16331, replicate 3	18	days	aerial parts	T2	Oryza sativa LDB37 overexpression	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE14646-2	GSM363538 extract 1	total RNA	P-GSE14646-7	GSM363538 LE 1	biotin	P-GSE14646-4	GSM363538	A-AFFY-2	P-GSE14646-5	P-GSE14646-6	GSM363538.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14646/E-GEOD-14646.raw.1.zip	P-GSE14646-1	GSM363538_sample_table.txt norm	GSM363538_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14646/E-GEOD-14646.processed.1.zip	T2	Oryza sativa LDB37 overexpression
GSM363537 1	Line K16331, aerial parts, T2 generation, 18-day-old sample grown on solid MS- medium supplemented with 20 mg/l Hygromycin, two plants were bulked as one batch.	Gene expression data from aerial parts of rice LBD37 FOX Arabidopsis plants.	Aerial parts of rice-Arabidopsis FOX line K16331, replicate 2	18	days	aerial parts	T2	Oryza sativa LDB37 overexpression	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE14646-2	GSM363537 extract 1	total RNA	P-GSE14646-7	GSM363537 LE 1	biotin	P-GSE14646-4	GSM363537	A-AFFY-2	P-GSE14646-5	P-GSE14646-6	GSM363537.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14646/E-GEOD-14646.raw.1.zip	P-GSE14646-1	GSM363537_sample_table.txt norm	GSM363537_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14646/E-GEOD-14646.processed.1.zip	T2	Oryza sativa LDB37 overexpression
GSM361163 1	Line K16331, aerial parts, T2 generation, 18-day-old sample grown on solid MS- medium supplemented with 20 mg/l Hygromycin, two plants were bulked as one batch.	Gene expression data from aerial parts of rice LBD37 FOX Arabidopsis plants.	Aerial parts of rice-Arabidopsis FOX line K16331, replicate 1	18	days	aerial parts	T2	Oryza sativa LDB37 overexpression	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE14646-2	GSM361163 extract 1	total RNA	P-GSE14646-3	GSM361163 LE 1	biotin	P-GSE14646-4	GSM361163	A-AFFY-2	P-GSE14646-5	P-GSE14646-6	GSM361163.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14646/E-GEOD-14646.raw.1.zip	P-GSE14646-1	GSM361163_sample_table.txt norm	GSM361163_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14646/E-GEOD-14646.processed.1.zip	T2	Oryza sativa LDB37 overexpression
