Source Name	Comment [Sample_characteristics]	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[Makino, A., Mae, T., and Ohira, K. (1983). Photosynthesis and Ribulose 1,5-Bisphosphate Carboxylase in Rice Leaves]	Characteristics[Generation]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[OrganismPart]	Characteristics[Genotype]	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [ORGANISM]	Term Source REF	Term Accession Number	FactorValue[GENERATION]	FactorValue[ORGANISM PART]	FactorValue[GENOTYPE]
GSM365268 1	The rice Os-LBD37-overexpressor line RK16331-13, The 5th and 6th leaf blades, T1 generation, Hygromycin- resistant rice seedlings were hydroponically grown (Makino et al., 1983).	Gene expression data from leaf blades of the empty vector control for the rice Os-LBD37-overexpressor.	The 5th and 6th leaf blades of the rice Os-LBD37-overexpressor line RK16331-13, replicate 3	Changes in Photosynthesis and Enzymes Involved in Carbon Assimilation from Leaf Development through Senescence. Plant Physiol 73, 1002-1007.	T1	Oryza sativa	  	  	leaf blade	Os-LBD37 overexpression	P-GSE14663-8	GSM365268 extract 1	total RNA	P-GSE14663-7	GSM365268 LE 1	biotin	P-GSE14663-4	GSM365268	A-AFFY-126	P-GSE14663-5	P-GSE14663-6	GSM365268.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14663/E-GEOD-14663.raw.1.zip	P-GSE14663-1	GSM365268_sample_table.txt norm	GSM365268_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14663/E-GEOD-14663.processed.1.zip	Oryza sativa	  	        	T1	leaf blade	Os-LBD37 overexpression
GSM365267 1	The rice Os-LBD37-overexpressor line RK16331-13, The 5th and 6th leaf blades, T1 generation, Hygromycin- resistant rice seedlings were hydroponically grown (Makino et al., 1983).	Gene expression data from leaf blades of the empty vector control for the rice Os-LBD37-overexpressor.	The 5th and 6th leaf blades of the rice Os-LBD37-overexpressor line RK16331-13, replicate 2	Changes in Photosynthesis and Enzymes Involved in Carbon Assimilation from Leaf Development through Senescence. Plant Physiol 73, 1002-1007.	T1	Oryza sativa	  	  	leaf blade	Os-LBD37 overexpression	P-GSE14663-8	GSM365267 extract 1	total RNA	P-GSE14663-7	GSM365267 LE 1	biotin	P-GSE14663-4	GSM365267	A-AFFY-126	P-GSE14663-5	P-GSE14663-6	GSM365267.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14663/E-GEOD-14663.raw.1.zip	P-GSE14663-1	GSM365267_sample_table.txt norm	GSM365267_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14663/E-GEOD-14663.processed.1.zip	Oryza sativa	  	        	T1	leaf blade	Os-LBD37 overexpression
GSM365266 1	The rice Os-LBD37-overexpressor line RK16331-13, The 5th and 6th leaf blades, T1 generation, Hygromycin- resistant rice seedlings were hydroponically grown (Makino et al., 1983).	Gene expression data from leaf blades of the empty vector control for the rice Os-LBD37-overexpressor.	The 5th and 6th leaf blades of the rice Os-LBD37-overexpressor line RK16331-13, replicate 1	Changes in Photosynthesis and Enzymes Involved in Carbon Assimilation from Leaf Development through Senescence. Plant Physiol 73, 1002-1007.	T1	Oryza sativa	  	  	leaf blade	Os-LBD37 overexpression	P-GSE14663-8	GSM365266 extract 1	total RNA	P-GSE14663-7	GSM365266 LE 1	biotin	P-GSE14663-4	GSM365266	A-AFFY-126	P-GSE14663-5	P-GSE14663-6	GSM365266.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14663/E-GEOD-14663.raw.1.zip	P-GSE14663-1	GSM365266_sample_table.txt norm	GSM365266_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14663/E-GEOD-14663.processed.1.zip	Oryza sativa	  	        	T1	leaf blade	Os-LBD37 overexpression
GSM365263 1	The empty vector control (FOX3), The 5th and 6th leaf blades, T1 generation, Hygromycin- resistant rice seedlings were hydroponically grown (Makino et al., 1983).	Gene expression data from leaf blades of the empty vector control for the rice Os-LBD37-overexpressor.	The 5th and 6th leaf blades of the empty vector control, replicate 3	Changes in Photosynthesis and Enzymes Involved in Carbon Assimilation from Leaf Development through Senescence. Plant Physiol 73, 1002-1007.	T1	Oryza sativa	  	  	leaf blade	empty pRiceFOX vector	P-GSE14663-8	GSM365263 extract 1	total RNA	P-GSE14663-7	GSM365263 LE 1	biotin	P-GSE14663-4	GSM365263	A-AFFY-126	P-GSE14663-5	P-GSE14663-6	GSM365263.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14663/E-GEOD-14663.raw.1.zip	P-GSE14663-1	GSM365263_sample_table.txt norm	GSM365263_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14663/E-GEOD-14663.processed.1.zip	Oryza sativa	  	        	T1	leaf blade	empty pRiceFOX vector
GSM365262 1	The empty vector control (FOX3), The 5th and 6th leaf blades, T1 generation, Hygromycin- resistant rice seedlings were hydroponically grown (Makino et al., 1983).	Gene expression data from leaf blades of the empty vector control for the rice Os-LBD37-overexpressor.	The 5th and 6th leaf blades of the empty vector control, replicate 2	Changes in Photosynthesis and Enzymes Involved in Carbon Assimilation from Leaf Development through Senescence. Plant Physiol 73, 1002-1007.	T1	Oryza sativa	  	  	leaf blade	empty pRiceFOX vector	P-GSE14663-8	GSM365262 extract 1	total RNA	P-GSE14663-7	GSM365262 LE 1	biotin	P-GSE14663-4	GSM365262	A-AFFY-126	P-GSE14663-5	P-GSE14663-6	GSM365262.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14663/E-GEOD-14663.raw.1.zip	P-GSE14663-1	GSM365262_sample_table.txt norm	GSM365262_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14663/E-GEOD-14663.processed.1.zip	Oryza sativa	  	        	T1	leaf blade	empty pRiceFOX vector
GSM365260 1	The empty vector control (FOX3), The 5th and 6th leaf blades, T1 generation, Hygromycin- resistant rice seedlings were hydroponically grown (Makino et al., 1983).	Gene expression data from leaf blades of the empty vector control for the rice Os-LBD37-overexpressor.	The 5th and 6th leaf blades of the empty vector control, replicate 1	Changes in Photosynthesis and Enzymes Involved in Carbon Assimilation from Leaf Development through Senescence. Plant Physiol 73, 1002-1007.	T1	Oryza sativa	  	  	leaf blade	empty pRiceFOX vector	P-GSE14663-8	GSM365260 extract 1	total RNA	P-GSE14663-7	GSM365260 LE 1	biotin	P-GSE14663-4	GSM365260	A-AFFY-126	P-GSE14663-5	P-GSE14663-6	GSM365260.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14663/E-GEOD-14663.raw.1.zip	P-GSE14663-1	GSM365260_sample_table.txt norm	GSM365260_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14663/E-GEOD-14663.processed.1.zip	Oryza sativa	  	        	T1	leaf blade	empty pRiceFOX vector
GSM363547 1	Homozygous empty vector control (BIG), aerial parts, T3 generation, 18-day-old sample grown on solid MS- medium, one plant per batch was analyzed and taken as a control for K19624.	Gene expression data from aerial parts of rice LBD37 FOX Arabidopsis plants.	Aerial parts of the empty vector control (T3) for rice-Arabidopsis FOX lines, replicate 3	  	T3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	aerial parts	pBIG2113SF	P-GSE14663-2	GSM363547 extract 1	total RNA	P-GSE14663-7	GSM363547 LE 1	biotin	P-GSE14663-4	GSM363547	A-AFFY-2	P-GSE14663-5	P-GSE14663-6	GSM363547.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14663/E-GEOD-14663.raw.1.zip	P-GSE14663-1	GSM363547_sample_table.txt norm	GSM363547_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14663/E-GEOD-14663.processed.1.zip	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T3	aerial parts	pBIG2113SF
GSM363546 1	Homozygous empty vector control (BIG), aerial parts, T3 generation, 18-day-old sample grown on solid MS- medium, one plant per batch was analyzed and taken as a control for K19624.	Gene expression data from aerial parts of rice LBD37 FOX Arabidopsis plants.	Aerial parts of the empty vector control (T3) for rice-Arabidopsis FOX lines, replicate 2	  	T3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	aerial parts	pBIG2113SF	P-GSE14663-2	GSM363546 extract 1	total RNA	P-GSE14663-7	GSM363546 LE 1	biotin	P-GSE14663-4	GSM363546	A-AFFY-2	P-GSE14663-5	P-GSE14663-6	GSM363546.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14663/E-GEOD-14663.raw.1.zip	P-GSE14663-1	GSM363546_sample_table.txt norm	GSM363546_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14663/E-GEOD-14663.processed.1.zip	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T3	aerial parts	pBIG2113SF
GSM363545 1	Homozygous empty vector control (BIG), aerial parts, T3 generation, 18-day-old sample grown on solid MS- medium, one plant per batch was analyzed and taken as a control for K19624.	Gene expression data from aerial parts of rice LBD37 FOX Arabidopsis plants.	Aerial parts of the empty vector control (T3) for rice-Arabidopsis FOX lines, replicate 1	  	T3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	aerial parts	pBIG2113SF	P-GSE14663-2	GSM363545 extract 1	total RNA	P-GSE14663-7	GSM363545 LE 1	biotin	P-GSE14663-4	GSM363545	A-AFFY-2	P-GSE14663-5	P-GSE14663-6	GSM363545.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14663/E-GEOD-14663.raw.1.zip	P-GSE14663-1	GSM363545_sample_table.txt norm	GSM363545_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14663/E-GEOD-14663.processed.1.zip	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T3	aerial parts	pBIG2113SF
GSM363544 1	Homozygous line K19624, aerial parts, T3 generation, 18-day-old sample grown on solid MS- medium, one plant per batch was analyzed.	Gene expression data from aerial parts of rice LBD37 FOX Arabidopsis plants.	Aerial parts of rice-Arabidopsis FOX line K19624, replicate 3	  	T3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	aerial parts	Os-LBD37 overexpression	P-GSE14663-2	GSM363544 extract 1	total RNA	P-GSE14663-7	GSM363544 LE 1	biotin	P-GSE14663-4	GSM363544	A-AFFY-2	P-GSE14663-5	P-GSE14663-6	GSM363544.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14663/E-GEOD-14663.raw.1.zip	P-GSE14663-1	GSM363544_sample_table.txt norm	GSM363544_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14663/E-GEOD-14663.processed.1.zip	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T3	aerial parts	Os-LBD37 overexpression
