Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [ecotype]	Characteristics [developmental stage]	Term Source REF	Term Accession Number	Description	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[growth condition]
GSE1491GSM25872	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	7 day old light grown seedlings from liquid culture treated with 10 microM Compound B for 1 h.	GSE1491GSM25872 sample	GSE1491GSM25872 extract	total_RNA	GSE1491GSM25872 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	B Treated - 3	A-AFFY-2	P-AFFY-6	B Treated - 3	GSM25872.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1491/E-GEOD-1491.raw.1.zip	E-GEOD-1491-processed-data-1449518310.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1491/E-GEOD-1491.processed.1.zip	4-thiazolidione appended with derivatized acetic acid
GSE1491GSM25871	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	7 day old light grown seedlings from liquid culture treated with 10 microM Compound B for 1 h.	GSE1491GSM25871 sample	GSE1491GSM25871 extract	total_RNA	GSE1491GSM25871 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	B Treated - 2	A-AFFY-2	P-AFFY-6	B Treated - 2	GSM25871.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1491/E-GEOD-1491.raw.1.zip	E-GEOD-1491-processed-data-1449518310.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1491/E-GEOD-1491.processed.1.zip	4-thiazolidione appended with derivatized acetic acid
GSE1491GSM25870	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	7 day old light grown seedlings from liquid culture treated with 10 microM Compound B for 1 h.	GSE1491GSM25870 sample	GSE1491GSM25870 extract	total_RNA	GSE1491GSM25870 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	B Treated - 1	A-AFFY-2	P-AFFY-6	B Treated - 1	GSM25870.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1491/E-GEOD-1491.raw.1.zip	E-GEOD-1491-processed-data-1449518310.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1491/E-GEOD-1491.processed.1.zip	4-thiazolidione appended with derivatized acetic acid
GSE1491GSM25869	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	7 day old light grown seedlings from liquid culture treated with 10 microM Compound A for 1 h.	GSE1491GSM25869 sample	GSE1491GSM25869 extract	total_RNA	GSE1491GSM25869 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	A Treated - 4	A-AFFY-2	P-AFFY-6	A Treated - 4	GSM25869.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1491/E-GEOD-1491.raw.1.zip	E-GEOD-1491-processed-data-1449518310.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1491/E-GEOD-1491.processed.1.zip	furyl acrylate ester of thiadazole heterocycle
GSE1491GSM25866	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	7 day old light grown seedlings from liquid culture treated with 10 microM Compound A for 1 h.	GSE1491GSM25866 sample	GSE1491GSM25866 extract	total_RNA	GSE1491GSM25866 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	A Treated - 1	A-AFFY-2	P-AFFY-6	A Treated - 1	GSM25866.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1491/E-GEOD-1491.raw.1.zip	E-GEOD-1491-processed-data-1449518310.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1491/E-GEOD-1491.processed.1.zip	furyl acrylate ester of thiadazole heterocycle
GSE1491GSM25868	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	7 day old light grown seedlings from liquid culture treated with 10 microM Compound A for 1 h.	GSE1491GSM25868 sample	GSE1491GSM25868 extract	total_RNA	GSE1491GSM25868 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	A treated - 3	A-AFFY-2	P-AFFY-6	A treated - 3	GSM25868.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1491/E-GEOD-1491.raw.1.zip	E-GEOD-1491-processed-data-1449518310.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1491/E-GEOD-1491.processed.1.zip	furyl acrylate ester of thiadazole heterocycle
GSE1491GSM25867	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	7 day old light grown seedlings from liquid culture treated with 10 microM Compound A for 1 h.	GSE1491GSM25867 sample	GSE1491GSM25867 extract	total_RNA	GSE1491GSM25867 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	A Treated - 2	A-AFFY-2	P-AFFY-6	A Treated - 2	GSM25867.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1491/E-GEOD-1491.raw.1.zip	E-GEOD-1491-processed-data-1449518310.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1491/E-GEOD-1491.processed.1.zip	furyl acrylate ester of thiadazole heterocycle
GSE1491GSM25863	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	7 day old light grown seedlings from liquid culture treated with 5 microM IAA for 1 h.	GSE1491GSM25863 sample	GSE1491GSM25863 extract	total_RNA	GSE1491GSM25863 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	IAA Treated - 2	A-AFFY-2	P-AFFY-6	IAA Treated - 2	GSM25863.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1491/E-GEOD-1491.raw.1.zip	E-GEOD-1491-processed-data-1449518310.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1491/E-GEOD-1491.processed.1.zip	indole-3-acetic acid
GSE1491GSM25862	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	7 day old light grown seedlings from liquid culture treated with 5 microM IAA for 1 h.	GSE1491GSM25862 sample	GSE1491GSM25862 extract	total_RNA	GSE1491GSM25862 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	IAA treated - 1	A-AFFY-2	P-AFFY-6	IAA treated - 1	GSM25862.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1491/E-GEOD-1491.raw.1.zip	E-GEOD-1491-processed-data-1449518310.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1491/E-GEOD-1491.processed.1.zip	indole-3-acetic acid
GSE1491GSM25864	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	7 day old light grown seedlings from liquid culture treated with 5 microM IAA for 1 h.	GSE1491GSM25864 sample	GSE1491GSM25864 extract	total_RNA	GSE1491GSM25864 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	IAA Treated - 3	A-AFFY-2	P-AFFY-6	IAA Treated - 3	GSM25864.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1491/E-GEOD-1491.raw.1.zip	E-GEOD-1491-processed-data-1449518310.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1491/E-GEOD-1491.processed.1.zip	indole-3-acetic acid
GSE1491GSM25865	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	7 day old light grown seedlings from liquid culture treated with 5 microM IAA for 1 h.	GSE1491GSM25865 sample	GSE1491GSM25865 extract	total_RNA	GSE1491GSM25865 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	IAA Treated - 4	A-AFFY-2	P-AFFY-6	IAA Treated - 4	GSM25865.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1491/E-GEOD-1491.raw.1.zip	E-GEOD-1491-processed-data-1449518310.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1491/E-GEOD-1491.processed.1.zip	indole-3-acetic acid
GSE1491GSM25875	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	7 day old light grown seedlings from liquid culture simultaneously treated with 10 microM Compound A and 5 microM IAA for 1 h.	GSE1491GSM25875 sample	GSE1491GSM25875 extract	total_RNA	GSE1491GSM25875 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	IAA/A Treated - 3	A-AFFY-2	P-AFFY-6	IAA/A Treated - 3	GSM25875.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1491/E-GEOD-1491.raw.1.zip	E-GEOD-1491-processed-data-1449518310.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1491/E-GEOD-1491.processed.1.zip	indole-3-acetic acid and furyl acrylate ester of thiadazole heterocycle
GSE1491GSM25877	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	7 day old light grown seedlings from liquid culture simultaneously treated with 10 microM Compound B and 5 microM IAA for 1 h.	GSE1491GSM25877 sample	GSE1491GSM25877 extract	total_RNA	GSE1491GSM25877 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	IAA/B Treated - 2	A-AFFY-2	P-AFFY-6	IAA/B Treated - 2	GSM25877.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1491/E-GEOD-1491.raw.1.zip	E-GEOD-1491-processed-data-1449518310.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1491/E-GEOD-1491.processed.1.zip	indole-3-acetic acid and 4-thiazolidione appended with derivatized acetic acid
GSE1491GSM25876	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	7 day old light grown seedlings from liquid culture simultaneously treated with 10 microM Compound B and 5 microM IAA for 1 h.	GSE1491GSM25876 sample	GSE1491GSM25876 extract	total_RNA	GSE1491GSM25876 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	IAA/B Treated - 1	A-AFFY-2	P-AFFY-6	IAA/B Treated - 1	GSM25876.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1491/E-GEOD-1491.raw.1.zip	E-GEOD-1491-processed-data-1449518310.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1491/E-GEOD-1491.processed.1.zip	indole-3-acetic acid and 4-thiazolidione appended with derivatized acetic acid
