Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[organism]	Characteristics[organism part]	Characteristics[age]	Unit[time unit]	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue[growth condition]	FactorValue[time]	Unit[time unit]
GSM379263 1	gene expression data from arabidopsis roots under iron deficiency medium	Arabidopsis plants in iron minus medium, 24 h	Arabidopsis thaliana	root	30	day	P-GSE15189-2	GSM379263 extract 1	total RNA	P-GSE15189-3	GSM379263 LE 1	biotin	P-GSE15189-4	GSM379263	A-AFFY-2	P-GSE15189-5	P-GSE15189-6	GSM379263.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15189/E-GEOD-15189.raw.1.zip	P-GSE15189-1	GSM379263_sample_table.txt norm	GSM379263_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15189/E-GEOD-15189.processed.1.zip	iron deprivation	24	hour
GSM379262 1	gene expression data from arabidopsis roots under iron deficiency medium	Arabidopsis plants in iron minus medium, 24 h	Arabidopsis thaliana	root	30	day	P-GSE15189-2	GSM379262 extract 1	total RNA	P-GSE15189-3	GSM379262 LE 1	biotin	P-GSE15189-4	GSM379262	A-AFFY-2	P-GSE15189-5	P-GSE15189-6	GSM379262.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15189/E-GEOD-15189.raw.1.zip	P-GSE15189-1	GSM379262_sample_table.txt norm	GSM379262_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15189/E-GEOD-15189.processed.1.zip	iron deprivation	24	hour
GSM379261 1	gene expression data from arabidopsis roots under iron efficiency medium	Arabidopsis plants in iron plus medium, 24 h	Arabidopsis thaliana	root	30	day	P-GSE15189-2	GSM379261 extract 1	total RNA	P-GSE15189-3	GSM379261 LE 1	biotin	P-GSE15189-4	GSM379261	A-AFFY-2	P-GSE15189-5	P-GSE15189-6	GSM379261.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15189/E-GEOD-15189.raw.1.zip	P-GSE15189-1	GSM379261_sample_table.txt norm	GSM379261_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15189/E-GEOD-15189.processed.1.zip	control	24	hour
GSM379260 1	gene expression data from arabidopsis roots under iron efficiency medium	Arabidopsis plants in iron plus medium, 24 h	Arabidopsis thaliana	root	30	day	P-GSE15189-2	GSM379260 extract 1	total RNA	P-GSE15189-3	GSM379260 LE 1	biotin	P-GSE15189-4	GSM379260	A-AFFY-2	P-GSE15189-5	P-GSE15189-6	GSM379260.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15189/E-GEOD-15189.raw.1.zip	P-GSE15189-1	GSM379260_sample_table.txt norm	GSM379260_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15189/E-GEOD-15189.processed.1.zip	control	24	hour
GSM379259 1	gene expression data from arabidopsis roots under iron deficiency medium	Arabidopsis plants in iron minus medium, 6 h	Arabidopsis thaliana	root	30	day	P-GSE15189-2	GSM379259 extract 1	total RNA	P-GSE15189-3	GSM379259 LE 1	biotin	P-GSE15189-4	GSM379259	A-AFFY-2	P-GSE15189-5	P-GSE15189-6	GSM379259.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15189/E-GEOD-15189.raw.1.zip	P-GSE15189-1	GSM379259_sample_table.txt norm	GSM379259_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15189/E-GEOD-15189.processed.1.zip	iron deprivation	6	hour
GSM379258 1	gene expression data from arabidopsis roots under iron deficiency medium	Arabidopsis plants in iron minus medium, 6 h	Arabidopsis thaliana	root	30	day	P-GSE15189-2	GSM379258 extract 1	total RNA	P-GSE15189-3	GSM379258 LE 1	biotin	P-GSE15189-4	GSM379258	A-AFFY-2	P-GSE15189-5	P-GSE15189-6	GSM379258.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15189/E-GEOD-15189.raw.1.zip	P-GSE15189-1	GSM379258_sample_table.txt norm	GSM379258_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15189/E-GEOD-15189.processed.1.zip	iron deprivation	6	hour
GSM379257 1	gene expression data from arabidopsis roots under iron deficiency medium	Arabidopsis plants in iron minus medium, 6 h	Arabidopsis thaliana	root	30	day	P-GSE15189-2	GSM379257 extract 1	total RNA	P-GSE15189-3	GSM379257 LE 1	biotin	P-GSE15189-4	GSM379257	A-AFFY-2	P-GSE15189-5	P-GSE15189-6	GSM379257.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15189/E-GEOD-15189.raw.1.zip	P-GSE15189-1	GSM379257_sample_table.txt norm	GSM379257_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15189/E-GEOD-15189.processed.1.zip	iron deprivation	6	hour
GSM379256 1	gene expression data from arabidopsis roots under iron efficiency medium	Arabidopsis plants in iron plus medium, 6 h	Arabidopsis thaliana	root	30	day	P-GSE15189-2	GSM379256 extract 1	total RNA	P-GSE15189-3	GSM379256 LE 1	biotin	P-GSE15189-4	GSM379256	A-AFFY-2	P-GSE15189-5	P-GSE15189-6	GSM379256.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15189/E-GEOD-15189.raw.1.zip	P-GSE15189-1	GSM379256_sample_table.txt norm	GSM379256_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15189/E-GEOD-15189.processed.1.zip	control	6	hour
GSM379255 1	gene expression data from arabidopsis roots under iron efficiency medium	Arabidopsis plants in iron plus medium, 6 h	Arabidopsis thaliana	root	30	day	P-GSE15189-2	GSM379255 extract 1	total RNA	P-GSE15189-3	GSM379255 LE 1	biotin	P-GSE15189-4	GSM379255	A-AFFY-2	P-GSE15189-5	P-GSE15189-6	GSM379255.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15189/E-GEOD-15189.raw.1.zip	P-GSE15189-1	GSM379255_sample_table.txt norm	GSM379255_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15189/E-GEOD-15189.processed.1.zip	control	6	hour
GSM379254 1	gene expression data from arabidopsis roots under iron efficiency medium	Arabidopsis plants in iron plus medium, 6 h	Arabidopsis thaliana	root	30	day	P-GSE15189-2	GSM379254 extract 1	total RNA	P-GSE15189-3	GSM379254 LE 1	biotin	P-GSE15189-4	GSM379254	A-AFFY-2	P-GSE15189-5	P-GSE15189-6	GSM379254.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15189/E-GEOD-15189.raw.1.zip	P-GSE15189-1	GSM379254_sample_table.txt norm	GSM379254_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15189/E-GEOD-15189.processed.1.zip	control	6	hour
