Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [mutant]	Characteristics [cultivar]	Comment [Sample_source_name]	Comment [Sample_description]	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Factor Value [MUTANT]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
GSM389770 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	MYO-OX	  	vegetative rosettes, myoox, watered	Biological replicate 1 of 2.	P-GSE15577-3	P-GSE15577-2	GSM389770 extract 1	total_RNA	P-GSE15577-4	GSM389770 LE 1	biotin	unknown	P-GSE15577-5	P-GSE15577-6	GSM389770	A-AFFY-2	P-GSE15577-7	MYO-OX	GSM389770.CEL	GSM389770.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15577/E-GEOD-15577.raw.1.zip	P-GSE15577-1	E-GEOD-15577-processed-data-2485715543.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15577/E-GEOD-15577.processed.1.zip
GSM389777 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	MYO-OX	  	vegetative rosettes, myoox, water deficit	Biological replicate 2 of 2.	P-GSE15577-3	P-GSE15577-8	GSM389777 extract 1	total_RNA	P-GSE15577-4	GSM389777 LE 1	biotin	unknown	P-GSE15577-5	P-GSE15577-6	GSM389777	A-AFFY-2	P-GSE15577-7	MYO-OX	GSM389777.CEL	GSM389777.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15577/E-GEOD-15577.raw.1.zip	P-GSE15577-1	E-GEOD-15577-processed-data-2485715543.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15577/E-GEOD-15577.processed.1.zip
GSM389768 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	ATX1	  	vegetative rosettes, atx, watered	Biological replicate 1 of 2.	P-GSE15577-3	P-GSE15577-2	GSM389768 extract 1	total_RNA	P-GSE15577-4	GSM389768 LE 1	biotin	unknown	P-GSE15577-5	P-GSE15577-6	GSM389768	A-AFFY-2	P-GSE15577-7	ATX1	GSM389768.CEL	GSM389768.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15577/E-GEOD-15577.raw.1.zip	P-GSE15577-1	E-GEOD-15577-processed-data-2485715543.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15577/E-GEOD-15577.processed.1.zip
GSM389771 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	MYO-OX	  	vegetative rosettes, myoox, watered	Biological replicate 2 of 2.	P-GSE15577-3	P-GSE15577-2	GSM389771 extract 1	total_RNA	P-GSE15577-4	GSM389771 LE 1	biotin	unknown	P-GSE15577-5	P-GSE15577-6	GSM389771	A-AFFY-2	P-GSE15577-7	MYO-OX	GSM389771.CEL	GSM389771.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15577/E-GEOD-15577.raw.1.zip	P-GSE15577-1	E-GEOD-15577-processed-data-2485715543.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15577/E-GEOD-15577.processed.1.zip
GSM389775 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	ATX1	  	vegetative rosettes, atx, water deficit	Biological replicate 2 of 2.	P-GSE15577-3	P-GSE15577-8	GSM389775 extract 1	total_RNA	P-GSE15577-4	GSM389775 LE 1	biotin	unknown	P-GSE15577-5	P-GSE15577-6	GSM389775	A-AFFY-2	P-GSE15577-7	ATX1	GSM389775.CEL	GSM389775.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15577/E-GEOD-15577.raw.1.zip	P-GSE15577-1	E-GEOD-15577-processed-data-2485715543.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15577/E-GEOD-15577.processed.1.zip
GSM389772 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	Columbia-0	vegetative rosettes, wildtype, water deficit	Biological replicate 1 of 2.	P-GSE15577-3	P-GSE15577-8	GSM389772 extract 1	total_RNA	P-GSE15577-4	GSM389772 LE 1	biotin	unknown	P-GSE15577-5	P-GSE15577-6	GSM389772	A-AFFY-2	P-GSE15577-7	not specified	GSM389772.CEL	GSM389772.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15577/E-GEOD-15577.raw.1.zip	P-GSE15577-1	E-GEOD-15577-processed-data-2485715543.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15577/E-GEOD-15577.processed.1.zip
GSM389774 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	ATX1	  	vegetative rosettes, atx, water deficit	Biological replicate 1 of 2.	P-GSE15577-3	P-GSE15577-8	GSM389774 extract 1	total_RNA	P-GSE15577-4	GSM389774 LE 1	biotin	unknown	P-GSE15577-5	P-GSE15577-6	GSM389774	A-AFFY-2	P-GSE15577-7	ATX1	GSM389774.CEL	GSM389774.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15577/E-GEOD-15577.raw.1.zip	P-GSE15577-1	E-GEOD-15577-processed-data-2485715543.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15577/E-GEOD-15577.processed.1.zip
GSM389773 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	Columbia-0	vegetative rosettes, wildtype, water deficit	Biological replicate 2 of 2.	P-GSE15577-3	P-GSE15577-8	GSM389773 extract 1	total_RNA	P-GSE15577-4	GSM389773 LE 1	biotin	unknown	P-GSE15577-5	P-GSE15577-6	GSM389773	A-AFFY-2	P-GSE15577-7	not specified	GSM389773.CEL	GSM389773.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15577/E-GEOD-15577.raw.1.zip	P-GSE15577-1	E-GEOD-15577-processed-data-2485715543.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15577/E-GEOD-15577.processed.1.zip
GSM389776 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	MYO-OX	  	vegetative rosettes, myoox, water deficit	Biological replicate 1 of 2.	P-GSE15577-3	P-GSE15577-8	GSM389776 extract 1	total_RNA	P-GSE15577-4	GSM389776 LE 1	biotin	unknown	P-GSE15577-5	P-GSE15577-6	GSM389776	A-AFFY-2	P-GSE15577-7	MYO-OX	GSM389776.CEL	GSM389776.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15577/E-GEOD-15577.raw.1.zip	P-GSE15577-1	E-GEOD-15577-processed-data-2485715543.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15577/E-GEOD-15577.processed.1.zip
GSM389767 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	Columbia-0	vegetative rosettes, wildtype, watered	Biological replicate 2 of 2.	P-GSE15577-3	P-GSE15577-2	GSM389767 extract 1	total_RNA	P-GSE15577-4	GSM389767 LE 1	biotin	unknown	P-GSE15577-5	P-GSE15577-6	GSM389767	A-AFFY-2	P-GSE15577-7	not specified	GSM389767.CEL	GSM389767.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15577/E-GEOD-15577.raw.1.zip	P-GSE15577-1	E-GEOD-15577-processed-data-2485715543.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15577/E-GEOD-15577.processed.1.zip
