Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[organism]	Characteristics[age]	Unit[time unit]	Characteristics[developmental stage]	Characteristics[genotype]	Characteristics[ecotype]	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue[genotype]	FactorValue [temperature]	Unit[temperature unit]
GSM392694 1	"tfl1-1 seeds were sterilized overnight by exposure to clorine vapour in a close container. Afterwards seeds were plated on MS salts, Agar 1.2%, and stratified for 3 days in the dark at 4ºC. Plates were moved to a plant incubator and grown for ten days at 23ºC, under continuous cool fluorescent light of 80 micromoles/sec m2. Then seedlings were harvested an inmediately frozen in liquid nitrogen"	"10-day old tfl1-1 seedlings, grown on MS salts agar plates, at 23ºC under continuous cool-white fluorescent light, 80 micromoles/sec m2"	Arabidopsis thaliana	10	day	seedling	tfl1-1	Columbia	P-GSE15689-18	P-GSE15689-19	P-GSE15689-20	P-GSE15689-28	P-GSE15689-22	GSM392694 extract 1	total RNA	P-GSE15689-23	GSM392694 LE 1	biotin	P-GSE15689-24	GSM392694	A-AFFY-2	P-GSE15689-25	P-GSE15689-26	GSM392694.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15689/E-GEOD-15689.raw.1.zip	P-GSE15689-17	GSM392694_sample_table.txt norm	GSM392694_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15689/E-GEOD-15689.processed.1.zip	tfl1-1	23	degree celsius
GSM392693 1	"tfl1-1 seeds were sterilized overnight by exposure to clorine vapour in a close container. Afterwards seeds were plated on MS salts, Agar 1.2%, and stratified for 3 days in the dark at 4ºC. Plates were moved to a plant incubator and grown for ten days at 23ºC, under continuous cool fluorescent light of 80 micromoles/sec m2. Then seedlings were harvested an inmediately frozen in liquid nitrogen"	"10-day old tfl1-1 seedlings, grown on MS salts agar plates, at 23ºC under continuous cool-white fluorescent light, 80 micromoles/sec m2"	Arabidopsis thaliana	10	day	seedling	tfl1-1	Columbia	P-GSE15689-18	P-GSE15689-19	P-GSE15689-20	P-GSE15689-28	P-GSE15689-22	GSM392693 extract 1	total RNA	P-GSE15689-23	GSM392693 LE 1	biotin	P-GSE15689-24	GSM392693	A-AFFY-2	P-GSE15689-25	P-GSE15689-26	GSM392693.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15689/E-GEOD-15689.raw.1.zip	P-GSE15689-16	GSM392693_sample_table.txt norm	GSM392693_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15689/E-GEOD-15689.processed.1.zip	tfl1-1	23	degree celsius
GSM392692 1	"tfl1-1 seeds were sterilized overnight by exposure to clorine vapour in a close container. Afterwards seeds were plated on MS salts, Agar 1.2%, and stratified for 3 days in the dark at 4ºC. Plates were moved to a plant incubator and grown for ten days at 23ºC, under continuous cool fluorescent light of 80 micromoles/sec m2. Then seedlings were harvested an inmediately frozen in liquid nitrogen"	"10-day old tfl1-1 seedlings, grown on MS salts agar plates, at 23ºC under continuous cool-white fluorescent light, 80 micromoles/sec m2"	Arabidopsis thaliana	10	day	seedling	tfl1-1	Columbia	P-GSE15689-18	P-GSE15689-19	P-GSE15689-20	P-GSE15689-28	P-GSE15689-22	GSM392692 extract 1	total RNA	P-GSE15689-23	GSM392692 LE 1	biotin	P-GSE15689-24	GSM392692	A-AFFY-2	P-GSE15689-25	P-GSE15689-26	GSM392692.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15689/E-GEOD-15689.raw.1.zip	P-GSE15689-15	GSM392692_sample_table.txt norm	GSM392692_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15689/E-GEOD-15689.processed.1.zip	tfl1-1	23	degree celsius
GSM392691 1	"elf3-7 seeds were sterilized overnight by exposure to clorine vapour in a close container. Afterwards seeds were plated on MS salts, Agar 1.2%, and stratified for 3 days in the dark at 4ºC. Plates were moved to a plant incubator and grown for ten days at 23ºC, under continuous cool fluorescent light of 80 micromoles/sec m2. Then seedlings were harvested an inmediately frozen in liquid nitrogen"	"10-day old elf3-7 seedlings, grown on MS salts agar plates, at 23ºC under continuous cool-white fluorescent light, 80 micromoles/sec m2"	Arabidopsis thaliana	10	day	seedling	elf3-7	Columbia	P-GSE15689-18	P-GSE15689-19	P-GSE15689-20	P-GSE15689-28	P-GSE15689-22	GSM392691 extract 1	total RNA	P-GSE15689-23	GSM392691 LE 1	biotin	P-GSE15689-24	GSM392691	A-AFFY-2	P-GSE15689-25	P-GSE15689-26	GSM392691.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15689/E-GEOD-15689.raw.1.zip	P-GSE15689-14	GSM392691_sample_table.txt norm	GSM392691_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15689/E-GEOD-15689.processed.1.zip	elf3-7	23	degree celsius
GSM392690 1	"elf3-7 seeds were sterilized overnight by exposure to clorine vapour in a close container. Afterwards seeds were plated on MS salts, Agar 1.2%, and stratified for 3 days in the dark at 4ºC. Plates were moved to a plant incubator and grown for ten days at 23ºC, under continuous cool fluorescent light of 80 micromoles/sec m2. Then seedlings were harvested an inmediately frozen in liquid nitrogen"	"10-day old elf3-7 seedlings, grown on MS salts agar plates, at 23ºC under continuous cool-white fluorescent light, 80 micromoles/sec m2"	Arabidopsis thaliana	10	day	seedling	elf3-7	Columbia	P-GSE15689-18	P-GSE15689-19	P-GSE15689-20	P-GSE15689-28	P-GSE15689-22	GSM392690 extract 1	total RNA	P-GSE15689-23	GSM392690 LE 1	biotin	P-GSE15689-24	GSM392690	A-AFFY-2	P-GSE15689-25	P-GSE15689-26	GSM392690.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15689/E-GEOD-15689.raw.1.zip	P-GSE15689-4	GSM392690_sample_table.txt norm	GSM392690_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15689/E-GEOD-15689.processed.1.zip	elf3-7	23	degree celsius
GSM392689 1	"elf3-7 seeds were sterilized overnight by exposure to clorine vapour in a close container. Afterwards seeds were plated on MS salts, Agar 1.2%, and stratified for 3 days in the dark at 4ºC. Plates were moved to a plant incubator and grown for ten days at 23ºC, under continuous cool fluorescent light of 80 micromoles/sec m2. Then seedlings were harvested an inmediately frozen in liquid nitrogen"	"10-day old elf3-7 seedlings, grown on MS salts agar plates, at 23ºC under continuous cool-white fluorescent light, 80 micromoles/sec m2"	Arabidopsis thaliana	10	day	seedling	elf3-7	Columbia	P-GSE15689-18	P-GSE15689-19	P-GSE15689-20	P-GSE15689-28	P-GSE15689-22	GSM392689 extract 1	total RNA	P-GSE15689-23	GSM392689 LE 1	biotin	P-GSE15689-24	GSM392689	A-AFFY-2	P-GSE15689-25	P-GSE15689-26	GSM392689.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15689/E-GEOD-15689.raw.1.zip	P-GSE15689-13	GSM392689_sample_table.txt norm	GSM392689_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15689/E-GEOD-15689.processed.1.zip	elf3-7	23	degree celsius
GSM392688 1	"elf3-7 seeds were sterilized overnight by exposure to clorine vapour in a close container. Afterwards seeds were plated on MS salts, Agar 1.2%, and stratified for 3 days in the dark at 4ºC. Plates were moved to a plant incubator and grown for ten days at 16ºC, under continuous cool fluorescent light of 80 micromoles/sec m2. Then seedlings were harvested an inmediately frozen in liquid nitrogen"	"10-day old elf3-7 seedlings, grown on MS salts agar plates, at 16ºC under continuous cool-white fluorescent light, 80 micromoles/sec m2"	Arabidopsis thaliana	10	day	seedling	elf3-7	Columbia	P-GSE15689-18	P-GSE15689-19	P-GSE15689-20	P-GSE15689-21	P-GSE15689-22	GSM392688 extract 1	total RNA	P-GSE15689-23	GSM392688 LE 1	biotin	P-GSE15689-24	GSM392688	A-AFFY-2	P-GSE15689-25	P-GSE15689-26	GSM392688.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15689/E-GEOD-15689.raw.1.zip	P-GSE15689-12	GSM392688_sample_table.txt norm	GSM392688_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15689/E-GEOD-15689.processed.1.zip	elf3-7	16	degree celsius
GSM392687 1	"WT Col seeds were sterilized overnight by exposure to clorine vapour in a close container. Afterwards seeds were plated on MS salts, Agar 1.2%, and stratified for 3 days in the dark at 4ºC. Plates were moved to a plant incubator and grown for ten days at 23ºC, under continuous cool fluorescent light of 80 micromoles/sec m2. Then seedlings were harvested an inmediately frozen in liquid nitrogen"	"10-day old WT Col seedlings, grown on MS salts agar plates, at 23ºC under continuous cool-white fluorescent light, 80 micromoles/sec m2"	Arabidopsis thaliana	10	day	seedling	wild type	Columbia	P-GSE15689-18	P-GSE15689-19	P-GSE15689-20	P-GSE15689-28	P-GSE15689-22	GSM392687 extract 1	total RNA	P-GSE15689-23	GSM392687 LE 1	biotin	P-GSE15689-24	GSM392687	A-AFFY-2	P-GSE15689-25	P-GSE15689-26	GSM392687.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15689/E-GEOD-15689.raw.1.zip	P-GSE15689-11	GSM392687_sample_table.txt norm	GSM392687_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15689/E-GEOD-15689.processed.1.zip	wild type	23	degree celsius
GSM392686 1	"WT Col seeds were sterilized overnight by exposure to clorine vapour in a close container. Afterwards seeds were plated on MS salts, Agar 1.2%, and stratified for 3 days in the dark at 4ºC. Plates were moved to a plant incubator and grown for ten days at 23ºC, under continuous cool fluorescent light of 80 micromoles/sec m2. Then seedlings were harvested an inmediately frozen in liquid nitrogen"	"10-day old WT Col seedlings, grown on MS salts agar plates, at 23ºC under continuous cool-white fluorescent light, 80 micromoles/sec m2"	Arabidopsis thaliana	10	day	seedling	wild type	Columbia	P-GSE15689-18	P-GSE15689-19	P-GSE15689-20	P-GSE15689-28	P-GSE15689-22	GSM392686 extract 1	total RNA	P-GSE15689-23	GSM392686 LE 1	biotin	P-GSE15689-24	GSM392686	A-AFFY-2	P-GSE15689-25	P-GSE15689-26	GSM392686.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15689/E-GEOD-15689.raw.1.zip	P-GSE15689-10	GSM392686_sample_table.txt norm	GSM392686_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15689/E-GEOD-15689.processed.1.zip	wild type	23	degree celsius
GSM392685 1	"WT Col seeds were sterilized overnight by exposure to clorine vapour in a close container. Afterwards seeds were plated on MS salts, Agar 1.2%, and stratified for 3 days in the dark at 4ºC. Plates were moved to a plant incubator and grown for ten days at 23ºC, under continuous cool fluorescent light of 80 micromoles/sec m2. Then seedlings were harvested an inmediately frozen in liquid nitrogen"	"10-day old WT Col seedlings, grown on MS salts agar plates, at 23ºC under continuous cool-white fluorescent light, 80 micromoles/sec m2"	Arabidopsis thaliana	10	day	seedling	wild type	Columbia	P-GSE15689-18	P-GSE15689-19	P-GSE15689-20	P-GSE15689-28	P-GSE15689-22	GSM392685 extract 1	total RNA	P-GSE15689-23	GSM392685 LE 1	biotin	P-GSE15689-24	GSM392685	A-AFFY-2	P-GSE15689-25	P-GSE15689-26	GSM392685.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15689/E-GEOD-15689.raw.1.zip	P-GSE15689-9	GSM392685_sample_table.txt norm	GSM392685_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15689/E-GEOD-15689.processed.1.zip	wild type	23	degree celsius
