Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Description	Comment [Sample_source_name]	Comment [Sample_characteristics]	Characteristics[genotype]	Characteristics[developmental stage]	Characteristics[ecotype]	Characteristics[organism part]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[genotype]	FactorValue[growth condition]	FactorValue[time]	Unit[time unit]
GSE16333GSM409683	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"plant seedlings, Seedlings were kept in the dark for 3 days after germination  before being subjected to 1 hr of 0.5Âµmol.m2.s1 of FR light. growth stage: seedling; genotype: pif4pif5"	plant seedlings	growth stage: seedling; genotype: pif4pif5	pif4; pif5	seedling	Columbia	whole organism	P-G16333-2	P-G16333-1	GSE16333GSM409683 sample	P-G16333-5	GSE16333GSM409683 extract	total_RNA	P-G16333-3	GSE16333GSM409683 LE biotin	biotin	synthetic_RNA	pif4pif5 mut 1h FR repA	A-AFFY-2	P-AFFY-6	GSM409683.CEL	GSM409683.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16333/E-GEOD-16333.raw.1.zip	P-G16333-4	E-GEOD-16333-processed-data-1799398912.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16333/E-GEOD-16333.processed.1.zip	pif4; pif5	far-red light	1	hour
GSE16333GSM409685	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"plant seedlings, Seedlings were kept in the dark for 3 days after germination  before being subjected to 1 hr of 0.5Âµmol.m2.s1 of FR light. growth stage: seedling; genotype: pif4pif5"	plant seedlings	growth stage: seedling; genotype: pif4pif5	pif4; pif5	seedling	Columbia	whole organism	P-G16333-2	P-G16333-1	GSE16333GSM409685 sample	P-G16333-5	GSE16333GSM409685 extract	total_RNA	P-G16333-3	GSE16333GSM409685 LE biotin	biotin	synthetic_RNA	pif4pif5 mut 1h FR repC	A-AFFY-2	P-AFFY-6	GSM409685.CEL	GSM409685.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16333/E-GEOD-16333.raw.1.zip	P-G16333-4	E-GEOD-16333-processed-data-1799398912.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16333/E-GEOD-16333.processed.1.zip	pif4; pif5	far-red light	1	hour
GSE16333GSM409684	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"plant seedlings, Seedlings were kept in the dark for 3 days after germination  before being subjected to 1 hr of 0.5Âµmol.m2.s1 of FR light. growth stage: seedling; genotype: pif4pif5"	plant seedlings	growth stage: seedling; genotype: pif4pif5	pif4; pif5	seedling	Columbia	whole organism	P-G16333-2	P-G16333-1	GSE16333GSM409684 sample	P-G16333-5	GSE16333GSM409684 extract	total_RNA	P-G16333-3	GSE16333GSM409684 LE biotin	biotin	synthetic_RNA	pif4pif5 mut 1h FR repB	A-AFFY-2	P-AFFY-6	GSM409684.CEL	GSM409684.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16333/E-GEOD-16333.raw.1.zip	P-G16333-4	E-GEOD-16333-processed-data-1799398912.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16333/E-GEOD-16333.processed.1.zip	pif4; pif5	far-red light	1	hour
GSE16333GSM409675	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"plant seedlings, Seedlings were kept in the dark for 3 days after germination  before being subjected to 1 hr of 0.5Âµmol.m2.s1 of FR light. growth stage: seedling; genotype: wild type"	plant seedlings	growth stage: seedling; genotype: wild type	wild type	seedling	Columbia	whole organism	P-G16333-2	P-G16333-1	GSE16333GSM409675 sample	P-G16333-5	GSE16333GSM409675 extract	total_RNA	P-G16333-3	GSE16333GSM409675 LE biotin	biotin	synthetic_RNA	wild type 1h FR repB	A-AFFY-2	P-AFFY-6	GSM409675.CEL	GSM409675.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16333/E-GEOD-16333.raw.1.zip	P-G16333-4	E-GEOD-16333-processed-data-1799398912.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16333/E-GEOD-16333.processed.1.zip	wild type	far-red light	1	hour
GSE16333GSM409676	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"plant seedlings, Seedlings were kept in the dark for 3 days after germination  before being subjected to 1 hr of 0.5Âµmol.m2.s1 of FR light. growth stage: seedling; genotype: wild type"	plant seedlings	growth stage: seedling; genotype: wild type	wild type	seedling	Columbia	whole organism	P-G16333-2	P-G16333-1	GSE16333GSM409676 sample	P-G16333-5	GSE16333GSM409676 extract	total_RNA	P-G16333-3	GSE16333GSM409676 LE biotin	biotin	synthetic_RNA	wild type 1h FR repC	A-AFFY-2	P-AFFY-6	GSM409676.CEL	GSM409676.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16333/E-GEOD-16333.raw.1.zip	P-G16333-4	E-GEOD-16333-processed-data-1799398912.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16333/E-GEOD-16333.processed.1.zip	wild type	far-red light	1	hour
GSE16333GSM409674	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"plant seedlings, Seedlings were kept in the dark for 3 days after germination  before being subjected to 1 hr of 0.5Âµmol.m2.s1 of FR light. growth stage: seedling; genotype: wild type"	plant seedlings	growth stage: seedling; genotype: wild type	wild type	seedling	Columbia	whole organism	P-G16333-2	P-G16333-1	GSE16333GSM409674 sample	P-G16333-5	GSE16333GSM409674 extract	total_RNA	P-G16333-3	GSE16333GSM409674 LE biotin	biotin	synthetic_RNA	wild type 1h FR repA	A-AFFY-2	P-AFFY-6	GSM409674.CEL	GSM409674.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16333/E-GEOD-16333.raw.1.zip	P-G16333-4	E-GEOD-16333-processed-data-1799398912.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16333/E-GEOD-16333.processed.1.zip	wild type	far-red light	1	hour
GSE16333GSM409687	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"plant seedlings, Seedlings were kept in the dark for 3 days after germination  before being subjected to 24 hrs of 5Âµmol.m2.s1 of FR light. growth stage: seedling; genotype: pif4pif5"	plant seedlings	growth stage: seedling; genotype: pif4pif5	pif4; pif5	seedling	Columbia	whole organism	P-G16333-2	P-G16333-1	GSE16333GSM409687 sample	P-G16333-5	GSE16333GSM409687 extract	total_RNA	P-G16333-3	GSE16333GSM409687 LE biotin	biotin	synthetic_RNA	pif4pif5 mut 24h FR repB	A-AFFY-2	P-AFFY-6	GSM409687.CEL	GSM409687.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16333/E-GEOD-16333.raw.1.zip	P-G16333-4	E-GEOD-16333-processed-data-1799398912.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16333/E-GEOD-16333.processed.1.zip	pif4; pif5	far-red light	24	hour
GSE16333GSM409686	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"plant seedlings, Seedlings were kept in the dark for 3 days after germination  before being subjected to 24 hrs of 5Âµmol.m2.s1 of FR light. growth stage: seedling; genotype: pif4pif5"	plant seedlings	growth stage: seedling; genotype: pif4pif5	pif4; pif5	seedling	Columbia	whole organism	P-G16333-2	P-G16333-1	GSE16333GSM409686 sample	P-G16333-5	GSE16333GSM409686 extract	total_RNA	P-G16333-3	GSE16333GSM409686 LE biotin	biotin	synthetic_RNA	pif4pif5 mut 24h FR repA	A-AFFY-2	P-AFFY-6	GSM409686.CEL	GSM409686.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16333/E-GEOD-16333.raw.1.zip	P-G16333-4	E-GEOD-16333-processed-data-1799398912.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16333/E-GEOD-16333.processed.1.zip	pif4; pif5	far-red light	24	hour
GSE16333GSM409688	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"plant seedlings, Seedlings were kept in the dark for 3 days after germination  before being subjected to 24 hrs of 5Âµmol.m2.s1 of FR light. growth stage: seedling; genotype: pif4pif5"	plant seedlings	growth stage: seedling; genotype: pif4pif5	pif4; pif5	seedling	Columbia	whole organism	P-G16333-2	P-G16333-1	GSE16333GSM409688 sample	P-G16333-5	GSE16333GSM409688 extract	total_RNA	P-G16333-3	GSE16333GSM409688 LE biotin	biotin	synthetic_RNA	pif4pif5 mut 24h FR repC	A-AFFY-2	P-AFFY-6	GSM409688.CEL	GSM409688.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16333/E-GEOD-16333.raw.1.zip	P-G16333-4	E-GEOD-16333-processed-data-1799398912.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16333/E-GEOD-16333.processed.1.zip	pif4; pif5	far-red light	24	hour
GSE16333GSM409677	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"plant seedlings, Seedlings were kept in the dark for 3 days after germination  before being subjected to 24 hrs of 5Âµmol.m2.s1 of FR light. growth stage: seedling; genotype: wild type"	plant seedlings	growth stage: seedling; genotype: wild type	wild type	seedling	Columbia	whole organism	P-G16333-2	P-G16333-1	GSE16333GSM409677 sample	P-G16333-5	GSE16333GSM409677 extract	total_RNA	P-G16333-3	GSE16333GSM409677 LE biotin	biotin	synthetic_RNA	wild type 24h FR repA	A-AFFY-2	P-AFFY-6	GSM409677.CEL	GSM409677.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16333/E-GEOD-16333.raw.1.zip	P-G16333-4	E-GEOD-16333-processed-data-1799398912.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16333/E-GEOD-16333.processed.1.zip	wild type	far-red light	24	hour
