Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_description]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Age]	Unit[TimeUnit]	Characteristics[Genotype]	Characteristics[OrganismPart]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [GENOTYPE]	FactorValue[COMPOUND]
GSM420243 1	Gene expression data in Col(gl) in the presence of salt	Col(gl) plant, 100mM NaCl, 6 d	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	20	days	gl1-1 in Columbia	leaf	EFO	EFO_0000993	P-GSE16765-2	P-GSE16765-3	P-GSE16765-4	GSM420243 extract 1	total RNA	P-GSE16765-5	GSM420243 LE 1	biotin	P-GSE16765-6	GSM420243	A-AFFY-2	P-GSE16765-7	P-GSE16765-8	GSM420243_2097-RG.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16765/E-GEOD-16765.raw.1.zip	P-GSE16765-1	GSM420243_sample_table.txt norm	GSM420243_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16765/E-GEOD-16765.processed.1.zip	gl1-1 in Columbia	NaCl
GSM420242 1	Gene expression data in Col(gl) in the presence of salt	Col(gl) plant, 100mM NaCl, 6 d	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	20	days	gl1-1 in Columbia	leaf	EFO	EFO_0000993	P-GSE16765-2	P-GSE16765-3	P-GSE16765-4	GSM420242 extract 1	total RNA	P-GSE16765-5	GSM420242 LE 1	biotin	P-GSE16765-6	GSM420242	A-AFFY-2	P-GSE16765-7	P-GSE16765-8	GSM420242_1910-RG.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16765/E-GEOD-16765.raw.1.zip	P-GSE16765-1	GSM420242_sample_table.txt norm	GSM420242_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16765/E-GEOD-16765.processed.1.zip	gl1-1 in Columbia	NaCl
GSM420241 1	Gene expression data in Col(gl) in the absence of salt	Col(gl) plant, 0mM NaCl, 6 d	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	20	days	gl1-1 in Columbia	leaf	EFO	EFO_0000993	P-GSE16765-2	P-GSE16765-3	P-GSE16765-4	GSM420241 extract 1	total RNA	P-GSE16765-5	GSM420241 LE 1	biotin	P-GSE16765-6	GSM420241	A-AFFY-2	P-GSE16765-7	P-GSE16765-8	GSM420241_1908-RG.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16765/E-GEOD-16765.raw.1.zip	P-GSE16765-1	GSM420241_sample_table.txt norm	GSM420241_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16765/E-GEOD-16765.processed.1.zip	gl1-1 in Columbia	none
GSM420240 1	Gene expression data in Col(gl) in the absence of salt	Col(gl) plant, 0mM NaCl, 6 d	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	20	days	gl1-1 in Columbia	leaf	EFO	EFO_0000993	P-GSE16765-2	P-GSE16765-3	P-GSE16765-4	GSM420240 extract 1	total RNA	P-GSE16765-5	GSM420240 LE 1	biotin	P-GSE16765-6	GSM420240	A-AFFY-2	P-GSE16765-7	P-GSE16765-8	GSM420240_1880-RG.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16765/E-GEOD-16765.raw.1.zip	P-GSE16765-1	GSM420240_sample_table.txt norm	GSM420240_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16765/E-GEOD-16765.processed.1.zip	gl1-1 in Columbia	none
GSM420239 1	Gene expression data in Col in the presence of salt	Col plant, 100mM NaCl, 6 d	CEL data is identical to that assigned GEO accession GSM455429	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	20	days	Col	leaf	EFO	EFO_0000993	P-GSE16765-2	P-GSE16765-3	P-GSE16765-4	GSM420239 extract 1	total RNA	P-GSE16765-5	GSM420239 LE 1	biotin	P-GSE16765-6	GSM420239	A-AFFY-2	P-GSE16765-7	P-GSE16765-8	GSM420239_2064-RG.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16765/E-GEOD-16765.raw.1.zip	P-GSE16765-1	GSM420239_sample_table.txt norm	GSM420239_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16765/E-GEOD-16765.processed.1.zip	Columbia	NaCl
GSM420238 1	Gene expression data in Col in the presence of salt	Col plant, 100mM NaCl, 6 d	CEL data is identical to that assigned GEO accession GSM455428	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	20	days	Col	leaf	EFO	EFO_0000993	P-GSE16765-2	P-GSE16765-3	P-GSE16765-4	GSM420238 extract 1	total RNA	P-GSE16765-5	GSM420238 LE 1	biotin	P-GSE16765-6	GSM420238	A-AFFY-2	P-GSE16765-7	P-GSE16765-8	GSM420238_1902-RG.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16765/E-GEOD-16765.raw.1.zip	P-GSE16765-1	GSM420238_sample_table.txt norm	GSM420238_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16765/E-GEOD-16765.processed.1.zip	Columbia	NaCl
GSM420237 1	Gene expression data in Col in the absence of salt	Col plant, 0mM NaCl, 6 d	CEL data is identical to that assigned GEO accession GSM455427	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	20	days	Col	leaf	EFO	EFO_0000993	P-GSE16765-2	P-GSE16765-3	P-GSE16765-4	GSM420237 extract 1	total RNA	P-GSE16765-5	GSM420237 LE 1	biotin	P-GSE16765-6	GSM420237	A-AFFY-2	P-GSE16765-7	P-GSE16765-8	GSM420237_1900-RG.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16765/E-GEOD-16765.raw.1.zip	P-GSE16765-1	GSM420237_sample_table.txt norm	GSM420237_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16765/E-GEOD-16765.processed.1.zip	Columbia	none
GSM420236 1	Gene expression data in Col in the absence of salt	Col plant, 0mM NaCl, 6 d	CEL data is identical to that assigned GEO accession GSM455426	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	20	days	Col	leaf	EFO	EFO_0000993	P-GSE16765-2	P-GSE16765-3	P-GSE16765-4	GSM420236 extract 1	total RNA	P-GSE16765-5	GSM420236 LE 1	biotin	P-GSE16765-6	GSM420236	A-AFFY-2	P-GSE16765-7	P-GSE16765-8	GSM420236_1874-RG.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16765/E-GEOD-16765.raw.1.zip	P-GSE16765-1	GSM420236_sample_table.txt norm	GSM420236_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16765/E-GEOD-16765.processed.1.zip	Columbia	none
GSM420235 1	Gene expression data in Ws in the presence of salt	Ws plant, 100mM NaCl, 6 d	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	20	days	Ws	leaf	EFO	EFO_0000993	P-GSE16765-2	P-GSE16765-3	P-GSE16765-4	GSM420235 extract 1	total RNA	P-GSE16765-5	GSM420235 LE 1	biotin	P-GSE16765-6	GSM420235	A-AFFY-2	P-GSE16765-7	P-GSE16765-8	GSM420235_2063-RG.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16765/E-GEOD-16765.raw.1.zip	P-GSE16765-1	GSM420235_sample_table.txt norm	GSM420235_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16765/E-GEOD-16765.processed.1.zip	Wassilewskija	NaCl
GSM420234 1	Gene expression data in Ws in the presence of salt	Ws plant, 100mM NaCl, 6 d	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	20	days	Ws	leaf	EFO	EFO_0000993	P-GSE16765-2	P-GSE16765-3	P-GSE16765-4	GSM420234 extract 1	total RNA	P-GSE16765-5	GSM420234 LE 1	biotin	P-GSE16765-6	GSM420234	A-AFFY-2	P-GSE16765-7	P-GSE16765-8	GSM420234_1906-RG.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16765/E-GEOD-16765.raw.1.zip	P-GSE16765-1	GSM420234_sample_table.txt norm	GSM420234_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16765/E-GEOD-16765.processed.1.zip	Wassilewskija	NaCl
