Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Description	Comment [sample characteristics]	Comment [sample source name]	Characteristics[ecotype]	Characteristics[organism part]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[time]	Unit[time unit]	FactorValue[growth condition]
GSE17343GSM433640	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"Arabidopsis pollen grown in vitro for 0.5h in pollen growth medium, Gene expression data from in vitro-grown pollen tubes for 0.5 hours.. tissue: in vitro-grown pollen tubes; strain: Columbia; age: Pollen tubes grown for 0.5 hours in liquid pollen tube growth medium"	tissue: in vitro-grown pollen tubes; strain: Columbia; age: Pollen tubes grown for 0.5 hours in liquid pollen tube growth medium	Arabidopsis pollen grown in vitro for 0.5h in pollen growth medium	Columbia	pollen	P-G17343-1	P-G17343-6	GSE17343GSM433640 sample	P-G17343-5	GSE17343GSM433640 extract	total_RNA	P-G17343-3	GSE17343GSM433640 LE biotin	biotin	synthetic_RNA	"0.5PT, biological rep3"	A-AFFY-2	P-AFFY-6	GSM433640.CEL	GSM433640.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17343/E-GEOD-17343.raw.1.zip	P-G17343-4	E-GEOD-17343-processed-data-1784374603.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17343/E-GEOD-17343.processed.1.zip	0.5	hour	pollen growth medium
GSE17343GSM433638	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"Arabidopsis pollen grown in vitro for 0.5h in pollen growth medium, Gene expression data from in vitro-grown pollen tubes for 0.5 hours.. tissue: in vitro-grown pollen tubes; strain: Columbia; age: Pollen tubes grown for 0.5 hours in liquid pollen tube growth medium"	tissue: in vitro-grown pollen tubes; strain: Columbia; age: Pollen tubes grown for 0.5 hours in liquid pollen tube growth medium	Arabidopsis pollen grown in vitro for 0.5h in pollen growth medium	Columbia	pollen	P-G17343-1	P-G17343-6	GSE17343GSM433638 sample	P-G17343-5	GSE17343GSM433638 extract	total_RNA	P-G17343-3	GSE17343GSM433638 LE biotin	biotin	synthetic_RNA	"0.5PT, biological rep1"	A-AFFY-2	P-AFFY-6	GSM433638.CEL	GSM433638.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17343/E-GEOD-17343.raw.1.zip	P-G17343-4	E-GEOD-17343-processed-data-1784374603.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17343/E-GEOD-17343.processed.1.zip	0.5	hour	pollen growth medium
GSE17343GSM433641	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"Arabidopsis pollen grown in vitro for 0.5h in pollen growth medium, Gene expression data from in vitro-grown pollen tubes for 0.5 hours.. tissue: in vitro-grown pollen tubes; strain: Columbia; age: Pollen tubes grown for 0.5 hours in liquid pollen tube growth medium"	tissue: in vitro-grown pollen tubes; strain: Columbia; age: Pollen tubes grown for 0.5 hours in liquid pollen tube growth medium	Arabidopsis pollen grown in vitro for 0.5h in pollen growth medium	Columbia	pollen	P-G17343-1	P-G17343-6	GSE17343GSM433641 sample	P-G17343-5	GSE17343GSM433641 extract	total_RNA	P-G17343-3	GSE17343GSM433641 LE biotin	biotin	synthetic_RNA	"0.5hPT, biological rep4"	A-AFFY-2	P-AFFY-6	GSM433641.CEL	GSM433641.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17343/E-GEOD-17343.raw.1.zip	P-G17343-4	E-GEOD-17343-processed-data-1784374603.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17343/E-GEOD-17343.processed.1.zip	0.5	hour	pollen growth medium
GSE17343GSM433639	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"Arabidopsis pollen grown in vitro for 0.5h in pollen growth medium, Gene expression data from in vitro-grown pollen tubes for 0.5 hours.. tissue: in vitro-grown pollen tubes; strain: Columbia; age: Pollen tubes grown for 0.5 hours in liquid pollen tube growth medium"	tissue: in vitro-grown pollen tubes; strain: Columbia; age: Pollen tubes grown for 0.5 hours in liquid pollen tube growth medium	Arabidopsis pollen grown in vitro for 0.5h in pollen growth medium	Columbia	pollen	P-G17343-1	P-G17343-6	GSE17343GSM433639 sample	P-G17343-5	GSE17343GSM433639 extract	total_RNA	P-G17343-3	GSE17343GSM433639 LE biotin	biotin	synthetic_RNA	"0.5PT, biological rep2"	A-AFFY-2	P-AFFY-6	GSM433639.CEL	GSM433639.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17343/E-GEOD-17343.raw.1.zip	P-G17343-4	E-GEOD-17343-processed-data-1784374603.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17343/E-GEOD-17343.processed.1.zip	0.5	hour	pollen growth medium
GSE17343GSM433646	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"Arabidopsis pollen tubes grown through the stigma and style pistil tissues, Gene expression data from semi in vivo-grown pollen tubes.. tissue: Semi in vivo-grown pollen tubes; strain: Columbia; age: Pollen tubes grown for 3 hours in an Arabidopsis pistil and then 5 hours in solid pollen tube growth medium"	tissue: Semi in vivo-grown pollen tubes; strain: Columbia; age: Pollen tubes grown for 3 hours in an Arabidopsis pistil and then 5 hours in solid pollen tube growth medium	Arabidopsis pollen tubes grown through the stigma and style pistil tissues	Columbia	pollen tube	P-G17343-1	P-G17343-8	GSE17343GSM433646 sample	P-G17343-5	GSE17343GSM433646 extract	total_RNA	P-G17343-3	GSE17343GSM433646 LE biotin	biotin	synthetic_RNA	"SIVPT, biological rep1"	A-AFFY-2	P-AFFY-6	GSM433646.CEL	GSM433646.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17343/E-GEOD-17343.raw.1.zip	P-G17343-4	E-GEOD-17343-processed-data-1784374603.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17343/E-GEOD-17343.processed.1.zip	3	hour	in vivo followed by 5 hours in pollen growth medium
GSE17343GSM433648	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"Arabidopsis pollen tubes grown through the stigma and style pistil tissues, Gene expression data from semi in vivo-grown pollen tubes.. tissue: Semi in vivo-grown pollen tubes; strain: Columbia; age: Pollen tubes grown for 3 hours in an Arabidopsis pistil and then 5 hours in solid pollen tube growth medium"	tissue: Semi in vivo-grown pollen tubes; strain: Columbia; age: Pollen tubes grown for 3 hours in an Arabidopsis pistil and then 5 hours in solid pollen tube growth medium	Arabidopsis pollen tubes grown through the stigma and style pistil tissues	Columbia	pollen tube	P-G17343-1	P-G17343-8	GSE17343GSM433648 sample	P-G17343-5	GSE17343GSM433648 extract	total_RNA	P-G17343-3	GSE17343GSM433648 LE biotin	biotin	synthetic_RNA	"SIVPT, biological rep3"	A-AFFY-2	P-AFFY-6	GSM433648.CEL	GSM433648.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17343/E-GEOD-17343.raw.1.zip	P-G17343-4	E-GEOD-17343-processed-data-1784374603.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17343/E-GEOD-17343.processed.1.zip	3	hour	in vivo followed by 5 hours in pollen growth medium
GSE17343GSM433647	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"Arabidopsis pollen tubes grown through the stigma and style pistil tissues, Gene expression data from semi in vivo-grown pollen tubes.. tissue: Semi in vivo-grown pollen tubes; strain: Columbia; age: Pollen tubes grown for 3 hours in an Arabidopsis pistil and then 5 hours in solid pollen tube growth medium"	tissue: Semi in vivo-grown pollen tubes; strain: Columbia; age: Pollen tubes grown for 3 hours in an Arabidopsis pistil and then 5 hours in solid pollen tube growth medium	Arabidopsis pollen tubes grown through the stigma and style pistil tissues	Columbia	pollen tube	P-G17343-1	P-G17343-8	GSE17343GSM433647 sample	P-G17343-5	GSE17343GSM433647 extract	total_RNA	P-G17343-3	GSE17343GSM433647 LE biotin	biotin	synthetic_RNA	"SIVPT, biological rep2"	A-AFFY-2	P-AFFY-6	GSM433647.CEL	GSM433647.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17343/E-GEOD-17343.raw.1.zip	P-G17343-4	E-GEOD-17343-processed-data-1784374603.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17343/E-GEOD-17343.processed.1.zip	3	hour	in vivo followed by 5 hours in pollen growth medium
GSE17343GSM433643	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"Arabidopsis pollen grown in vitro for 4 hours in pollen growth medium, Gene expression data from in vitro-grown pollen tubes for 4 hours.. tissue: in vitro-grown pollen tubes; strain: Columbia; age: Pollen tubes grown for 4 hours in liquid pollen tube growth medium"	tissue: in vitro-grown pollen tubes; strain: Columbia; age: Pollen tubes grown for 4 hours in liquid pollen tube growth medium	Arabidopsis pollen grown in vitro for 4 hours in pollen growth medium	Columbia	pollen	P-G17343-1	P-G17343-7	GSE17343GSM433643 sample	P-G17343-5	GSE17343GSM433643 extract	total_RNA	P-G17343-3	GSE17343GSM433643 LE biotin	biotin	synthetic_RNA	"4hPT, biological rep2"	A-AFFY-2	P-AFFY-6	GSM433643.CEL	GSM433643.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17343/E-GEOD-17343.raw.1.zip	P-G17343-4	E-GEOD-17343-processed-data-1784374603.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17343/E-GEOD-17343.processed.1.zip	4	hour	pollen growth medium
GSE17343GSM433644	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"Arabidopsis pollen grown in vitro for 4 hours in pollen growth medium, Gene expression data from in vitro-grown pollen tubes for 4 hours.. tissue: in vitro-grown pollen tubes; strain: Columbia; age: Pollen tubes grown for 4 hours in liquid pollen tube growth medium"	tissue: in vitro-grown pollen tubes; strain: Columbia; age: Pollen tubes grown for 4 hours in liquid pollen tube growth medium	Arabidopsis pollen grown in vitro for 4 hours in pollen growth medium	Columbia	pollen	P-G17343-1	P-G17343-7	GSE17343GSM433644 sample	P-G17343-5	GSE17343GSM433644 extract	total_RNA	P-G17343-3	GSE17343GSM433644 LE biotin	biotin	synthetic_RNA	"4hPT, biological rep3"	A-AFFY-2	P-AFFY-6	GSM433644.CEL	GSM433644.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17343/E-GEOD-17343.raw.1.zip	P-G17343-4	E-GEOD-17343-processed-data-1784374603.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17343/E-GEOD-17343.processed.1.zip	4	hour	pollen growth medium
GSE17343GSM433642	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"Arabidopsis pollen grown in vitro for 4 hours in pollen growth medium, Gene expression data from in vitro-grown pollen tubes for 4 hours.. tissue: in vitro-grown pollen tubes; strain: Columbia; age: Pollen tubes grown for 4 hours in liquid pollen tube growth medium"	tissue: in vitro-grown pollen tubes; strain: Columbia; age: Pollen tubes grown for 4 hours in liquid pollen tube growth medium	Arabidopsis pollen grown in vitro for 4 hours in pollen growth medium	Columbia	pollen	P-G17343-1	P-G17343-7	GSE17343GSM433642 sample	P-G17343-5	GSE17343GSM433642 extract	total_RNA	P-G17343-3	GSE17343GSM433642 LE biotin	biotin	synthetic_RNA	"4hPT, biological rep1"	A-AFFY-2	P-AFFY-6	GSM433642.CEL	GSM433642.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17343/E-GEOD-17343.raw.1.zip	P-G17343-4	E-GEOD-17343-processed-data-1784374603.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17343/E-GEOD-17343.processed.1.zip	4	hour	pollen growth medium
