Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Description	Characteristics[ecotype]	Characteristics[genotype]	Characteristics[organism part]	Comment [Sample_source_name]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[treatment]	FactorValue[genotype]	FactorValue[time]	Unit[time unit]
GSE17464GSM435761	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"leaf discs, Gene expression data from Arabidopsis leaves pre-treated with GA+JA and induced with flg22. tissue: leaf discs"	Landsberg erecta	wild type	leaf	leaf discs	P-G17464-1	P-G17464-2	GSE17464GSM435761 sample	P-G17464-5	GSE17464GSM435761 extract	total_RNA	P-G17464-3	GSE17464GSM435761 LE biotin	biotin	synthetic_RNA	"Laer, pretreat with GA+JA, Flg22, 0h, Biological Rep 2"	A-AFFY-2	P-AFFY-6	GSM435761.CEL	GSM435761.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17464/E-GEOD-17464.raw.1.zip	P-G17464-4	E-GEOD-17464-processed-data-2002732225.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17464/E-GEOD-17464.processed.1.zip	gibberellin and jasmonic acid followed by flg22	wild type	0	hour
GSE17464GSM435762	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"leaf discs, Gene expression data from Arabidopsis leaves pre-treated with GA+JA and induced with flg22. tissue: leaf discs"	Landsberg erecta	wild type	leaf	leaf discs	P-G17464-1	P-G17464-2	GSE17464GSM435762 sample	P-G17464-5	GSE17464GSM435762 extract	total_RNA	P-G17464-3	GSE17464GSM435762 LE biotin	biotin	synthetic_RNA	"Laer, pretreat with GA+JA, Flg22, 0h, Biological Rep 3"	A-AFFY-2	P-AFFY-6	GSM435762.CEL	GSM435762.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17464/E-GEOD-17464.raw.1.zip	P-G17464-4	E-GEOD-17464-processed-data-2002732225.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17464/E-GEOD-17464.processed.1.zip	gibberellin and jasmonic acid followed by flg22	wild type	0	hour
GSE17464GSM435760	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"leaf discs, Gene expression data from Arabidopsis leaves pre-treated with GA+JA and induced with flg22. tissue: leaf discs"	Landsberg erecta	wild type	leaf	leaf discs	P-G17464-1	P-G17464-2	GSE17464GSM435760 sample	P-G17464-5	GSE17464GSM435760 extract	total_RNA	P-G17464-3	GSE17464GSM435760 LE biotin	biotin	synthetic_RNA	"Laer, pretreat with GA+JA, Flg22, 0h, Biological Rep 1"	A-AFFY-2	P-AFFY-6	GSM435760.CEL	GSM435760.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17464/E-GEOD-17464.raw.1.zip	P-G17464-4	E-GEOD-17464-processed-data-2002732225.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17464/E-GEOD-17464.processed.1.zip	gibberellin and jasmonic acid followed by flg22	wild type	0	hour
GSE17464GSM435753	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"leaf discs, Gene expression data from Arabidopsis leaves pre-treated with GA and induced with flg22. tissue: leaf discs"	Landsberg erecta	wild type	leaf	leaf discs	P-G17464-1	P-G17464-2	GSE17464GSM435753 sample	P-G17464-5	GSE17464GSM435753 extract	total_RNA	P-G17464-3	GSE17464GSM435753 LE biotin	biotin	synthetic_RNA	"Laer, pretreat with GA, Flg22, 0h, Biological Rep 3"	A-AFFY-2	P-AFFY-6	GSM435753.CEL	GSM435753.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17464/E-GEOD-17464.raw.1.zip	P-G17464-4	E-GEOD-17464-processed-data-2002732225.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17464/E-GEOD-17464.processed.1.zip	gibberellin followed by flg22	wild type	0	hour
GSE17464GSM435752	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"leaf discs, Gene expression data from Arabidopsis leaves pre-treated with GA and induced with flg22. tissue: leaf discs"	Landsberg erecta	wild type	leaf	leaf discs	P-G17464-1	P-G17464-2	GSE17464GSM435752 sample	P-G17464-5	GSE17464GSM435752 extract	total_RNA	P-G17464-3	GSE17464GSM435752 LE biotin	biotin	synthetic_RNA	"Laer, pretreat with GA, Flg22, 0h, Biological Rep 2"	A-AFFY-2	P-AFFY-6	GSM435752.CEL	GSM435752.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17464/E-GEOD-17464.raw.1.zip	P-G17464-4	E-GEOD-17464-processed-data-2002732225.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17464/E-GEOD-17464.processed.1.zip	gibberellin followed by flg22	wild type	0	hour
GSE17464GSM435751	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"leaf discs, Gene expression data from Arabidopsis leaves pre-treated with GA and induced with flg22. tissue: leaf discs"	Landsberg erecta	wild type	leaf	leaf discs	P-G17464-1	P-G17464-2	GSE17464GSM435751 sample	P-G17464-5	GSE17464GSM435751 extract	total_RNA	P-G17464-3	GSE17464GSM435751 LE biotin	biotin	synthetic_RNA	"Laer, pretreat with GA, Flg22, 0h, Biological Rep 1"	A-AFFY-2	P-AFFY-6	GSM435751.CEL	GSM435751.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17464/E-GEOD-17464.raw.1.zip	P-G17464-4	E-GEOD-17464-processed-data-2002732225.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17464/E-GEOD-17464.processed.1.zip	gibberellin followed by flg22	wild type	0	hour
GSE17464GSM435742	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"leaf discs, Gene expression data from Arabidopsis leaves pre-treated with JA and induced with flg22. tissue: leaf discs"	Landsberg erecta	wild type	leaf	leaf discs	P-G17464-1	P-G17464-2	GSE17464GSM435742 sample	P-G17464-5	GSE17464GSM435742 extract	total_RNA	P-G17464-3	GSE17464GSM435742 LE biotin	biotin	synthetic_RNA	"Laer, pretreat with JA, Flg22, 0h, Biological Rep 1"	A-AFFY-2	P-AFFY-6	GSM435742.CEL	GSM435742.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17464/E-GEOD-17464.raw.1.zip	P-G17464-4	E-GEOD-17464-processed-data-2002732225.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17464/E-GEOD-17464.processed.1.zip	jasmonic acid followed by flg22	wild type	0	hour
GSE17464GSM435743	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"leaf discs, Gene expression data from Arabidopsis leaves pre-treated with JA and induced with flg22. tissue: leaf discs"	Landsberg erecta	wild type	leaf	leaf discs	P-G17464-1	P-G17464-2	GSE17464GSM435743 sample	P-G17464-5	GSE17464GSM435743 extract	total_RNA	P-G17464-3	GSE17464GSM435743 LE biotin	biotin	synthetic_RNA	"Laer, pretreat with JA, Flg22, 0h, Biological Rep 2"	A-AFFY-2	P-AFFY-6	GSM435743.CEL	GSM435743.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17464/E-GEOD-17464.raw.1.zip	P-G17464-4	E-GEOD-17464-processed-data-2002732225.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17464/E-GEOD-17464.processed.1.zip	jasmonic acid followed by flg22	wild type	0	hour
GSE17464GSM435744	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"leaf discs, Gene expression data from Arabidopsis leaves pre-treated with JA and induced with flg22. tissue: leaf discs"	Landsberg erecta	wild type	leaf	leaf discs	P-G17464-1	P-G17464-2	GSE17464GSM435744 sample	P-G17464-5	GSE17464GSM435744 extract	total_RNA	P-G17464-3	GSE17464GSM435744 LE biotin	biotin	synthetic_RNA	"Laer, pretreat with JA, Flg22, 0h, Biological Rep 3"	A-AFFY-2	P-AFFY-6	GSM435744.CEL	GSM435744.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17464/E-GEOD-17464.raw.1.zip	P-G17464-4	E-GEOD-17464-processed-data-2002732225.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17464/E-GEOD-17464.processed.1.zip	jasmonic acid followed by flg22	wild type	0	hour
GSE17464GSM435704	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"leaf discs, Gene expression data from Arabidopsis leaves treated with flg22. tissue: leaf discs"	Landsberg erecta	ga1-3 gai-t6 rga-t2 rgl1-1 rgl2-1	leaf	leaf discs	P-G17464-1	P-G17464-2	GSE17464GSM435704 sample	P-G17464-5	GSE17464GSM435704 extract	total_RNA	P-G17464-3	GSE17464GSM435704 LE biotin	biotin	synthetic_RNA	"penta, Flg22, 1h, Biological Rep 2"	A-AFFY-2	P-AFFY-6	GSM435704.CEL	GSM435704.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17464/E-GEOD-17464.raw.1.zip	P-G17464-4	E-GEOD-17464-processed-data-2002732225.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17464/E-GEOD-17464.processed.1.zip	flg22	ga1-3 gai-t6 rga-t2 rgl1-1 rgl2-1	1	hour
