Source Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[age]	Unit[time unit]	Characteristics[organism part]	Term Source REF	Term Accession Number	Characteristics[genotype]	Characteristics[genetic modification]	Comment [Sample_description]	Comment [Sample_source_name]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue[genotype]	FactorValue[infect]
GSM436331 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	week	leaf	EFO	EFO_0000993	miR393 overexpression	transgenic	Gene expression on leaves inoculated with PstDc3000 (10^6cfu/ml). Plant 35S:miR393, time point 24hrs	5weeks old arabidopsis leaves	P-GSE17500-2	P-GSE17500-3	P-GSE17500-4	GSM436331 extract 1	total RNA	P-GSE17500-5	GSM436331 LE 1	biotin	P-GSE17500-6	GSM436331	A-AFFY-2	P-GSE17500-7	P-GSE17500-8	GSM436331.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17500/E-GEOD-17500.raw.1.zip	P-GSE17500-1	GSM436331_sample_table.txt norm	GSM436331_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17500/E-GEOD-17500.processed.1.zip	miR393 overexpression	Pseudomonas syringae pv. tomato DC3000
GSM436330 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	week	leaf	EFO	EFO_0000993	miR393 overexpression	transgenic	Gene expression on leaves inoculated with PstDc3000 (10^6cfu/ml). Plant 35S:miR393, time point 24hrs	5weeks old arabidopsis leaves	P-GSE17500-2	P-GSE17500-3	P-GSE17500-4	GSM436330 extract 1	total RNA	P-GSE17500-5	GSM436330 LE 1	biotin	P-GSE17500-6	GSM436330	A-AFFY-2	P-GSE17500-7	P-GSE17500-8	GSM436330.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17500/E-GEOD-17500.raw.1.zip	P-GSE17500-1	GSM436330_sample_table.txt norm	GSM436330_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17500/E-GEOD-17500.processed.1.zip	miR393 overexpression	Pseudomonas syringae pv. tomato DC3000
GSM436329 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	week	leaf	EFO	EFO_0000993	miR393 overexpression	transgenic	Gene expression on leaves inoculated with PstDc3000 (10^6cfu/ml). Plant 35S:miR393, time point 24hrs	5weeks old arabidopsis leaves	P-GSE17500-2	P-GSE17500-3	P-GSE17500-4	GSM436329 extract 1	total RNA	P-GSE17500-5	GSM436329 LE 1	biotin	P-GSE17500-6	GSM436329	A-AFFY-2	P-GSE17500-7	P-GSE17500-8	GSM436329.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17500/E-GEOD-17500.raw.1.zip	P-GSE17500-1	GSM436329_sample_table.txt norm	GSM436329_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17500/E-GEOD-17500.processed.1.zip	miR393 overexpression	Pseudomonas syringae pv. tomato DC3000
GSM436328 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	week	leaf	EFO	EFO_0000993	miR393 overexpression	transgenic	Gene expression on leaves of 35S:miR393 inoculated with water (control)	5weeks old arabidopsis leaves	P-GSE17500-2	P-GSE17500-3	P-GSE17500-4	GSM436328 extract 1	total RNA	P-GSE17500-5	GSM436328 LE 1	biotin	P-GSE17500-6	GSM436328	A-AFFY-2	P-GSE17500-7	P-GSE17500-8	GSM436328.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17500/E-GEOD-17500.raw.1.zip	P-GSE17500-1	GSM436328_sample_table.txt norm	GSM436328_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17500/E-GEOD-17500.processed.1.zip	miR393 overexpression	none
GSM436327 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	week	leaf	EFO	EFO_0000993	miR393 overexpression	transgenic	Gene expression on leaves of 35S:miR393 inoculated with water (control)	5weeks old arabidopsis leaves	P-GSE17500-2	P-GSE17500-3	P-GSE17500-4	GSM436327 extract 1	total RNA	P-GSE17500-5	GSM436327 LE 1	biotin	P-GSE17500-6	GSM436327	A-AFFY-2	P-GSE17500-7	P-GSE17500-8	GSM436327.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17500/E-GEOD-17500.raw.1.zip	P-GSE17500-1	GSM436327_sample_table.txt norm	GSM436327_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17500/E-GEOD-17500.processed.1.zip	miR393 overexpression	none
GSM436326 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	week	leaf	EFO	EFO_0000993	miR393 overexpression	transgenic	Gene expression on leaves of 35S:miR393 inoculated with water (control)	5weeks old arabidopsis leaves	P-GSE17500-2	P-GSE17500-3	P-GSE17500-4	GSM436326 extract 1	total RNA	P-GSE17500-5	GSM436326 LE 1	biotin	P-GSE17500-6	GSM436326	A-AFFY-2	P-GSE17500-7	P-GSE17500-8	GSM436326.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17500/E-GEOD-17500.raw.1.zip	P-GSE17500-1	GSM436326_sample_table.txt norm	GSM436326_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17500/E-GEOD-17500.processed.1.zip	miR393 overexpression	none
GSM436325 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	week	leaf	EFO	EFO_0000993	AFB1 overexpression	transgenic	Gene expression on leaves inoculated with PstDc3000 (10^6cfu/ml). Plant 35S:AFB1, time point 24hrs	5weeks old arabidopsis leaves	P-GSE17500-2	P-GSE17500-3	P-GSE17500-4	GSM436325 extract 1	total RNA	P-GSE17500-5	GSM436325 LE 1	biotin	P-GSE17500-6	GSM436325	A-AFFY-2	P-GSE17500-7	P-GSE17500-8	GSM436325.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17500/E-GEOD-17500.raw.1.zip	P-GSE17500-1	GSM436325_sample_table.txt norm	GSM436325_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17500/E-GEOD-17500.processed.1.zip	AFB1 overexpression	Pseudomonas syringae pv. tomato DC3000
GSM436324 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	week	leaf	EFO	EFO_0000993	AFB1 overexpression	transgenic	Gene expression on leaves inoculated with PstDc3000 (10^6cfu/ml). Plant 35S:AFB1, time point 24hrs	5weeks old arabidopsis leaves	P-GSE17500-2	P-GSE17500-3	P-GSE17500-4	GSM436324 extract 1	total RNA	P-GSE17500-5	GSM436324 LE 1	biotin	P-GSE17500-6	GSM436324	A-AFFY-2	P-GSE17500-7	P-GSE17500-8	GSM436324.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17500/E-GEOD-17500.raw.1.zip	P-GSE17500-1	GSM436324_sample_table.txt norm	GSM436324_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17500/E-GEOD-17500.processed.1.zip	AFB1 overexpression	Pseudomonas syringae pv. tomato DC3000
GSM436323 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	week	leaf	EFO	EFO_0000993	AFB1 overexpression	transgenic	Gene expression on leaves inoculated with PstDc3000 (10^6cfu/ml). Plant 35S:AFB1, time point 24hrs	5weeks old arabidopsis leaves	P-GSE17500-2	P-GSE17500-3	P-GSE17500-4	GSM436323 extract 1	total RNA	P-GSE17500-5	GSM436323 LE 1	biotin	P-GSE17500-6	GSM436323	A-AFFY-2	P-GSE17500-7	P-GSE17500-8	GSM436323.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17500/E-GEOD-17500.raw.1.zip	P-GSE17500-1	GSM436323_sample_table.txt norm	GSM436323_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17500/E-GEOD-17500.processed.1.zip	AFB1 overexpression	Pseudomonas syringae pv. tomato DC3000
GSM436322 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	week	leaf	EFO	EFO_0000993	AFB1 overexpression	transgenic	Gene expression on leaves of 35S:AFB1 inoculated with water (control)	5weeks old arabidopsis leaves	P-GSE17500-2	P-GSE17500-3	P-GSE17500-4	GSM436322 extract 1	total RNA	P-GSE17500-5	GSM436322 LE 1	biotin	P-GSE17500-6	GSM436322	A-AFFY-2	P-GSE17500-7	P-GSE17500-8	GSM436322.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17500/E-GEOD-17500.raw.1.zip	P-GSE17500-1	GSM436322_sample_table.txt norm	GSM436322_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17500/E-GEOD-17500.processed.1.zip	AFB1 overexpression	none
