Source Name	Material Type	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Comment[Sample_source_name]	Comment[Sample_characteristics]	Protocol REF	Sample Name	Material Type	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Material Type	Label	Hybridization Name	Array Design REF	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Comment[CDF]
GSE18112GSM452702	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Developing seeds of the KD mutant 14DAF, Developing seeds of the KD mutant 14DAF (days after flowering), during mid maturation-reserve accumulation. type: Excised seeds; ecotype: Wassilewskija; age: 14DAF(days after flowering); genotype: KD	Developing seeds of the KD mutant 14DAF	type: Excised seeds; ecotype: Wassilewskija; age: 14DAF(days after flowering); genotype: KD	P-G18112-1	GSE18112GSM452702 sample	organism_part	P-G18112-4	GSE18112GSM452702 extract	total_RNA	P-G18112-2	GSE18112GSM452702 LE biotin	synthetic_RNA	biotin	Seed_KD_14DAF_2	A-AFFY-2	P-G18112-3	GSE18112GSM452702 Norm	GSM452702_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18112/E-GEOD-18112.processed.1.zip	ATH1-121501.CDF
GSE18112GSM452703	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Developing seeds of the KD mutant 16DAF, Developing seeds of the KD mutant 16DAF (days after flowering), during end of maturation-reserve accumulation. type: Excised seeds; ecotype: Wassilewskija; age: 16DAF(days after flowering); genotype: KD	Developing seeds of the KD mutant 16DAF	type: Excised seeds; ecotype: Wassilewskija; age: 16DAF(days after flowering); genotype: KD	P-G18112-1	GSE18112GSM452703 sample	organism_part	P-G18112-4	GSE18112GSM452703 extract	total_RNA	P-G18112-2	GSE18112GSM452703 LE biotin	synthetic_RNA	biotin	Seed_KD_16DAF_2	A-AFFY-2	P-G18112-3	GSE18112GSM452703 Norm	GSM452703_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18112/E-GEOD-18112.processed.1.zip	ATH1-121501.CDF
GSE18112GSM452705	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Dry seeds of the KD mutant, Dry seeds of the KD mutant. type: Dry seeds; ecotype: Wassilewskija; genotype: KD	Dry seeds of the KD mutant	type: Dry seeds; ecotype: Wassilewskija; genotype: KD	P-G18112-1	GSE18112GSM452705 sample	organism_part	P-G18112-4	GSE18112GSM452705 extract	total_RNA	P-G18112-2	GSE18112GSM452705 LE biotin	synthetic_RNA	biotin	Seed_KD_dry_2	A-AFFY-2	P-G18112-3	GSE18112GSM452705 Norm	GSM452705_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18112/E-GEOD-18112.processed.1.zip	ATH1-121501.CDF
GSE18112GSM452706	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Developing seeds of the WT - 14DAF, Developing seeds of WT-WS ecotype 14DAF (days after flowering), during mid maturation-reserve accumulation. type: Excised seeds; ecotype: Wassilewskija; age: 14DAF(days after flowering); genotype: WT	Developing seeds of the WT - 14DAF	type: Excised seeds; ecotype: Wassilewskija; age: 14DAF(days after flowering); genotype: WT	P-G18112-1	GSE18112GSM452706 sample	organism_part	P-G18112-4	GSE18112GSM452706 extract	total_RNA	P-G18112-2	GSE18112GSM452706 LE biotin	synthetic_RNA	biotin	Seed_WT_14DAF_2	A-AFFY-2	P-G18112-3	GSE18112GSM452706 Norm	GSM452706_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18112/E-GEOD-18112.processed.1.zip	ATH1-121501.CDF
GSE18112GSM452707	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Developing seeds of the WT- 16DAF, Developing seeds of WT-WS ecotype 16DAF (days after flowering), during end of maturation-reserve accumulation. type: Excised seeds; ecotype: Wassilewskija; age: 16DAF(days after flowering); genotype: WT	Developing seeds of the WT- 16DAF	type: Excised seeds; ecotype: Wassilewskija; age: 16DAF(days after flowering); genotype: WT	P-G18112-1	GSE18112GSM452707 sample	organism_part	P-G18112-4	GSE18112GSM452707 extract	total_RNA	P-G18112-2	GSE18112GSM452707 LE biotin	synthetic_RNA	biotin	Seed_WT_16DAF_2	A-AFFY-2	P-G18112-3	GSE18112GSM452707 Norm	GSM452707_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18112/E-GEOD-18112.processed.1.zip	ATH1-121501.CDF
GSE18112GSM452708	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Dry seeds of the WT, Dry seeds of the WT (WS ecotype).. type: Dry seeds; ecotype: Wassilewskija; genotype: WT	Dry seeds of the WT	type: Dry seeds; ecotype: Wassilewskija; genotype: WT	P-G18112-1	GSE18112GSM452708 sample	organism_part	P-G18112-4	GSE18112GSM452708 extract	total_RNA	P-G18112-2	GSE18112GSM452708 LE biotin	synthetic_RNA	biotin	Seed_WT_Dry_2	A-AFFY-2	P-G18112-3	GSE18112GSM452708 Norm	GSM452708_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18112/E-GEOD-18112.processed.1.zip	ATH1-121501.CDF
GSE18112GSM452709	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Developing seeds of the KD mutant 14DAF, Developing seeds of the KD mutant 14DAF (days after flowering), during mid maturation-reserve accumulation. type: Excised seeds; ecotype: Wassilewskija; age: 14DAF(days after flowering); genotype: KD	Developing seeds of the KD mutant 14DAF	type: Excised seeds; ecotype: Wassilewskija; age: 14DAF(days after flowering); genotype: KD	P-G18112-1	GSE18112GSM452709 sample	organism_part	P-G18112-4	GSE18112GSM452709 extract	total_RNA	P-G18112-2	GSE18112GSM452709 LE biotin	synthetic_RNA	biotin	Seed_KD_14DAF_1	A-AFFY-2	P-G18112-3	GSE18112GSM452709 Norm	GSM452709_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18112/E-GEOD-18112.processed.1.zip	ATH1-121501.CDF
GSE18112GSM452710	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Developing seeds of the KD mutant 16DAF, Developing seeds of the KD mutant 16DAF (days after flowering), during end of maturation-reserve accumulation. type: Excised seeds; ecotype: Wassilewskija; age: 16DAF(days after flowering); genotype: KD	Developing seeds of the KD mutant 16DAF	type: Excised seeds; ecotype: Wassilewskija; age: 16DAF(days after flowering); genotype: KD	P-G18112-1	GSE18112GSM452710 sample	organism_part	P-G18112-4	GSE18112GSM452710 extract	total_RNA	P-G18112-2	GSE18112GSM452710 LE biotin	synthetic_RNA	biotin	Seed_KD_16DAF_1	A-AFFY-2	P-G18112-3	GSE18112GSM452710 Norm	GSM452710_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18112/E-GEOD-18112.processed.1.zip	ATH1-121501.CDF
GSE18112GSM452711	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Dry seeds of the WT, Dry seeds of the KD mutant.. type: Dry seeds; ecotype: Wassilewskija; genotype: KD	Dry seeds of the WT	type: Dry seeds; ecotype: Wassilewskija; genotype: KD	P-G18112-1	GSE18112GSM452711 sample	organism_part	P-G18112-4	GSE18112GSM452711 extract	total_RNA	P-G18112-2	GSE18112GSM452711 LE biotin	synthetic_RNA	biotin	Seed_KD_Dry_1	A-AFFY-2	P-G18112-3	GSE18112GSM452711 Norm	GSM452711_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18112/E-GEOD-18112.processed.1.zip	ATH1-121501.CDF
GSE18112GSM452722	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Excised seeds, Developing seeds of the WT 14DAF (days after flowering), during mid maturation-reserve accumulation.. type: Excised seeds; ecotype: Wassilewskija; age: 14DAF(days after flowering); genotype: WT	Excised seeds	type: Excised seeds; ecotype: Wassilewskija; age: 14DAF(days after flowering); genotype: WT	P-G18112-1	GSE18112GSM452722 sample	organism_part	P-G18112-4	GSE18112GSM452722 extract	total_RNA	P-G18112-2	GSE18112GSM452722 LE biotin	synthetic_RNA	biotin	Seed_WT_14DAF_1	A-AFFY-2	P-G18112-3	GSE18112GSM452722 Norm	GSM452722_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18112/E-GEOD-18112.processed.1.zip	ATH1-121501.CDF
GSE18112GSM452723	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Developing seeds of the KD mutant 16DAF, Developing seeds of the WT 16DAF (days after flowering), during end of maturation-reserve accumulation.. type: Excised seeds; ecotype: Wassilewskija; age: 16DAF(days after flowering); genotype: WT	Developing seeds of the KD mutant 16DAF	type: Excised seeds; ecotype: Wassilewskija; age: 16DAF(days after flowering); genotype: WT	P-G18112-1	GSE18112GSM452723 sample	organism_part	P-G18112-4	GSE18112GSM452723 extract	total_RNA	P-G18112-2	GSE18112GSM452723 LE biotin	synthetic_RNA	biotin	Seed_WT_16DAF_1	A-AFFY-2	P-G18112-3	GSE18112GSM452723 Norm	GSM452723_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18112/E-GEOD-18112.processed.1.zip	ATH1-121501.CDF
GSE18112GSM452724	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Dry seeds of the WT, Dry seeds of the WT. type: Dry seeds; ecotype: Wassilewskija; genotype: WT	Dry seeds of the WT	type: Dry seeds; ecotype: Wassilewskija; genotype: WT	P-G18112-1	GSE18112GSM452724 sample	organism_part	P-G18112-4	GSE18112GSM452724 extract	total_RNA	P-G18112-2	GSE18112GSM452724 LE biotin	synthetic_RNA	biotin	Seed_WS_Dry_1	A-AFFY-2	P-G18112-3	GSE18112GSM452724 Norm	GSM452724_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18112/E-GEOD-18112.processed.1.zip	ATH1-121501.CDF
