Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Description	Comment [Sample_source_name]	Comment [Sample_characteristics]	Characteristics[ecotype]	Characteristics[organism part]	Characteristics[developmental stage]	Characteristics[age]	Unit[time unit]	Characteristics[genotype]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[growth condition]	FactorValue[genotype]
GSE18818GSM466634	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"T-DNA-insertion mutant of LBD37 (KO37) seedling in full nutrition (FN), grown in sterile liquid culture (Scheible et al., 2004) for nine days in N-replete conditions (FN, 4 mM KNO3). ecotype: Col-0; tissue: whole seedling; age: 9 days; treatment: full nutrition"	T-DNA-insertion mutant of LBD37 (KO37) seedling in full nutrition (FN)	ecotype: Col-0; tissue: whole seedling; age: 9 days; treatment: full nutrition	Col-0	whole organism	seedling	9	day	LBD37 knockout	P-G18818-1	P-G18818-2	GSE18818GSM466634 sample	P-G18818-5	GSE18818GSM466634 extract	total_RNA	P-G18818-3	GSE18818GSM466634 LE biotin	biotin	synthetic_RNA	"T-DNA-insertion mutant of LBD37 seedling in FN, biological rep2"	A-AFFY-2	P-AFFY-6	GSM466634.CEL	GSM466634.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18818/E-GEOD-18818.raw.1.zip	P-G18818-4	E-GEOD-18818-processed-data-1833552538.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18818/E-GEOD-18818.processed.1.zip	full nitrogen	LBD37 knockout
GSE18818GSM466633	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"T-DNA-insertion mutant of LBD37 (KO37) seedling in full nutrition (FN), grown in sterile liquid culture (Scheible et al., 2004) for nine days in N-replete conditions (FN, 4 mM KNO3). ecotype: Col-0; tissue: whole seedling; age: 9 days; treatment: full nutrition"	T-DNA-insertion mutant of LBD37 (KO37) seedling in full nutrition (FN)	ecotype: Col-0; tissue: whole seedling; age: 9 days; treatment: full nutrition	Col-0	whole organism	seedling	9	day	LBD37 knockout	P-G18818-1	P-G18818-2	GSE18818GSM466633 sample	P-G18818-5	GSE18818GSM466633 extract	total_RNA	P-G18818-3	GSE18818GSM466633 LE biotin	biotin	synthetic_RNA	"T-DNA-insertion mutant of LBD37 seedling in FN, biological rep1"	A-AFFY-2	P-AFFY-6	GSM466633.CEL	GSM466633.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18818/E-GEOD-18818.raw.1.zip	P-G18818-4	E-GEOD-18818-processed-data-1833552538.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18818/E-GEOD-18818.processed.1.zip	full nitrogen	LBD37 knockout
GSE18818GSM466635	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"T-DNA-insertion mutant of LBD37 (KO37) seedling in full nutrition (FN), grown in sterile liquid culture (Scheible et al., 2004) for nine days in N-replete conditions (FN, 4 mM KNO3). ecotype: Col-0; tissue: whole seedling; age: 9 days; treatment: full nutrition"	T-DNA-insertion mutant of LBD37 (KO37) seedling in full nutrition (FN)	ecotype: Col-0; tissue: whole seedling; age: 9 days; treatment: full nutrition	Col-0	whole organism	seedling	9	day	LBD37 knockout	P-G18818-1	P-G18818-2	GSE18818GSM466635 sample	P-G18818-5	GSE18818GSM466635 extract	total_RNA	P-G18818-3	GSE18818GSM466635 LE biotin	biotin	synthetic_RNA	"T-DNA-insertion mutant of LBD37 seedling in FN, biological rep3"	A-AFFY-2	P-AFFY-6	GSM466635.CEL	GSM466635.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18818/E-GEOD-18818.raw.1.zip	P-G18818-4	E-GEOD-18818-processed-data-1833552538.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18818/E-GEOD-18818.processed.1.zip	full nitrogen	LBD37 knockout
GSE18818GSM466625	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"overexpresser of LBD37 (OX37) seedling in nitrogen depletion (noN), grown first during 7 days in FN and then for 2 days in N-deplete conditions (no N added; noN). ecotype: Col-0; tissue: whole seedling; age: 9 days; treatment: nitrogen depletion"	overexpresser of LBD37 (OX37) seedling in nitrogen depletion (noN)	ecotype: Col-0; tissue: whole seedling; age: 9 days; treatment: nitrogen depletion	Col-0	whole organism	seedling	9	day	LBD37 overexpression	P-G18818-1	P-G18818-2	GSE18818GSM466625 sample	P-G18818-5	GSE18818GSM466625 extract	total_RNA	P-G18818-3	GSE18818GSM466625 LE biotin	biotin	synthetic_RNA	"overexpresser of LBD37 seedlings in noN, biological rep2"	A-AFFY-2	P-AFFY-6	GSM466625.CEL	GSM466625.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18818/E-GEOD-18818.raw.1.zip	P-G18818-4	E-GEOD-18818-processed-data-1833552538.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18818/E-GEOD-18818.processed.1.zip	nitrogen depletion	LBD37 overexpression
GSE18818GSM466626	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"overexpresser of LBD37 (OX37) seedling in nitrogen depletion (noN), grown first during 7 days in FN and then for 2 days in N-deplete conditions (no N added; noN). ecotype: Col-0; tissue: whole seedling; age: 9 days; treatment: nitrogen depletion"	overexpresser of LBD37 (OX37) seedling in nitrogen depletion (noN)	ecotype: Col-0; tissue: whole seedling; age: 9 days; treatment: nitrogen depletion	Col-0	whole organism	seedling	9	day	LBD37 overexpression	P-G18818-1	P-G18818-2	GSE18818GSM466626 sample	P-G18818-5	GSE18818GSM466626 extract	total_RNA	P-G18818-3	GSE18818GSM466626 LE biotin	biotin	synthetic_RNA	"overexpresser of LBD37 seedlings in noN, biological rep3"	A-AFFY-2	P-AFFY-6	GSM466626.CEL	GSM466626.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18818/E-GEOD-18818.raw.1.zip	P-G18818-4	E-GEOD-18818-processed-data-1833552538.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18818/E-GEOD-18818.processed.1.zip	nitrogen depletion	LBD37 overexpression
GSE18818GSM466624	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"overexpresser of LBD37 (OX37) seedling in nitrogen depletion (noN), grown first during 7 days in FN and then for 2 days in N-deplete conditions (no N added; noN). ecotype: Col-0; tissue: whole seedling; age: 9 days; treatment: nitrogen depletion"	overexpresser of LBD37 (OX37) seedling in nitrogen depletion (noN)	ecotype: Col-0; tissue: whole seedling; age: 9 days; treatment: nitrogen depletion	Col-0	whole organism	seedling	9	day	LBD37 overexpression	P-G18818-1	P-G18818-2	GSE18818GSM466624 sample	P-G18818-5	GSE18818GSM466624 extract	total_RNA	P-G18818-3	GSE18818GSM466624 LE biotin	biotin	synthetic_RNA	"overexpresser of LBD37 seedlings in noN, biological rep1"	A-AFFY-2	P-AFFY-6	GSM466624.CEL	GSM466624.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18818/E-GEOD-18818.raw.1.zip	P-G18818-4	E-GEOD-18818-processed-data-1833552538.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18818/E-GEOD-18818.processed.1.zip	nitrogen depletion	LBD37 overexpression
GSE18818GSM466638	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"T-DNA-insertion mutant of LBD38 (KO38) seedling in full nutrition (FN), grown in sterile liquid culture (Scheible et al., 2004) for nine days in N-replete conditions (FN, 4 mM KNO3). ecotype: Col-0; tissue: whole seedling; age: 9 days; treatment: full nutrition"	T-DNA-insertion mutant of LBD38 (KO38) seedling in full nutrition (FN)	ecotype: Col-0; tissue: whole seedling; age: 9 days; treatment: full nutrition	Col-0	whole organism	seedling	9	day	LBD38 knockout	P-G18818-1	P-G18818-2	GSE18818GSM466638 sample	P-G18818-5	GSE18818GSM466638 extract	total_RNA	P-G18818-3	GSE18818GSM466638 LE biotin	biotin	synthetic_RNA	"T-DNA-insertion mutant of LBD38 seedling in FN, biological rep3"	A-AFFY-2	P-AFFY-6	GSM466638.CEL	GSM466638.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18818/E-GEOD-18818.raw.1.zip	P-G18818-4	E-GEOD-18818-processed-data-1833552538.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18818/E-GEOD-18818.processed.1.zip	full nitrogen	LBD38 knockout
GSE18818GSM466636	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"T-DNA-insertion mutant of LBD38 (KO38) seedling in full nutrition (FN), grown in sterile liquid culture (Scheible et al., 2004) for nine days in N-replete conditions (FN, 4 mM KNO3). ecotype: Col-0; tissue: whole seedling; age: 9 days; treatment: full nutrition"	T-DNA-insertion mutant of LBD38 (KO38) seedling in full nutrition (FN)	ecotype: Col-0; tissue: whole seedling; age: 9 days; treatment: full nutrition	Col-0	whole organism	seedling	9	day	LBD38 knockout	P-G18818-1	P-G18818-2	GSE18818GSM466636 sample	P-G18818-5	GSE18818GSM466636 extract	total_RNA	P-G18818-3	GSE18818GSM466636 LE biotin	biotin	synthetic_RNA	"T-DNA-insertion mutant of LBD38 seedling in FN, biological rep1"	A-AFFY-2	P-AFFY-6	GSM466636.CEL	GSM466636.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18818/E-GEOD-18818.raw.1.zip	P-G18818-4	E-GEOD-18818-processed-data-1833552538.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18818/E-GEOD-18818.processed.1.zip	full nitrogen	LBD38 knockout
GSE18818GSM466637	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"T-DNA-insertion mutant of LBD38 (KO38) seedling in full nutrition (FN), grown in sterile liquid culture (Scheible et al., 2004) for nine days in N-replete conditions (FN, 4 mM KNO3). ecotype: Col-0; tissue: whole seedling; age: 9 days; treatment: full nutrition"	T-DNA-insertion mutant of LBD38 (KO38) seedling in full nutrition (FN)	ecotype: Col-0; tissue: whole seedling; age: 9 days; treatment: full nutrition	Col-0	whole organism	seedling	9	day	LBD38 knockout	P-G18818-1	P-G18818-2	GSE18818GSM466637 sample	P-G18818-5	GSE18818GSM466637 extract	total_RNA	P-G18818-3	GSE18818GSM466637 LE biotin	biotin	synthetic_RNA	"T-DNA-insertion mutant of LBD38 seedling in FN, biological rep2"	A-AFFY-2	P-AFFY-6	GSM466637.CEL	GSM466637.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18818/E-GEOD-18818.raw.1.zip	P-G18818-4	E-GEOD-18818-processed-data-1833552538.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18818/E-GEOD-18818.processed.1.zip	full nitrogen	LBD38 knockout
GSE18818GSM466627	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"overexpresser of LBD38 (OX38) seedling in nitrogen depletion (noN), grown first during 7 days in FN and then for 2 days in N-deplete conditions (no N added; noN). ecotype: Col-0; tissue: whole seedling; age: 9 days; treatment: nitrogen depletion"	overexpresser of LBD38 (OX38) seedling in nitrogen depletion (noN)	ecotype: Col-0; tissue: whole seedling; age: 9 days; treatment: nitrogen depletion	Col-0	whole organism	seedling	9	day	LBD38 overexpression	P-G18818-1	P-G18818-2	GSE18818GSM466627 sample	P-G18818-5	GSE18818GSM466627 extract	total_RNA	P-G18818-3	GSE18818GSM466627 LE biotin	biotin	synthetic_RNA	"overexpresser of LBD38 seedlings in noN, biological rep1"	A-AFFY-2	P-AFFY-6	GSM466627.CEL	GSM466627.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18818/E-GEOD-18818.raw.1.zip	P-G18818-4	E-GEOD-18818-processed-data-1833552538.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18818/E-GEOD-18818.processed.1.zip	nitrogen depletion	LBD38 overexpression
