Source Name	Material Type	Characteristics [organism]	Term Source REF	Term Accession Number	Description	Comment[Sample_source_name]	Characteristics[developmental stage]	Characteristics[ecotype]	Comment[Sample_characteristics]	Characteristics[organism part]	Sample Name	Material Type	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Material Type	Label	Hybridization Name	Array Design REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Comment[CDF]	FactorValue[time]	Unit[time unit]	FactorValue[compound]	FactorValue[ecotype]
GSE18975GSM469715	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"Bay-0 x Shahdara Core-Pop Bay-0 Parent, After sterilization, seeds were incubated in sterile water in the dark for 5 days at 4Â°C prior to cultivation  Seed were washed briefly (4 min) in 70% ethanol followed by an 8 min treatment with bleach. Afterwards seeds were washed 3 times with sterile deionised water. After final wash, seeds were resuspended in sterile deionised water and subjected to stratification  Sterilized and stratified seeds were grown in 300 ml Erlenmeyer flasks containing 100 ml of sterile liquid ATS medium. Plants were cultivated on a shaker for 7 days at 90 rpm and 22 Â°C under constant white fluorescent light. For the last 24 hours of cultivation the light was filtered by yellow plexiglas (yellow 2208)to prevent photodegradation of IAA.  Reference for ATS medium:, Lincoln C, Britton JH, Estelle M (1990) Growth and Development of the axr1 Mutants of Arabidopsis. Plant Cell 2: 1071-1080  autoclaved  22 Â°C average, 22 Â°C day, 22 Â°C night 70 % average, 70 % day, 70 % night Own medium: ATS medium according to Lincoln et al. (1990)  Constant light. developmental stage: 1.0; tissue: whole plant; stock code: N57923; strain/ecotype: Bay-0; genome/variation: recombinant inbred line"	Bay-0 x Shahdara Core-Pop Bay-0 Parent	Boyes key 1.0	Bay-0	developmental stage: 1.0; tissue: whole plant; stock code: N57923; strain/ecotype: Bay-0; genome/variation: recombinant inbred line	whole organism	GSE18975GSM469715 sample	organism_part	P-G18975-3	GSE18975GSM469715 extract	total_RNA	P-G18975-1	GSE18975GSM469715 LE biotin	synthetic_RNA	biotin	Quint_2-3_Bay-0-0h_Rep3_ATH1	A-AFFY-2	GSM469715	GSM469715.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18975/E-GEOD-18975.raw.1.zip	P-G18975-2	GSE18975GSM469715 Norm	GSM469715_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18975/E-GEOD-18975.processed.1.zip	ATH1-121501.CDF	0	hour	none	Bay-0
GSE18975GSM469716	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"Bay-0 x Shahdara Core-Pop Bay-0 Parent, After sterilization, seeds were incubated in sterile water in the dark for 5 days at 4Â°C prior to cultivation  Seed were washed briefly (4 min) in 70% ethanol followed by an 8 min treatment with bleach. Afterwards seeds were washed 3 times with sterile deionised water. After final wash, seeds were resuspended in sterile deionised water and subjected to stratification  Sterilized and stratified seeds were grown in 300 ml Erlenmeyer flasks containing 100 ml of sterile liquid ATS medium. Plants were cultivated on a shaker for 7 days at 90 rpm and 22 Â°C under constant white fluorescent light. For the last 24 hours of cultivation the light was filtered by yellow plexiglas (yellow 2208)to prevent photodegradation of IAA.  Reference for ATS medium:, Lincoln C, Britton JH, Estelle M (1990) Growth and Development of the axr1 Mutants of Arabidopsis. Plant Cell 2: 1071-1080  autoclaved  22 Â°C average, 22 Â°C day, 22 Â°C night 70 % average, 70 % day, 70 % night Own medium: ATS medium according to Lincoln et al. (1990)  Constant light. developmental stage: 1.0; tissue: whole plant; stock code: N57923; strain/ecotype: Bay-0; genome/variation: recombinant inbred line"	Bay-0 x Shahdara Core-Pop Bay-0 Parent	Boyes key 1.0	Bay-0	developmental stage: 1.0; tissue: whole plant; stock code: N57923; strain/ecotype: Bay-0; genome/variation: recombinant inbred line	whole organism	GSE18975GSM469716 sample	organism_part	P-G18975-3	GSE18975GSM469716 extract	total_RNA	P-G18975-1	GSE18975GSM469716 LE biotin	synthetic_RNA	biotin	Quint_2-2_Bay-0-0h_Rep2_ATH1	A-AFFY-2	GSM469716	GSM469716.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18975/E-GEOD-18975.raw.1.zip	P-G18975-2	GSE18975GSM469716 Norm	GSM469716_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18975/E-GEOD-18975.processed.1.zip	ATH1-121501.CDF	0	hour	none	Bay-0
GSE18975GSM469717	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"Bay-0 x Shahdara Core-Pop Bay-0 Parent, After sterilization, seeds were incubated in sterile water in the dark for 5 days at 4Â°C prior to cultivation  Seed were washed briefly (4 min) in 70% ethanol followed by an 8 min treatment with bleach. Afterwards seeds were washed 3 times with sterile deionised water. After final wash, seeds were resuspended in sterile deionised water and subjected to stratification  Sterilized and stratified seeds were grown in 300 ml Erlenmeyer flasks containing 100 ml of sterile liquid ATS medium. Plants were cultivated on a shaker for 7 days at 90 rpm and 22 Â°C under constant white fluorescent light. For the last 24 hours of cultivation the light was filtered by yellow plexiglas (yellow 2208)to prevent photodegradation of IAA.  Reference for ATS medium:, Lincoln C, Britton JH, Estelle M (1990) Growth and Development of the axr1 Mutants of Arabidopsis. Plant Cell 2: 1071-1080  autoclaved  22 Â°C average, 22 Â°C day, 22 Â°C night 70 % average, 70 % day, 70 % night Own medium: ATS medium according to Lincoln et al. (1990)  Constant light. developmental stage: 1.0; tissue: whole plant; stock code: N57923; strain/ecotype: Bay-0; genome/variation: recombinant inbred line"	Bay-0 x Shahdara Core-Pop Bay-0 Parent	Boyes key 1.0	Bay-0	developmental stage: 1.0; tissue: whole plant; stock code: N57923; strain/ecotype: Bay-0; genome/variation: recombinant inbred line	whole organism	GSE18975GSM469717 sample	organism_part	P-G18975-3	GSE18975GSM469717 extract	total_RNA	P-G18975-1	GSE18975GSM469717 LE biotin	synthetic_RNA	biotin	Quint_2-1_Bay-0-0h_Rep1_ATH1	A-AFFY-2	GSM469717	GSM469717.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18975/E-GEOD-18975.raw.1.zip	P-G18975-2	GSE18975GSM469717 Norm	GSM469717_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18975/E-GEOD-18975.processed.1.zip	ATH1-121501.CDF	0	hour	none	Bay-0
GSE18975GSM469712	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"Bay-0 x Shahdara Core-Pop Bay-0 Parent, After sterilization, seeds were incubated in sterile water in the dark for 5 days at 4Â°C prior to cultivation  Seed were washed briefly (4 min) in 70% ethanol followed by an 8 min treatment with bleach. Afterwards seeds were washed 3 times with sterile deionised water. After final wash, seeds were resuspended in sterile deionised water and subjected to stratification  Sterilized and stratified seeds were grown in 300 ml Erlenmeyer flasks containing 100 ml of sterile liquid ATS medium. Plants were cultivated on a shaker for 7 days at 90 rpm and 22 Â°C under constant white fluorescent light. For the last 24 hours of cultivation the light was filtered by yellow plexiglas (yellow 2208)to prevent photodegradation of IAA.  Reference for ATS medium:, Lincoln C, Britton JH, Estelle M (1990) Growth and Development of the axr1 Mutants of Arabidopsis. Plant Cell 2: 1071-1080  autoclaved  22 Â°C average, 22 Â°C day, 22 Â°C night 70 % average, 70 % day, 70 % night Own medium: ATS medium according to Lincoln et al. (1990)  Constant light. developmental stage: 1.0; tissue: whole plant; stock code: N57923; strain/ecotype: Bay-0; genome/variation: recombinant inbred line"	Bay-0 x Shahdara Core-Pop Bay-0 Parent	Boyes key 1.0	Bay-0	developmental stage: 1.0; tissue: whole plant; stock code: N57923; strain/ecotype: Bay-0; genome/variation: recombinant inbred line	whole organism	GSE18975GSM469712 sample	organism_part	P-G18975-3	GSE18975GSM469712 extract	total_RNA	P-G18975-1	GSE18975GSM469712 LE biotin	synthetic_RNA	biotin	Quint_2-6_Bay-0-30min_Rep3_ATH1	A-AFFY-2	GSM469712	GSM469712.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18975/E-GEOD-18975.raw.1.zip	P-G18975-2	GSE18975GSM469712 Norm	GSM469712_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18975/E-GEOD-18975.processed.1.zip	ATH1-121501.CDF	0.5	hour	indole-3-acetic acid	Bay-0
GSE18975GSM469713	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"Bay-0 x Shahdara Core-Pop Bay-0 Parent, After sterilization, seeds were incubated in sterile water in the dark for 5 days at 4Â°C prior to cultivation  Seed were washed briefly (4 min) in 70% ethanol followed by an 8 min treatment with bleach. Afterwards seeds were washed 3 times with sterile deionised water. After final wash, seeds were resuspended in sterile deionised water and subjected to stratification  Sterilized and stratified seeds were grown in 300 ml Erlenmeyer flasks containing 100 ml of sterile liquid ATS medium. Plants were cultivated on a shaker for 7 days at 90 rpm and 22 Â°C under constant white fluorescent light. For the last 24 hours of cultivation the light was filtered by yellow plexiglas (yellow 2208)to prevent photodegradation of IAA.  Reference for ATS medium:, Lincoln C, Britton JH, Estelle M (1990) Growth and Development of the axr1 Mutants of Arabidopsis. Plant Cell 2: 1071-1080  autoclaved  22 Â°C average, 22 Â°C day, 22 Â°C night 70 % average, 70 % day, 70 % night Own medium: ATS medium according to Lincoln et al. (1990)  Constant light. developmental stage: 1.0; tissue: whole plant; stock code: N57923; strain/ecotype: Bay-0; genome/variation: recombinant inbred line"	Bay-0 x Shahdara Core-Pop Bay-0 Parent	Boyes key 1.0	Bay-0	developmental stage: 1.0; tissue: whole plant; stock code: N57923; strain/ecotype: Bay-0; genome/variation: recombinant inbred line	whole organism	GSE18975GSM469713 sample	organism_part	P-G18975-3	GSE18975GSM469713 extract	total_RNA	P-G18975-1	GSE18975GSM469713 LE biotin	synthetic_RNA	biotin	Quint_2-5_Bay-0-30min_Rep2_ATH1	A-AFFY-2	GSM469713	GSM469713.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18975/E-GEOD-18975.raw.1.zip	P-G18975-2	GSE18975GSM469713 Norm	GSM469713_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18975/E-GEOD-18975.processed.1.zip	ATH1-121501.CDF	0.5	hour	indole-3-acetic acid	Bay-0
GSE18975GSM469714	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"Bay-0 x Shahdara Core-Pop Bay-0 Parent, After sterilization, seeds were incubated in sterile water in the dark for 5 days at 4Â°C prior to cultivation  Seed were washed briefly (4 min) in 70% ethanol followed by an 8 min treatment with bleach. Afterwards seeds were washed 3 times with sterile deionised water. After final wash, seeds were resuspended in sterile deionised water and subjected to stratification  Sterilized and stratified seeds were grown in 300 ml Erlenmeyer flasks containing 100 ml of sterile liquid ATS medium. Plants were cultivated on a shaker for 7 days at 90 rpm and 22 Â°C under constant white fluorescent light. For the last 24 hours of cultivation the light was filtered by yellow plexiglas (yellow 2208)to prevent photodegradation of IAA.  Reference for ATS medium:, Lincoln C, Britton JH, Estelle M (1990) Growth and Development of the axr1 Mutants of Arabidopsis. Plant Cell 2: 1071-1080  autoclaved  22 Â°C average, 22 Â°C day, 22 Â°C night 70 % average, 70 % day, 70 % night Own medium: ATS medium according to Lincoln et al. (1990)  Constant light. developmental stage: 1.0; tissue: whole plant; stock code: N57923; strain/ecotype: Bay-0; genome/variation: recombinant inbred line"	Bay-0 x Shahdara Core-Pop Bay-0 Parent	Boyes key 1.0	Bay-0	developmental stage: 1.0; tissue: whole plant; stock code: N57923; strain/ecotype: Bay-0; genome/variation: recombinant inbred line	whole organism	GSE18975GSM469714 sample	organism_part	P-G18975-3	GSE18975GSM469714 extract	total_RNA	P-G18975-1	GSE18975GSM469714 LE biotin	synthetic_RNA	biotin	Quint_2-4_Bay-0-30min_Rep1_ATH1	A-AFFY-2	GSM469714	GSM469714.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18975/E-GEOD-18975.raw.1.zip	P-G18975-2	GSE18975GSM469714 Norm	GSM469714_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18975/E-GEOD-18975.processed.1.zip	ATH1-121501.CDF	0.5	hour	indole-3-acetic acid	Bay-0
GSE18975GSM469709	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"Bay-0 x Shahdara Core-Pop Bay-0 Parent, After sterilization, seeds were incubated in sterile water in the dark for 5 days at 4Â°C prior to cultivation  Seed were washed briefly (4 min) in 70% ethanol followed by an 8 min treatment with bleach. Afterwards seeds were washed 3 times with sterile deionised water. After final wash, seeds were resuspended in sterile deionised water and subjected to stratification  Sterilized and stratified seeds were grown in 300 ml Erlenmeyer flasks containing 100 ml of sterile liquid ATS medium. Plants were cultivated on a shaker for 7 days at 90 rpm and 22 Â°C under constant white fluorescent light. For the last 24 hours of cultivation the light was filtered by yellow plexiglas (yellow 2208)to prevent photodegradation of IAA.  Reference for ATS medium:, Lincoln C, Britton JH, Estelle M (1990) Growth and Development of the axr1 Mutants of Arabidopsis. Plant Cell 2: 1071-1080  autoclaved  22 Â°C average, 22 Â°C day, 22 Â°C night 70 % average, 70 % day, 70 % night Own medium: ATS medium according to Lincoln et al. (1990)  Constant light. developmental stage: 1.0; tissue: whole plant; stock code: N57923; strain/ecotype: Bay-0; genome/variation: recombinant inbred line"	Bay-0 x Shahdara Core-Pop Bay-0 Parent	Boyes key 1.0	Bay-0	developmental stage: 1.0; tissue: whole plant; stock code: N57923; strain/ecotype: Bay-0; genome/variation: recombinant inbred line	whole organism	GSE18975GSM469709 sample	organism_part	P-G18975-3	GSE18975GSM469709 extract	total_RNA	P-G18975-1	GSE18975GSM469709 LE biotin	synthetic_RNA	biotin	Quint_2-9_Bay-0-1h_Rep3_ATH1	A-AFFY-2	GSM469709	GSM469709.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18975/E-GEOD-18975.raw.1.zip	P-G18975-2	GSE18975GSM469709 Norm	GSM469709_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18975/E-GEOD-18975.processed.1.zip	ATH1-121501.CDF	1	hour	indole-3-acetic acid	Bay-0
GSE18975GSM469710	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"Bay-0 x Shahdara Core-Pop Bay-0 Parent, After sterilization, seeds were incubated in sterile water in the dark for 5 days at 4Â°C prior to cultivation  Seed were washed briefly (4 min) in 70% ethanol followed by an 8 min treatment with bleach. Afterwards seeds were washed 3 times with sterile deionised water. After final wash, seeds were resuspended in sterile deionised water and subjected to stratification  Sterilized and stratified seeds were grown in 300 ml Erlenmeyer flasks containing 100 ml of sterile liquid ATS medium. Plants were cultivated on a shaker for 7 days at 90 rpm and 22 Â°C under constant white fluorescent light. For the last 24 hours of cultivation the light was filtered by yellow plexiglas (yellow 2208)to prevent photodegradation of IAA.  Reference for ATS medium:, Lincoln C, Britton JH, Estelle M (1990) Growth and Development of the axr1 Mutants of Arabidopsis. Plant Cell 2: 1071-1080  autoclaved  22 Â°C average, 22 Â°C day, 22 Â°C night 70 % average, 70 % day, 70 % night Own medium: ATS medium according to Lincoln et al. (1990)  Constant light. developmental stage: 1.0; tissue: whole plant; stock code: N57923; strain/ecotype: Bay-0; genome/variation: recombinant inbred line"	Bay-0 x Shahdara Core-Pop Bay-0 Parent	Boyes key 1.0	Bay-0	developmental stage: 1.0; tissue: whole plant; stock code: N57923; strain/ecotype: Bay-0; genome/variation: recombinant inbred line	whole organism	GSE18975GSM469710 sample	organism_part	P-G18975-3	GSE18975GSM469710 extract	total_RNA	P-G18975-1	GSE18975GSM469710 LE biotin	synthetic_RNA	biotin	Quint_2-8_Bay-0-1h_Rep2_ATH1	A-AFFY-2	GSM469710	GSM469710.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18975/E-GEOD-18975.raw.1.zip	P-G18975-2	GSE18975GSM469710 Norm	GSM469710_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18975/E-GEOD-18975.processed.1.zip	ATH1-121501.CDF	1	hour	indole-3-acetic acid	Bay-0
GSE18975GSM469711	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"Bay-0 x Shahdara Core-Pop Bay-0 Parent, After sterilization, seeds were incubated in sterile water in the dark for 5 days at 4Â°C prior to cultivation  Seed were washed briefly (4 min) in 70% ethanol followed by an 8 min treatment with bleach. Afterwards seeds were washed 3 times with sterile deionised water. After final wash, seeds were resuspended in sterile deionised water and subjected to stratification  Sterilized and stratified seeds were grown in 300 ml Erlenmeyer flasks containing 100 ml of sterile liquid ATS medium. Plants were cultivated on a shaker for 7 days at 90 rpm and 22 Â°C under constant white fluorescent light. For the last 24 hours of cultivation the light was filtered by yellow plexiglas (yellow 2208)to prevent photodegradation of IAA.  Reference for ATS medium:, Lincoln C, Britton JH, Estelle M (1990) Growth and Development of the axr1 Mutants of Arabidopsis. Plant Cell 2: 1071-1080  autoclaved  22 Â°C average, 22 Â°C day, 22 Â°C night 70 % average, 70 % day, 70 % night Own medium: ATS medium according to Lincoln et al. (1990)  Constant light. developmental stage: 1.0; tissue: whole plant; stock code: N57923; strain/ecotype: Bay-0; genome/variation: recombinant inbred line"	Bay-0 x Shahdara Core-Pop Bay-0 Parent	Boyes key 1.0	Bay-0	developmental stage: 1.0; tissue: whole plant; stock code: N57923; strain/ecotype: Bay-0; genome/variation: recombinant inbred line	whole organism	GSE18975GSM469711 sample	organism_part	P-G18975-3	GSE18975GSM469711 extract	total_RNA	P-G18975-1	GSE18975GSM469711 LE biotin	synthetic_RNA	biotin	Quint_2-7_Bay-0-1h_Rep1_ATH1	A-AFFY-2	GSM469711	GSM469711.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18975/E-GEOD-18975.raw.1.zip	P-G18975-2	GSE18975GSM469711 Norm	GSM469711_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18975/E-GEOD-18975.processed.1.zip	ATH1-121501.CDF	1	hour	indole-3-acetic acid	Bay-0
GSE18975GSM469706	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"Bay-0 x Shahdara Core-Pop Bay-0 Parent, After sterilization, seeds were incubated in sterile water in the dark for 5 days at 4Â°C prior to cultivation  Seed were washed briefly (4 min) in 70% ethanol followed by an 8 min treatment with bleach. Afterwards seeds were washed 3 times with sterile deionised water. After final wash, seeds were resuspended in sterile deionised water and subjected to stratification  Sterilized and stratified seeds were grown in 300 ml Erlenmeyer flasks containing 100 ml of sterile liquid ATS medium. Plants were cultivated on a shaker for 7 days at 90 rpm and 22 Â°C under constant white fluorescent light. For the last 24 hours of cultivation the light was filtered by yellow plexiglas (yellow 2208)to prevent photodegradation of IAA.  Reference for ATS medium:, Lincoln C, Britton JH, Estelle M (1990) Growth and Development of the axr1 Mutants of Arabidopsis. Plant Cell 2: 1071-1080  autoclaved  22 Â°C average, 22 Â°C day, 22 Â°C night 70 % average, 70 % day, 70 % night Own medium: ATS medium according to Lincoln et al. (1990)  Constant light. developmental stage: 1.0; tissue: whole plant; stock code: N57923; strain/ecotype: Bay-0; genome/variation: recombinant inbred line"	Bay-0 x Shahdara Core-Pop Bay-0 Parent	Boyes key 1.0	Bay-0	developmental stage: 1.0; tissue: whole plant; stock code: N57923; strain/ecotype: Bay-0; genome/variation: recombinant inbred line	whole organism	GSE18975GSM469706 sample	organism_part	P-G18975-3	GSE18975GSM469706 extract	total_RNA	P-G18975-1	GSE18975GSM469706 LE biotin	synthetic_RNA	biotin	Quint_2-12_Bay-0-3h_Rep3_ATH1	A-AFFY-2	GSM469706	GSM469706.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18975/E-GEOD-18975.raw.1.zip	P-G18975-2	GSE18975GSM469706 Norm	GSM469706_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18975/E-GEOD-18975.processed.1.zip	ATH1-121501.CDF	3	hour	indole-3-acetic acid	Bay-0
