Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[genotype]	Characteristics[organism part]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [organism part]	Term Source REF	Term Accession Number	FactorValue[compound]	FactorValue[time]	Unit[time unit]
GSM476850 1	Gene expression data from 24h-treated shoot cells (oas-a1.1 mutant)	Shoots, oas-a1.1, 24h	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	oas-a1.1 	shoot	EFO	EFO_0000992	P-GSE19245-2	P-GSE19245-3	GSM476850 extract 1	total RNA	P-GSE19245-4	GSM476850 LE 1	biotin	P-GSE19245-5	GSM476850	A-AFFY-2	P-GSE19245-6	P-GSE19245-7	GSM476850.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19245/E-GEOD-19245.raw.1.zip	P-GSE19245-1	GSM476850_sample_table.txt norm	GSM476850_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19245/E-GEOD-19245.processed.1.zip	oas-a1.1 	shoot	EFO	EFO_0000992	CdCl2	24	hour
GSM476849 1	Gene expression data from 24h-treated shoot cells (oas-a1.1 mutant)	Shoots, oas-a1.1, 24h	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	oas-a1.1 	shoot	EFO	EFO_0000992	P-GSE19245-2	P-GSE19245-3	GSM476849 extract 1	total RNA	P-GSE19245-4	GSM476849 LE 1	biotin	P-GSE19245-5	GSM476849	A-AFFY-2	P-GSE19245-6	P-GSE19245-7	GSM476849.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19245/E-GEOD-19245.raw.1.zip	P-GSE19245-1	GSM476849_sample_table.txt norm	GSM476849_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19245/E-GEOD-19245.processed.1.zip	oas-a1.1 	shoot	EFO	EFO_0000992	CdCl2	24	hour
GSM476848 1	Gene expression data from 24h-treated shoot cells (oas-a1.1 mutant)	Shoots, oas-a1.1, 24h	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	oas-a1.1 	shoot	EFO	EFO_0000992	P-GSE19245-2	P-GSE19245-3	GSM476848 extract 1	total RNA	P-GSE19245-4	GSM476848 LE 1	biotin	P-GSE19245-5	GSM476848	A-AFFY-2	P-GSE19245-6	P-GSE19245-7	GSM476848.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19245/E-GEOD-19245.raw.1.zip	P-GSE19245-1	GSM476848_sample_table.txt norm	GSM476848_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19245/E-GEOD-19245.processed.1.zip	oas-a1.1 	shoot	EFO	EFO_0000992	CdCl2	24	hour
GSM476847 1	Gene expression data from 18h-treated root cells (oas-a1.1 mutant)	Roots, oas-a1.1, 18h	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	oas-a1.1 	root	EFO	EFO_0000989	P-GSE19245-2	P-GSE19245-3	GSM476847 extract 1	total RNA	P-GSE19245-4	GSM476847 LE 1	biotin	P-GSE19245-5	GSM476847	A-AFFY-2	P-GSE19245-6	P-GSE19245-7	GSM476847.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19245/E-GEOD-19245.raw.1.zip	P-GSE19245-1	GSM476847_sample_table.txt norm	GSM476847_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19245/E-GEOD-19245.processed.1.zip	oas-a1.1 	root	EFO	EFO_0000989	CdCl2	18	hour
GSM476846 1	Gene expression data from 18h-treated root cells (oas-a1.1 mutant)	Roots, oas-a1.1, 18h	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	oas-a1.1 	root	EFO	EFO_0000989	P-GSE19245-2	P-GSE19245-3	GSM476846 extract 1	total RNA	P-GSE19245-4	GSM476846 LE 1	biotin	P-GSE19245-5	GSM476846	A-AFFY-2	P-GSE19245-6	P-GSE19245-7	GSM476846.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19245/E-GEOD-19245.raw.1.zip	P-GSE19245-1	GSM476846_sample_table.txt norm	GSM476846_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19245/E-GEOD-19245.processed.1.zip	oas-a1.1 	root	EFO	EFO_0000989	CdCl2	18	hour
GSM476845 1	Gene expression data from 18h-treated root cells (oas-a1.1 mutant)	Roots, oas-a1.1, 18h	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	oas-a1.1 	root	EFO	EFO_0000989	P-GSE19245-2	P-GSE19245-3	GSM476845 extract 1	total RNA	P-GSE19245-4	GSM476845 LE 1	biotin	P-GSE19245-5	GSM476845	A-AFFY-2	P-GSE19245-6	P-GSE19245-7	GSM476845.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19245/E-GEOD-19245.raw.1.zip	P-GSE19245-1	GSM476845_sample_table.txt norm	GSM476845_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19245/E-GEOD-19245.processed.1.zip	oas-a1.1 	root	EFO	EFO_0000989	CdCl2	18	hour
GSM476844 1	Gene expression data from 24h-treated shoot cells (wild type)	Shoots, Wild Type, 24h	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type	shoot	EFO	EFO_0000992	P-GSE19245-2	P-GSE19245-3	GSM476844 extract 1	total RNA	P-GSE19245-4	GSM476844 LE 1	biotin	P-GSE19245-5	GSM476844	A-AFFY-2	P-GSE19245-6	P-GSE19245-7	GSM476844.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19245/E-GEOD-19245.raw.1.zip	P-GSE19245-1	GSM476844_sample_table.txt norm	GSM476844_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19245/E-GEOD-19245.processed.1.zip	wild type	shoot	EFO	EFO_0000992	CdCl2	24	hour
GSM476843 1	Gene expression data from 24h-treated shoot cells (wild type)	Shoots, Wild Type, 24h	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type	shoot	EFO	EFO_0000992	P-GSE19245-2	P-GSE19245-3	GSM476843 extract 1	total RNA	P-GSE19245-4	GSM476843 LE 1	biotin	P-GSE19245-5	GSM476843	A-AFFY-2	P-GSE19245-6	P-GSE19245-7	GSM476843.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19245/E-GEOD-19245.raw.1.zip	P-GSE19245-1	GSM476843_sample_table.txt norm	GSM476843_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19245/E-GEOD-19245.processed.1.zip	wild type	shoot	EFO	EFO_0000992	CdCl2	24	hour
GSM476842 1	Gene expression data from 24h-treated shoot cells (wild type)	Shoots, Wild Type, 24h	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type	shoot	EFO	EFO_0000992	P-GSE19245-2	P-GSE19245-3	GSM476842 extract 1	total RNA	P-GSE19245-4	GSM476842 LE 1	biotin	P-GSE19245-5	GSM476842	A-AFFY-2	P-GSE19245-6	P-GSE19245-7	GSM476842.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19245/E-GEOD-19245.raw.1.zip	P-GSE19245-1	GSM476842_sample_table.txt norm	GSM476842_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19245/E-GEOD-19245.processed.1.zip	wild type	shoot	EFO	EFO_0000992	CdCl2	24	hour
GSM476841 1	Gene expression data from 18h-treated root cells (wild type)	Roots, Wild Type, 18h	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type	root	EFO	EFO_0000989	P-GSE19245-2	P-GSE19245-3	GSM476841 extract 1	total RNA	P-GSE19245-4	GSM476841 LE 1	biotin	P-GSE19245-5	GSM476841	A-AFFY-2	P-GSE19245-6	P-GSE19245-7	GSM476841.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19245/E-GEOD-19245.raw.1.zip	P-GSE19245-1	GSM476841_sample_table.txt norm	GSM476841_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19245/E-GEOD-19245.processed.1.zip	wild type	root	EFO	EFO_0000989	CdCl2	18	hour
GSM476840 1	Gene expression data from 18h-treated root cells (wild type)	Roots, Wild Type, 18h	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type	root	EFO	EFO_0000989	P-GSE19245-2	P-GSE19245-3	GSM476840 extract 1	total RNA	P-GSE19245-4	GSM476840 LE 1	biotin	P-GSE19245-5	GSM476840	A-AFFY-2	P-GSE19245-6	P-GSE19245-7	GSM476840.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19245/E-GEOD-19245.raw.1.zip	P-GSE19245-1	GSM476840_sample_table.txt norm	GSM476840_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19245/E-GEOD-19245.processed.1.zip	wild type	root	EFO	EFO_0000989	CdCl2	18	hour
GSM476839 1	Gene expression data from 18h-treated root cells (wild type)	Roots, Wild Type, 18h	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type	root	EFO	EFO_0000989	P-GSE19245-2	P-GSE19245-3	GSM476839 extract 1	total RNA	P-GSE19245-4	GSM476839 LE 1	biotin	P-GSE19245-5	GSM476839	A-AFFY-2	P-GSE19245-6	P-GSE19245-7	GSM476839.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19245/E-GEOD-19245.raw.1.zip	P-GSE19245-1	GSM476839_sample_table.txt norm	GSM476839_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19245/E-GEOD-19245.processed.1.zip	wild type	root	EFO	EFO_0000989	CdCl2	18	hour
GSM476838 1	Gene expression data from untreated shoot cells (oas-a1.1 mutant)	Shoots, oas-a1.1, Untreated	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	oas-a1.1 	shoot	EFO	EFO_0000992	P-GSE19245-2	P-GSE19245-3	GSM476838 extract 1	total RNA	P-GSE19245-4	GSM476838 LE 1	biotin	P-GSE19245-5	GSM476838	A-AFFY-2	P-GSE19245-6	P-GSE19245-7	GSM476838.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19245/E-GEOD-19245.raw.1.zip	P-GSE19245-1	GSM476838_sample_table.txt norm	GSM476838_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19245/E-GEOD-19245.processed.1.zip	oas-a1.1 	shoot	EFO	EFO_0000992	none	0	hour
