Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[Organism]	Characteristics[DevelopmentalStage]	Characteristics[Ecotype]	Comment[genetic variation]	Characteristics[OrganismPart]	Characteristics[Genotype]	Comment[stock code]	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [SAMPLING TIME POINT]	Unit[TimeUnit]	FactorValue[GENOTYPE]
GSM477929 1	4 days at 4degC in dark (on Murashige-Skoog media containing 2% Agar and 3% Sucrose). 1-2 minutes in 70% Ethanol. 8 mins 50% bleach. 3 rinses in sterile distilled water. Growth chamber Agar Murashige and Skoog (4.4g per Litre). All seedlings on sample plate were harvested into RNAlater. They were homogenized using a mixer mill in RLT buffer and RNA was extracted using Qiagen RNeasy plant kits.	lhy-21; cca1-11, +60min	Arabidopsis thaliana	Boyes key 1.02	Wassilewskija	T-DNA gene knock out	whole organism	lhy-21; cca1-11	  	P-GSE19263-2	P-GSE19263-3	GSM477929 extract 1	total RNA	P-GSE19263-4	GSM477929 LE 1	biotin	P-GSE19263-5	GSM477929	A-AFFY-2	P-GSE19263-6	P-GSE19263-7	GSM477929.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19263/E-GEOD-19263.raw.1.zip	P-GSE19263-1	GSM477929_sample_table.txt norm	GSM477929_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19263/E-GEOD-19263.processed.1.zip	60	minutes	lhy-21; cca1-11
GSM477928 1	4 days at 4degC in dark (on Murashige-Skoog media containing 2% Agar and 3% Sucrose). 1-2 minutes in 70% Ethanol. 8 mins 50% bleach. 3 rinses in sterile distilled water. Growth chamber Agar Murashige and Skoog (4.4g per Litre). All seedlings on sample plate were harvested into RNAlater. They were homogenized using a mixer mill in RLT buffer and RNA was extracted using Qiagen RNeasy plant kits.	lhy-21; cca1-11, +30min	Arabidopsis thaliana	Boyes key 1.02	Wassilewskija	T-DNA gene knock out	whole organism	lhy-21; cca1-11	  	P-GSE19263-2	P-GSE19263-3	GSM477928 extract 1	total RNA	P-GSE19263-4	GSM477928 LE 1	biotin	P-GSE19263-5	GSM477928	A-AFFY-2	P-GSE19263-6	P-GSE19263-7	GSM477928.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19263/E-GEOD-19263.raw.1.zip	P-GSE19263-1	GSM477928_sample_table.txt norm	GSM477928_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19263/E-GEOD-19263.processed.1.zip	30	minutes	lhy-21; cca1-11
GSM477927 1	4 days at 4degC in dark (on Murashige-Skoog media containing 2% Agar and 3% Sucrose). 1-2 minutes in 70% Ethanol. 8 mins 50% bleach. 3 rinses in sterile distilled water. Growth chamber Agar Murashige and Skoog (4.4g per Litre). All seedlings on sample plate were harvested into RNAlater. They were homogenized using a mixer mill in RLT buffer and RNA was extracted using Qiagen RNeasy plant kits.	lhy-21; cca1-11, +15min	Arabidopsis thaliana	Boyes key 1.02	Wassilewskija	T-DNA gene knock out	whole organism	lhy-21; cca1-11	  	P-GSE19263-2	P-GSE19263-3	GSM477927 extract 1	total RNA	P-GSE19263-4	GSM477927 LE 1	biotin	P-GSE19263-5	GSM477927	A-AFFY-2	P-GSE19263-6	P-GSE19263-7	GSM477927.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19263/E-GEOD-19263.raw.1.zip	P-GSE19263-1	GSM477927_sample_table.txt norm	GSM477927_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19263/E-GEOD-19263.processed.1.zip	15	minutes	lhy-21; cca1-11
GSM477926 1	4 days at 4degC in dark (on Murashige-Skoog media containing 2% Agar and 3% Sucrose). 1-2 minutes in 70% Ethanol. 8 mins 50% bleach. 3 rinses in sterile distilled water. Growth chamber Agar Murashige and Skoog (4.4g per Litre). All seedlings on sample plate were harvested into RNAlater. They were homogenized using a mixer mill in RLT buffer and RNA was extracted using Qiagen RNeasy plant kits.	lhy-21; cca1-11, -15min	Arabidopsis thaliana	Boyes key 1.02	Wassilewskija	T-DNA gene knock out	whole organism	lhy-21; cca1-11	  	P-GSE19263-2	P-GSE19263-3	GSM477926 extract 1	total RNA	P-GSE19263-4	GSM477926 LE 1	biotin	P-GSE19263-5	GSM477926	A-AFFY-2	P-GSE19263-6	P-GSE19263-7	GSM477926.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19263/E-GEOD-19263.raw.1.zip	P-GSE19263-1	GSM477926_sample_table.txt norm	GSM477926_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19263/E-GEOD-19263.processed.1.zip	-15	minutes	lhy-21; cca1-11
GSM477925 1	4 days at 4degC in dark (on Murashige-Skoog media containing 2% Agar and 3% Sucrose). 1-2 minutes in 70% Ethanol. 8 mins 50% bleach. 3 rinses in sterile distilled water. Growth chamber Agar Murashige and Skoog (4.4g per Litre). All seedlings on sample plate were harvested into RNAlater. They were homogenized using a mixer mill in RLT buffer and RNA was extracted using Qiagen RNeasy plant kits.	lhy-21; cca1-11, +60min	Arabidopsis thaliana	Boyes key 1.02	Wassilewskija	T-DNA gene knock out	whole organism	lhy-21; cca1-11	  	P-GSE19263-2	P-GSE19263-3	GSM477925 extract 1	total RNA	P-GSE19263-4	GSM477925 LE 1	biotin	P-GSE19263-5	GSM477925	A-AFFY-2	P-GSE19263-6	P-GSE19263-7	GSM477925.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19263/E-GEOD-19263.raw.1.zip	P-GSE19263-1	GSM477925_sample_table.txt norm	GSM477925_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19263/E-GEOD-19263.processed.1.zip	60	minutes	lhy-21; cca1-11
GSM477924 1	4 days at 4degC in dark (on Murashige-Skoog media containing 2% Agar and 3% Sucrose). 1-2 minutes in 70% Ethanol. 8 mins 50% bleach. 3 rinses in sterile distilled water. Growth chamber Agar Murashige and Skoog (4.4g per Litre). All seedlings on sample plate were harvested into RNAlater. They were homogenized using a mixer mill in RLT buffer and RNA was extracted using Qiagen RNeasy plant kits.	lhy-21; cca1-11, +30min	Arabidopsis thaliana	Boyes key 1.02	Wassilewskija	T-DNA gene knock out	whole organism	lhy-21; cca1-11	  	P-GSE19263-2	P-GSE19263-3	GSM477924 extract 1	total RNA	P-GSE19263-4	GSM477924 LE 1	biotin	P-GSE19263-5	GSM477924	A-AFFY-2	P-GSE19263-6	P-GSE19263-7	GSM477924.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19263/E-GEOD-19263.raw.1.zip	P-GSE19263-1	GSM477924_sample_table.txt norm	GSM477924_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19263/E-GEOD-19263.processed.1.zip	30	minutes	lhy-21; cca1-11
GSM477923 1	4 days at 4degC in dark (on Murashige-Skoog media containing 2% Agar and 3% Sucrose). 1-2 minutes in 70% Ethanol. 8 mins 50% bleach. 3 rinses in sterile distilled water. Growth chamber Agar Murashige and Skoog (4.4g per Litre). All seedlings on sample plate were harvested into RNAlater. They were homogenized using a mixer mill in RLT buffer and RNA was extracted using Qiagen RNeasy plant kits.	lhy-21; cca1-11, +15min	Arabidopsis thaliana	Boyes key 1.02	Wassilewskija	T-DNA gene knock out	whole organism	lhy-21; cca1-11	  	P-GSE19263-2	P-GSE19263-3	GSM477923 extract 1	total RNA	P-GSE19263-4	GSM477923 LE 1	biotin	P-GSE19263-5	GSM477923	A-AFFY-2	P-GSE19263-6	P-GSE19263-7	GSM477923.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19263/E-GEOD-19263.raw.1.zip	P-GSE19263-1	GSM477923_sample_table.txt norm	GSM477923_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19263/E-GEOD-19263.processed.1.zip	15	minutes	lhy-21; cca1-11
GSM477922 1	4 days at 4degC in dark (on Murashige-Skoog media containing 2% Agar and 3% Sucrose). 1-2 minutes in 70% Ethanol. 8 mins 50% bleach. 3 rinses in sterile distilled water. Growth chamber Agar Murashige and Skoog (4.4g per Litre). All seedlings on sample plate were harvested into RNAlater. They were homogenized using a mixer mill in RLT buffer and RNA was extracted using Qiagen RNeasy plant kits.	lhy-21; cca1-11, -15min	Arabidopsis thaliana	Boyes key 1.02	Wassilewskija	T-DNA gene knock out	whole organism	lhy-21; cca1-11	  	P-GSE19263-2	P-GSE19263-3	GSM477922 extract 1	total RNA	P-GSE19263-4	GSM477922 LE 1	biotin	P-GSE19263-5	GSM477922	A-AFFY-2	P-GSE19263-6	P-GSE19263-7	GSM477922.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19263/E-GEOD-19263.raw.1.zip	P-GSE19263-1	GSM477922_sample_table.txt norm	GSM477922_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19263/E-GEOD-19263.processed.1.zip	-15	minutes	lhy-21; cca1-11
GSM477921 1	4 days at 4degC in dark (on Murashige-Skoog media containing 2% Agar and 3% Sucrose). 1-2 minutes in 70% Ethanol. 8 mins 50% bleach. 3 rinses in sterile distilled water. Growth chamber Agar Murashige and Skoog (4.4g per Litre). All seedlings on sample plate were harvested into RNAlater. They were homogenized using a mixer mill in RLT buffer and RNA was extracted using Qiagen RNeasy plant kits.	WS, +60min	Arabidopsis thaliana	Boyes key 1.02	Wassilewskija	  	whole organism	wild_type	N6891	P-GSE19263-2	P-GSE19263-3	GSM477921 extract 1	total RNA	P-GSE19263-4	GSM477921 LE 1	biotin	P-GSE19263-5	GSM477921	A-AFFY-2	P-GSE19263-6	P-GSE19263-7	GSM477921.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19263/E-GEOD-19263.raw.1.zip	P-GSE19263-1	GSM477921_sample_table.txt norm	GSM477921_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19263/E-GEOD-19263.processed.1.zip	60	minutes	wild_type
GSM477920 1	4 days at 4degC in dark (on Murashige-Skoog media containing 2% Agar and 3% Sucrose). 1-2 minutes in 70% Ethanol. 8 mins 50% bleach. 3 rinses in sterile distilled water. Growth chamber Agar Murashige and Skoog (4.4g per Litre). All seedlings on sample plate were harvested into RNAlater. They were homogenized using a mixer mill in RLT buffer and RNA was extracted using Qiagen RNeasy plant kits.	WS, +30min	Arabidopsis thaliana	Boyes key 1.02	Wassilewskija	  	whole organism	wild_type	N6891	P-GSE19263-2	P-GSE19263-3	GSM477920 extract 1	total RNA	P-GSE19263-4	GSM477920 LE 1	biotin	P-GSE19263-5	GSM477920	A-AFFY-2	P-GSE19263-6	P-GSE19263-7	GSM477920.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19263/E-GEOD-19263.raw.1.zip	P-GSE19263-1	GSM477920_sample_table.txt norm	GSM477920_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19263/E-GEOD-19263.processed.1.zip	30	minutes	wild_type
