Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[genotype]	Characteristics[organism]	Characteristics[developmental stage]	Characteristics[ecotype]	Comment[genetic variation]	Characteristics[organism part]	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue[compound]	FactorValue[dose]	Unit[concentration unit]	FactorValue [treatment time]	Unit[time unit]
GSM477984 1	3 days at 4C on agar plate. 70% Ethanol/0.05% Tritin X-100 for 5 min. 100% Ethanol for 10 min. Air dry before plating Phytagar Growth room 22C 95% Murashige & Skoog basal salt mixture.	pMDC7DUO1, induced, 24hr	pMDC7DUO1	Arabidopsis thaliana	Boyes key 1.04	Col-0	T-DNA mutation	whole organism	P-GSE19266-2	P-GSE19266-3	GSM477984 extract 1	total RNA	P-GSE19266-4	GSM477984 LE 1	biotin	P-GSE19266-5	GSM477984	A-AFFY-2	P-GSE19266-6	P-GSE19266-7	GSM477984.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19266/E-GEOD-19266.raw.1.zip	P-GSE19266-1	GSM477984_sample_table.txt norm	GSM477984_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19266/E-GEOD-19266.processed.1.zip	estradiol	2	micromolar	24	hour
GSM477983 1	3 days at 4C on agar plate. 70% Ethanol/0.05% Tritin X-100 for 5 min. 100% Ethanol for 10 min. Air dry before plating Phytagar Growth room 22C 95% Murashige & Skoog basal salt mixture.	pMDC7DUO1, induced, 24hr	pMDC7DUO1	Arabidopsis thaliana	Boyes key 1.04	Col-0	T-DNA mutation	whole organism	P-GSE19266-2	P-GSE19266-3	GSM477983 extract 1	total RNA	P-GSE19266-4	GSM477983 LE 1	biotin	P-GSE19266-5	GSM477983	A-AFFY-2	P-GSE19266-6	P-GSE19266-7	GSM477983.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19266/E-GEOD-19266.raw.1.zip	P-GSE19266-1	GSM477983_sample_table.txt norm	GSM477983_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19266/E-GEOD-19266.processed.1.zip	estradiol	2	micromolar	24	hour
GSM477982 1	3 days at 4C on agar plate. 70% Ethanol/0.05% Tritin X-100 for 5 min. 100% Ethanol for 10 min. Air dry before plating Phytagar Growth room 22C 95% Murashige & Skoog basal salt mixture.	pMDC7DUO1, induced, 24hr	pMDC7DUO1	Arabidopsis thaliana	Boyes key 1.04	Col-0	T-DNA mutation	whole organism	P-GSE19266-2	P-GSE19266-3	GSM477982 extract 1	total RNA	P-GSE19266-4	GSM477982 LE 1	biotin	P-GSE19266-5	GSM477982	A-AFFY-2	P-GSE19266-6	P-GSE19266-7	GSM477982.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19266/E-GEOD-19266.raw.1.zip	P-GSE19266-1	GSM477982_sample_table.txt norm	GSM477982_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19266/E-GEOD-19266.processed.1.zip	estradiol	2	micromolar	24	hour
GSM477981 1	3 days at 4C on agar plate. 70% Ethanol/0.05% Tritin X-100 for 5 min. 100% Ethanol for 10 min. Air dry before plating Phytagar Growth room 22C 95% Murashige & Skoog basal salt mixture.	pMDC7DUO1, not induced, 24hr	pMDC7DUO1	Arabidopsis thaliana	Boyes key 1.04	Col-0	T-DNA mutation	whole organism	P-GSE19266-2	P-GSE19266-3	GSM477981 extract 1	total RNA	P-GSE19266-4	GSM477981 LE 1	biotin	P-GSE19266-5	GSM477981	A-AFFY-2	P-GSE19266-6	P-GSE19266-7	GSM477981.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19266/E-GEOD-19266.raw.1.zip	P-GSE19266-1	GSM477981_sample_table.txt norm	GSM477981_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19266/E-GEOD-19266.processed.1.zip	DMSO	  	  	24	hour
GSM477980 1	3 days at 4C on agar plate. 70% Ethanol/0.05% Tritin X-100 for 5 min. 100% Ethanol for 10 min. Air dry before plating Phytagar Growth room 22C 95% Murashige & Skoog basal salt mixture.	pMDC7DUO1, not induced, 24hr	pMDC7DUO1	Arabidopsis thaliana	Boyes key 1.04	Col-0	T-DNA mutation	whole organism	P-GSE19266-2	P-GSE19266-3	GSM477980 extract 1	total RNA	P-GSE19266-4	GSM477980 LE 1	biotin	P-GSE19266-5	GSM477980	A-AFFY-2	P-GSE19266-6	P-GSE19266-7	GSM477980.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19266/E-GEOD-19266.raw.1.zip	P-GSE19266-1	GSM477980_sample_table.txt norm	GSM477980_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19266/E-GEOD-19266.processed.1.zip	DMSO	  	  	24	hour
GSM477979 1	3 days at 4C on agar plate. 70% Ethanol/0.05% Tritin X-100 for 5 min. 100% Ethanol for 10 min. Air dry before plating Phytagar Growth room 22C 95% Murashige & Skoog basal salt mixture.	pMDC7DUO1, not induced, 24hr	pMDC7DUO1	Arabidopsis thaliana	Boyes key 1.04	Col-0	T-DNA mutation	whole organism	P-GSE19266-2	P-GSE19266-3	GSM477979 extract 1	total RNA	P-GSE19266-4	GSM477979 LE 1	biotin	P-GSE19266-5	GSM477979	A-AFFY-2	P-GSE19266-6	P-GSE19266-7	GSM477979.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19266/E-GEOD-19266.raw.1.zip	P-GSE19266-1	GSM477979_sample_table.txt norm	GSM477979_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19266/E-GEOD-19266.processed.1.zip	DMSO	  	  	24	hour
GSM477978 1	3 days at 4C on agar plate. 70% Ethanol/0.05% Tritin X-100 for 5 min. 100% Ethanol for 10 min. Air dry before plating Phytagar Growth room 22C 95% Murashige & Skoog basal salt mixture.	pMDC7DUO1, induced, 12hr	pMDC7DUO1	Arabidopsis thaliana	Boyes key 1.04	Col-0	T-DNA mutation	whole organism	P-GSE19266-2	P-GSE19266-3	GSM477978 extract 1	total RNA	P-GSE19266-4	GSM477978 LE 1	biotin	P-GSE19266-5	GSM477978	A-AFFY-2	P-GSE19266-6	P-GSE19266-7	GSM477978.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19266/E-GEOD-19266.raw.1.zip	P-GSE19266-1	GSM477978_sample_table.txt norm	GSM477978_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19266/E-GEOD-19266.processed.1.zip	estradiol	2	micromolar	12	hour
GSM477977 1	3 days at 4C on agar plate. 70% Ethanol/0.05% Tritin X-100 for 5 min. 100% Ethanol for 10 min. Air dry before plating Phytagar Growth room 22C 95% Murashige & Skoog basal salt mixture.	pMDC7DUO1, induced, 12hr	pMDC7DUO1	Arabidopsis thaliana	Boyes key 1.04	Col-0	T-DNA mutation	whole organism	P-GSE19266-2	P-GSE19266-3	GSM477977 extract 1	total RNA	P-GSE19266-4	GSM477977 LE 1	biotin	P-GSE19266-5	GSM477977	A-AFFY-2	P-GSE19266-6	P-GSE19266-7	GSM477977.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19266/E-GEOD-19266.raw.1.zip	P-GSE19266-1	GSM477977_sample_table.txt norm	GSM477977_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19266/E-GEOD-19266.processed.1.zip	estradiol	2	micromolar	12	hour
GSM477976 1	3 days at 4C on agar plate. 70% Ethanol/0.05% Tritin X-100 for 5 min. 100% Ethanol for 10 min. Air dry before plating Phytagar Growth room 22C 95% Murashige & Skoog basal salt mixture.	pMDC7DUO1, induced, 12hr	pMDC7DUO1	Arabidopsis thaliana	Boyes key 1.04	Col-0	T-DNA mutation	whole organism	P-GSE19266-2	P-GSE19266-3	GSM477976 extract 1	total RNA	P-GSE19266-4	GSM477976 LE 1	biotin	P-GSE19266-5	GSM477976	A-AFFY-2	P-GSE19266-6	P-GSE19266-7	GSM477976.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19266/E-GEOD-19266.raw.1.zip	P-GSE19266-1	GSM477976_sample_table.txt norm	GSM477976_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19266/E-GEOD-19266.processed.1.zip	estradiol	2	micromolar	12	hour
GSM477975 1	3 days at 4C on agar plate. 70% Ethanol/0.05% Tritin X-100 for 5 min. 100% Ethanol for 10 min. Air dry before plating Phytagar Growth room 22C 95% Murashige & Skoog basal salt mixture.	pMDC7DUO1, not induced, 12hr	pMDC7DUO1	Arabidopsis thaliana	Boyes key 1.04	Col-0	T-DNA mutation	whole organism	P-GSE19266-2	P-GSE19266-3	GSM477975 extract 1	total RNA	P-GSE19266-4	GSM477975 LE 1	biotin	P-GSE19266-5	GSM477975	A-AFFY-2	P-GSE19266-6	P-GSE19266-7	GSM477975.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19266/E-GEOD-19266.raw.1.zip	P-GSE19266-1	GSM477975_sample_table.txt norm	GSM477975_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19266/E-GEOD-19266.processed.1.zip	DMSO	  	  	12	hour
