Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[Organism]	Comment[genetic variation]	Characteristics[DevelopmentalStage]	Characteristics[Genotype]	Characteristics[OrganismPart]	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue[DEVELOPMENTAL STAGE]	FactorValue[GENOTYPE]	FactorValue [COMPOUND]	FactorValue [SAMPLING TIME POINT]	Unit[TimeUnit]
GSM478093 1	The seeds were stratified at 4C for 48 hours in darkness.  Seeds were rinsed in 100% ethanol and sterilized in 2.5% (v/v) sodium hypochlorite solution for 7 min, then washed with sterilized distilled water 3 times.  150-200 Seeds were plated in 10 clusters (app 20 seeds per cluster) on 1/2 MS 0.8% agar plates.  Seedlings were grown in 12 h light/12 h dark (12L:12D) for 11 days at constant 19C. The light source for germination and growth was cool-white fluorescent light at 70 umol/m2/s. On the 12th day the seedlings were transferred to continuous white light conditions at 100 umol/m2/s. Autoclaved.  20 seedlings clumped together. 19 C average, 19 C day, 19 C night. 50 % average, 50 % day, 50 % night. Murashige & Skoog basal salt mixture. Constant light.	toc1-1, 93hr	Arabidopsis thaliana	EMS-induced mutation in At5g61380	Boyes key 1.04	toc1 mutant	aerial tissue	P-GSE19271-2	GSM478093 extract 1	total RNA	P-GSE19271-3	GSM478093 LE 1	biotin	P-GSE19271-4	GSM478093	A-AFFY-2	P-GSE19271-5	P-GSE19271-6	GSM478093.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19271/E-GEOD-19271.raw.1.zip	P-GSE19271-1	GSM478093_sample_table.txt norm	GSM478093_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19271/E-GEOD-19271.processed.1.zip	Boyes key 1.04	toc1 mutant	none	93	hours
GSM478092 1	The seeds were stratified at 4C for 48 hours in darkness.  Seeds were rinsed in 100% ethanol and sterilized in 2.5% (v/v) sodium hypochlorite solution for 7 min, then washed with sterilized distilled water 3 times.  150-200 Seeds were plated in 10 clusters (app 20 seeds per cluster) on 1/2 MS 0.8% agar plates.  Seedlings were grown in 12 h light/12 h dark (12L:12D) for 11 days at constant 19C. The light source for germination and growth was cool-white fluorescent light at 70 umol/m2/s. On the 12th day the seedlings were transferred to continuous white light conditions at 100 umol/m2/s. Autoclaved.  20 seedlings clumped together. 19 C average, 19 C day, 19 C night. 50 % average, 50 % day, 50 % night. Murashige & Skoog basal salt mixture. Constant light.	toc1-1, 89hr	Arabidopsis thaliana	EMS-induced mutation in At5g61380	Boyes key 1.04	toc1 mutant	aerial tissue	P-GSE19271-2	GSM478092 extract 1	total RNA	P-GSE19271-3	GSM478092 LE 1	biotin	P-GSE19271-4	GSM478092	A-AFFY-2	P-GSE19271-5	P-GSE19271-6	GSM478092.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19271/E-GEOD-19271.raw.1.zip	P-GSE19271-1	GSM478092_sample_table.txt norm	GSM478092_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19271/E-GEOD-19271.processed.1.zip	Boyes key 1.04	toc1 mutant	none	89	hours
GSM478091 1	The seeds were stratified at 4C for 48 hours in darkness.  Seeds were rinsed in 100% ethanol and sterilized in 2.5% (v/v) sodium hypochlorite solution for 7 min, then washed with sterilized distilled water 3 times.  150-200 Seeds were plated in 10 clusters (app 20 seeds per cluster) on 1/2 MS 0.8% agar plates.  Seedlings were grown in 12 h light/12 h dark (12L:12D) for 11 days at constant 19C. The light source for germination and growth was cool-white fluorescent light at 70 umol/m2/s. On the 12th day the seedlings were transferred to continuous white light conditions at 100 umol/m2/s. Autoclaved.  20 seedlings clumped together. 19 C average, 19 C day, 19 C night. 50 % average, 50 % day, 50 % night. Murashige & Skoog basal salt mixture. Constant light.	toc1-1, 85hr	Arabidopsis thaliana	EMS-induced mutation in At5g61380	Boyes key 1.04	toc1 mutant	aerial tissue	P-GSE19271-2	GSM478091 extract 1	total RNA	P-GSE19271-3	GSM478091 LE 1	biotin	P-GSE19271-4	GSM478091	A-AFFY-2	P-GSE19271-5	P-GSE19271-6	GSM478091.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19271/E-GEOD-19271.raw.1.zip	P-GSE19271-1	GSM478091_sample_table.txt norm	GSM478091_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19271/E-GEOD-19271.processed.1.zip	Boyes key 1.04	toc1 mutant	none	85	hours
GSM478090 1	The seeds were stratified at 4C for 48 hours in darkness.  Seeds were rinsed in 100% ethanol and sterilized in 2.5% (v/v) sodium hypochlorite solution for 7 min, then washed with sterilized distilled water 3 times.  150-200 Seeds were plated in 10 clusters (app 20 seeds per cluster) on 1/2 MS 0.8% agar plates.  Seedlings were grown in 12 h light/12 h dark (12L:12D) for 11 days at constant 19C. The light source for germination and growth was cool-white fluorescent light at 70 umol/m2/s. On the 12th day the seedlings were transferred to continuous white light conditions at 100 umol/m2/s. Autoclaved.  20 seedlings clumped together. 19 C average, 19 C day, 19 C night. 50 % average, 50 % day, 50 % night. Murashige & Skoog basal salt mixture. Constant light.	toc1-1, 81hr	Arabidopsis thaliana	EMS-induced mutation in At5g61380	Boyes key 1.04	toc1 mutant	aerial tissue	P-GSE19271-2	GSM478090 extract 1	total RNA	P-GSE19271-3	GSM478090 LE 1	biotin	P-GSE19271-4	GSM478090	A-AFFY-2	P-GSE19271-5	P-GSE19271-6	GSM478090.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19271/E-GEOD-19271.raw.1.zip	P-GSE19271-1	GSM478090_sample_table.txt norm	GSM478090_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19271/E-GEOD-19271.processed.1.zip	Boyes key 1.04	toc1 mutant	none	81	hours
GSM478089 1	The seeds were stratified at 4C for 48 hours in darkness.  Seeds were rinsed in 100% ethanol and sterilized in 2.5% (v/v) sodium hypochlorite solution for 7 min, then washed with sterilized distilled water 3 times.  150-200 Seeds were plated in 10 clusters (app 20 seeds per cluster) on 1/2 MS 0.8% agar plates.  Seedlings were grown in 12 h light/12 h dark (12L:12D) for 11 days at constant 19C. The light source for germination and growth was cool-white fluorescent light at 70 umol/m2/s. On the 12th day the seedlings were transferred to continuous white light conditions at 100 umol/m2/s. Autoclaved.  20 seedlings clumped together. 19 C average, 19 C day, 19 C night. 50 % average, 50 % day, 50 % night. Murashige & Skoog basal salt mixture. Constant light.	toc1-1, 77hr	Arabidopsis thaliana	EMS-induced mutation in At5g61380	Boyes key 1.04	toc1 mutant	aerial tissue	P-GSE19271-2	GSM478089 extract 1	total RNA	P-GSE19271-3	GSM478089 LE 1	biotin	P-GSE19271-4	GSM478089	A-AFFY-2	P-GSE19271-5	P-GSE19271-6	GSM478089.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19271/E-GEOD-19271.raw.1.zip	P-GSE19271-1	GSM478089_sample_table.txt norm	GSM478089_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19271/E-GEOD-19271.processed.1.zip	Boyes key 1.04	toc1 mutant	none	77	hours
GSM478088 1	The seeds were stratified at 4C for 48 hours in darkness.  Seeds were rinsed in 100% ethanol and sterilized in 2.5% (v/v) sodium hypochlorite solution for 7 min, then washed with sterilized distilled water 3 times.  150-200 Seeds were plated in 10 clusters (app 20 seeds per cluster) on 1/2 MS 0.8% agar plates.  Seedlings were grown in 12 h light/12 h dark (12L:12D) for 11 days at constant 19C. The light source for germination and growth was cool-white fluorescent light at 70 umol/m2/s. On the 12th day the seedlings were transferred to continuous white light conditions at 100 umol/m2/s.  Autoclaved.  20 seedlings clumped together. 19 C average, 19 C day, 19 C night. 50 % average, 50 % day, 50 % night. Murashige & Skoog basal salt mixture. Constant light.	toc1-1, 73hr	Arabidopsis thaliana	EMS-induced mutation in At5g61380	Boyes key 1.04	toc1 mutant	aerial tissue	P-GSE19271-2	GSM478088 extract 1	total RNA	P-GSE19271-3	GSM478088 LE 1	biotin	P-GSE19271-4	GSM478088	A-AFFY-2	P-GSE19271-5	P-GSE19271-6	GSM478088.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19271/E-GEOD-19271.raw.1.zip	P-GSE19271-1	GSM478088_sample_table.txt norm	GSM478088_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19271/E-GEOD-19271.processed.1.zip	Boyes key 1.04	toc1 mutant	none	73	hours
GSM478087 1	The seeds were stratified at 4C for 48 hours in darkness.  Seeds were rinsed in 100% ethanol and sterilized in 2.5% (v/v) sodium hypochlorite solution for 7 min, then washed with sterilized distilled water 3 times.  150-200 Seeds were plated in 10 clusters (app 20 seeds per cluster) on 1/2 MS 0.8% agar plates.  Seedlings were grown in 12 h light/12 h dark (12L:12D) for 11 days at constant 19C. The light source for germination and growth was cool-white fluorescent light at 70 umol/m2/s. On the 12th day the seedlings were transferred to continuous white light conditions at 100 umol/m2/s. Autoclaved.  20 seedlings clumped together. 19 C average, 19 C day, 19 C night. 50 % average, 50 % day, 50 % night. Murashige & Skoog basal salt mixture. Constant light.	toc1-1, 69hr	Arabidopsis thaliana	EMS-induced mutation in At5g61380	Boyes key 1.04	toc1 mutant	aerial tissue	P-GSE19271-2	GSM478087 extract 1	total RNA	P-GSE19271-3	GSM478087 LE 1	biotin	P-GSE19271-4	GSM478087	A-AFFY-2	P-GSE19271-5	P-GSE19271-6	GSM478087.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19271/E-GEOD-19271.raw.1.zip	P-GSE19271-1	GSM478087_sample_table.txt norm	GSM478087_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19271/E-GEOD-19271.processed.1.zip	Boyes key 1.04	toc1 mutant	none	69	hours
GSM478086 1	The seeds were stratified at 4C for 48 hours in darkness.  Seeds were rinsed in 100% ethanol and sterilized in 2.5% (v/v) sodium hypochlorite solution for 7 min, then washed with sterilized distilled water 3 times.  150-200 Seeds were plated in 10 clusters (app 20 seeds per cluster) on 1/2 MS 0.8% agar plates.  Seedlings were grown in 12 h light/12 h dark (12L:12D) for 11 days at constant 19C. The light source for germination and growth was cool-white fluorescent light at 70 umol/m2/s. On the 12th day the seedlings were transferred to continuous white light conditions at 100 umol/m2/s. Autoclaved.  20 seedlings clumped together. 19 C average, 19 C day, 19 C night. 50 % average, 50 % day, 50 % night. Murashige & Skoog basal salt mixture. Constant light.	toc1-1, 65hr	Arabidopsis thaliana	EMS-induced mutation in At5g61380	Boyes key 1.04	toc1 mutant	aerial tissue	P-GSE19271-2	GSM478086 extract 1	total RNA	P-GSE19271-3	GSM478086 LE 1	biotin	P-GSE19271-4	GSM478086	A-AFFY-2	P-GSE19271-5	P-GSE19271-6	GSM478086.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19271/E-GEOD-19271.raw.1.zip	P-GSE19271-1	GSM478086_sample_table.txt norm	GSM478086_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19271/E-GEOD-19271.processed.1.zip	Boyes key 1.04	toc1 mutant	none	65	hours
GSM478085 1	The seeds were stratified at 4C for 48 hours in darkness.  Seeds were rinsed in 100% ethanol and sterilized in 2.5% (v/v) sodium hypochlorite solution for 7 min, then washed with sterilized distilled water 3 times.  150-200 Seeds were plated in 10 clusters (app 20 seeds per cluster) on 1/2 MS 0.8% agar plates.  Seedlings were grown in 12 h light/12 h dark (12L:12D) for 11 days at constant 19C. The light source for germination and growth was cool-white fluorescent light at 70 umol/m2/s. On the 12th day the seedlings were transferred to continuous white light conditions at 100 umol/m2/s. Autoclaved.  20 seedlings clumped together. 19 C average, 19 C day, 19 C night. 50 % average, 50 % day, 50 % night. Murashige & Skoog basal salt mixture. Constant light.	toc1-1, 61hr	Arabidopsis thaliana	EMS-induced mutation in At5g61380	Boyes key 1.04	toc1 mutant	aerial tissue	P-GSE19271-2	GSM478085 extract 1	total RNA	P-GSE19271-3	GSM478085 LE 1	biotin	P-GSE19271-4	GSM478085	A-AFFY-2	P-GSE19271-5	P-GSE19271-6	GSM478085.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19271/E-GEOD-19271.raw.1.zip	P-GSE19271-1	GSM478085_sample_table.txt norm	GSM478085_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19271/E-GEOD-19271.processed.1.zip	Boyes key 1.04	toc1 mutant	none	61	hours
GSM478084 1	The seeds were stratified at 4C for 48 hours in darkness.  Seeds were rinsed in 100% ethanol and sterilized in 2.5% (v/v) sodium hypochlorite solution for 7 min, then washed with sterilized distilled water 3 times.  150-200 Seeds were plated in 10 clusters (app 20 seeds per cluster) on 1/2 MS 0.8% agar plates.  Seedlings were grown in 12 h light/12 h dark (12L:12D) for 11 days at constant 19C. The light source for germination and growth was cool-white fluorescent light at 70 umol/m2/s. On the 12th day the seedlings were transferred to continuous white light conditions at 100 umol/m2/s. Autoclaved.  20 seedlings clumped together. 19 C average, 19 C day, 19 C night. 50 % average, 50 % day, 50 % night. Murashige & Skoog basal salt mixture. Constant light.	toc1-1, 57hr	Arabidopsis thaliana	EMS-induced mutation in At5g61380	Boyes key 1.04	toc1 mutant	aerial tissue	P-GSE19271-2	GSM478084 extract 1	total RNA	P-GSE19271-3	GSM478084 LE 1	biotin	P-GSE19271-4	GSM478084	A-AFFY-2	P-GSE19271-5	P-GSE19271-6	GSM478084.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19271/E-GEOD-19271.raw.1.zip	P-GSE19271-1	GSM478084_sample_table.txt norm	GSM478084_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19271/E-GEOD-19271.processed.1.zip	Boyes key 1.04	toc1 mutant	none	57	hours
