Source Name	Material Type	Characteristics [organism part]	Characteristics [organism]	Characteristics [genotype]	Characteristics [ecotype]	Characteristics [age]	Unit[time unit]	Characteristics[growth condition]	Characteristics [time]	Unit[time unit]	Comment [Sample_source_name]	Comment [Sample_description]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Protocol REF	Assay Name	Technology Type	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	Factor Value [growth condition]	Factor Value [time]	Unit[time unit]
GSM491676 1	organism part	whole rosette	Arabidopsis thaliana	wild type genotype	Columbia-0	32	day	drought	18:00	hour	whole rosette, water-limited, late day	bot0868	P-GSE19700-2	P-GSE19700-3	P-GSE19700-4	GSM491676 extract 1	total RNA	P-GSE19700-5	GSM491676 LE 1	biotin	synthetic RNA	P-GSE19700-6	P-GSE19700-7	GSM491676	array assay	A-AFFY-2	P-GSE19700-8	GSM491676.CEL	GSM491676.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19700/E-GEOD-19700.raw.1.zip	P-GSE19700-1	E-GEOD-19700-processed-data-2509326825.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19700/E-GEOD-19700.processed.1.zip	drought	18	hour
GSM491677 1	organism part	whole rosette	Arabidopsis thaliana	wild type genotype	Columbia-0	32	day	drought	18:00	hour	whole rosette, water-limited, late day	bot0869	P-GSE19700-2	P-GSE19700-3	P-GSE19700-4	GSM491677 extract 1	total RNA	P-GSE19700-5	GSM491677 LE 1	biotin	synthetic RNA	P-GSE19700-6	P-GSE19700-7	GSM491677	array assay	A-AFFY-2	P-GSE19700-8	GSM491677.CEL	GSM491677.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19700/E-GEOD-19700.raw.1.zip	P-GSE19700-1	E-GEOD-19700-processed-data-2509326825.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19700/E-GEOD-19700.processed.1.zip	drought	18	hour
GSM491667 1	organism part	whole rosette	Arabidopsis thaliana	wild type genotype	Columbia-0	32	day	control	12:00	hour	whole rosette, well-watered, midday	32 days without water limitation.	P-GSE19700-2	P-GSE19700-3	P-GSE19700-4	GSM491667 extract 1	total RNA	P-GSE19700-5	GSM491667 LE 1	biotin	synthetic RNA	P-GSE19700-6	P-GSE19700-7	GSM491667	array assay	A-AFFY-2	P-GSE19700-8	GSM491667.CEL	GSM491667.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19700/E-GEOD-19700.raw.1.zip	P-GSE19700-1	E-GEOD-19700-processed-data-2509326825.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19700/E-GEOD-19700.processed.1.zip	control	12	hour
GSM491673 1	organism part	whole rosette	Arabidopsis thaliana	wild type genotype	Columbia-0	32	day	control	18:00	hour	whole rosette, well-watered, late day	32 days without water limitation.	P-GSE19700-2	P-GSE19700-3	P-GSE19700-4	GSM491673 extract 1	total RNA	P-GSE19700-5	GSM491673 LE 1	biotin	synthetic RNA	P-GSE19700-6	P-GSE19700-7	GSM491673	array assay	A-AFFY-2	P-GSE19700-8	GSM491673.CEL	GSM491673.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19700/E-GEOD-19700.raw.1.zip	P-GSE19700-1	E-GEOD-19700-processed-data-2509326825.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19700/E-GEOD-19700.processed.1.zip	control	18	hour
GSM491684 1	organism part	whole rosette	Arabidopsis thaliana	wild type genotype	Columbia-0	32	day	control	06:00	hour	whole rosette, well-watered, pre-dawn	bot0852	P-GSE19700-2	P-GSE19700-3	P-GSE19700-4	GSM491684 extract 1	total RNA	P-GSE19700-5	GSM491684 LE 1	biotin	synthetic RNA	P-GSE19700-6	P-GSE19700-7	GSM491684	array assay	A-AFFY-2	P-GSE19700-8	GSM491684.CEL	GSM491684.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19700/E-GEOD-19700.raw.1.zip	P-GSE19700-1	E-GEOD-19700-processed-data-2509326825.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19700/E-GEOD-19700.processed.1.zip	control	6	hour
GSM491671 1	organism part	whole rosette	Arabidopsis thaliana	wild type genotype	Columbia-0	32	day	drought	12:00	hour	whole rosette, water-limited, midday	28 days without water limitation followed by 4 days without further input of water 4 days.	P-GSE19700-2	P-GSE19700-3	P-GSE19700-4	GSM491671 extract 1	total RNA	P-GSE19700-5	GSM491671 LE 1	biotin	synthetic RNA	P-GSE19700-6	P-GSE19700-7	GSM491671	array assay	A-AFFY-2	P-GSE19700-8	GSM491671.CEL	GSM491671.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19700/E-GEOD-19700.raw.1.zip	P-GSE19700-1	E-GEOD-19700-processed-data-2509326825.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19700/E-GEOD-19700.processed.1.zip	drought	12	hour
GSM491687 1	organism part	whole rosette	Arabidopsis thaliana	wild type genotype	Columbia-0	32	day	drought	06:00	hour	whole rosette, water-limited, pre-dawn	bot0855	P-GSE19700-2	P-GSE19700-3	P-GSE19700-4	GSM491687 extract 1	total RNA	P-GSE19700-5	GSM491687 LE 1	biotin	synthetic RNA	P-GSE19700-6	P-GSE19700-7	GSM491687	array assay	A-AFFY-2	P-GSE19700-8	GSM491687.CEL	GSM491687.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19700/E-GEOD-19700.raw.1.zip	P-GSE19700-1	E-GEOD-19700-processed-data-2509326825.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19700/E-GEOD-19700.processed.1.zip	drought	6	hour
GSM491685 1	organism part	whole rosette	Arabidopsis thaliana	wild type genotype	Columbia-0	32	day	control	06:00	hour	whole rosette, well-watered, pre-dawn	32 days without water limitation.	P-GSE19700-2	P-GSE19700-3	P-GSE19700-4	GSM491685 extract 1	total RNA	P-GSE19700-5	GSM491685 LE 1	biotin	synthetic RNA	P-GSE19700-6	P-GSE19700-7	GSM491685	array assay	A-AFFY-2	P-GSE19700-8	GSM491685.CEL	GSM491685.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19700/E-GEOD-19700.raw.1.zip	P-GSE19700-1	E-GEOD-19700-processed-data-2509326825.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19700/E-GEOD-19700.processed.1.zip	control	6	hour
GSM491669 1	organism part	whole rosette	Arabidopsis thaliana	wild type genotype	Columbia-0	32	day	drought	12:00	hour	whole rosette, water-limited, midday	28 days without water limitation followed by 4 days without further input of water 4 days.	P-GSE19700-2	P-GSE19700-3	P-GSE19700-4	GSM491669 extract 1	total RNA	P-GSE19700-5	GSM491669 LE 1	biotin	synthetic RNA	P-GSE19700-6	P-GSE19700-7	GSM491669	array assay	A-AFFY-2	P-GSE19700-8	GSM491669.CEL	GSM491669.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19700/E-GEOD-19700.raw.1.zip	P-GSE19700-1	E-GEOD-19700-processed-data-2509326825.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19700/E-GEOD-19700.processed.1.zip	drought	12	hour
GSM491686 1	organism part	whole rosette	Arabidopsis thaliana	wild type genotype	Columbia-0	32	day	control	06:00	hour	whole rosette, well-watered, pre-dawn	bot0854	P-GSE19700-2	P-GSE19700-3	P-GSE19700-4	GSM491686 extract 1	total RNA	P-GSE19700-5	GSM491686 LE 1	biotin	synthetic RNA	P-GSE19700-6	P-GSE19700-7	GSM491686	array assay	A-AFFY-2	P-GSE19700-8	GSM491686.CEL	GSM491686.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19700/E-GEOD-19700.raw.1.zip	P-GSE19700-1	E-GEOD-19700-processed-data-2509326825.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19700/E-GEOD-19700.processed.1.zip	control	6	hour
