Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[developmental stage]	Characteristics[maternal ecotype]	Characteristics[maternal genetic modification]	Characteristics[paternal ecotype]	Characteristics[paternal genetic modification]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [DEVELOPMENTAL STAGE]	FactorValue [MATERNAL ECOTYPE]	FactorValue [MATERNAL GENETIC MODIFICATION]	FactorValue [PATERNAL ECOTYPE]	FactorValue [PATERNAL GENETIC MODIFICATION]
GSM499695 1	fis1X2x_2: biological replicate of fis1X2x_1	Siliques	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5 days after pollination	Ler	fis1-3 (=mea-3/f644) homozygous mutant	C24	none	P-GSE20005-2	  	P-GSE20005-3	  	P-GSE20005-4	  	GSM499695 extract 1	total RNA	P-GSE20005-5	  	GSM499695 LE 1	Biotin	P-GSE20005-6	  	GSM499695	A-AFFY-2	  	P-GSE20005-7	  	P-GSE20005-8	  	GSM499695.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20005/E-GEOD-20005.raw.1.zip	P-GSE20005-1	  	GSM499695_sample_table.txt norm	GSM499695_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20005/E-GEOD-20005.processed.1.zip	5 days after pollination	Ler	fis1-3 (=mea-3/f644) homozygous mutant	C24	none
GSM499694 1	2xX6x_2: biological replicate of 2xX6x_1	Siliques	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5 days after pollination	C24	A9-barnase transgene	Col-1	none	P-GSE20005-2	 	P-GSE20005-3	 	P-GSE20005-4	 	GSM499694 extract 1	total RNA	P-GSE20005-5	 	GSM499694 LE 1	Biotin	P-GSE20005-6	 	GSM499694	A-AFFY-2	 	P-GSE20005-7	 	P-GSE20005-8	 	GSM499694.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20005/E-GEOD-20005.raw.1.zip	P-GSE20005-1	 	GSM499694_sample_table.txt norm	GSM499694_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20005/E-GEOD-20005.processed.1.zip	5 days after pollination	C24	A9-barnase transgene	Col-1	none
GSM499693 1	2xX4x_2: biological replicate of 2xX4x_1	Siliques	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5 days after pollination	C24	A9-barnase transgene	C24	none	P-GSE20005-2	 	P-GSE20005-3	 	P-GSE20005-4	 	GSM499693 extract 1	total RNA	P-GSE20005-5	 	GSM499693 LE 1	Biotin	P-GSE20005-6	 	GSM499693	A-AFFY-2	 	P-GSE20005-7	 	P-GSE20005-8	 	GSM499693.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20005/E-GEOD-20005.raw.1.zip	P-GSE20005-1	 	GSM499693_sample_table.txt norm	GSM499693_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20005/E-GEOD-20005.processed.1.zip	5 days after pollination	C24	A9-barnase transgene	C24	none
GSM499692 1	2xX2x_2: biological replicate of 2xX2x_1	Siliques	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5 days after pollination	C24	A9-barnase transgene	C24	none	P-GSE20005-2	 	P-GSE20005-3	 	P-GSE20005-4	 	GSM499692 extract 1	total RNA	P-GSE20005-5	 	GSM499692 LE 1	Biotin	P-GSE20005-6	 	GSM499692	A-AFFY-2	 	P-GSE20005-7	 	P-GSE20005-8	 	GSM499692.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20005/E-GEOD-20005.raw.1.zip	P-GSE20005-1	 	GSM499692_sample_table.txt norm	GSM499692_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20005/E-GEOD-20005.processed.1.zip	5 days after pollination	C24	A9-barnase transgene	C24	none
GSM499691 1	4xX2x_2: biological replicate of 4xX2x_1	Siliques	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5 days after pollination	C24	A9-barnase transgene	C24	none	P-GSE20005-2	 	P-GSE20005-3	 	P-GSE20005-4	 	GSM499691 extract 1	total RNA	P-GSE20005-5	 	GSM499691 LE 1	Biotin	P-GSE20005-6	 	GSM499691	A-AFFY-2	 	P-GSE20005-7	 	P-GSE20005-8	 	GSM499691.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20005/E-GEOD-20005.raw.1.zip	P-GSE20005-1	 	GSM499691_sample_table.txt norm	GSM499691_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20005/E-GEOD-20005.processed.1.zip	5 days after pollination	C24	A9-barnase transgene	C24	none
GSM499690 1	6xX2x_2: biological replicate of 6xX2x_1	Siliques	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5 days after pollination	Col-1	none	C24	none	P-GSE20005-2	 	P-GSE20005-3	 	P-GSE20005-4	 	GSM499690 extract 1	total RNA	P-GSE20005-5	 	GSM499690 LE 1	Biotin	P-GSE20005-6	 	GSM499690	A-AFFY-2	 	P-GSE20005-7	 	P-GSE20005-8	 	GSM499690.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20005/E-GEOD-20005.raw.1.zip	P-GSE20005-1	 	GSM499690_sample_table.txt norm	GSM499690_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20005/E-GEOD-20005.processed.1.zip	5 days after pollination	Col-1	none	C24	none
GSM499689 1	msi1	Siliques	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 days after flowering	C24	msi1-2 homozygous mutant	N/A	N/A	P-GSE20005-2	 	P-GSE20005-3	 	P-GSE20005-4	 	GSM499689 extract 1	total RNA	P-GSE20005-5	 	GSM499689 LE 1	Biotin	P-GSE20005-6	 	GSM499689	A-AFFY-2	 	P-GSE20005-7	 	P-GSE20005-8	 	GSM499689.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20005/E-GEOD-20005.raw.1.zip	P-GSE20005-1	 	GSM499689_sample_table.txt norm	GSM499689_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20005/E-GEOD-20005.processed.1.zip	7 days after flowering	C24	msi1-2 homozygous mutant	N/A	N/A
GSM499688 1	fis1X2x_1: biological replicate of fis1X2x_2	Siliques	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5 days after pollination	Ler	fis1-3 (=mea-3/f644) homozygous mutant	C24	none	P-GSE20005-2	 	P-GSE20005-3	 	P-GSE20005-4	 	GSM499688 extract 1	total RNA	P-GSE20005-5	 	GSM499688 LE 1	Biotin	P-GSE20005-6	 	GSM499688	A-AFFY-2	 	P-GSE20005-7	 	P-GSE20005-8	 	GSM499688.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20005/E-GEOD-20005.raw.1.zip	P-GSE20005-1	 	GSM499688_sample_table.txt norm	GSM499688_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20005/E-GEOD-20005.processed.1.zip	5 days after pollination	Ler	fis1-3 (=mea-3/f644) homozygous mutant	C24	none
GSM499687 1	2xX6x_1: biological replicate of 2xX6x_2	Siliques	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5 days after pollination	C24	A9-barnase transgene	Col-1	none	P-GSE20005-2	 	P-GSE20005-3	 	P-GSE20005-4	 	GSM499687 extract 1	total RNA	P-GSE20005-5	 	GSM499687 LE 1	Biotin	P-GSE20005-6	 	GSM499687	A-AFFY-2	 	P-GSE20005-7	 	P-GSE20005-8	 	GSM499687.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20005/E-GEOD-20005.raw.1.zip	P-GSE20005-1	 	GSM499687_sample_table.txt norm	GSM499687_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20005/E-GEOD-20005.processed.1.zip	5 days after pollination	C24	A9-barnase transgene	Col-1	none
GSM499686 1	2xX4x_1: biological replicate of 2xX4x_2	Siliques	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5 days after pollination	C24	A9-barnase transgene	C24	none	P-GSE20005-2	 	P-GSE20005-3	 	P-GSE20005-4	 	GSM499686 extract 1	total RNA	P-GSE20005-5	 	GSM499686 LE 1	Biotin	P-GSE20005-6	 	GSM499686	A-AFFY-2	 	P-GSE20005-7	 	P-GSE20005-8	 	GSM499686.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20005/E-GEOD-20005.raw.1.zip	P-GSE20005-1	 	GSM499686_sample_table.txt norm	GSM499686_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20005/E-GEOD-20005.processed.1.zip	5 days after pollination	C24	A9-barnase transgene	C24	none
