Source Name	Characteristics [genotype]	Characteristics [ecotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [age]	Unit [time unit]	Characteristics [organism part]	Comment [Sample_source_name]	Comment [Sample_description]	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	Factor Value [genotype]
GSM507015 1	heterozygous AtCesA4	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	week	rosette	Col-0, heterozygous AtCesA4	Room chamber, untreated 4-week-old heterozygous irx5-2 plants, 50% humidity, 22oC	P-GSE20221-2	GSM507015 extract 1	total_RNA	P-GSE20221-3	GSM507015 LE 1	biotin	unknown	P-GSE20221-4	P-GSE20221-5	GSM507015	A-AFFY-2	P-GSE20221-6	GSM507015.CEL	GSM507015.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20221/E-GEOD-20221.raw.1.zip	P-GSE20221-1	E-GEOD-20221-processed-data-2481662811.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20221/E-GEOD-20221.processed.1.zip	heterozygous AtCesA4
GSM507016 1	heterozygous AtCesA4	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	week	rosette	Col-0, heterozygous AtCesA4	Room chamber, untreated 4-week-old heterozygous irx5-2 plants, 50% humidity, 22oC	P-GSE20221-2	GSM507016 extract 1	total_RNA	P-GSE20221-3	GSM507016 LE 1	biotin	unknown	P-GSE20221-4	P-GSE20221-5	GSM507016	A-AFFY-2	P-GSE20221-6	GSM507016.CEL	GSM507016.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20221/E-GEOD-20221.raw.1.zip	P-GSE20221-1	E-GEOD-20221-processed-data-2481662811.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20221/E-GEOD-20221.processed.1.zip	heterozygous AtCesA4
GSM507017 1	heterozygous AtCesA4	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	week	rosette	Col-0, heterozygous AtCesA4	Room chamber, untreated 4-week-old heterozygous irx5-2 plants, 50% humidity, 22oC	P-GSE20221-2	GSM507017 extract 1	total_RNA	P-GSE20221-3	GSM507017 LE 1	biotin	unknown	P-GSE20221-4	P-GSE20221-5	GSM507017	A-AFFY-2	P-GSE20221-6	GSM507017.CEL	GSM507017.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20221/E-GEOD-20221.raw.1.zip	P-GSE20221-1	E-GEOD-20221-processed-data-2481662811.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20221/E-GEOD-20221.processed.1.zip	heterozygous AtCesA4
GSM507020 1	heterozygous AtCesA6	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	week	rosette	Col-0, heterozygous AtCesA6	Room chamber, untreated 4-week-old heterozygous irx6-1 plants, 50% humidity, 22oC	P-GSE20221-2	GSM507020 extract 1	total_RNA	P-GSE20221-3	GSM507020 LE 1	biotin	unknown	P-GSE20221-4	P-GSE20221-5	GSM507020	A-AFFY-2	P-GSE20221-6	GSM507020.CEL	GSM507020.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20221/E-GEOD-20221.raw.1.zip	P-GSE20221-1	E-GEOD-20221-processed-data-2481662811.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20221/E-GEOD-20221.processed.1.zip	heterozygous AtCesA6
GSM507021 1	heterozygous AtCesA6	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	week	rosette	Col-0, heterozygous AtCesA6	Room chamber, untreated 4-week-old heterozygous irx6-1 plants, 50% humidity, 22oC	P-GSE20221-2	GSM507021 extract 1	total_RNA	P-GSE20221-3	GSM507021 LE 1	biotin	unknown	P-GSE20221-4	P-GSE20221-5	GSM507021	A-AFFY-2	P-GSE20221-6	GSM507021.CEL	GSM507021.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20221/E-GEOD-20221.raw.1.zip	P-GSE20221-1	E-GEOD-20221-processed-data-2481662811.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20221/E-GEOD-20221.processed.1.zip	heterozygous AtCesA6
GSM507012 1	homozygous AtCesA4	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	week	rosette	Col-0, homozygous AtCesA4	Room chamber, untreated 4-week-old homozygous irx5-2 plants, 50% humidity, 22oC	P-GSE20221-2	GSM507012 extract 1	total_RNA	P-GSE20221-3	GSM507012 LE 1	biotin	unknown	P-GSE20221-4	P-GSE20221-5	GSM507012	A-AFFY-2	P-GSE20221-6	GSM507012.CEL	GSM507012.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20221/E-GEOD-20221.raw.1.zip	P-GSE20221-1	E-GEOD-20221-processed-data-2481662811.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20221/E-GEOD-20221.processed.1.zip	homozygous AtCesA4
GSM507013 1	homozygous AtCesA4	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	week	rosette	Col-0, homozygous AtCesA4	Room chamber, untreated 4-week-old homozygous irx5-2 plants, 50% humidity, 22oC	P-GSE20221-2	GSM507013 extract 1	total_RNA	P-GSE20221-3	GSM507013 LE 1	biotin	unknown	P-GSE20221-4	P-GSE20221-5	GSM507013	A-AFFY-2	P-GSE20221-6	GSM507013.CEL	GSM507013.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20221/E-GEOD-20221.raw.1.zip	P-GSE20221-1	E-GEOD-20221-processed-data-2481662811.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20221/E-GEOD-20221.processed.1.zip	homozygous AtCesA4
GSM507014 1	homozygous AtCesA4	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	week	rosette	Col-0, homozygous AtCesA4	Room chamber, untreated 4-week-old homozygous irx5-2 plants, 50% humidity, 22oC	P-GSE20221-2	GSM507014 extract 1	total_RNA	P-GSE20221-3	GSM507014 LE 1	biotin	unknown	P-GSE20221-4	P-GSE20221-5	GSM507014	A-AFFY-2	P-GSE20221-6	GSM507014.CEL	GSM507014.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20221/E-GEOD-20221.raw.1.zip	P-GSE20221-1	E-GEOD-20221-processed-data-2481662811.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20221/E-GEOD-20221.processed.1.zip	homozygous AtCesA4
GSM507019 1	homozygous AtCesA6	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	week	rosette	Col-0, homozygous AtCesA6	Room chamber, untreated 4-week-old homozygous irx6-1 plants, 50% humidity, 22oC	P-GSE20221-2	GSM507019 extract 1	total_RNA	P-GSE20221-3	GSM507019 LE 1	biotin	unknown	P-GSE20221-4	P-GSE20221-5	GSM507019	A-AFFY-2	P-GSE20221-6	GSM507019.CEL	GSM507019.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20221/E-GEOD-20221.raw.1.zip	P-GSE20221-1	E-GEOD-20221-processed-data-2481662811.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20221/E-GEOD-20221.processed.1.zip	homozygous AtCesA6
GSM507018 1	homozygous AtCesA6	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	week	rosette	Col-0, homozygous AtCesA6	Room chamber, untreated 4-week-old homozygous irx6-1 plants, 50% humidity, 22oC	P-GSE20221-2	GSM507018 extract 1	total_RNA	P-GSE20221-3	GSM507018 LE 1	biotin	unknown	P-GSE20221-4	P-GSE20221-5	GSM507018	A-AFFY-2	P-GSE20221-6	GSM507018.CEL	GSM507018.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20221/E-GEOD-20221.raw.1.zip	P-GSE20221-1	E-GEOD-20221-processed-data-2481662811.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20221/E-GEOD-20221.processed.1.zip	homozygous AtCesA6
