Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [GeneticBackground]	Characteristics [OrganismPart]	Characteristics [DevelopmentalStage]	Characteristics [genetic variation]	Comment [Sample_description]	Comment [Sample_source_name]	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Factor Value [COMPOUND]	Term Source REF	Term Accession Number	Factor Value [TREATMENT TIME]	Unit[TimeUnit]
GSM507117 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Wassilewskija	primary root tip (5 mm)	1.02	T-DNA knock out mutation in IPT8	Sterilised seeds were put on agar plates and kept in +4C and darkness for 3 days.  Seeds were treated with 70 % ethanol + 0.1 % Tween-20 for two minutes. They were then washed briefly with 95 % ethanol and dried.  Sterilised seeds were put in rows (20-25 seeds/row) on square (12 x 12 cm) agar plates. After stratification, the plates were put in vertical position under light (LD growth chamber) and kept for 7 days. The seedlings were then treated with liquid medium for 12 or 24 h directly on the plates, and root tips from the treated seedlings were harvested for RNA extraction.  1 Agar, nutrients and sucrose were mixed with water, and pH was adjusted to 5.7. The medium was then autoclaved and poured into square petri dishes.  50/plate 23 C average, 23C day, 23C night 100 % average, 100 % day, 100 % night Murashige & Skoog basal salt mixture. Modifications: 1 % sucrose was added and pH was adjusted to 5.7.	AtIPT8/pga22, estradiol, 12h	P-GSE20231-3	P-GSE20231-2	GSM507117 extract 1	total_RNA	P-GSE20231-4	GSM507117 LE 1	biotin	unknown	P-GSE20231-5	P-GSE20231-6	GSM507117	A-AFFY-2	P-GSE20231-7	GSM507117.CEL	GSM507117.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20231/E-GEOD-20231.raw.1.zip	P-GSE20231-1	E-GEOD-20231-processed-data-2481656565.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20231/E-GEOD-20231.processed.1.zip	17-beta-estradiol	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16469	12	hours
GSM507120 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Wassilewskija	primary root tip (5 mm)	1.02	T-DNA knock out mutation in IPT8	Sterilised seeds were put on agar plates and kept in +4C and darkness for 3 days.  Seeds were treated with 70 % ethanol + 0.1 % Tween-20 for two minutes. They were then washed briefly with 95 % ethanol and dried.  Sterilised seeds were put in rows (20-25 seeds/row) on square (12 x 12 cm) agar plates. After stratification, the plates were put in vertical position under light (LD growth chamber) and kept for 7 days. The seedlings were then treated with liquid medium for 12 or 24 h directly on the plates, and root tips from the treated seedlings were harvested for RNA extraction.  1 Agar, nutrients and sucrose were mixed with water, and pH was adjusted to 5.7. The medium was then autoclaved and poured into square petri dishes.  50/plate 23 C average, 23C day, 23C night 100 % average, 100 % day, 100 % night Murashige & Skoog basal salt mixture. Modifications: 1 % sucrose was added and pH was adjusted to 5.7.	AtIPT8/pga22, zeatin, 12h	P-GSE20231-3	P-GSE20231-2	GSM507120 extract 1	total_RNA	P-GSE20231-4	GSM507120 LE 1	biotin	unknown	P-GSE20231-5	P-GSE20231-6	GSM507120	A-AFFY-2	P-GSE20231-7	GSM507120.CEL	GSM507120.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20231/E-GEOD-20231.raw.1.zip	P-GSE20231-1	E-GEOD-20231-processed-data-2481656565.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20231/E-GEOD-20231.processed.1.zip	trans-zeatin	  	  	12	hours
GSM507121 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Wassilewskija	primary root tip (5 mm)	1.02	T-DNA knock out mutation in IPT8	Sterilised seeds were put on agar plates and kept in +4C and darkness for 3 days.  Seeds were treated with 70 % ethanol + 0.1 % Tween-20 for two minutes. They were then washed briefly with 95 % ethanol and dried.  Sterilised seeds were put in rows (20-25 seeds/row) on square (12 x 12 cm) agar plates. After stratification, the plates were put in vertical position under light (LD growth chamber) and kept for 7 days. The seedlings were then treated with liquid medium for 12 or 24 h directly on the plates, and root tips from the treated seedlings were harvested for RNA extraction.  1 Agar, nutrients and sucrose were mixed with water, and pH was adjusted to 5.7. The medium was then autoclaved and poured into square petri dishes.  50/plate 23 C average, 23C day, 23C night 100 % average, 100 % day, 100 % night Murashige & Skoog basal salt mixture. Modifications: 1 % sucrose was added and pH was adjusted to 5.7.	AtIPT8/pga22, zeatin, 12h	P-GSE20231-3	P-GSE20231-2	GSM507121 extract 1	total_RNA	P-GSE20231-4	GSM507121 LE 1	biotin	unknown	P-GSE20231-5	P-GSE20231-6	GSM507121	A-AFFY-2	P-GSE20231-7	GSM507121.CEL	GSM507121.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20231/E-GEOD-20231.raw.1.zip	P-GSE20231-1	E-GEOD-20231-processed-data-2481656565.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20231/E-GEOD-20231.processed.1.zip	trans-zeatin	  	  	12	hours
GSM507124 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Wassilewskija	primary root tip (5 mm)	1.02	T-DNA knock out mutation in IPT8	Sterilised seeds were put on agar plates and kept in +4C and darkness for 3 days.  Seeds were treated with 70 % ethanol + 0.1 % Tween-20 for two minutes. They were then washed briefly with 95 % ethanol and dried.  Sterilised seeds were put in rows (20-25 seeds/row) on square (12 x 12 cm) agar plates. After stratification, the plates were put in vertical position under light (LD growth chamber) and kept for 7 days. The seedlings were then treated with liquid medium for 12 or 24 h directly on the plates, and root tips from the treated seedlings were harvested for RNA extraction.  1 Agar, nutrients and sucrose were mixed with water, and pH was adjusted to 5.7. The medium was then autoclaved and poured into square petri dishes.  50/plate 23 C average, 23C day, 23C night 100 % average, 100 % day, 100 % night Murashige & Skoog basal salt mixture. Modifications: 1 % sucrose was added and pH was adjusted to 5.7.	AtIPT8/pga22, estradiol, 24h	P-GSE20231-3	P-GSE20231-2	GSM507124 extract 1	total_RNA	P-GSE20231-4	GSM507124 LE 1	biotin	unknown	P-GSE20231-5	P-GSE20231-6	GSM507124	A-AFFY-2	P-GSE20231-7	GSM507124.CEL	GSM507124.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20231/E-GEOD-20231.raw.1.zip	P-GSE20231-1	E-GEOD-20231-processed-data-2481656565.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20231/E-GEOD-20231.processed.1.zip	17-beta-estradiol	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16469	24	hours
GSM507119 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Wassilewskija	primary root tip (5 mm)	1.02	T-DNA knock out mutation in IPT8	Sterilised seeds were put on agar plates and kept in +4C and darkness for 3 days.  Seeds were treated with 70 % ethanol + 0.1 % Tween-20 for two minutes. They were then washed briefly with 95 % ethanol and dried.  Sterilised seeds were put in rows (20-25 seeds/row) on square (12 x 12 cm) agar plates. After stratification, the plates were put in vertical position under light (LD growth chamber) and kept for 7 days. The seedlings were then treated with liquid medium for 12 or 24 h directly on the plates, and root tips from the treated seedlings were harvested for RNA extraction.  1 Agar, nutrients and sucrose were mixed with water, and pH was adjusted to 5.7. The medium was then autoclaved and poured into square petri dishes.  50/plate 23 C average, 23C day, 23C night 100 % average, 100 % day, 100 % night Murashige & Skoog basal salt mixture. Modifications: 1 % sucrose was added and pH was adjusted to 5.7.	AtIPT8/pga22, estradiol, 12h	P-GSE20231-3	P-GSE20231-2	GSM507119 extract 1	total_RNA	P-GSE20231-4	GSM507119 LE 1	biotin	unknown	P-GSE20231-5	P-GSE20231-6	GSM507119	A-AFFY-2	P-GSE20231-7	GSM507119.CEL	GSM507119.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20231/E-GEOD-20231.raw.1.zip	P-GSE20231-1	E-GEOD-20231-processed-data-2481656565.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20231/E-GEOD-20231.processed.1.zip	17-beta-estradiol	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16469	12	hours
GSM507115 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Wassilewskija	primary root tip (5 mm)	1.02	T-DNA knock out mutation in IPT8	Sterilised seeds were put on agar plates and kept in +4C and darkness for 3 days.  Seeds were treated with 70 % ethanol + 0.1 % Tween-20 for two minutes. They were then washed briefly with 95 % ethanol and dried.  Sterilised seeds were put in rows (20-25 seeds/row) on square (12 x 12 cm) agar plates. After stratification, the plates were put in vertical position under light (LD growth chamber) and kept for 7 days. The seedlings were then treated with liquid medium for 12 or 24 h directly on the plates, and root tips from the treated seedlings were harvested for RNA extraction.  1 Agar, nutrients and sucrose were mixed with water, and pH was adjusted to 5.7. The medium was then autoclaved and poured into square petri dishes.  50/plate 23 C average, 23C day, 23C night 100 % average, 100 % day, 100 % night Murashige & Skoog basal salt mixture. Modifications: 1 % sucrose was added and pH was adjusted to 5.7.	AtIPT8/pga22, control, 12h	P-GSE20231-3	P-GSE20231-2	GSM507115 extract 1	total_RNA	P-GSE20231-4	GSM507115 LE 1	biotin	unknown	P-GSE20231-5	P-GSE20231-6	GSM507115	A-AFFY-2	P-GSE20231-7	GSM507115.CEL	GSM507115.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20231/E-GEOD-20231.raw.1.zip	P-GSE20231-1	E-GEOD-20231-processed-data-2481656565.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20231/E-GEOD-20231.processed.1.zip	none	  	  	12	hours
GSM507122 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Wassilewskija	primary root tip (5 mm)	1.02	T-DNA knock out mutation in IPT8	Sterilised seeds were put on agar plates and kept in +4C and darkness for 3 days.  Seeds were treated with 70 % ethanol + 0.1 % Tween-20 for two minutes. They were then washed briefly with 95 % ethanol and dried.  Sterilised seeds were put in rows (20-25 seeds/row) on square (12 x 12 cm) agar plates. After stratification, the plates were put in vertical position under light (LD growth chamber) and kept for 7 days. The seedlings were then treated with liquid medium for 12 or 24 h directly on the plates, and root tips from the treated seedlings were harvested for RNA extraction.  1 Agar, nutrients and sucrose were mixed with water, and pH was adjusted to 5.7. The medium was then autoclaved and poured into square petri dishes.  50/plate 23 C average, 23C day, 23C night 100 % average, 100 % day, 100 % night Murashige & Skoog basal salt mixture. Modifications: 1 % sucrose was added and pH was adjusted to 5.7.	AtIPT8/pga22, control, 24h	P-GSE20231-3	P-GSE20231-2	GSM507122 extract 1	total_RNA	P-GSE20231-4	GSM507122 LE 1	biotin	unknown	P-GSE20231-5	P-GSE20231-6	GSM507122	A-AFFY-2	P-GSE20231-7	GSM507122.CEL	GSM507122.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20231/E-GEOD-20231.raw.1.zip	P-GSE20231-1	E-GEOD-20231-processed-data-2481656565.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20231/E-GEOD-20231.processed.1.zip	none	  	  	24	hours
GSM507126 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Wassilewskija	primary root tip (5 mm)	1.02	T-DNA knock out mutation in IPT8	Sterilised seeds were put on agar plates and kept in +4C and darkness for 3 days.  Seeds were treated with 70 % ethanol + 0.1 % Tween-20 for two minutes. They were then washed briefly with 95 % ethanol and dried.  Sterilised seeds were put in rows (20-25 seeds/row) on square (12 x 12 cm) agar plates. After stratification, the plates were put in vertical position under light (LD growth chamber) and kept for 7 days. The seedlings were then treated with liquid medium for 12 or 24 h directly on the plates, and root tips from the treated seedlings were harvested for RNA extraction.  1 Agar, nutrients and sucrose were mixed with water, and pH was adjusted to 5.7. The medium was then autoclaved and poured into square petri dishes.  50/plate 23 C average, 23C day, 23C night 100 % average, 100 % day, 100 % night Murashige & Skoog basal salt mixture. Modifications: 1 % sucrose was added and pH was adjusted to 5.7.	AtIPT8/pga22, zeatin, 24h	P-GSE20231-3	P-GSE20231-2	GSM507126 extract 1	total_RNA	P-GSE20231-4	GSM507126 LE 1	biotin	unknown	P-GSE20231-5	P-GSE20231-6	GSM507126	A-AFFY-2	P-GSE20231-7	GSM507126.CEL	GSM507126.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20231/E-GEOD-20231.raw.1.zip	P-GSE20231-1	E-GEOD-20231-processed-data-2481656565.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20231/E-GEOD-20231.processed.1.zip	trans-zeatin	  	  	24	hours
GSM507116 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Wassilewskija	primary root tip (5 mm)	1.02	T-DNA knock out mutation in IPT8	Sterilised seeds were put on agar plates and kept in +4C and darkness for 3 days.  Seeds were treated with 70 % ethanol + 0.1 % Tween-20 for two minutes. They were then washed briefly with 95 % ethanol and dried.  Sterilised seeds were put in rows (20-25 seeds/row) on square (12 x 12 cm) agar plates. After stratification, the plates were put in vertical position under light (LD growth chamber) and kept for 7 days. The seedlings were then treated with liquid medium for 12 or 24 h directly on the plates, and root tips from the treated seedlings were harvested for RNA extraction.  1 Agar, nutrients and sucrose were mixed with water, and pH was adjusted to 5.7. The medium was then autoclaved and poured into square petri dishes.  50/plate 23 C average, 23C day, 23C night 100 % average, 100 % day, 100 % night Murashige & Skoog basal salt mixture. Modifications: 1 % sucrose was added and pH was adjusted to 5.7.	AtIPT8/pga22, control, 12h	P-GSE20231-3	P-GSE20231-2	GSM507116 extract 1	total_RNA	P-GSE20231-4	GSM507116 LE 1	biotin	unknown	P-GSE20231-5	P-GSE20231-6	GSM507116	A-AFFY-2	P-GSE20231-7	GSM507116.CEL	GSM507116.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20231/E-GEOD-20231.raw.1.zip	P-GSE20231-1	E-GEOD-20231-processed-data-2481656565.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20231/E-GEOD-20231.processed.1.zip	none	  	  	12	hours
GSM507123 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Wassilewskija	primary root tip (5 mm)	1.02	T-DNA knock out mutation in IPT8	Sterilised seeds were put on agar plates and kept in +4C and darkness for 3 days.  Seeds were treated with 70 % ethanol + 0.1 % Tween-20 for two minutes. They were then washed briefly with 95 % ethanol and dried.  Sterilised seeds were put in rows (20-25 seeds/row) on square (12 x 12 cm) agar plates. After stratification, the plates were put in vertical position under light (LD growth chamber) and kept for 7 days. The seedlings were then treated with liquid medium for 12 or 24 h directly on the plates, and root tips from the treated seedlings were harvested for RNA extraction.  1 Agar, nutrients and sucrose were mixed with water, and pH was adjusted to 5.7. The medium was then autoclaved and poured into square petri dishes.  50/plate 23 C average, 23C day, 23C night 100 % average, 100 % day, 100 % night Murashige & Skoog basal salt mixture. Modifications: 1 % sucrose was added and pH was adjusted to 5.7.	AtIPT8/pga22, control, 24h	P-GSE20231-3	P-GSE20231-2	GSM507123 extract 1	total_RNA	P-GSE20231-4	GSM507123 LE 1	biotin	unknown	P-GSE20231-5	P-GSE20231-6	GSM507123	A-AFFY-2	P-GSE20231-7	GSM507123.CEL	GSM507123.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20231/E-GEOD-20231.raw.1.zip	P-GSE20231-1	E-GEOD-20231-processed-data-2481656565.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20231/E-GEOD-20231.processed.1.zip	none	  	  	24	hours
GSM507118 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Wassilewskija	primary root tip (5 mm)	1.02	T-DNA knock out mutation in IPT8	Sterilised seeds were put on agar plates and kept in +4C and darkness for 3 days.  Seeds were treated with 70 % ethanol + 0.1 % Tween-20 for two minutes. They were then washed briefly with 95 % ethanol and dried.  Sterilised seeds were put in rows (20-25 seeds/row) on square (12 x 12 cm) agar plates. After stratification, the plates were put in vertical position under light (LD growth chamber) and kept for 7 days. The seedlings were then treated with liquid medium for 12 or 24 h directly on the plates, and root tips from the treated seedlings were harvested for RNA extraction.  1 Agar, nutrients and sucrose were mixed with water, and pH was adjusted to 5.7. The medium was then autoclaved and poured into square petri dishes.  50/plate 23 C average, 23C day, 23C night 100 % average, 100 % day, 100 % night Murashige & Skoog basal salt mixture. Modifications: 1 % sucrose was added and pH was adjusted to 5.7.	AtIPT8/pga22, estradiol, 12h	P-GSE20231-3	P-GSE20231-2	GSM507118 extract 1	total_RNA	P-GSE20231-4	GSM507118 LE 1	biotin	unknown	P-GSE20231-5	P-GSE20231-6	GSM507118	A-AFFY-2	P-GSE20231-7	GSM507118.CEL	GSM507118.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20231/E-GEOD-20231.raw.1.zip	P-GSE20231-1	E-GEOD-20231-processed-data-2481656565.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20231/E-GEOD-20231.processed.1.zip	17-beta-estradiol	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16469	12	hours
GSM507127 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Wassilewskija	primary root tip (5 mm)	1.02	T-DNA knock out mutation in IPT8	Sterilised seeds were put on agar plates and kept in +4C and darkness for 3 days.  Seeds were treated with 70 % ethanol + 0.1 % Tween-20 for two minutes. They were then washed briefly with 95 % ethanol and dried.  Sterilised seeds were put in rows (20-25 seeds/row) on square (12 x 12 cm) agar plates. After stratification, the plates were put in vertical position under light (LD growth chamber) and kept for 7 days. The seedlings were then treated with liquid medium for 12 or 24 h directly on the plates, and root tips from the treated seedlings were harvested for RNA extraction.  1 Agar, nutrients and sucrose were mixed with water, and pH was adjusted to 5.7. The medium was then autoclaved and poured into square petri dishes.  50/plate 23 C average, 23C day, 23C night 100 % average, 100 % day, 100 % night Murashige & Skoog basal salt mixture. Modifications: 1 % sucrose was added and pH was adjusted to 5.7.	AtIPT8/pga22, zeatin, 24h	P-GSE20231-3	P-GSE20231-2	GSM507127 extract 1	total_RNA	P-GSE20231-4	GSM507127 LE 1	biotin	unknown	P-GSE20231-5	P-GSE20231-6	GSM507127	A-AFFY-2	P-GSE20231-7	GSM507127.CEL	GSM507127.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20231/E-GEOD-20231.raw.1.zip	P-GSE20231-1	E-GEOD-20231-processed-data-2481656565.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20231/E-GEOD-20231.processed.1.zip	trans-zeatin	  	  	24	hours
GSM507125 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Wassilewskija	primary root tip (5 mm)	1.02	T-DNA knock out mutation in IPT8	Sterilised seeds were put on agar plates and kept in +4C and darkness for 3 days.  Seeds were treated with 70 % ethanol + 0.1 % Tween-20 for two minutes. They were then washed briefly with 95 % ethanol and dried.  Sterilised seeds were put in rows (20-25 seeds/row) on square (12 x 12 cm) agar plates. After stratification, the plates were put in vertical position under light (LD growth chamber) and kept for 7 days. The seedlings were then treated with liquid medium for 12 or 24 h directly on the plates, and root tips from the treated seedlings were harvested for RNA extraction.  1 Agar, nutrients and sucrose were mixed with water, and pH was adjusted to 5.7. The medium was then autoclaved and poured into square petri dishes.  50/plate 23 C average, 23C day, 23C night 100 % average, 100 % day, 100 % night Murashige & Skoog basal salt mixture. Modifications: 1 % sucrose was added and pH was adjusted to 5.7.	AtIPT8/pga22, estradiol, 24h	P-GSE20231-3	P-GSE20231-2	GSM507125 extract 1	total_RNA	P-GSE20231-4	GSM507125 LE 1	biotin	unknown	P-GSE20231-5	P-GSE20231-6	GSM507125	A-AFFY-2	P-GSE20231-7	GSM507125.CEL	GSM507125.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20231/E-GEOD-20231.raw.1.zip	P-GSE20231-1	E-GEOD-20231-processed-data-2481656565.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20231/E-GEOD-20231.processed.1.zip	17-beta-estradiol	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16469	24	hours
