Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[developmental stage]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics[genotype]	Comment[stock code]	Characteristics[organism part]	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [compound]
GSM507139 1	Sterilized by treatment with bleach Growth chamber Agar Murashige and Skoog basal salt mixture	SALK_098604, SALK_054752, DMSO	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	Col-0	arr10 arr12 mutations	N598604, N554752	root	P-GSE20232-2	P-GSE20232-3	GSM507139 extract 1	total RNA	P-GSE20232-4	GSM507139 LE 1	biotin	P-GSE20232-5	GSM507139	A-AFFY-2	P-GSE20232-6	P-GSE20232-7	  	  	GSM507139.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20232/E-GEOD-20232.raw.1.zip	P-GSE20232-1	GSM507139_sample_table.txt norm	GSM507139_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20232/E-GEOD-20232.processed.1.zip	arr10 arr12 mutations	DMSO
GSM507138 1	Sterilized by treatment with bleach Growth chamber Agar Murashige and Skoog basal salt mixture	SALK_098604, SALK_054752, DMSO	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	Col-0	arr10 arr12 mutations	N598604, N554752	root	P-GSE20232-2	P-GSE20232-3	GSM507138 extract 1	total RNA	P-GSE20232-4	GSM507138 LE 1	biotin	P-GSE20232-5	GSM507138	A-AFFY-2	P-GSE20232-6	P-GSE20232-7	 	 	GSM507138.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20232/E-GEOD-20232.raw.1.zip	P-GSE20232-1	GSM507138_sample_table.txt norm	GSM507138_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20232/E-GEOD-20232.processed.1.zip	arr10 arr12 mutations	DMSO
GSM507137 1	Sterilized by treatment with bleach Growth chamber Agar Murashige and Skoog basal salt mixture	SALK_098604, SALK_054752, DMSO	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	Col-0	arr10 arr12 mutations	N598604, N554752	root	P-GSE20232-2	P-GSE20232-3	GSM507137 extract 1	total RNA	P-GSE20232-4	GSM507137 LE 1	biotin	P-GSE20232-5	GSM507137	A-AFFY-2	P-GSE20232-6	P-GSE20232-7	 	 	GSM507137.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20232/E-GEOD-20232.raw.1.zip	P-GSE20232-1	GSM507137_sample_table.txt norm	GSM507137_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20232/E-GEOD-20232.processed.1.zip	arr10 arr12 mutations	DMSO
GSM507136 1	Sterilized by treatment with bleach Growth chamber Agar Murashige and Skoog basal salt mixture	SALK_098604, SALK_054752, TZ	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	Col-0	arr10 arr12 mutations	N598604, N554752	root	P-GSE20232-2	P-GSE20232-3	GSM507136 extract 1	total RNA	P-GSE20232-4	GSM507136 LE 1	biotin	P-GSE20232-5	GSM507136	A-AFFY-2	P-GSE20232-6	P-GSE20232-7	P-GSE20232-8	P-GSE20232-10	GSM507136_truncated.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20232/E-GEOD-20232.raw.1.zip	P-GSE20232-1	GSM507136_sample_table.txt norm	GSM507136_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20232/E-GEOD-20232.processed.1.zip	arr10 arr12 mutations	trans-zeatin
GSM507135 1	Sterilized by treatment with bleach Growth chamber Agar Murashige and Skoog basal salt mixture	SALK_098604, SALK_054752, TZ	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	Col-0	arr10 arr12 mutations	N598604, N554752	root	P-GSE20232-2	P-GSE20232-3	GSM507135 extract 1	total RNA	P-GSE20232-4	GSM507135 LE 1	biotin	P-GSE20232-5	GSM507135	A-AFFY-2	P-GSE20232-6	P-GSE20232-7	 	 	GSM507135.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20232/E-GEOD-20232.raw.1.zip	P-GSE20232-1	GSM507135_sample_table.txt norm	GSM507135_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20232/E-GEOD-20232.processed.1.zip	arr10 arr12 mutations	trans-zeatin
GSM507134 1	Sterilized by treatment with bleach Growth chamber Agar Murashige and Skoog basal salt mixture	SALK_098604, SALK_054752, TZ	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	Col-0	arr10 arr12 mutations	N598604, N554752	root	P-GSE20232-2	P-GSE20232-3	GSM507134 extract 1	total RNA	P-GSE20232-4	GSM507134 LE 1	biotin	P-GSE20232-5	GSM507134	A-AFFY-2	P-GSE20232-6	P-GSE20232-7	 	 	GSM507134.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20232/E-GEOD-20232.raw.1.zip	P-GSE20232-1	GSM507134_sample_table.txt norm	GSM507134_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20232/E-GEOD-20232.processed.1.zip	arr10 arr12 mutations	trans-zeatin
GSM507133 1	Sterilized by treatment with bleach Growth chamber Agar Murashige and Skoog basal salt mixture	Col-0, wildtype, DMSO	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	Col-0	wild type	N1092	root	P-GSE20232-2	P-GSE20232-3	GSM507133 extract 1	total RNA	P-GSE20232-4	GSM507133 LE 1	biotin	P-GSE20232-5	GSM507133	A-AFFY-2	P-GSE20232-6	P-GSE20232-7	 	 	GSM507133.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20232/E-GEOD-20232.raw.1.zip	P-GSE20232-1	GSM507133_sample_table.txt norm	GSM507133_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20232/E-GEOD-20232.processed.1.zip	wild type	DMSO
GSM507132 1	Sterilized by treatment with bleach Growth chamber Agar Murashige and Skoog basal salt mixture	Col-0, wildtype, DMSO	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	Col-0	wild type	N1092	root	P-GSE20232-2	P-GSE20232-3	GSM507132 extract 1	total RNA	P-GSE20232-4	GSM507132 LE 1	biotin	P-GSE20232-5	GSM507132	A-AFFY-2	P-GSE20232-6	P-GSE20232-7	 	 	GSM507132.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20232/E-GEOD-20232.raw.1.zip	P-GSE20232-1	GSM507132_sample_table.txt norm	GSM507132_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20232/E-GEOD-20232.processed.1.zip	wild type	DMSO
GSM507131 1	Sterilized by treatment with bleach Growth chamber Agar Murashige and Skoog basal salt mixture	Col-0, wildtype, DMSO	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	Col-0	wild type	N1092	root	P-GSE20232-2	P-GSE20232-3	GSM507131 extract 1	total RNA	P-GSE20232-4	GSM507131 LE 1	biotin	P-GSE20232-5	GSM507131	A-AFFY-2	P-GSE20232-6	P-GSE20232-7	 	 	GSM507131.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20232/E-GEOD-20232.raw.1.zip	P-GSE20232-1	GSM507131_sample_table.txt norm	GSM507131_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20232/E-GEOD-20232.processed.1.zip	wild type	DMSO
GSM507130 1	Sterilized by treatment with bleach Growth chamber Agar Murashige and Skoog basal salt mixture	Col-0, wildtype, TZ	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	Col-0	wild type	N1092	root	P-GSE20232-2	P-GSE20232-3	GSM507130 extract 1	total RNA	P-GSE20232-4	GSM507130 LE 1	biotin	P-GSE20232-5	GSM507130	A-AFFY-2	P-GSE20232-6	P-GSE20232-7	P-GSE20232-8	P-GSE20232-9	GSM507130_truncated.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20232/E-GEOD-20232.raw.1.zip	P-GSE20232-1	GSM507130_sample_table.txt norm	GSM507130_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20232/E-GEOD-20232.processed.1.zip	wild type	trans-zeatin
