Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [ecotype]	Characteristics [organism part]	Characteristics [age]	Unit [time unit]	Comment[Genotype]	Comment [Sample_description]	Comment [Sample_source_name]	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	Factor Value [organism part]	FactorValue[genotype]
GSM514948 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	root	18	day	GLU1-KO	Gene expression in 18 days old roots	GLU1-KO, roots	P-GSE20493-2	P-GSE20493-3	GSM514948 extract 1	total_RNA	P-GSE20493-4	GSM514948 LE 1	biotin	unknown	P-GSE20493-5	P-GSE20493-6	GSM514948	A-AFFY-2	P-GSE20493-7	GSM514948.CEL	GSM514948.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20493/E-GEOD-20493.raw.1.zip	P-GSE20493-1	E-GEOD-20493-processed-data-2495369713.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20493/E-GEOD-20493.processed.1.zip	root	glu1-2 mutant
GSM514947 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	root	18	day	Col(0)	Gene expression in 18 days old roots	Col(0), roots	P-GSE20493-2	P-GSE20493-3	GSM514947 extract 1	total_RNA	P-GSE20493-4	GSM514947 LE 1	biotin	unknown	P-GSE20493-5	P-GSE20493-6	GSM514947	A-AFFY-2	P-GSE20493-7	GSM514947.CEL	GSM514947.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20493/E-GEOD-20493.raw.1.zip	P-GSE20493-1	E-GEOD-20493-processed-data-2495369713.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20493/E-GEOD-20493.processed.1.zip	root	wild type
GSM514952 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	root	18	day	GLU1-KO	Gene expression in 18 days old roots	GLU1-KO, roots	P-GSE20493-2	P-GSE20493-3	GSM514952 extract 1	total_RNA	P-GSE20493-4	GSM514952 LE 1	biotin	unknown	P-GSE20493-5	P-GSE20493-6	GSM514952	A-AFFY-2	P-GSE20493-7	GSM514952.CEL	GSM514952.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20493/E-GEOD-20493.raw.1.zip	P-GSE20493-1	E-GEOD-20493-processed-data-2495369713.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20493/E-GEOD-20493.processed.1.zip	root	glu1-2 mutant
GSM514938 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	rosette leaf	18	day	GLU1-KO	Gene expression in 18 days old rosette leaves	GLU1-KO, rosette leaves	P-GSE20493-2	P-GSE20493-3	GSM514938 extract 1	total_RNA	P-GSE20493-4	GSM514938 LE 1	biotin	unknown	P-GSE20493-5	P-GSE20493-6	GSM514938	A-AFFY-2	P-GSE20493-7	GSM514938.CEL	GSM514938.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20493/E-GEOD-20493.raw.1.zip	P-GSE20493-1	E-GEOD-20493-processed-data-2495369713.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20493/E-GEOD-20493.processed.1.zip	rosette leaf	glu1-2 mutant
GSM514946 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	root	18	day	GLU1-KO	Gene expression in 18 days old roots	GLU1-KO, roots	P-GSE20493-2	P-GSE20493-3	GSM514946 extract 1	total_RNA	P-GSE20493-4	GSM514946 LE 1	biotin	unknown	P-GSE20493-5	P-GSE20493-6	GSM514946	A-AFFY-2	P-GSE20493-7	GSM514946.CEL	GSM514946.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20493/E-GEOD-20493.raw.1.zip	P-GSE20493-1	E-GEOD-20493-processed-data-2495369713.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20493/E-GEOD-20493.processed.1.zip	root	glu1-2 mutant
GSM514950 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	root	18	day	GLU1-KO	Gene expression in 18 days old roots	GLU1-KO, roots	P-GSE20493-2	P-GSE20493-3	GSM514950 extract 1	total_RNA	P-GSE20493-4	GSM514950 LE 1	biotin	unknown	P-GSE20493-5	P-GSE20493-6	GSM514950	A-AFFY-2	P-GSE20493-7	GSM514950.CEL	GSM514950.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20493/E-GEOD-20493.raw.1.zip	P-GSE20493-1	E-GEOD-20493-processed-data-2495369713.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20493/E-GEOD-20493.processed.1.zip	root	glu1-2 mutant
GSM514942 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	rosette leaf	18	day	GLU1-KO	Gene expression in 18 days old rosette leaves	GLU1-KO, rosette leaves	P-GSE20493-2	P-GSE20493-3	GSM514942 extract 1	total_RNA	P-GSE20493-4	GSM514942 LE 1	biotin	unknown	P-GSE20493-5	P-GSE20493-6	GSM514942	A-AFFY-2	P-GSE20493-7	GSM514942.CEL	GSM514942.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20493/E-GEOD-20493.raw.1.zip	P-GSE20493-1	E-GEOD-20493-processed-data-2495369713.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20493/E-GEOD-20493.processed.1.zip	rosette leaf	glu1-2 mutant
GSM514939 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	rosette leaf	18	day	Col(0)	Gene expression in 18 days old rosette leaves	Col(0), rosette leaves	P-GSE20493-2	P-GSE20493-3	GSM514939 extract 1	total_RNA	P-GSE20493-4	GSM514939 LE 1	biotin	unknown	P-GSE20493-5	P-GSE20493-6	GSM514939	A-AFFY-2	P-GSE20493-7	GSM514939.CEL	GSM514939.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20493/E-GEOD-20493.raw.1.zip	P-GSE20493-1	E-GEOD-20493-processed-data-2495369713.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20493/E-GEOD-20493.processed.1.zip	rosette leaf	wild type
GSM514937 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	rosette leaf	18	day	Col(0)	Gene expression in 18 days old rosette leaves	Col(0), rosette leaves	P-GSE20493-2	P-GSE20493-3	GSM514937 extract 1	total_RNA	P-GSE20493-4	GSM514937 LE 1	biotin	unknown	P-GSE20493-5	P-GSE20493-6	GSM514937	A-AFFY-2	P-GSE20493-7	GSM514937.CEL	GSM514937.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20493/E-GEOD-20493.raw.1.zip	P-GSE20493-1	E-GEOD-20493-processed-data-2495369713.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20493/E-GEOD-20493.processed.1.zip	rosette leaf	wild type
GSM514943 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	rosette leaf	18	day	Col(0)	Gene expression in 18 days old rosette leaves	Col(0), rosette leaves	P-GSE20493-2	P-GSE20493-3	GSM514943 extract 1	total_RNA	P-GSE20493-4	GSM514943 LE 1	biotin	unknown	P-GSE20493-5	P-GSE20493-6	GSM514943	A-AFFY-2	P-GSE20493-7	GSM514943.CEL	GSM514943.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20493/E-GEOD-20493.raw.1.zip	P-GSE20493-1	E-GEOD-20493-processed-data-2495369713.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20493/E-GEOD-20493.processed.1.zip	rosette leaf	wild type
