Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [ecotype]	Characteristics [genotype]	Characteristics [organism part]	Comment [Sample_description]	Comment [Sample_source_name]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue [genotype]	FactorValue [compound]	FactorValue[dose]	Unit[concentration unit]
GSM516606 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	ga1-3 mutant	seed	Gene expression data from ga1-3 mutant seed imbibed 24 h on KAR1.	ga1-3 seed imbibed 24 h on KAR1	P-GSE20556-4	P-GSE20556-3	P-GSE20556-2	GSM516606 extract 1	total RNA	P-GSE20556-5	GSM516606 LE 1	biotin	synthetic RNA	P-GSE20556-6	P-GSE20556-7	GSM516606	A-AFFY-2	P-GSE20556-8	GSM516606.CEL	GSM516606.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20556/E-GEOD-20556.raw.1.zip	P-GSE20556-1	E-GEOD-20556-processed-data-2200977335.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20556/E-GEOD-20556.processed.1.zip	ga1-3 mutant	karrikin	1	micromolar
GSM516608 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	ga1-3 mutant	seed	Gene expression data from ga1-3 mutant seed imbibed 24 h on KAR1.	ga1-3 seed imbibed 24 h on KAR1	P-GSE20556-4	P-GSE20556-3	P-GSE20556-2	GSM516608 extract 1	total RNA	P-GSE20556-5	GSM516608 LE 1	biotin	synthetic RNA	P-GSE20556-6	P-GSE20556-7	GSM516608	A-AFFY-2	P-GSE20556-8	GSM516608.CEL	GSM516608.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20556/E-GEOD-20556.raw.1.zip	P-GSE20556-1	E-GEOD-20556-processed-data-2200977335.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20556/E-GEOD-20556.processed.1.zip	ga1-3 mutant	karrikin	1	micromolar
GSM516607 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	ga1-3 mutant	seed	ga1 K24B	ga1-3 seed imbibed 24 h on KAR1	P-GSE20556-4	P-GSE20556-3	P-GSE20556-2	GSM516607 extract 1	total RNA	P-GSE20556-5	GSM516607 LE 1	biotin	synthetic RNA	P-GSE20556-6	P-GSE20556-7	GSM516607	A-AFFY-2	P-GSE20556-8	GSM516607.CEL	GSM516607.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20556/E-GEOD-20556.raw.1.zip	P-GSE20556-1	E-GEOD-20556-processed-data-2200977335.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20556/E-GEOD-20556.processed.1.zip	ga1-3 mutant	karrikin	1	micromolar
GSM516605 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	ga1-3 mutant	seed	Gene expression data from ga1-3 mutant seed imbibed 24 h on water.	ga1-3 seed imbibed 24 h on water	P-GSE20556-4	P-GSE20556-3	P-GSE20556-2	GSM516605 extract 1	total RNA	P-GSE20556-5	GSM516605 LE 1	biotin	synthetic RNA	P-GSE20556-6	P-GSE20556-7	GSM516605	A-AFFY-2	P-GSE20556-8	GSM516605.CEL	GSM516605.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20556/E-GEOD-20556.raw.1.zip	P-GSE20556-1	E-GEOD-20556-processed-data-2200977335.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20556/E-GEOD-20556.processed.1.zip	ga1-3 mutant	water	  	        
GSM516604 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	ga1-3 mutant	seed	ga1 W24B	ga1-3 seed imbibed 24 h on water	P-GSE20556-4	P-GSE20556-3	P-GSE20556-2	GSM516604 extract 1	total RNA	P-GSE20556-5	GSM516604 LE 1	biotin	synthetic RNA	P-GSE20556-6	P-GSE20556-7	GSM516604	A-AFFY-2	P-GSE20556-8	GSM516604.CEL	GSM516604.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20556/E-GEOD-20556.raw.1.zip	P-GSE20556-1	E-GEOD-20556-processed-data-2200977335.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20556/E-GEOD-20556.processed.1.zip	ga1-3 mutant	water	  	        
GSM516603 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	ga1-3 mutant	seed	ga1 W24A	ga1-3 seed imbibed 24 h on water	P-GSE20556-4	P-GSE20556-3	P-GSE20556-2	GSM516603 extract 1	total RNA	P-GSE20556-5	GSM516603 LE 1	biotin	synthetic RNA	P-GSE20556-6	P-GSE20556-7	GSM516603	A-AFFY-2	P-GSE20556-8	GSM516603.CEL	GSM516603.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20556/E-GEOD-20556.raw.1.zip	P-GSE20556-1	E-GEOD-20556-processed-data-2200977335.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20556/E-GEOD-20556.processed.1.zip	ga1-3 mutant	water	  	        
GSM516602 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg ecotype 	wild type	seed	Gene expression data from wildtype Ler seed imbibed 24 h on KAR1.	Landsberg erecta seed, imbibed 24 h on KAR1	P-GSE20556-4	P-GSE20556-3	P-GSE20556-2	GSM516602 extract 1	total RNA	P-GSE20556-5	GSM516602 LE 1	biotin	synthetic RNA	P-GSE20556-6	P-GSE20556-7	GSM516602	A-AFFY-2	P-GSE20556-8	GSM516602.CEL	GSM516602.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20556/E-GEOD-20556.raw.1.zip	P-GSE20556-1	E-GEOD-20556-processed-data-2200977335.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20556/E-GEOD-20556.processed.1.zip	wild type	karrikin	1	micromolar
GSM516600 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg ecotype 	wild type	seed	Ler K24B	Landsberg erecta seed, imbibed 24 h on KAR1	P-GSE20556-4	P-GSE20556-3	P-GSE20556-2	GSM516600 extract 1	total RNA	P-GSE20556-5	GSM516600 LE 1	biotin	synthetic RNA	P-GSE20556-6	P-GSE20556-7	GSM516600	A-AFFY-2	P-GSE20556-8	GSM516600.CEL	GSM516600.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20556/E-GEOD-20556.raw.1.zip	P-GSE20556-1	E-GEOD-20556-processed-data-2200977335.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20556/E-GEOD-20556.processed.1.zip	wild type	karrikin	1	micromolar
GSM516601 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg ecotype 	wild type	seed	Ler K24C	Landsberg erecta seed, imbibed 24 h on KAR1	P-GSE20556-4	P-GSE20556-3	P-GSE20556-2	GSM516601 extract 1	total RNA	P-GSE20556-5	GSM516601 LE 1	biotin	synthetic RNA	P-GSE20556-6	P-GSE20556-7	GSM516601	A-AFFY-2	P-GSE20556-8	GSM516601.CEL	GSM516601.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20556/E-GEOD-20556.raw.1.zip	P-GSE20556-1	E-GEOD-20556-processed-data-2200977335.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20556/E-GEOD-20556.processed.1.zip	wild type	karrikin	1	micromolar
GSM516599 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg ecotype 	wild type	seed	Gene expression data from wildtype Ler seed imbibed 24 h on KAR1.	Landsberg erecta seed, imbibed 24 h on KAR1	P-GSE20556-4	P-GSE20556-3	P-GSE20556-2	GSM516599 extract 1	total RNA	P-GSE20556-5	GSM516599 LE 1	biotin	synthetic RNA	P-GSE20556-6	P-GSE20556-7	GSM516599	A-AFFY-2	P-GSE20556-8	GSM516599.CEL	GSM516599.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20556/E-GEOD-20556.raw.1.zip	P-GSE20556-1	E-GEOD-20556-processed-data-2200977335.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20556/E-GEOD-20556.processed.1.zip	wild type	karrikin	1	micromolar
