Source Name	Characteristics [OrganismPart]	Characteristics[DevelopmentalStage]	Characteristics [Age]	Unit[TimeUnit]	Characteristics [Genotype]	Comment[growth condition]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [Ecotype]	Comment [Sample_source_name]	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue[GENOTYPE]	FactorValue[COMPOUND]
GSM522420 1	whole organism	seedling	3	days	eto1-4	dark	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	eto1-4 + AVG_3-day-old_rep2	P-GSE20897-12	P-GSE20897-3	GSM522420 extract 1	total_RNA	P-GSE20897-5	GSM522420 LE 1	biotin	unknown	P-GSE20897-6	P-GSE20897-7	GSM522420	A-AFFY-2	P-GSE20897-8	GSM522420.CEL	GSM522420.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20897/E-GEOD-20897.raw.1.zip	P-GSE20897-1	GSM522420_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20897/E-GEOD-20897.processed.1.zip	eto1-4	aminoethoxyvinylglycine
GSM522415 1	whole organism	seedling	3	days	wild_type	dark	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Col-0_3-day-old_rep2	P-GSE20897-2	P-GSE20897-4	GSM522415 extract 1	total_RNA	P-GSE20897-5	GSM522415 LE 1	biotin	unknown	P-GSE20897-6	P-GSE20897-7	GSM522415	A-AFFY-2	P-GSE20897-8	GSM522415.CEL	GSM522415.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20897/E-GEOD-20897.raw.1.zip	P-GSE20897-1	GSM522415_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20897/E-GEOD-20897.processed.1.zip	wild_type	none
GSM522412 1	whole organism	seedling	3	days	eto1-4	dark	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	eto1-4 + 9370_3-day-old_rep1	P-GSE20897-10	P-GSE20897-4	GSM522412 extract 1	total_RNA	P-GSE20897-5	GSM522412 LE 1	biotin	unknown	P-GSE20897-6	P-GSE20897-7	GSM522412	A-AFFY-2	P-GSE20897-8	GSM522412.CEL	GSM522412.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20897/E-GEOD-20897.raw.1.zip	P-GSE20897-1	GSM522412_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20897/E-GEOD-20897.processed.1.zip	eto1-4	2-(cyclopentylamino)-7-(4-methylphenyl)-7,8-dihydro-5(6H)-quinazolinone
GSM522416 1	whole organism	seedling	3	days	eto1-4	dark	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	eto1-4_3-day-old_rep2	P-GSE20897-2	P-GSE20897-3	GSM522416 extract 1	total_RNA	P-GSE20897-5	GSM522416 LE 1	biotin	unknown	P-GSE20897-6	P-GSE20897-7	GSM522416	A-AFFY-2	P-GSE20897-8	GSM522416.CEL	GSM522416.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20897/E-GEOD-20897.raw.1.zip	P-GSE20897-1	GSM522416_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20897/E-GEOD-20897.processed.1.zip	eto1-4	none
GSM522413 1	whole organism	seedling	3	days	eto1-4	dark	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	eto1-4 + 7303_3-day-old_rep1	P-GSE20897-11	P-GSE20897-4	GSM522413 extract 1	total_RNA	P-GSE20897-5	GSM522413 LE 1	biotin	unknown	P-GSE20897-6	P-GSE20897-7	GSM522413	A-AFFY-2	P-GSE20897-8	GSM522413.CEL	GSM522413.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20897/E-GEOD-20897.raw.1.zip	P-GSE20897-1	GSM522413_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20897/E-GEOD-20897.processed.1.zip	eto1-4	2-anilino-7-(4-methoxyphenyl)-7,8-dihydro-5(6H)-quinazolinone
GSM522418 1	whole organism	seedling	3	days	eto1-4	dark	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	eto1-4 + 9370_3-day-old_rep2	P-GSE20897-10	P-GSE20897-3	GSM522418 extract 1	total_RNA	P-GSE20897-5	GSM522418 LE 1	biotin	unknown	P-GSE20897-6	P-GSE20897-7	GSM522418	A-AFFY-2	P-GSE20897-8	GSM522418.CEL	GSM522418.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20897/E-GEOD-20897.raw.1.zip	P-GSE20897-1	GSM522418_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20897/E-GEOD-20897.processed.1.zip	eto1-4	2-(cyclopentylamino)-7-(4-methylphenyl)-7,8-dihydro-5(6H)-quinazolinone
GSM522409 1	whole organism	seedling	3	days	wild_type	dark	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Col-0_3-day-old_rep1	P-GSE20897-2	P-GSE20897-3	GSM522409 extract 1	total_RNA	P-GSE20897-5	GSM522409 LE 1	biotin	unknown	P-GSE20897-6	P-GSE20897-7	GSM522409	A-AFFY-2	P-GSE20897-8	GSM522409.CEL	GSM522409.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20897/E-GEOD-20897.raw.1.zip	P-GSE20897-1	GSM522409_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20897/E-GEOD-20897.processed.1.zip	wild_type	none
GSM522419 1	whole organism	seedling	3	days	eto1-4	dark	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	eto1-4 + 7303_3-day-old_rep2	P-GSE20897-11	P-GSE20897-4	GSM522419 extract 1	total_RNA	P-GSE20897-5	GSM522419 LE 1	biotin	unknown	P-GSE20897-6	P-GSE20897-7	GSM522419	A-AFFY-2	P-GSE20897-8	GSM522419.CEL	GSM522419.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20897/E-GEOD-20897.raw.1.zip	P-GSE20897-1	GSM522419_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20897/E-GEOD-20897.processed.1.zip	eto1-4	2-anilino-7-(4-methoxyphenyl)-7,8-dihydro-5(6H)-quinazolinone
GSM522417 1	whole organism	seedling	3	days	eto1-4	dark	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	eto1-4 + 9393_3-day-old_rep2	P-GSE20897-9	P-GSE20897-4	GSM522417 extract 1	total_RNA	P-GSE20897-5	GSM522417 LE 1	biotin	unknown	P-GSE20897-6	P-GSE20897-7	GSM522417	A-AFFY-2	P-GSE20897-8	GSM522417.CEL	GSM522417.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20897/E-GEOD-20897.raw.1.zip	P-GSE20897-1	GSM522417_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20897/E-GEOD-20897.processed.1.zip	eto1-4	2-(cyclopentylamino)-7,7-dimethyl-7,8-dihydro-5(6H)-quinazolinone
GSM522410 1	whole organism	seedling	3	days	eto1-4	dark	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	eto1-4_3-day-old_rep1	P-GSE20897-2	P-GSE20897-4	GSM522410 extract 1	total_RNA	P-GSE20897-5	GSM522410 LE 1	biotin	unknown	P-GSE20897-6	P-GSE20897-7	GSM522410	A-AFFY-2	P-GSE20897-8	GSM522410.CEL	GSM522410.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20897/E-GEOD-20897.raw.1.zip	P-GSE20897-1	GSM522410_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20897/E-GEOD-20897.processed.1.zip	eto1-4	none
