Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[genotype]	Characteristics[ecotype]	Characteristics[organism part]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]
GSM539333 1	Gene expression data before 2 hours treatment	14 days-old Arabidopsis thaliana	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	bZIP1 knockout	Col-0	whole organism	P-GSE21601-2	P-GSE21601-3	P-GSE21601-4	GSM539333 extract 1	total RNA	P-GSE21601-5	GSM539333 LE 1	biotin	P-GSE21601-6	GSM539333	A-AFFY-2	P-GSE21601-7	P-GSE21601-8	GSM539333.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21601/E-GEOD-21601.raw.1.zip	P-GSE21601-1	GSM539333_sample_table.txt norm	GSM539333_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21601/E-GEOD-21601.processed.1.zip	bZIP1 knockout
GSM539332 1	Gene expression data before 2 hours treatment	14 days-old Arabidopsis thaliana	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	bZIP1 knockout	Col-0	whole organism	P-GSE21601-2	P-GSE21601-3	P-GSE21601-4	GSM539332 extract 1	total RNA	P-GSE21601-5	GSM539332 LE 1	biotin	P-GSE21601-6	GSM539332	A-AFFY-2	P-GSE21601-7	P-GSE21601-8	GSM539332.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21601/E-GEOD-21601.raw.1.zip	P-GSE21601-1	GSM539332_sample_table.txt norm	GSM539332_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21601/E-GEOD-21601.processed.1.zip	bZIP1 knockout
GSM539331 1	Gene expression data before 2 hours treatment	14 days-old Arabidopsis thaliana	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	bZIP1 knockout	Col-0	whole organism	P-GSE21601-2	P-GSE21601-3	P-GSE21601-4	GSM539331 extract 1	total RNA	P-GSE21601-5	GSM539331 LE 1	biotin	P-GSE21601-6	GSM539331	A-AFFY-2	P-GSE21601-7	P-GSE21601-8	GSM539331.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21601/E-GEOD-21601.raw.1.zip	P-GSE21601-1	GSM539331_sample_table.txt norm	GSM539331_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21601/E-GEOD-21601.processed.1.zip	bZIP1 knockout
GSM539330 1	Gene expression data before 2 hours treatment	14 days-old Arabidopsis thaliana	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	bZIP1 knockout	Col-0	whole organism	P-GSE21601-2	P-GSE21601-3	P-GSE21601-4	GSM539330 extract 1	total RNA	P-GSE21601-5	GSM539330 LE 1	biotin	P-GSE21601-6	GSM539330	A-AFFY-2	P-GSE21601-7	P-GSE21601-8	GSM539330.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21601/E-GEOD-21601.raw.1.zip	P-GSE21601-1	GSM539330_sample_table.txt norm	GSM539330_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21601/E-GEOD-21601.processed.1.zip	bZIP1 knockout
GSM539329 1	Gene expression data before 2 hours treatment	14 days-old Arabidopsis thaliana	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	bZIP1 knockout	Col-0	whole organism	P-GSE21601-2	P-GSE21601-3	P-GSE21601-4	GSM539329 extract 1	total RNA	P-GSE21601-5	GSM539329 LE 1	biotin	P-GSE21601-6	GSM539329	A-AFFY-2	P-GSE21601-7	P-GSE21601-8	GSM539329.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21601/E-GEOD-21601.raw.1.zip	P-GSE21601-1	GSM539329_sample_table.txt norm	GSM539329_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21601/E-GEOD-21601.processed.1.zip	bZIP1 knockout
GSM539328 1	Gene expression data before 2 hours treatment	14 days-old Arabidopsis thaliana	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	bZIP1 knockout	Col-0	whole organism	P-GSE21601-2	P-GSE21601-3	P-GSE21601-4	GSM539328 extract 1	total RNA	P-GSE21601-5	GSM539328 LE 1	biotin	P-GSE21601-6	GSM539328	A-AFFY-2	P-GSE21601-7	P-GSE21601-8	GSM539328.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21601/E-GEOD-21601.raw.1.zip	P-GSE21601-1	GSM539328_sample_table.txt norm	GSM539328_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21601/E-GEOD-21601.processed.1.zip	bZIP1 knockout
GSM539327 1	Gene expression data before 2 hours treatment	14 days-old Arabidopsis thaliana	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	bZIP1 knockout	Col-0	whole organism	P-GSE21601-2	P-GSE21601-3	P-GSE21601-4	GSM539327 extract 1	total RNA	P-GSE21601-5	GSM539327 LE 1	biotin	P-GSE21601-6	GSM539327	A-AFFY-2	P-GSE21601-7	P-GSE21601-8	GSM539327.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21601/E-GEOD-21601.raw.1.zip	P-GSE21601-1	GSM539327_sample_table.txt norm	GSM539327_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21601/E-GEOD-21601.processed.1.zip	bZIP1 knockout
GSM539326 1	Gene expression data before 2 hours treatment	14 days-old Arabidopsis thaliana	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	bZIP1 knockout	Col-0	whole organism	P-GSE21601-2	P-GSE21601-3	P-GSE21601-4	GSM539326 extract 1	total RNA	P-GSE21601-5	GSM539326 LE 1	biotin	P-GSE21601-6	GSM539326	A-AFFY-2	P-GSE21601-7	P-GSE21601-8	GSM539326.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21601/E-GEOD-21601.raw.1.zip	P-GSE21601-1	GSM539326_sample_table.txt norm	GSM539326_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21601/E-GEOD-21601.processed.1.zip	bZIP1 knockout
GSM539325 1	Gene expression data before 2 hours treatment	14 days-old Arabidopsis thaliana	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	bZIP1 knockout	Col-0	whole organism	P-GSE21601-2	P-GSE21601-3	P-GSE21601-4	GSM539325 extract 1	total RNA	P-GSE21601-5	GSM539325 LE 1	biotin	P-GSE21601-6	GSM539325	A-AFFY-2	P-GSE21601-7	P-GSE21601-8	GSM539325.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21601/E-GEOD-21601.raw.1.zip	P-GSE21601-1	GSM539325_sample_table.txt norm	GSM539325_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21601/E-GEOD-21601.processed.1.zip	bZIP1 knockout
GSM539324 1	Gene expression data before 2 hours treatment	14 days-old Arabidopsis thaliana	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	bZIP1 knockout	Col-0	whole organism	P-GSE21601-2	P-GSE21601-3	P-GSE21601-4	GSM539324 extract 1	total RNA	P-GSE21601-5	GSM539324 LE 1	biotin	P-GSE21601-6	GSM539324	A-AFFY-2	P-GSE21601-7	P-GSE21601-8	GSM539324.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21601/E-GEOD-21601.raw.1.zip	P-GSE21601-1	GSM539324_sample_table.txt norm	GSM539324_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21601/E-GEOD-21601.processed.1.zip	bZIP1 knockout
GSM539323 1	Gene expression data before 2 hours treatment	14 days-old Arabidopsis thaliana	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	bZIP1 knockout	Col-0	whole organism	P-GSE21601-2	P-GSE21601-3	P-GSE21601-4	GSM539323 extract 1	total RNA	P-GSE21601-5	GSM539323 LE 1	biotin	P-GSE21601-6	GSM539323	A-AFFY-2	P-GSE21601-7	P-GSE21601-8	GSM539323.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21601/E-GEOD-21601.raw.1.zip	P-GSE21601-1	GSM539323_sample_table.txt norm	GSM539323_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21601/E-GEOD-21601.processed.1.zip	bZIP1 knockout
GSM539322 1	Gene expression data before 2 hours treatment	14 days-old Arabidopsis thaliana	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	bZIP1 knockout	Col-0	whole organism	P-GSE21601-2	P-GSE21601-3	P-GSE21601-4	GSM539322 extract 1	total RNA	P-GSE21601-5	GSM539322 LE 1	biotin	P-GSE21601-6	GSM539322	A-AFFY-2	P-GSE21601-7	P-GSE21601-8	GSM539322.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21601/E-GEOD-21601.raw.1.zip	P-GSE21601-1	GSM539322_sample_table.txt norm	GSM539322_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21601/E-GEOD-21601.processed.1.zip	bZIP1 knockout
