Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Age]	Unit[TimeUnit]	Characteristics[Ecotype]	Comment[growth media]	Characteristics[PeriodicOrder]	Characteristics[OrganismPart]	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue[PERIODIC ORDER]	FactorValue [ORGANISM PART]
GSM539490 1	Gene expression data the OZ2 (upper half) under standard conditions for 5 days	DR5-GUS	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	days	Columbia	Standard media for 5 days	37	lower half of seedling root	P-GSE21611-2	GSM539490 extract 1	total RNA	P-GSE21611-3	GSM539490 LE 1	biotin	P-GSE21611-4	GSM539490	A-AFFY-2	P-GSE21611-5	P-GSE21611-6	GSM539490_At_PR_OZ2_40.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.raw.1.zip	P-GSE21611-1	GSM539490_sample_table.txt norm	GSM539490_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.processed.1.zip	37	lower half of seedling root
GSM539489 1	Gene expression data the OZ2 (upper half) under standard conditions for 5 days	DR5-GUS	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	days	Columbia	Standard media for 5 days	35	lower half of seedling root	P-GSE21611-2	GSM539489 extract 1	total RNA	P-GSE21611-3	GSM539489 LE 1	biotin	P-GSE21611-4	GSM539489	A-AFFY-2	P-GSE21611-5	P-GSE21611-6	GSM539489_At_PR_OZ2_39.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.raw.1.zip	P-GSE21611-1	GSM539489_sample_table.txt norm	GSM539489_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.processed.1.zip	35	lower half of seedling root
GSM539488 1	Gene expression data the OZ2 (upper half) under standard conditions for 5 days	DR5-GUS	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	days	Columbia	Standard media for 5 days	38	lower half of seedling root	P-GSE21611-2	GSM539488 extract 1	total RNA	P-GSE21611-3	GSM539488 LE 1	biotin	P-GSE21611-4	GSM539488	A-AFFY-2	P-GSE21611-5	P-GSE21611-6	GSM539488_At_PR_OZ2_38.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.raw.1.zip	P-GSE21611-1	GSM539488_sample_table.txt norm	GSM539488_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.processed.1.zip	38	lower half of seedling root
GSM539487 1	Gene expression data the OZ2 (upper half) under standard conditions for 5 days	DR5-GUS	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	days	Columbia	Standard media for 5 days	34	lower half of seedling root	P-GSE21611-2	GSM539487 extract 1	total RNA	P-GSE21611-3	GSM539487 LE 1	biotin	P-GSE21611-4	GSM539487	A-AFFY-2	P-GSE21611-5	P-GSE21611-6	GSM539487_At_PR_OZ2_36.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.raw.1.zip	P-GSE21611-1	GSM539487_sample_table.txt norm	GSM539487_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.processed.1.zip	34	lower half of seedling root
GSM539486 1	Gene expression data the OZ2 (upper half) under standard conditions for 5 days	DR5-GUS	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	days	Columbia	Standard media for 5 days	30	lower half of seedling root	P-GSE21611-2	GSM539486 extract 1	total RNA	P-GSE21611-3	GSM539486 LE 1	biotin	P-GSE21611-4	GSM539486	A-AFFY-2	P-GSE21611-5	P-GSE21611-6	GSM539486_At_PR_OZ2_35.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.raw.1.zip	P-GSE21611-1	GSM539486_sample_table.txt norm	GSM539486_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.processed.1.zip	30	lower half of seedling root
GSM539485 1	Gene expression data the OZ2 (upper half) under standard conditions for 5 days	DR5-GUS	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	days	Columbia	Standard media for 5 days	28	lower half of seedling root	P-GSE21611-2	GSM539485 extract 1	total RNA	P-GSE21611-3	GSM539485 LE 1	biotin	P-GSE21611-4	GSM539485	A-AFFY-2	P-GSE21611-5	P-GSE21611-6	GSM539485_At_PR_OZ2_32.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.raw.1.zip	P-GSE21611-1	GSM539485_sample_table.txt norm	GSM539485_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.processed.1.zip	28	lower half of seedling root
GSM539484 1	Gene expression data the OZ2 (upper half) under standard conditions for 5 days	DR5-GUS	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	days	Columbia	Standard media for 5 days	22	lower half of seedling root	P-GSE21611-2	GSM539484 extract 1	total RNA	P-GSE21611-3	GSM539484 LE 1	biotin	P-GSE21611-4	GSM539484	A-AFFY-2	P-GSE21611-5	P-GSE21611-6	GSM539484_At_PR_OZ2_23.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.raw.1.zip	P-GSE21611-1	GSM539484_sample_table.txt norm	GSM539484_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.processed.1.zip	22	lower half of seedling root
GSM539483 1	Gene expression data the OZ2 (upper half) under standard conditions for 5 days	DR5-GUS	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	days	Columbia	Standard media for 5 days	29	lower half of seedling root	P-GSE21611-2	GSM539483 extract 1	total RNA	P-GSE21611-3	GSM539483 LE 1	biotin	P-GSE21611-4	GSM539483	A-AFFY-2	P-GSE21611-5	P-GSE21611-6	GSM539483_At_PR_OZ2_22.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.raw.1.zip	P-GSE21611-1	GSM539483_sample_table.txt norm	GSM539483_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.processed.1.zip	29	lower half of seedling root
GSM539482 1	Gene expression data the OZ2 (upper half) under standard conditions for 5 days	DR5-GUS	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	days	Columbia	Standard media for 5 days	36	lower half of seedling root	P-GSE21611-2	GSM539482 extract 1	total RNA	P-GSE21611-3	GSM539482 LE 1	biotin	P-GSE21611-4	GSM539482	A-AFFY-2	P-GSE21611-5	P-GSE21611-6	GSM539482_At_PR_OZ2_21.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.raw.1.zip	P-GSE21611-1	GSM539482_sample_table.txt norm	GSM539482_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.processed.1.zip	36	lower half of seedling root
GSM539481 1	Gene expression data the OZ2 (upper half) under standard conditions for 5 days	DR5-GUS	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	days	Columbia	Standard media for 5 days	33	lower half of seedling root	P-GSE21611-2	GSM539481 extract 1	total RNA	P-GSE21611-3	GSM539481 LE 1	biotin	P-GSE21611-4	GSM539481	A-AFFY-2	P-GSE21611-5	P-GSE21611-6	GSM539481_At_PR_OZ2_20.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.raw.1.zip	P-GSE21611-1	GSM539481_sample_table.txt norm	GSM539481_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.processed.1.zip	33	lower half of seedling root
