Source Name	Characteristics [Organism]	Characteristics [genotype]	Characteristics [genetic background]	Characteristics [tissue]	Characteristics [agent]	Comment [Sample_source_name]	Comment [Sample_description]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Factor Value [GENOTYPE]	Factor Value [AGENT]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
GSM542431 1	Arabidopsis	WT	Columbia	Whole seedling	ETOH	7-day-old Arabidopsis seedlings under long-day and 23C	Gene expression data from WT plant with EtOH	P-GSE21762-2	P-GSE21762-3	P-GSE21762-4	GSM542431 extract 1	total_RNA	P-GSE21762-5	GSM542431 LE 1	biotin	unknown	P-GSE21762-6	P-GSE21762-7	GSM542431	A-AFFY-2	P-GSE21762-8	wild_type	ETOH	GSM542431_col-0-mock-1_ATH1-121501_.CEL	GSM542431_col-0-mock-1_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21762/E-GEOD-21762.raw.1.zip	P-GSE21762-1	E-GEOD-21762-processed-data-2492913058.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21762/E-GEOD-21762.processed.1.zip
GSM542435 1	Arabidopsis	ein3eil1 double mutant	Columbia	Whole seedling	ETOH	7-day-old Arabidopsis seedlings under long-day and 23C	Gene expression data from ein3eil1 double mutant with EtOH	P-GSE21762-2	P-GSE21762-3	P-GSE21762-4	GSM542435 extract 1	total_RNA	P-GSE21762-5	GSM542435 LE 1	biotin	unknown	P-GSE21762-6	P-GSE21762-7	GSM542435	A-AFFY-2	P-GSE21762-8	ein3eil1 double mutant	ETOH	GSM542435_dm-mock-1_ATH1-121501_.CEL	GSM542435_dm-mock-1_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21762/E-GEOD-21762.raw.1.zip	P-GSE21762-1	E-GEOD-21762-processed-data-2492913058.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21762/E-GEOD-21762.processed.1.zip
GSM542440 1	Arabidopsis	coi1 mutant	Columbia	Whole seedling	MeJA	7-day-old Arabidopsis seedlings under long-day and 23C	Gene expression data from coi1 mutant with 100 uM MeJA	P-GSE21762-2	P-GSE21762-3	P-GSE21762-4	GSM542440 extract 1	total_RNA	P-GSE21762-5	GSM542440 LE 1	biotin	unknown	P-GSE21762-6	P-GSE21762-7	GSM542440	A-AFFY-2	P-GSE21762-8	coi1 mutant	MeJA	GSM542440_coi1-2-JA-2_ATH1-121501_.CEL	GSM542440_coi1-2-JA-2_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21762/E-GEOD-21762.raw.1.zip	P-GSE21762-1	E-GEOD-21762-processed-data-2492913058.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21762/E-GEOD-21762.processed.1.zip
GSM542438 1	Arabidopsis	WT	Columbia	Whole seedling	MeJA	7-day-old Arabidopsis seedlings under long-day and 23C	Gene expression data from WT plant with 100 uM MeJA	P-GSE21762-2	P-GSE21762-3	P-GSE21762-4	GSM542438 extract 1	total_RNA	P-GSE21762-5	GSM542438 LE 1	biotin	unknown	P-GSE21762-6	P-GSE21762-7	GSM542438	A-AFFY-2	P-GSE21762-8	wild_type	MeJA	GSM542438_col-0-JA-2_ATH1-121501_.CEL	GSM542438_col-0-JA-2_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21762/E-GEOD-21762.raw.1.zip	P-GSE21762-1	E-GEOD-21762-processed-data-2492913058.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21762/E-GEOD-21762.processed.1.zip
GSM542441 1	Arabidopsis	ein3eil1 double mutant	Columbia	Whole seedling	MeJA	7-day-old Arabidopsis seedlings under long-day and 23C	Gene expression data from ein3eil1 double mutant with 100 uM MeJA	P-GSE21762-2	P-GSE21762-3	P-GSE21762-4	GSM542441 extract 1	total_RNA	P-GSE21762-5	GSM542441 LE 1	biotin	unknown	P-GSE21762-6	P-GSE21762-7	GSM542441	A-AFFY-2	P-GSE21762-8	ein3eil1 double mutant	MeJA	GSM542441_dm-JA-1_ATH1-121501_.CEL	GSM542441_dm-JA-1_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21762/E-GEOD-21762.raw.1.zip	P-GSE21762-1	E-GEOD-21762-processed-data-2492913058.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21762/E-GEOD-21762.processed.1.zip
GSM542442 1	Arabidopsis	ein3eil1 double mutant	Columbia	Whole seedling	MeJA	7-day-old Arabidopsis seedlings under long-day and 23C	Gene expression data from ein3eil1 double mutant with 100 uM MeJA	P-GSE21762-2	P-GSE21762-3	P-GSE21762-4	GSM542442 extract 1	total_RNA	P-GSE21762-5	GSM542442 LE 1	biotin	unknown	P-GSE21762-6	P-GSE21762-7	GSM542442	A-AFFY-2	P-GSE21762-8	ein3eil1 double mutant	MeJA	GSM542442_dm-JA-2_ATH1-121501_.CEL	GSM542442_dm-JA-2_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21762/E-GEOD-21762.raw.1.zip	P-GSE21762-1	E-GEOD-21762-processed-data-2492913058.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21762/E-GEOD-21762.processed.1.zip
GSM542437 1	Arabidopsis	WT	Columbia	Whole seedling	MeJA	7-day-old Arabidopsis seedlings under long-day and 23C	Gene expression data from WT plant with 100 uM MeJA	P-GSE21762-2	P-GSE21762-3	P-GSE21762-4	GSM542437 extract 1	total_RNA	P-GSE21762-5	GSM542437 LE 1	biotin	unknown	P-GSE21762-6	P-GSE21762-7	GSM542437	A-AFFY-2	P-GSE21762-8	wild_type	MeJA	GSM542437_col-0-JA-1_ATH1-121501_.CEL	GSM542437_col-0-JA-1_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21762/E-GEOD-21762.raw.1.zip	P-GSE21762-1	E-GEOD-21762-processed-data-2492913058.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21762/E-GEOD-21762.processed.1.zip
GSM542433 1	Arabidopsis	coi1 mutant	Columbia	Whole seedling	ETOH	7-day-old Arabidopsis seedlings under long-day and 23C	Gene expression data from coi1 mutant with EtOH	P-GSE21762-2	P-GSE21762-3	P-GSE21762-4	GSM542433 extract 1	total_RNA	P-GSE21762-5	GSM542433 LE 1	biotin	unknown	P-GSE21762-6	P-GSE21762-7	GSM542433	A-AFFY-2	P-GSE21762-8	coi1 mutant	ETOH	GSM542433_coi1-2-mock-1_ATH1-121501_.CEL	GSM542433_coi1-2-mock-1_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21762/E-GEOD-21762.raw.1.zip	P-GSE21762-1	E-GEOD-21762-processed-data-2492913058.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21762/E-GEOD-21762.processed.1.zip
GSM542439 1	Arabidopsis	coi1 mutant	Columbia	Whole seedling	MeJA	7-day-old Arabidopsis seedlings under long-day and 23C	Gene expression data from coi1 mutant with 100 uM MeJA	P-GSE21762-2	P-GSE21762-3	P-GSE21762-4	GSM542439 extract 1	total_RNA	P-GSE21762-5	GSM542439 LE 1	biotin	unknown	P-GSE21762-6	P-GSE21762-7	GSM542439	A-AFFY-2	P-GSE21762-8	coi1 mutant	MeJA	GSM542439_coi1-2-JA-1_ATH1-121501_.CEL	GSM542439_coi1-2-JA-1_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21762/E-GEOD-21762.raw.1.zip	P-GSE21762-1	E-GEOD-21762-processed-data-2492913058.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21762/E-GEOD-21762.processed.1.zip
GSM542432 1	Arabidopsis	WT	Columbia	Whole seedling	ETOH	7-day-old Arabidopsis seedlings under long-day and 23C	Gene expression data from WT plant with EtOH	P-GSE21762-2	P-GSE21762-3	P-GSE21762-4	GSM542432 extract 1	total_RNA	P-GSE21762-5	GSM542432 LE 1	biotin	unknown	P-GSE21762-6	P-GSE21762-7	GSM542432	A-AFFY-2	P-GSE21762-8	wild_type	ETOH	GSM542432_col-0-mock-2_ATH1-121501_.CEL	GSM542432_col-0-mock-2_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21762/E-GEOD-21762.raw.1.zip	P-GSE21762-1	E-GEOD-21762-processed-data-2492913058.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21762/E-GEOD-21762.processed.1.zip
