Source Name	Characteristics[age]	Unit[time unit]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Characteristics [ecotype]	Comment [Sample_description]	Comment [Sample_source_name]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	Factor Value [hours post induction]	Unit[time unit]	Factor Value [age]	Unit[time unit]	Factor Value [treatment]
GSM542681 1	5	day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole organism	Col-0	"Gene expression data from 5 day-old Arabidopsis seedlings, 4h EST induction"	"Whlole seedling, 4h Estrogen induction"	P-GSE21786-4	P-GSE21786-3	P-GSE21786-2	GSM542681 extract 1	total_RNA	P-GSE21786-5	GSM542681 LE 1	biotin	unknown	P-GSE21786-6	P-GSE21786-7	GSM542681	A-AFFY-2	P-GSE21786-8	GSM542681_FAMA_4h-3.CEL	GSM542681_FAMA_4h-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21786/E-GEOD-21786.raw.1.zip	P-GSE21786-1	E-GEOD-21786-processed-data-2492913121.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21786/E-GEOD-21786.processed.1.zip	4	hour	5	day	estrogen induction
GSM542679 1	5	day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole organism	Col-0	"Gene expression data from 5 day-old Arabidopsis seedlings, 4h EST induction"	"Whlole seedling, 4h Estrogen induction"	P-GSE21786-4	P-GSE21786-3	P-GSE21786-2	GSM542679 extract 1	total_RNA	P-GSE21786-5	GSM542679 LE 1	biotin	unknown	P-GSE21786-6	P-GSE21786-7	GSM542679	A-AFFY-2	P-GSE21786-8	GSM542679_FAMA_4h-1.CEL	GSM542679_FAMA_4h-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21786/E-GEOD-21786.raw.1.zip	P-GSE21786-1	E-GEOD-21786-processed-data-2492913121.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21786/E-GEOD-21786.processed.1.zip	4	hour	5	day	estrogen induction
GSM542680 1	5	day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole organism	Col-0	"Gene expression data from 5 day-old Arabidopsis seedlings, 4h EST induction"	"Whlole seedling, 4h Estrogen induction"	P-GSE21786-4	P-GSE21786-3	P-GSE21786-2	GSM542680 extract 1	total_RNA	P-GSE21786-5	GSM542680 LE 1	biotin	unknown	P-GSE21786-6	P-GSE21786-7	GSM542680	A-AFFY-2	P-GSE21786-8	GSM542680_FAMA_4h-2.CEL	GSM542680_FAMA_4h-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21786/E-GEOD-21786.raw.1.zip	P-GSE21786-1	E-GEOD-21786-processed-data-2492913121.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21786/E-GEOD-21786.processed.1.zip	4	hour	5	day	estrogen induction
GSM542674 1	5	day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole organism	Col-0	"Gene expression data from 5 day-old Arabidopsis seedlings, No induction"	"Whlole seedling, 4h Control, no induction"	P-GSE21786-4	P-GSE21786-3	P-GSE21786-2	GSM542674 extract 1	total_RNA	P-GSE21786-5	GSM542674 LE 1	biotin	unknown	P-GSE21786-6	P-GSE21786-7	GSM542674	A-AFFY-2	P-GSE21786-8	GSM542674_control_4h-2.CEL	GSM542674_control_4h-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21786/E-GEOD-21786.raw.1.zip	P-GSE21786-1	E-GEOD-21786-processed-data-2492913121.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21786/E-GEOD-21786.processed.1.zip	4	hour	5	day	none
GSM542673 1	5	day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole organism	Col-0	"Gene expression data from 5 day-old Arabidopsis seedlings, No induction"	"Whlole seedling, 4h Control, no induction"	P-GSE21786-4	P-GSE21786-3	P-GSE21786-2	GSM542673 extract 1	total_RNA	P-GSE21786-5	GSM542673 LE 1	biotin	unknown	P-GSE21786-6	P-GSE21786-7	GSM542673	A-AFFY-2	P-GSE21786-8	GSM542673_control_4h-1.CEL	GSM542673_control_4h-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21786/E-GEOD-21786.raw.1.zip	P-GSE21786-1	E-GEOD-21786-processed-data-2492913121.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21786/E-GEOD-21786.processed.1.zip	4	hour	5	day	none
GSM542675 1	5	day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole organism	Col-0	"Gene expression data from 5 day-old Arabidopsis seedlings, No induction"	"Whlole seedling, 4h Control, no induction"	P-GSE21786-4	P-GSE21786-3	P-GSE21786-2	GSM542675 extract 1	total_RNA	P-GSE21786-5	GSM542675 LE 1	biotin	unknown	P-GSE21786-6	P-GSE21786-7	GSM542675	A-AFFY-2	P-GSE21786-8	GSM542675_control_4h-3.CEL	GSM542675_control_4h-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21786/E-GEOD-21786.raw.1.zip	P-GSE21786-1	E-GEOD-21786-processed-data-2492913121.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21786/E-GEOD-21786.processed.1.zip	4	hour	5	day	none
GSM542684 1	7	day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole organism	Col-0	"Gene expression data from 7 day-old Arabidopsis seedlings,48h EST induction"	"Whlole seedling, 48h Estrogen induction"	P-GSE21786-4	P-GSE21786-3	P-GSE21786-2	GSM542684 extract 1	total_RNA	P-GSE21786-5	GSM542684 LE 1	biotin	unknown	P-GSE21786-6	P-GSE21786-7	GSM542684	A-AFFY-2	P-GSE21786-8	GSM542684_FAMA_48h-3.CEL	GSM542684_FAMA_48h-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21786/E-GEOD-21786.raw.1.zip	P-GSE21786-1	E-GEOD-21786-processed-data-2492913121.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21786/E-GEOD-21786.processed.1.zip	48	hour	7	day	estrogen induction
GSM542682 1	7	day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole organism	Col-0	"Gene expression data from 7 day-old Arabidopsis seedlings,48h EST induction"	"Whlole seedling, 48h Estrogen induction"	P-GSE21786-4	P-GSE21786-3	P-GSE21786-2	GSM542682 extract 1	total_RNA	P-GSE21786-5	GSM542682 LE 1	biotin	unknown	P-GSE21786-6	P-GSE21786-7	GSM542682	A-AFFY-2	P-GSE21786-8	GSM542682_FAMA_48h-1.CEL	GSM542682_FAMA_48h-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21786/E-GEOD-21786.raw.1.zip	P-GSE21786-1	E-GEOD-21786-processed-data-2492913121.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21786/E-GEOD-21786.processed.1.zip	48	hour	7	day	estrogen induction
GSM542683 1	7	day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole organism	Col-0	"Gene expression data from 7 day-old Arabidopsis seedlings,48h EST induction"	"Whlole seedling, 48h Estrogen induction"	P-GSE21786-4	P-GSE21786-3	P-GSE21786-2	GSM542683 extract 1	total_RNA	P-GSE21786-5	GSM542683 LE 1	biotin	unknown	P-GSE21786-6	P-GSE21786-7	GSM542683	A-AFFY-2	P-GSE21786-8	GSM542683_FAMA_48h-2.CEL	GSM542683_FAMA_48h-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21786/E-GEOD-21786.raw.1.zip	P-GSE21786-1	E-GEOD-21786-processed-data-2492913121.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21786/E-GEOD-21786.processed.1.zip	48	hour	7	day	estrogen induction
GSM542687 1	7	day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole organism	Col-0	"Gene expression data from 7 day-old Arabidopsis seedlings,48h EST induction of a FAMA-EAR construct"	"Whlole seedling, 48h Estrogen induction"	P-GSE21786-4	P-GSE21786-3	P-GSE21786-2	GSM542687 extract 1	total_RNA	P-GSE21786-5	GSM542687 LE 1	biotin	unknown	P-GSE21786-6	P-GSE21786-7	GSM542687	A-AFFY-2	P-GSE21786-8	GSM542687_FAMA-EAR-48h-3.CEL	GSM542687_FAMA-EAR-48h-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21786/E-GEOD-21786.raw.1.zip	P-GSE21786-1	E-GEOD-21786-processed-data-2492913121.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21786/E-GEOD-21786.processed.1.zip	48	hour	7	day	estrogen induction of FAMA-EAR construct
GSM542685 1	7	day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole organism	Col-0	"Gene expression data from 7 day-old Arabidopsis seedlings,48h EST induction of a FAMA-EAR construct"	"Whlole seedling, 48h Estrogen induction"	P-GSE21786-4	P-GSE21786-3	P-GSE21786-2	GSM542685 extract 1	total_RNA	P-GSE21786-5	GSM542685 LE 1	biotin	unknown	P-GSE21786-6	P-GSE21786-7	GSM542685	A-AFFY-2	P-GSE21786-8	GSM542685_FAMA-EAR-48h-1.CEL	GSM542685_FAMA-EAR-48h-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21786/E-GEOD-21786.raw.1.zip	P-GSE21786-1	E-GEOD-21786-processed-data-2492913121.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21786/E-GEOD-21786.processed.1.zip	48	hour	7	day	estrogen induction of FAMA-EAR construct
GSM542686 1	7	day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole organism	Col-0	"Gene expression data from 7 day-old Arabidopsis seedlings,48h EST induction of a FAMA-EAR construct"	"Whlole seedling, 48h Estrogen induction"	P-GSE21786-4	P-GSE21786-3	P-GSE21786-2	GSM542686 extract 1	total_RNA	P-GSE21786-5	GSM542686 LE 1	biotin	unknown	P-GSE21786-6	P-GSE21786-7	GSM542686	A-AFFY-2	P-GSE21786-8	GSM542686_FAMA-EAR-48h-2.CEL	GSM542686_FAMA-EAR-48h-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21786/E-GEOD-21786.raw.1.zip	P-GSE21786-1	E-GEOD-21786-processed-data-2492913121.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21786/E-GEOD-21786.processed.1.zip	48	hour	7	day	estrogen induction of FAMA-EAR construct
