Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[organism]	Characteristics[genotype]	Characteristics[organism part]	Comment[tissue collection method]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [organism part]	FactorValue [growth condition]	FactorValue [treatment time]	Unit[time unit]
GSM566577 1	Gene expression data from stem starch sheath incubated for 5 days in MS media in-vitro (5dMS-SS3_Rep3)	Arabidopsis stem starch sheath after 5 days MS incubation	Arabidopsis thaliana	wild type	starch sheath	laser capture microdissection	P-GSE22947-2	P-GSE22947-3	P-GSE22947-4	GSM566577 extract 1	total RNA	P-GSE22947-5	GSM566577 LE 1	biotin	P-GSE22947-6	GSM566577	A-AFFY-2	P-GSE22947-7	P-GSE22947-8	GSM566577.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22947/E-GEOD-22947.raw.1.zip	P-GSE22947-1	GSM566577_sample_table.txt norm	GSM566577_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22947/E-GEOD-22947.processed.1.zip	starch sheath	MS media	5	day
GSM566576 1	Gene expression data from stem starch sheath incubated for 5 days in MS media in-vitro (5dMS-SS2_Rep2)	Arabidopsis stem starch sheath after 5 days MS incubation	Arabidopsis thaliana	wild type	starch sheath	laser capture microdissection	P-GSE22947-2	P-GSE22947-3	P-GSE22947-4	GSM566576 extract 1	total RNA	P-GSE22947-5	GSM566576 LE 1	biotin	P-GSE22947-6	GSM566576	A-AFFY-2	P-GSE22947-7	P-GSE22947-8	GSM566576.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22947/E-GEOD-22947.raw.1.zip	P-GSE22947-1	GSM566576_sample_table.txt norm	GSM566576_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22947/E-GEOD-22947.processed.1.zip	starch sheath	MS media	5	day
GSM566575 1	Gene expression data from stem starch sheath incubated for 5 days in MS media in-vitro (5dMS-SS1_Rep1)	Arabidopsis stem starch sheath after 5 days MS incubation	Arabidopsis thaliana	wild type	starch sheath	laser capture microdissection	P-GSE22947-2	P-GSE22947-3	P-GSE22947-4	GSM566575 extract 1	total RNA	P-GSE22947-5	GSM566575 LE 1	biotin	P-GSE22947-6	GSM566575	A-AFFY-2	P-GSE22947-7	P-GSE22947-8	GSM566575.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22947/E-GEOD-22947.raw.1.zip	P-GSE22947-1	GSM566575_sample_table.txt norm	GSM566575_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22947/E-GEOD-22947.processed.1.zip	starch sheath	MS media	5	day
GSM566574 1	Gene expression data from stem tissue treated with NAA for 5 days in vitro not containing starch sheath or vascular bundles (5dNAA-C3_Rep3)	Arabidopsis stem tissue except the starch sheath and the vascular bundles after 5 days of NAA in vitro treatment	Arabidopsis thaliana	wild type	stem tissue	laser capture microdissection	P-GSE22947-2	P-GSE22947-3	P-GSE22947-4	GSM566574 extract 1	total RNA	P-GSE22947-5	GSM566574 LE 1	biotin	P-GSE22947-6	GSM566574	A-AFFY-2	P-GSE22947-7	P-GSE22947-8	GSM566574.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22947/E-GEOD-22947.raw.1.zip	P-GSE22947-1	GSM566574_sample_table.txt norm	GSM566574_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22947/E-GEOD-22947.processed.1.zip	stem tissue	naphthaleneacetic acid	5	day
GSM566573 1	Gene expression data from stem tissue treated with NAA for 5 days in vitro not containing starch sheath or vascular bundles (5dNAA-C2_Rep2)	Arabidopsis stem tissue except the starch sheath and the vascular bundles after 5 days of NAA in vitro treatment	Arabidopsis thaliana	wild type	stem tissue	laser capture microdissection	P-GSE22947-2	P-GSE22947-3	P-GSE22947-4	GSM566573 extract 1	total RNA	P-GSE22947-5	GSM566573 LE 1	biotin	P-GSE22947-6	GSM566573	A-AFFY-2	P-GSE22947-7	P-GSE22947-8	GSM566573.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22947/E-GEOD-22947.raw.1.zip	P-GSE22947-1	GSM566573_sample_table.txt norm	GSM566573_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22947/E-GEOD-22947.processed.1.zip	stem tissue	naphthaleneacetic acid	5	day
GSM566572 1	Gene expression data from stem tissue treated with NAA for 5 days in vitro not containing starch sheath or vascular bundles (5dNAA-C1_Rep1)	Arabidopsis stem tissue except the starch sheath and the vascular bundles after 5 days of NAA in vitro treatment	Arabidopsis thaliana	wild type	stem tissue	laser capture microdissection	P-GSE22947-2	P-GSE22947-3	P-GSE22947-4	GSM566572 extract 1	total RNA	P-GSE22947-5	GSM566572 LE 1	biotin	P-GSE22947-6	GSM566572	A-AFFY-2	P-GSE22947-7	P-GSE22947-8	GSM566572.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22947/E-GEOD-22947.raw.1.zip	P-GSE22947-1	GSM566572_sample_table.txt norm	GSM566572_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22947/E-GEOD-22947.processed.1.zip	stem tissue	naphthaleneacetic acid	5	day
GSM566571 1	Gene expression data from induced cambium after 5 days NAA in vitro treatment (5dNAA-CAM3_Rep3)	Arabidopsis established interfascicular cambium after 5 daysNAA in vitro treatment	Arabidopsis thaliana	wild type	cambium	laser capture microdissection	P-GSE22947-2	P-GSE22947-3	P-GSE22947-4	GSM566571 extract 1	total RNA	P-GSE22947-5	GSM566571 LE 1	biotin	P-GSE22947-6	GSM566571	A-AFFY-2	P-GSE22947-7	P-GSE22947-8	GSM566571.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22947/E-GEOD-22947.raw.1.zip	P-GSE22947-1	GSM566571_sample_table.txt norm	GSM566571_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22947/E-GEOD-22947.processed.1.zip	cambium	naphthaleneacetic acid	5	day
GSM566570 1	Gene expression data from induced cambium after 5 days NAA in vitro treatment (5dNAA-CAM2_Rep2)	Arabidopsis established interfascicular cambium after 5 daysNAA in vitro treatment	Arabidopsis thaliana	wild type	cambium	laser capture microdissection	P-GSE22947-2	P-GSE22947-3	P-GSE22947-4	GSM566570 extract 1	total RNA	P-GSE22947-5	GSM566570 LE 1	biotin	P-GSE22947-6	GSM566570	A-AFFY-2	P-GSE22947-7	P-GSE22947-8	GSM566570.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22947/E-GEOD-22947.raw.1.zip	P-GSE22947-1	GSM566570_sample_table.txt norm	GSM566570_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22947/E-GEOD-22947.processed.1.zip	cambium	naphthaleneacetic acid	5	day
GSM566569 1	Gene expression data from induced cambium after 5 days NAA in vitro treatment (5dNAA-CAM1_Rep1)	Arabidopsis established interfascicular cambium after 5 daysNAA in vitro treatment	Arabidopsis thaliana	wild type	cambium	laser capture microdissection	P-GSE22947-2	P-GSE22947-3	P-GSE22947-4	GSM566569 extract 1	total RNA	P-GSE22947-5	GSM566569 LE 1	biotin	P-GSE22947-6	GSM566569	A-AFFY-2	P-GSE22947-7	P-GSE22947-8	GSM566569.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22947/E-GEOD-22947.raw.1.zip	P-GSE22947-1	GSM566569_sample_table.txt norm	GSM566569_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22947/E-GEOD-22947.processed.1.zip	cambium	naphthaleneacetic acid	5	day
GSM566568 1	Gene expression data from stem starch sheath incubated for 2 days in MS media in-vitro (2dMS-SS3_Rep3)	Arabidopsis stem starch sheath after 2 days MS incubation	Arabidopsis thaliana	wild type	starch sheath	laser capture microdissection	P-GSE22947-2	P-GSE22947-3	P-GSE22947-4	GSM566568 extract 1	total RNA	P-GSE22947-5	GSM566568 LE 1	biotin	P-GSE22947-6	GSM566568	A-AFFY-2	P-GSE22947-7	P-GSE22947-8	GSM566568.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22947/E-GEOD-22947.raw.1.zip	P-GSE22947-1	GSM566568_sample_table.txt norm	GSM566568_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22947/E-GEOD-22947.processed.1.zip	starch sheath	MS media	2	day
