Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [tissues]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [ORGANISM]	Term Source REF	Term Accession Number
GSM572242 1	Mature leaves, biological rep2	Mature leaves	A. thaliana-A. halleri hybrid_2	Arabidopsis thaliana x Arabidopsis halleri subsp. gemmifera	  	  	mature leaves before flowering	P-GSE23318-2	ArrayExpress	P-GSE23318-3	ArrayExpress	GSM572242 extract 1	total RNA	P-GSE23318-4	ArrayExpress	GSM572242 LE 1	biotin	P-GSE23318-5	ArrayExpress	GSM572242	A-AFFY-2	ArrayExpress	array assay	P-GSE23318-6	ArrayExpress	GSM572242.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23318/E-GEOD-23318.raw.1.zip	P-GSE23318-1	ArrayExpress	GSM572242_sample_table.txt norm	GSM572242_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23318/E-GEOD-23318.processed.1.zip	Arabidopsis thaliana x Arabidopsis halleri subsp. gemmifera	  	        
GSM572241 1	Mature leaves, biological rep1	Mature leaves	A. thaliana-A. halleri hybrid_1	Arabidopsis thaliana x Arabidopsis halleri subsp. gemmifera	  	  	mature leaves before flowering	P-GSE23318-2	ArrayExpress	P-GSE23318-3	ArrayExpress	GSM572241 extract 1	total RNA	P-GSE23318-4	ArrayExpress	GSM572241 LE 1	biotin	P-GSE23318-5	ArrayExpress	GSM572241	A-AFFY-2	ArrayExpress	array assay	P-GSE23318-6	ArrayExpress	GSM572241.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23318/E-GEOD-23318.raw.1.zip	P-GSE23318-1	ArrayExpress	GSM572241_sample_table.txt norm	GSM572241_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23318/E-GEOD-23318.processed.1.zip	Arabidopsis thaliana x Arabidopsis halleri subsp. gemmifera	  	        
GSM572240 1	Mature leaves, biological rep2	Mature leaves	A. thaliana-A. lyrata hybrid_2	Arabidopsis thaliana x Arabidopsis lyrata	  	  	mature leaves before flowering	P-GSE23318-2	ArrayExpress	P-GSE23318-3	ArrayExpress	GSM572240 extract 1	total RNA	P-GSE23318-4	ArrayExpress	GSM572240 LE 1	biotin	P-GSE23318-5	ArrayExpress	GSM572240	A-AFFY-2	ArrayExpress	array assay	P-GSE23318-6	ArrayExpress	GSM572240.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23318/E-GEOD-23318.raw.1.zip	P-GSE23318-1	ArrayExpress	GSM572240_sample_table.txt norm	GSM572240_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23318/E-GEOD-23318.processed.1.zip	Arabidopsis thaliana x Arabidopsis lyrata	  	        
GSM572239 1	Mature leaves, biological rep1	Mature leaves	A. thaliana-A. lyrata hybrid_1	Arabidopsis thaliana x Arabidopsis lyrata	  	  	mature leaves before flowering	P-GSE23318-2	ArrayExpress	P-GSE23318-3	ArrayExpress	GSM572239 extract 1	total RNA	P-GSE23318-4	ArrayExpress	GSM572239 LE 1	biotin	P-GSE23318-5	ArrayExpress	GSM572239	A-AFFY-2	ArrayExpress	array assay	P-GSE23318-6	ArrayExpress	GSM572239.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23318/E-GEOD-23318.raw.1.zip	P-GSE23318-1	ArrayExpress	GSM572239_sample_table.txt norm	GSM572239_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23318/E-GEOD-23318.processed.1.zip	Arabidopsis thaliana x Arabidopsis lyrata	  	        
GSM572238 1	Mature leaves, biological rep2	Mature leaves	A. halleri_2	Arabidopsis halleri subsp. gemmifera	  	  	mature leaves before flowering	P-GSE23318-2	ArrayExpress	P-GSE23318-3	ArrayExpress	GSM572238 extract 1	total RNA	P-GSE23318-4	ArrayExpress	GSM572238 LE 1	biotin	P-GSE23318-5	ArrayExpress	GSM572238	A-AFFY-2	ArrayExpress	array assay	P-GSE23318-6	ArrayExpress	GSM572238.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23318/E-GEOD-23318.raw.1.zip	P-GSE23318-1	ArrayExpress	GSM572238_sample_table.txt norm	GSM572238_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23318/E-GEOD-23318.processed.1.zip	Arabidopsis halleri subsp. gemmifera	  	        
GSM572237 1	Mature leaves, biological rep1	Mature leaves	A. halleri_1	Arabidopsis halleri subsp. gemmifera	  	  	mature leaves before flowering	P-GSE23318-2	ArrayExpress	P-GSE23318-3	ArrayExpress	GSM572237 extract 1	total RNA	P-GSE23318-4	ArrayExpress	GSM572237 LE 1	biotin	P-GSE23318-5	ArrayExpress	GSM572237	A-AFFY-2	ArrayExpress	array assay	P-GSE23318-6	ArrayExpress	GSM572237.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23318/E-GEOD-23318.raw.1.zip	P-GSE23318-1	ArrayExpress	GSM572237_sample_table.txt norm	GSM572237_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23318/E-GEOD-23318.processed.1.zip	Arabidopsis halleri subsp. gemmifera	  	        
GSM572236 1	Mature leaves, biological rep2	Mature leaves	A. lyrata_2	Arabidopsis lyrata subsp. lyrata	  	  	mature leaves before flowering	P-GSE23318-2	ArrayExpress	P-GSE23318-3	ArrayExpress	GSM572236 extract 1	total RNA	P-GSE23318-4	ArrayExpress	GSM572236 LE 1	biotin	P-GSE23318-5	ArrayExpress	GSM572236	A-AFFY-2	ArrayExpress	array assay	P-GSE23318-6	ArrayExpress	GSM572236.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23318/E-GEOD-23318.raw.1.zip	P-GSE23318-1	ArrayExpress	GSM572236_sample_table.txt norm	GSM572236_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23318/E-GEOD-23318.processed.1.zip	Arabidopsis lyrata subsp. lyrata	  	        
GSM572235 1	Mature leaves, biological rep1	Mature leaves	A. lyrata_1	Arabidopsis lyrata subsp. lyrata	  	  	mature leaves before flowering	P-GSE23318-2	ArrayExpress	P-GSE23318-3	ArrayExpress	GSM572235 extract 1	total RNA	P-GSE23318-4	ArrayExpress	GSM572235 LE 1	biotin	P-GSE23318-5	ArrayExpress	GSM572235	A-AFFY-2	ArrayExpress	array assay	P-GSE23318-6	ArrayExpress	GSM572235.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23318/E-GEOD-23318.raw.1.zip	P-GSE23318-1	ArrayExpress	GSM572235_sample_table.txt norm	GSM572235_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23318/E-GEOD-23318.processed.1.zip	Arabidopsis lyrata subsp. lyrata	  	        
GSM572234 1	Mature leaves, biological rep2	Mature leaves	A. thaliana_2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	mature leaves before flowering	P-GSE23318-2	ArrayExpress	P-GSE23318-3	ArrayExpress	GSM572234 extract 1	total RNA	P-GSE23318-4	ArrayExpress	GSM572234 LE 1	biotin	P-GSE23318-5	ArrayExpress	GSM572234	A-AFFY-2	ArrayExpress	array assay	P-GSE23318-6	ArrayExpress	GSM572234.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23318/E-GEOD-23318.raw.1.zip	P-GSE23318-1	ArrayExpress	GSM572234_sample_table.txt norm	GSM572234_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23318/E-GEOD-23318.processed.1.zip	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702
GSM572233 1	Mature leaves, biological rep1	Mature leaves	A. thaliana_1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	mature leaves before flowering	P-GSE23318-2	ArrayExpress	P-GSE23318-3	ArrayExpress	GSM572233 extract 1	total RNA	P-GSE23318-4	ArrayExpress	GSM572233 LE 1	biotin	P-GSE23318-5	ArrayExpress	GSM572233	A-AFFY-2	ArrayExpress	array assay	P-GSE23318-6	ArrayExpress	GSM572233.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23318/E-GEOD-23318.raw.1.zip	P-GSE23318-1	ArrayExpress	GSM572233_sample_table.txt norm	GSM572233_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23318/E-GEOD-23318.processed.1.zip	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702
