Source Name	Comment [Sample_description_1]	Comment [Sample_source_name]	Comment [Sample_description_2]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[age]	Unit[time unit]	Characteristics[ecotype]	Characteristics[genotype]	Characteristics[organism part]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]
GSM572656 1	Gene expression data from rosette of vtc1.	Rosette of vtc1, 42 days old	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	42	day	Col-0	vtc1	rosette	P-GSE23330-2	P-GSE23330-3	P-GSE23330-4	GSM572656 extract 1	total RNA	P-GSE23330-5	GSM572656 LE 1	Biotin	P-GSE23330-6	GSM572656	A-AFFY-2	P-GSE23330-7	P-GSE23330-8	P-GSE23330-9	GSM572656.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23330/E-GEOD-23330.raw.1.zip	P-GSE23330-1	GSM572656_sample_table.txt norm	GSM572656_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23330/E-GEOD-23330.processed.1.zip	vtc1
GSM572655 1	Gene expression data from rosette of vtc1.	Rosette of vtc1, 42 days old	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	42	day	Col-0	vtc1	rosette	P-GSE23330-2	P-GSE23330-3	P-GSE23330-4	GSM572655 extract 1	total RNA	P-GSE23330-5	GSM572655 LE 1	Biotin	P-GSE23330-6	GSM572655	A-AFFY-2	P-GSE23330-7	P-GSE23330-8	P-GSE23330-9	GSM572655.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23330/E-GEOD-23330.raw.1.zip	P-GSE23330-1	GSM572655_sample_table.txt norm	GSM572655_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23330/E-GEOD-23330.processed.1.zip	vtc1
GSM572654 1	Gene expression data from rosette of vtc1.	Rosette of vtc1, 42 days old	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	42	day	Col-0	vtc1	rosette	P-GSE23330-2	P-GSE23330-3	P-GSE23330-4	GSM572654 extract 1	total RNA	P-GSE23330-5	GSM572654 LE 1	Biotin	P-GSE23330-6	GSM572654	A-AFFY-2	P-GSE23330-7	P-GSE23330-8	P-GSE23330-9	GSM572654.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23330/E-GEOD-23330.raw.1.zip	P-GSE23330-1	GSM572654_sample_table.txt norm	GSM572654_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23330/E-GEOD-23330.processed.1.zip	vtc1
GSM572653 1	Gene expression data from rosette of vtc1.	Rosette of vtc1, 42 days old	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	42	day	Col-0	vtc1	rosette	P-GSE23330-2	P-GSE23330-3	P-GSE23330-4	GSM572653 extract 1	total RNA	P-GSE23330-5	GSM572653 LE 1	Biotin	P-GSE23330-6	GSM572653	A-AFFY-2	P-GSE23330-7	P-GSE23330-8	P-GSE23330-9	GSM572653.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23330/E-GEOD-23330.raw.1.zip	P-GSE23330-1	GSM572653_sample_table.txt norm	GSM572653_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23330/E-GEOD-23330.processed.1.zip	vtc1
GSM572652 1	Gene expression data from rosette of abi4-102.	Rosette of abi4, 42 days old	Samples (I) and (II) only share the same Title between GSE23329 & GSE23330. They are different samples from two independent experiments, and do not represent the same Affymetrix hybridizations.	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	42	day	Col-0	abi4-102	rosette	P-GSE23330-2	P-GSE23330-3	P-GSE23330-4	GSM572652 extract 1	total RNA	P-GSE23330-5	GSM572652 LE 1	Biotin	P-GSE23330-6	GSM572652	A-AFFY-2	P-GSE23330-7	P-GSE23330-8	P-GSE23330-9	GSM572652.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23330/E-GEOD-23330.raw.1.zip	P-GSE23330-1	GSM572652_sample_table.txt norm	GSM572652_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23330/E-GEOD-23330.processed.1.zip	abi4-102
GSM572651 1	Gene expression data from rosette of abi4-102.	Rosette of abi4, 42 days old	Samples (I) and (II) only share the same Title between GSE23329 & GSE23330. They are different samples from two independent experiments, and do not represent the same Affymetrix hybridizations.	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	42	day	Col-0	abi4-102	rosette	P-GSE23330-2	P-GSE23330-3	P-GSE23330-4	GSM572651 extract 1	total RNA	P-GSE23330-5	GSM572651 LE 1	Biotin	P-GSE23330-6	GSM572651	A-AFFY-2	P-GSE23330-7	P-GSE23330-8	P-GSE23330-9	GSM572651.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23330/E-GEOD-23330.raw.1.zip	P-GSE23330-1	GSM572651_sample_table.txt norm	GSM572651_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23330/E-GEOD-23330.processed.1.zip	abi4-102
GSM572650 1	Gene expression data from rosette of abi4-102.	Rosette of abi4, 42 days old	Samples (I) and (II) only share the same Title between GSE23329 & GSE23330. They are different samples from two independent experiments, and do not represent the same Affymetrix hybridizations.	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	42	day	Col-0	abi4-102	rosette	P-GSE23330-2	P-GSE23330-3	P-GSE23330-4	GSM572650 extract 1	total RNA	P-GSE23330-5	GSM572650 LE 1	Biotin	P-GSE23330-6	GSM572650	A-AFFY-2	P-GSE23330-7	P-GSE23330-8	P-GSE23330-9	GSM572650.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23330/E-GEOD-23330.raw.1.zip	P-GSE23330-1	GSM572650_sample_table.txt norm	GSM572650_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23330/E-GEOD-23330.processed.1.zip	abi4-102
GSM572649 1	Gene expression data from rosette of wild type Col 0.	Rosette of Col 0, 42 days old	Samples (I) and (II) only share the same Title between GSE23329 & GSE23330. They are different samples from two independent experiments, and do not represent the same Affymetrix hybridizations.	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	42	day	Col-0	wild type	rosette	P-GSE23330-2	P-GSE23330-3	P-GSE23330-4	GSM572649 extract 1	total RNA	P-GSE23330-5	GSM572649 LE 1	Biotin	P-GSE23330-6	GSM572649	A-AFFY-2	P-GSE23330-7	P-GSE23330-8	P-GSE23330-9	GSM572649.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23330/E-GEOD-23330.raw.1.zip	P-GSE23330-1	GSM572649_sample_table.txt norm	GSM572649_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23330/E-GEOD-23330.processed.1.zip	wild type
GSM572648 1	Gene expression data from rosette of wild type Col 0.	Rosette of Col 0, 42 days old	Samples (I) and (II) only share the same Title between GSE23329 & GSE23330. They are different samples from two independent experiments, and do not represent the same Affymetrix hybridizations.	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	42	day	Col-0	wild type	rosette	P-GSE23330-2	P-GSE23330-3	P-GSE23330-4	GSM572648 extract 1	total RNA	P-GSE23330-5	GSM572648 LE 1	Biotin	P-GSE23330-6	GSM572648	A-AFFY-2	P-GSE23330-7	P-GSE23330-8	P-GSE23330-9	GSM572648.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23330/E-GEOD-23330.raw.1.zip	P-GSE23330-1	GSM572648_sample_table.txt norm	GSM572648_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23330/E-GEOD-23330.processed.1.zip	wild type
GSM572647 1	Gene expression data from rosette of wild type Col 0.	Rosette of Col 0, 42 days old	Samples (I) and (II) only share the same Title between GSE23329 & GSE23330. They are different samples from two independent experiments, and do not represent the same Affymetrix hybridizations.	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	42	day	Col-0	wild type	rosette	P-GSE23330-2	P-GSE23330-3	P-GSE23330-4	GSM572647 extract 1	total RNA	P-GSE23330-5	GSM572647 LE 1	Biotin	P-GSE23330-6	GSM572647	A-AFFY-2	P-GSE23330-7	P-GSE23330-8	P-GSE23330-9	GSM572647.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23330/E-GEOD-23330.raw.1.zip	P-GSE23330-1	GSM572647_sample_table.txt norm	GSM572647_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23330/E-GEOD-23330.processed.1.zip	wild type
