Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_description]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Age]	Unit[TimeUnit]	Characteristics[Genotype]	Characteristics[OrganismPart]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [GENOTYPE]
GSM572656 1	Gene expression data from rosette of vtc1.	Rosette of vtc1, 42 days old	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	42	days	vtc1 (vitamin C defective 1)	rosette	P-GSE23331-2	P-GSE23331-10	P-GSE23331-4	GSM572656 extract 1	total RNA	P-GSE23331-11	GSM572656 LE 1	Biotin	P-GSE23331-6	GSM572656	A-AFFY-2	P-GSE23331-7	P-GSE23331-8	P-GSE23331-9	GSM572656.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23331/E-GEOD-23331.raw.1.zip	P-GSE23331-1	GSM572656_sample_table.txt norm	GSM572656_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23331/E-GEOD-23331.processed.1.zip	vtc1 (vitamin C defective 1)
GSM572655 1	Gene expression data from rosette of vtc1.	Rosette of vtc1, 42 days old	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	42	days	vtc1 (vitamin C defective 1)	rosette	P-GSE23331-2	P-GSE23331-10	P-GSE23331-4	GSM572655 extract 1	total RNA	P-GSE23331-11	GSM572655 LE 1	Biotin	P-GSE23331-6	GSM572655	A-AFFY-2	P-GSE23331-7	P-GSE23331-8	P-GSE23331-9	GSM572655.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23331/E-GEOD-23331.raw.1.zip	P-GSE23331-1	GSM572655_sample_table.txt norm	GSM572655_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23331/E-GEOD-23331.processed.1.zip	vtc1 (vitamin C defective 1)
GSM572654 1	Gene expression data from rosette of vtc1.	Rosette of vtc1, 42 days old	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	42	days	vtc1 (vitamin C defective 1)	rosette	P-GSE23331-2	P-GSE23331-10	P-GSE23331-4	GSM572654 extract 1	total RNA	P-GSE23331-11	GSM572654 LE 1	Biotin	P-GSE23331-6	GSM572654	A-AFFY-2	P-GSE23331-7	P-GSE23331-8	P-GSE23331-9	GSM572654.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23331/E-GEOD-23331.raw.1.zip	P-GSE23331-1	GSM572654_sample_table.txt norm	GSM572654_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23331/E-GEOD-23331.processed.1.zip	vtc1 (vitamin C defective 1)
GSM572653 1	Gene expression data from rosette of vtc1.	Rosette of vtc1, 42 days old	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	42	days	vtc1 (vitamin C defective 1)	rosette	P-GSE23331-2	P-GSE23331-10	P-GSE23331-4	GSM572653 extract 1	total RNA	P-GSE23331-11	GSM572653 LE 1	Biotin	P-GSE23331-6	GSM572653	A-AFFY-2	P-GSE23331-7	P-GSE23331-8	P-GSE23331-9	GSM572653.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23331/E-GEOD-23331.raw.1.zip	P-GSE23331-1	GSM572653_sample_table.txt norm	GSM572653_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23331/E-GEOD-23331.processed.1.zip	vtc1 (vitamin C defective 1)
GSM572652 1	Gene expression data from rosette of abi4-102.	Rosette of abi4, 42 days old	Samples (I) and (II) only share the same Title between GSE23329 & GSE23330. They are different samples from two independent experiments, and do not represent the same Affymetrix hybridizations.	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	42	days	abi4-102 (aba insensitive 4)	rosette	P-GSE23331-2	P-GSE23331-10	P-GSE23331-4	GSM572652 extract 1	total RNA	P-GSE23331-11	GSM572652 LE 1	Biotin	P-GSE23331-6	GSM572652	A-AFFY-2	P-GSE23331-7	P-GSE23331-8	P-GSE23331-9	GSM572652.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23331/E-GEOD-23331.raw.1.zip	P-GSE23331-1	GSM572652_sample_table.txt norm	GSM572652_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23331/E-GEOD-23331.processed.1.zip	abi4-102 (aba insensitive 4)
GSM572651 1	Gene expression data from rosette of abi4-102.	Rosette of abi4, 42 days old	Samples (I) and (II) only share the same Title between GSE23329 & GSE23330. They are different samples from two independent experiments, and do not represent the same Affymetrix hybridizations.	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	42	days	abi4-102 (aba insensitive 4)	rosette	P-GSE23331-2	P-GSE23331-10	P-GSE23331-4	GSM572651 extract 1	total RNA	P-GSE23331-11	GSM572651 LE 1	Biotin	P-GSE23331-6	GSM572651	A-AFFY-2	P-GSE23331-7	P-GSE23331-8	P-GSE23331-9	GSM572651.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23331/E-GEOD-23331.raw.1.zip	P-GSE23331-1	GSM572651_sample_table.txt norm	GSM572651_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23331/E-GEOD-23331.processed.1.zip	abi4-102 (aba insensitive 4)
GSM572650 1	Gene expression data from rosette of abi4-102.	Rosette of abi4, 42 days old	Samples (I) and (II) only share the same Title between GSE23329 & GSE23330. They are different samples from two independent experiments, and do not represent the same Affymetrix hybridizations.	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	42	days	abi4-102 (aba insensitive 4)	rosette	P-GSE23331-2	P-GSE23331-10	P-GSE23331-4	GSM572650 extract 1	total RNA	P-GSE23331-11	GSM572650 LE 1	Biotin	P-GSE23331-6	GSM572650	A-AFFY-2	P-GSE23331-7	P-GSE23331-8	P-GSE23331-9	GSM572650.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23331/E-GEOD-23331.raw.1.zip	P-GSE23331-1	GSM572650_sample_table.txt norm	GSM572650_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23331/E-GEOD-23331.processed.1.zip	abi4-102 (aba insensitive 4)
GSM572649 1	Gene expression data from rosette of wild type Col 0.	Rosette of Col 0, 42 days old	Samples (I) and (II) only share the same Title between GSE23329 & GSE23330. They are different samples from two independent experiments, and do not represent the same Affymetrix hybridizations.	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	42	days	Col 0 (wild type)	rosette	P-GSE23331-2	P-GSE23331-10	P-GSE23331-4	GSM572649 extract 1	total RNA	P-GSE23331-11	GSM572649 LE 1	Biotin	P-GSE23331-6	GSM572649	A-AFFY-2	P-GSE23331-7	P-GSE23331-8	P-GSE23331-9	GSM572649.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23331/E-GEOD-23331.raw.1.zip	P-GSE23331-1	GSM572649_sample_table.txt norm	GSM572649_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23331/E-GEOD-23331.processed.1.zip	Col 0 (wild type)
GSM572648 1	Gene expression data from rosette of wild type Col 0.	Rosette of Col 0, 42 days old	Samples (I) and (II) only share the same Title between GSE23329 & GSE23330. They are different samples from two independent experiments, and do not represent the same Affymetrix hybridizations.	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	42	days	Col 0 (wild type)	rosette	P-GSE23331-2	P-GSE23331-10	P-GSE23331-4	GSM572648 extract 1	total RNA	P-GSE23331-11	GSM572648 LE 1	Biotin	P-GSE23331-6	GSM572648	A-AFFY-2	P-GSE23331-7	P-GSE23331-8	P-GSE23331-9	GSM572648.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23331/E-GEOD-23331.raw.1.zip	P-GSE23331-1	GSM572648_sample_table.txt norm	GSM572648_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23331/E-GEOD-23331.processed.1.zip	Col 0 (wild type)
GSM572647 1	Gene expression data from rosette of wild type Col 0.	Rosette of Col 0, 42 days old	Samples (I) and (II) only share the same Title between GSE23329 & GSE23330. They are different samples from two independent experiments, and do not represent the same Affymetrix hybridizations.	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	42	days	Col 0 (wild type)	rosette	P-GSE23331-2	P-GSE23331-10	P-GSE23331-4	GSM572647 extract 1	total RNA	P-GSE23331-11	GSM572647 LE 1	Biotin	P-GSE23331-6	GSM572647	A-AFFY-2	P-GSE23331-7	P-GSE23331-8	P-GSE23331-9	GSM572647.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23331/E-GEOD-23331.raw.1.zip	P-GSE23331-1	GSM572647_sample_table.txt norm	GSM572647_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23331/E-GEOD-23331.processed.1.zip	Col 0 (wild type)
GSM572646 1	Gene expression data from rosette of abi4 vtc2.	Rosette of abi4 vtc2, 42 days old	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	42	days	abi4 vtc2 (double mutant)	rosette	P-GSE23331-2	P-GSE23331-3	P-GSE23331-4	GSM572646 extract 1	total RNA	P-GSE23331-5	GSM572646 LE 1	Biotin	P-GSE23331-6	GSM572646	A-AFFY-2	P-GSE23331-7	P-GSE23331-8	P-GSE23331-9	GSM572646.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23331/E-GEOD-23331.raw.1.zip	P-GSE23331-1	GSM572646_sample_table.txt norm	GSM572646_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23331/E-GEOD-23331.processed.1.zip	abi4 vtc2 (double mutant)
GSM572645 1	Gene expression data from rosette of abi4 vtc2.	Rosette of abi4 vtc2, 42 days old	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	42	days	abi4 vtc2 (double mutant)	rosette	P-GSE23331-2	P-GSE23331-3	P-GSE23331-4	GSM572645 extract 1	total RNA	P-GSE23331-5	GSM572645 LE 1	Biotin	P-GSE23331-6	GSM572645	A-AFFY-2	P-GSE23331-7	P-GSE23331-8	P-GSE23331-9	GSM572645.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23331/E-GEOD-23331.raw.1.zip	P-GSE23331-1	GSM572645_sample_table.txt norm	GSM572645_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23331/E-GEOD-23331.processed.1.zip	abi4 vtc2 (double mutant)
GSM572644 1	Gene expression data from rosette of abi4 vtc2.	Rosette of abi4 vtc2, 42 days old	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	42	days	abi4 vtc2 (double mutant)	rosette	P-GSE23331-2	P-GSE23331-3	P-GSE23331-4	GSM572644 extract 1	total RNA	P-GSE23331-5	GSM572644 LE 1	Biotin	P-GSE23331-6	GSM572644	A-AFFY-2	P-GSE23331-7	P-GSE23331-8	P-GSE23331-9	GSM572644.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23331/E-GEOD-23331.raw.1.zip	P-GSE23331-1	GSM572644_sample_table.txt norm	GSM572644_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23331/E-GEOD-23331.processed.1.zip	abi4 vtc2 (double mutant)
GSM572643 1	Gene expression data from rosette of abi4 vtc2.	Rosette of abi4 vtc2, 42 days old	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	42	days	abi4 vtc2 (double mutant)	rosette	P-GSE23331-2	P-GSE23331-3	P-GSE23331-4	GSM572643 extract 1	total RNA	P-GSE23331-5	GSM572643 LE 1	Biotin	P-GSE23331-6	GSM572643	A-AFFY-2	P-GSE23331-7	P-GSE23331-8	P-GSE23331-9	GSM572643.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23331/E-GEOD-23331.raw.1.zip	P-GSE23331-1	GSM572643_sample_table.txt norm	GSM572643_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23331/E-GEOD-23331.processed.1.zip	abi4 vtc2 (double mutant)
GSM572642 1	Gene expression data from rosette of abi4 vtc2.	Rosette of abi4 vtc2, 42 days old	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	42	days	abi4 vtc2 (double mutant)	rosette	P-GSE23331-2	P-GSE23331-3	P-GSE23331-4	GSM572642 extract 1	total RNA	P-GSE23331-5	GSM572642 LE 1	Biotin	P-GSE23331-6	GSM572642	A-AFFY-2	P-GSE23331-7	P-GSE23331-8	P-GSE23331-9	GSM572642.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23331/E-GEOD-23331.raw.1.zip	P-GSE23331-1	GSM572642_sample_table.txt norm	GSM572642_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23331/E-GEOD-23331.processed.1.zip	abi4 vtc2 (double mutant)
GSM572641 1	Gene expression data from rosette of abi4 vtc2.	Rosette of abi4 vtc2, 42 days old	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	42	days	abi4 vtc2 (double mutant)	rosette	P-GSE23331-2	P-GSE23331-3	P-GSE23331-4	GSM572641 extract 1	total RNA	P-GSE23331-5	GSM572641 LE 1	Biotin	P-GSE23331-6	GSM572641	A-AFFY-2	P-GSE23331-7	P-GSE23331-8	P-GSE23331-9	GSM572641.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23331/E-GEOD-23331.raw.1.zip	P-GSE23331-1	GSM572641_sample_table.txt norm	GSM572641_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23331/E-GEOD-23331.processed.1.zip	abi4 vtc2 (double mutant)
GSM572640 1	Gene expression data from rosette of vtc2.	Rosette of vtc2, 42 days old	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	42	days	vtc2 (vitamin C defective 2)	rosette	P-GSE23331-2	P-GSE23331-3	P-GSE23331-4	GSM572640 extract 1	total RNA	P-GSE23331-5	GSM572640 LE 1	Biotin	P-GSE23331-6	GSM572640	A-AFFY-2	P-GSE23331-7	P-GSE23331-8	P-GSE23331-9	GSM572640.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23331/E-GEOD-23331.raw.1.zip	P-GSE23331-1	GSM572640_sample_table.txt norm	GSM572640_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23331/E-GEOD-23331.processed.1.zip	vtc2 (vitamin C defective 2)
