Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[genotype]	Characteristics[organism part]	Characteristics[developmental stage]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [growth condition]	Term Source REF	Term Accession Number
GSM629876 1	3-week-old soil grown plants	Triple-SA-2	Arabidopsis_npr1 sni1 ssn2_triple SA_2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	npr1 sni1 ssn2	whole organism	seedling	EFO	EFO_0001992	P-GSE23617-9	P-GSE23617-3	P-GSE23617-4	GSM629876 extract 1	total RNA	P-GSE23617-5	GSM629876 LE 1	biotin	P-GSE23617-6	GSM629876	A-AFFY-2	P-GSE23617-10	P-GSE23617-11	GSM629876.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23617/E-GEOD-23617.raw.1.zip	P-GSE23617-1	GSM629876_sample_table.txt norm	GSM629876_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23617/E-GEOD-23617.processed.1.zip	npr1 sni1 ssn2	salicylic acid	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16914
GSM629875 1	3-week-old soil grown plants	Triple-SA-1	Arabidopsis_npr1 sni1 ssn2_triple SA_1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	npr1 sni1 ssn2	whole organism	seedling	EFO	EFO_0001992	P-GSE23617-9	P-GSE23617-3	P-GSE23617-4	GSM629875 extract 1	total RNA	P-GSE23617-5	GSM629875 LE 1	biotin	P-GSE23617-6	GSM629875	A-AFFY-2	P-GSE23617-10	P-GSE23617-11	GSM629875.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23617/E-GEOD-23617.raw.1.zip	P-GSE23617-1	GSM629875_sample_table.txt norm	GSM629875_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23617/E-GEOD-23617.processed.1.zip	npr1 sni1 ssn2	salicylic acid	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16914
GSM629874 1	3-week-old soil grown plants	Triple-water-3	Arabidopsis_npr1 sni1 ssn2 _triple water_3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	npr1 sni1 ssn2	whole organism	seedling	EFO	EFO_0001992	P-GSE23617-9	P-GSE23617-3	P-GSE23617-4	GSM629874 extract 1	total RNA	P-GSE23617-5	GSM629874 LE 1	biotin	P-GSE23617-6	GSM629874	A-AFFY-2	P-GSE23617-10	P-GSE23617-11	GSM629874.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23617/E-GEOD-23617.raw.1.zip	P-GSE23617-1	GSM629874_sample_table.txt norm	GSM629874_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23617/E-GEOD-23617.processed.1.zip	npr1 sni1 ssn2	control	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:15377
GSM629873 1	3-week-old soil grown plants	Triple-water-2	Arabidopsis_npr1 sni1 ssn2 _triple water_2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	npr1 sni1 ssn2	whole organism	seedling	EFO	EFO_0001992	P-GSE23617-9	P-GSE23617-3	P-GSE23617-4	GSM629873 extract 1	total RNA	P-GSE23617-5	GSM629873 LE 1	biotin	P-GSE23617-6	GSM629873	A-AFFY-2	P-GSE23617-10	P-GSE23617-11	GSM629873.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23617/E-GEOD-23617.raw.1.zip	P-GSE23617-1	GSM629873_sample_table.txt norm	GSM629873_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23617/E-GEOD-23617.processed.1.zip	npr1 sni1 ssn2	control	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:15377
GSM629872 1	3-week-old soil grown plants	Triple-water-1	Arabidopsis_npr1 sni1 ssn2 _triple water_1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	npr1 sni1 ssn2	whole organism	seedling	EFO	EFO_0001992	P-GSE23617-9	P-GSE23617-3	P-GSE23617-4	GSM629872 extract 1	total RNA	P-GSE23617-5	GSM629872 LE 1	biotin	P-GSE23617-6	GSM629872	A-AFFY-2	P-GSE23617-10	P-GSE23617-11	GSM629872.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23617/E-GEOD-23617.raw.1.zip	P-GSE23617-1	GSM629872_sample_table.txt norm	GSM629872_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23617/E-GEOD-23617.processed.1.zip	npr1 sni1 ssn2	control	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:15377
GSM579099 1	3-week-old soil grown plants	Triple_SA_rep3	Triple_SA_rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	npr1 sni1 brca2a	whole organism	seedling	EFO	EFO_0001992	P-GSE23617-2	P-GSE23617-3	P-GSE23617-4	GSM579099 extract 1	total RNA	P-GSE23617-5	GSM579099 LE 1	biotin	P-GSE23617-6	GSM579099	A-AFFY-2	P-GSE23617-7	P-GSE23617-8	GSM579099.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23617/E-GEOD-23617.raw.1.zip	P-GSE23617-1	GSM579099_sample_table.txt norm	GSM579099_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23617/E-GEOD-23617.processed.1.zip	npr1 sni1 brca2a	salicylic acid	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16914
GSM579098 1	3-week-old soil grown plants	Triple_SA_rep2	Triple_SA_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	npr1 sni1 brca2a	whole organism	seedling	EFO	EFO_0001992	P-GSE23617-2	P-GSE23617-3	P-GSE23617-4	GSM579098 extract 1	total RNA	P-GSE23617-5	GSM579098 LE 1	biotin	P-GSE23617-6	GSM579098	A-AFFY-2	P-GSE23617-7	P-GSE23617-8	GSM579098.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23617/E-GEOD-23617.raw.1.zip	P-GSE23617-1	GSM579098_sample_table.txt norm	GSM579098_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23617/E-GEOD-23617.processed.1.zip	npr1 sni1 brca2a	salicylic acid	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16914
GSM579097 1	3-week-old soil grown plants	Triple_SA_rep1	Triple_SA_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	npr1 sni1 brca2a	whole organism	seedling	EFO	EFO_0001992	P-GSE23617-2	P-GSE23617-3	P-GSE23617-4	GSM579097 extract 1	total RNA	P-GSE23617-5	GSM579097 LE 1	biotin	P-GSE23617-6	GSM579097	A-AFFY-2	P-GSE23617-7	P-GSE23617-8	GSM579097.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23617/E-GEOD-23617.raw.1.zip	P-GSE23617-1	GSM579097_sample_table.txt norm	GSM579097_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23617/E-GEOD-23617.processed.1.zip	npr1 sni1 brca2a	salicylic acid	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16914
GSM579096 1	3-week-old soil grown plants	Triple_water_rep3	Triple_water_rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	npr1 sni1 brca2a	whole organism	seedling	EFO	EFO_0001992	P-GSE23617-2	P-GSE23617-3	P-GSE23617-4	GSM579096 extract 1	total RNA	P-GSE23617-5	GSM579096 LE 1	biotin	P-GSE23617-6	GSM579096	A-AFFY-2	P-GSE23617-7	P-GSE23617-8	GSM579096.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23617/E-GEOD-23617.raw.1.zip	P-GSE23617-1	GSM579096_sample_table.txt norm	GSM579096_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23617/E-GEOD-23617.processed.1.zip	npr1 sni1 brca2a	control	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:15377
GSM579095 1	3-week-old soil grown plants	Triple_water_rep2	Triple_water_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	npr1 sni1 brca2a	whole organism	seedling	EFO	EFO_0001992	P-GSE23617-2	P-GSE23617-3	P-GSE23617-4	GSM579095 extract 1	total RNA	P-GSE23617-5	GSM579095 LE 1	biotin	P-GSE23617-6	GSM579095	A-AFFY-2	P-GSE23617-7	P-GSE23617-8	GSM579095.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23617/E-GEOD-23617.raw.1.zip	P-GSE23617-1	GSM579095_sample_table.txt norm	GSM579095_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23617/E-GEOD-23617.processed.1.zip	npr1 sni1 brca2a	control	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:15377
