Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics[age]	Unit[time unit]	Characteristics[developmental stage]	Characteristics[genotype]	Characteristics[organism part]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [growth condition]
GSM587915 1	Gene expression data after treatment	Arabidopsis siliques after hypoxia treatment (1h)	siliques AtHb1, hypoxia, biological rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	45	day	11/12 days after pollination corresponding to mid phase of seed maturation	transgenic LeB4::AtHb1	silique	P-GSE23846-2	P-GSE23846-3	P-GSE23846-4	GSM587915 extract 1	total RNA	P-GSE23846-5	GSM587915 LE 1	biotin	P-GSE23846-6	GSM587915	A-AFFY-2	P-GSE23846-7	P-GSE23846-8	GSM587915_AtHb1_hyp_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23846/E-GEOD-23846.raw.1.zip	P-GSE23846-1	GSM587915_sample_table.txt norm	GSM587915_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23846/E-GEOD-23846.processed.1.zip	transgenic LeB4::AtHb1	hypoxia
GSM587914 1	Gene expression data after treatment	Arabidopsis siliques after hypoxia treatment (1h)	siliques AtHb1, hypoxia, biological rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	45	day	11/12 days after pollination corresponding to mid phase of seed maturation	transgenic LeB4::AtHb1	silique	P-GSE23846-2	P-GSE23846-3	P-GSE23846-4	GSM587914 extract 1	total RNA	P-GSE23846-5	GSM587914 LE 1	biotin	P-GSE23846-6	GSM587914	A-AFFY-2	P-GSE23846-7	P-GSE23846-8	GSM587914_AtHb1_hyp_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23846/E-GEOD-23846.raw.1.zip	P-GSE23846-1	GSM587914_sample_table.txt norm	GSM587914_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23846/E-GEOD-23846.processed.1.zip	transgenic LeB4::AtHb1	hypoxia
GSM587913 1	Gene expression data after treatment	Arabidopsis siliques after hypoxia treatment (1h)	siliques AtHb1, hypoxia, biological rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	45	day	11/12 days after pollination corresponding to mid phase of seed maturation	transgenic LeB4::AtHb1	silique	P-GSE23846-2	P-GSE23846-3	P-GSE23846-4	GSM587913 extract 1	total RNA	P-GSE23846-5	GSM587913 LE 1	biotin	P-GSE23846-6	GSM587913	A-AFFY-2	P-GSE23846-7	P-GSE23846-8	GSM587913_AtHb1_hyp_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23846/E-GEOD-23846.raw.1.zip	P-GSE23846-1	GSM587913_sample_table.txt norm	GSM587913_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23846/E-GEOD-23846.processed.1.zip	transgenic LeB4::AtHb1	hypoxia
GSM587912 1	Gene expression data after treatment	Arabidopsis siliques after control treatment (1h)	siliques AtHb1, control, biological rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	45	day	11/12 days after pollination corresponding to mid phase of seed maturation	transgenic LeB4::AtHb1	silique	P-GSE23846-2	P-GSE23846-3	P-GSE23846-4	GSM587912 extract 1	total RNA	P-GSE23846-5	GSM587912 LE 1	biotin	P-GSE23846-6	GSM587912	A-AFFY-2	P-GSE23846-7	P-GSE23846-8	GSM587912_AtHb1_control_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23846/E-GEOD-23846.raw.1.zip	P-GSE23846-1	GSM587912_sample_table.txt norm	GSM587912_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23846/E-GEOD-23846.processed.1.zip	transgenic LeB4::AtHb1	control
GSM587911 1	Gene expression data after treatment	Arabidopsis siliques after control treatment (1h)	siliques AtHb1, control, biological rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	45	day	11/12 days after pollination corresponding to mid phase of seed maturation	transgenic LeB4::AtHb1	silique	P-GSE23846-2	P-GSE23846-3	P-GSE23846-4	GSM587911 extract 1	total RNA	P-GSE23846-5	GSM587911 LE 1	biotin	P-GSE23846-6	GSM587911	A-AFFY-2	P-GSE23846-7	P-GSE23846-8	GSM587911_AtHb1_control_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23846/E-GEOD-23846.raw.1.zip	P-GSE23846-1	GSM587911_sample_table.txt norm	GSM587911_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23846/E-GEOD-23846.processed.1.zip	transgenic LeB4::AtHb1	control
GSM587910 1	Gene expression data after treatment	Arabidopsis siliques after control treatment (1h)	siliques AtHb1, control, biological rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	45	day	11/12 days after pollination corresponding to mid phase of seed maturation	transgenic LeB4::AtHb1	silique	P-GSE23846-2	P-GSE23846-3	P-GSE23846-4	GSM587910 extract 1	total RNA	P-GSE23846-5	GSM587910 LE 1	biotin	P-GSE23846-6	GSM587910	A-AFFY-2	P-GSE23846-7	P-GSE23846-8	GSM587910_AtHb1_control_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23846/E-GEOD-23846.raw.1.zip	P-GSE23846-1	GSM587910_sample_table.txt norm	GSM587910_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23846/E-GEOD-23846.processed.1.zip	transgenic LeB4::AtHb1	control
GSM587909 1	Gene expression data after treatment	Arabidopsis siliques after hypoxia treatment (1h)	siliques WT, hypoxia, biological rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	45	day	11/12 days after pollination corresponding to mid phase of seed maturation	wild type	silique	P-GSE23846-2	P-GSE23846-3	P-GSE23846-4	GSM587909 extract 1	total RNA	P-GSE23846-5	GSM587909 LE 1	biotin	P-GSE23846-6	GSM587909	A-AFFY-2	P-GSE23846-7	P-GSE23846-8	GSM587909_WT_hyp_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23846/E-GEOD-23846.raw.1.zip	P-GSE23846-1	GSM587909_sample_table.txt norm	GSM587909_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23846/E-GEOD-23846.processed.1.zip	wild type	hypoxia
GSM587908 1	Gene expression data after treatment	Arabidopsis siliques after hypoxia treatment (1h)	siliques WT, hypoxia, biological rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	45	day	11/12 days after pollination corresponding to mid phase of seed maturation	wild type	silique	P-GSE23846-2	P-GSE23846-3	P-GSE23846-4	GSM587908 extract 1	total RNA	P-GSE23846-5	GSM587908 LE 1	biotin	P-GSE23846-6	GSM587908	A-AFFY-2	P-GSE23846-7	P-GSE23846-8	GSM587908_WT_hyp_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23846/E-GEOD-23846.raw.1.zip	P-GSE23846-1	GSM587908_sample_table.txt norm	GSM587908_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23846/E-GEOD-23846.processed.1.zip	wild type	hypoxia
GSM587907 1	Gene expression data after treatment	Arabidopsis siliques after hypoxia treatment (1h)	siliques WT, hypoxia, biological rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	45	day	11/12 days after pollination corresponding to mid phase of seed maturation	wild type	silique	P-GSE23846-2	P-GSE23846-3	P-GSE23846-4	GSM587907 extract 1	total RNA	P-GSE23846-5	GSM587907 LE 1	biotin	P-GSE23846-6	GSM587907	A-AFFY-2	P-GSE23846-7	P-GSE23846-8	GSM587907_WT_hyp_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23846/E-GEOD-23846.raw.1.zip	P-GSE23846-1	GSM587907_sample_table.txt norm	GSM587907_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23846/E-GEOD-23846.processed.1.zip	wild type	hypoxia
GSM587906 1	Gene expression data after treatment	Arabidopsis siliques after control treatment (1h)	siliques WT, control, biological rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	45	day	11/12 days after pollination corresponding to mid phase of seed maturation	wild type	silique	P-GSE23846-2	P-GSE23846-3	P-GSE23846-4	GSM587906 extract 1	total RNA	P-GSE23846-5	GSM587906 LE 1	biotin	P-GSE23846-6	GSM587906	A-AFFY-2	P-GSE23846-7	P-GSE23846-8	GSM587906_WT_control_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23846/E-GEOD-23846.raw.1.zip	P-GSE23846-1	GSM587906_sample_table.txt norm	GSM587906_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23846/E-GEOD-23846.processed.1.zip	wild type	control
