Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[genotype]	Characteristics [age]	Unit[time unit]	Characteristics[organism part]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [organism part]	FactorValue[growth condition]	FactorValue[genotype]
GSM600285 1	Roots of wild-type, ecotype Columbia, grown under Fe deficiency	wild-type, Roots grown under - Fe, ecotype Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type	5	week	root	P-GSE24348-2	P-GSE24348-3	P-GSE24348-4	GSM600285 extract 1	total RNA	P-GSE24348-5	GSM600285 LE 1	Biotin	P-GSE24348-6	GSM600285	A-AFFY-2	P-GSE24348-7	P-GSE24348-8	GSM600285.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24348/E-GEOD-24348.raw.1.zip	P-GSE24348-1	GSM600285_sample_table.txt norm	GSM600285_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24348/E-GEOD-24348.processed.1.zip	root	iron deprivation	wild type
GSM600284 1	Roots of wild-type, ecotype Columbia, grown under Fe deficiency	wild-type, Roots grown under - Fe, ecotype Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type	5	week	root	P-GSE24348-2	P-GSE24348-3	P-GSE24348-4	GSM600284 extract 1	total RNA	P-GSE24348-5	GSM600284 LE 1	Biotin	P-GSE24348-6	GSM600284	A-AFFY-2	P-GSE24348-7	P-GSE24348-8	GSM600284.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24348/E-GEOD-24348.raw.1.zip	P-GSE24348-1	GSM600284_sample_table.txt norm	GSM600284_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24348/E-GEOD-24348.processed.1.zip	root	iron deprivation	wild type
GSM600283 1	Roots of wild-type, ecotype Columbia, grown under Fe deficiency	wild-type, Roots grown under - Fe, ecotype Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type	5	week	root	P-GSE24348-2	P-GSE24348-3	P-GSE24348-4	GSM600283 extract 1	total RNA	P-GSE24348-5	GSM600283 LE 1	Biotin	P-GSE24348-6	GSM600283	A-AFFY-2	P-GSE24348-7	P-GSE24348-8	GSM600283.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24348/E-GEOD-24348.raw.1.zip	P-GSE24348-1	GSM600283_sample_table.txt norm	GSM600283_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24348/E-GEOD-24348.processed.1.zip	root	iron deprivation	wild type
GSM600282 1	Roots of wild-type, ecotype Columbia, grown under Fe supply	wild-type, Roots grown under + Fe, ecotype Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type	5	week	root	P-GSE24348-2	P-GSE24348-3	P-GSE24348-4	GSM600282 extract 1	total RNA	P-GSE24348-5	GSM600282 LE 1	Biotin	P-GSE24348-6	GSM600282	A-AFFY-2	P-GSE24348-7	P-GSE24348-8	GSM600282.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24348/E-GEOD-24348.raw.1.zip	P-GSE24348-1	GSM600282_sample_table.txt norm	GSM600282_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24348/E-GEOD-24348.processed.1.zip	root	control	wild type
GSM600281 1	Roots of wild-type, ecotype Columbia, grown under Fe supply	wild-type, Roots grown under + Fe, ecotype Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type	5	week	root	P-GSE24348-2	P-GSE24348-3	P-GSE24348-4	GSM600281 extract 1	total RNA	P-GSE24348-5	GSM600281 LE 1	Biotin	P-GSE24348-6	GSM600281	A-AFFY-2	P-GSE24348-7	P-GSE24348-8	GSM600281.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24348/E-GEOD-24348.raw.1.zip	P-GSE24348-1	GSM600281_sample_table.txt norm	GSM600281_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24348/E-GEOD-24348.processed.1.zip	root	control	wild type
GSM600280 1	Roots of wild-type, ecotype Columbia, grown under Fe supply	wild-type, Roots grown under + Fe, ecotype Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type	5	week	root	P-GSE24348-2	P-GSE24348-3	P-GSE24348-4	GSM600280 extract 1	total RNA	P-GSE24348-5	GSM600280 LE 1	Biotin	P-GSE24348-6	GSM600280	A-AFFY-2	P-GSE24348-7	P-GSE24348-8	GSM600280.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24348/E-GEOD-24348.raw.1.zip	P-GSE24348-1	GSM600280_sample_table.txt norm	GSM600280_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24348/E-GEOD-24348.processed.1.zip	root	control	wild type
GSM600279 1	Roots of quadruple nasT-DNA insertionmutant in background of ecotype Columbia, grown under Fe deficiency	nas4x-1, Roots grown under - Fe	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	nas4x-1 mutant	5	week	root	P-GSE24348-2	P-GSE24348-3	P-GSE24348-4	GSM600279 extract 1	total RNA	P-GSE24348-5	GSM600279 LE 1	Biotin	P-GSE24348-6	GSM600279	A-AFFY-2	P-GSE24348-7	P-GSE24348-8	GSM600279.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24348/E-GEOD-24348.raw.1.zip	P-GSE24348-1	GSM600279_sample_table.txt norm	GSM600279_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24348/E-GEOD-24348.processed.1.zip	root	iron deprivation	nas4x-1 mutant
GSM600278 1	Roots of quadruple nasT-DNA insertionmutant in background of ecotype Columbia, grown under Fe deficiency	nas4x-1, Roots grown under - Fe	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	nas4x-1 mutant	5	week	root	P-GSE24348-2	P-GSE24348-3	P-GSE24348-4	GSM600278 extract 1	total RNA	P-GSE24348-5	GSM600278 LE 1	Biotin	P-GSE24348-6	GSM600278	A-AFFY-2	P-GSE24348-7	P-GSE24348-8	GSM600278.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24348/E-GEOD-24348.raw.1.zip	P-GSE24348-1	GSM600278_sample_table.txt norm	GSM600278_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24348/E-GEOD-24348.processed.1.zip	root	iron deprivation	nas4x-1 mutant
GSM600277 1	Roots of quadruple nasT-DNA insertionmutant in background of ecotype Columbia, grown under Fe deficiency	nas4x-1, Roots grown under - Fe	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	nas4x-1 mutant	5	week	root	P-GSE24348-2	P-GSE24348-3	P-GSE24348-4	GSM600277 extract 1	total RNA	P-GSE24348-5	GSM600277 LE 1	Biotin	P-GSE24348-6	GSM600277	A-AFFY-2	P-GSE24348-7	P-GSE24348-8	GSM600277.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24348/E-GEOD-24348.raw.1.zip	P-GSE24348-1	GSM600277_sample_table.txt norm	GSM600277_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24348/E-GEOD-24348.processed.1.zip	root	iron deprivation	nas4x-1 mutant
GSM600276 1	Roots of quadruple nasT-DNA insertionmutant in background of ecotype Columbia, grown under Fe supply	nas4x-1, Roots grown under + Fe	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	nas4x-1 mutant	5	week	root	P-GSE24348-2	P-GSE24348-3	P-GSE24348-4	GSM600276 extract 1	total RNA	P-GSE24348-5	GSM600276 LE 1	Biotin	P-GSE24348-6	GSM600276	A-AFFY-2	P-GSE24348-7	P-GSE24348-8	GSM600276.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24348/E-GEOD-24348.raw.1.zip	P-GSE24348-1	GSM600276_sample_table.txt norm	GSM600276_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24348/E-GEOD-24348.processed.1.zip	root	control	nas4x-1 mutant
