Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Ecotype]	Characteristics[genotype]	Characteristics[OrganismPart]	Comment[sample type]	Comment[treatment]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [GENOTYPE]	FactorValue[COMPOUND]	FactorValue[DOSE]	Unit[TimeUnit]
GSM645709 1	Hypocotyl segments of the wild type (Ler) was cultured for 3 days on CIM containing 100 ng/ml 2,4-D and 100 ng/ml TSA.	wild type (Ler), cultured on CIM in the presence of TSA.	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ler	wild_type	hypocotyl	tissue culture	cultured for 3 days on CIM containing 100 ng/ml 2,4-D and 100 ng/ml TSA.	P-GSE26297-2	P-GSE26297-3	P-GSE26297-4	GSM645709 extract 1	total RNA	P-GSE26297-5	GSM645709 LE 1	biotin	P-GSE26297-6	GSM645709	A-AFFY-2	P-GSE26297-7	P-GSE26297-8	GSM645709.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26297/E-GEOD-26297.raw.1.zip	P-GSE26297-1	GSM645709_sample_table.txt norm	GSM645709_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26297/E-GEOD-26297.processed.1.zip	wild_type	trichostatin A	100	ng/ml
GSM645708 1	Hypocotyl segments of the wild type (Ler) was cultured for 3 days on CIM containing 100 ng/ml 2,4-D and 100 ng/ml TSA.	wild type (Ler), cultured on CIM in the presence of TSA.	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ler	wild_type	hypocotyl	tissue culture	cultured for 3 days on CIM containing 100 ng/ml 2,4-D and 100 ng/ml TSA.	P-GSE26297-2	P-GSE26297-3	P-GSE26297-4	GSM645708 extract 1	total RNA	P-GSE26297-5	GSM645708 LE 1	biotin	P-GSE26297-6	GSM645708	A-AFFY-2	P-GSE26297-7	P-GSE26297-8	GSM645708.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26297/E-GEOD-26297.raw.1.zip	P-GSE26297-1	GSM645708_sample_table.txt norm	GSM645708_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26297/E-GEOD-26297.processed.1.zip	wild_type	trichostatin A	100	ng/ml
GSM645707 1	Hypocotyl segments of the ckh2-1 mutant was cultured for 3 days on CIM containing 100 ng/ml 2,4-D and high level (200 ng/ml) of kinetin.	ckh2-1 mutant, cultured on CIM in the presence of high level of cytokinin.	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ler	ckh2-1 mutant	hypocotyl	tissue culture	cultured for 3 days on CIM containing 100 ng/ml 2,4-D and high level (200 ng/ml) of kinetin.	P-GSE26297-2	P-GSE26297-3	P-GSE26297-4	GSM645707 extract 1	total RNA	P-GSE26297-5	GSM645707 LE 1	biotin	P-GSE26297-6	GSM645707	A-AFFY-2	P-GSE26297-7	P-GSE26297-8	GSM645707.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26297/E-GEOD-26297.raw.1.zip	P-GSE26297-1	GSM645707_sample_table.txt norm	GSM645707_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26297/E-GEOD-26297.processed.1.zip	ckh2-1 mutant	kinetin	200	ng/ml
GSM645706 1	Hypocotyl segments of the ckh2-1 mutant was cultured for 3 days on CIM containing 100 ng/ml 2,4-D and high level (200 ng/ml) of kinetin.	ckh2-1 mutant, cultured on CIM in the presence of high level of cytokinin.	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ler	ckh2-1 mutant	hypocotyl	tissue culture	cultured for 3 days on CIM containing 100 ng/ml 2,4-D and high level (200 ng/ml) of kinetin.	P-GSE26297-2	P-GSE26297-3	P-GSE26297-4	GSM645706 extract 1	total RNA	P-GSE26297-5	GSM645706 LE 1	biotin	P-GSE26297-6	GSM645706	A-AFFY-2	P-GSE26297-7	P-GSE26297-8	GSM645706.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26297/E-GEOD-26297.raw.1.zip	P-GSE26297-1	GSM645706_sample_table.txt norm	GSM645706_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26297/E-GEOD-26297.processed.1.zip	ckh2-1 mutant	kinetin	200	ng/ml
GSM645705 1	Hypocotyl segments of the ckh2-1 mutant was cultured for 3 days on CIM containing 100 ng/ml 2,4-D and low level (25 ng/ml) of kinetin.	ckh2-1 mutant, cultured on CIM in the presence of low level of cytokinin.	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ler	ckh2-1 mutant	hypocotyl	tissue culture	cultured for 3 days on CIM containing 100 ng/ml 2,4-D and low level (25 ng/ml) of kinetin.	P-GSE26297-2	P-GSE26297-3	P-GSE26297-4	GSM645705 extract 1	total RNA	P-GSE26297-5	GSM645705 LE 1	biotin	P-GSE26297-6	GSM645705	A-AFFY-2	P-GSE26297-7	P-GSE26297-8	GSM645705.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26297/E-GEOD-26297.raw.1.zip	P-GSE26297-1	GSM645705_sample_table.txt norm	GSM645705_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26297/E-GEOD-26297.processed.1.zip	ckh2-1 mutant	kinetin	25	ng/ml
GSM645704 1	Hypocotyl segments of the ckh2-1 mutant was cultured for 3 days on CIM containing 100 ng/ml 2,4-D and low level (25 ng/ml) of kinetin.	ckh2-1 mutant, cultured on CIM in the presence of low level of cytokinin.	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ler	ckh2-1 mutant	hypocotyl	tissue culture	cultured for 3 days on CIM containing 100 ng/ml 2,4-D and low level (25 ng/ml) of kinetin.	P-GSE26297-2	P-GSE26297-3	P-GSE26297-4	GSM645704 extract 1	total RNA	P-GSE26297-5	GSM645704 LE 1	biotin	P-GSE26297-6	GSM645704	A-AFFY-2	P-GSE26297-7	P-GSE26297-8	GSM645704.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26297/E-GEOD-26297.raw.1.zip	P-GSE26297-1	GSM645704_sample_table.txt norm	GSM645704_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26297/E-GEOD-26297.processed.1.zip	ckh2-1 mutant	kinetin	25	ng/ml
GSM645703 1	Hypocotyl segments of the ckh2-1 mutant was cultured for 3 days on CIM containing 100 ng/ml 2,4-D in the absence of kinetin.	ckh2-1 mutant, cultured on CIM in the absence of cytokinin.	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ler	ckh2-1 mutant	hypocotyl	tissue culture	cultured for 3 days on CIM containing 100 ng/ml 2,4-D in the absence of kinetin.	P-GSE26297-2	P-GSE26297-3	P-GSE26297-4	GSM645703 extract 1	total RNA	P-GSE26297-5	GSM645703 LE 1	biotin	P-GSE26297-6	GSM645703	A-AFFY-2	P-GSE26297-7	P-GSE26297-8	GSM645703.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26297/E-GEOD-26297.raw.1.zip	P-GSE26297-1	GSM645703_sample_table.txt norm	GSM645703_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26297/E-GEOD-26297.processed.1.zip	ckh2-1 mutant	none	n/a	ng/ml
GSM645702 1	Hypocotyl segments of the ckh2-1 mutant was cultured for 3 days on CIM containing 100 ng/ml 2,4-D in the absence of kinetin.	ckh2-1 mutant, cultured on CIM in the absence of cytokinin.	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ler	ckh2-1 mutant	hypocotyl	tissue culture	cultured for 3 days on CIM containing 100 ng/ml 2,4-D in the absence of kinetin.	P-GSE26297-2	P-GSE26297-3	P-GSE26297-4	GSM645702 extract 1	total RNA	P-GSE26297-5	GSM645702 LE 1	biotin	P-GSE26297-6	GSM645702	A-AFFY-2	P-GSE26297-7	P-GSE26297-8	GSM645702.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26297/E-GEOD-26297.raw.1.zip	P-GSE26297-1	GSM645702_sample_table.txt norm	GSM645702_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26297/E-GEOD-26297.processed.1.zip	ckh2-1 mutant	none	n/a	ng/ml
GSM645701 1	Hypocotyl segments of the ckh1-1 mutant was cultured for 3 days on CIM containing 100 ng/ml 2,4-D and high level (200 ng/ml) of kinetin.	ckh1-1 mutant, cultured on CIM in the presence of high level of cytokinin.	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ler	ckh1-1 mutant	hypocotyl	tissue culture	cultured for 3 days on CIM containing 100 ng/ml 2,4-D and high level (200 ng/ml) of kinetin.	P-GSE26297-2	P-GSE26297-3	P-GSE26297-4	GSM645701 extract 1	total RNA	P-GSE26297-5	GSM645701 LE 1	biotin	P-GSE26297-6	GSM645701	A-AFFY-2	P-GSE26297-7	P-GSE26297-8	GSM645701.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26297/E-GEOD-26297.raw.1.zip	P-GSE26297-1	GSM645701_sample_table.txt norm	GSM645701_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26297/E-GEOD-26297.processed.1.zip	ckh1-1 mutant	kinetin	200	ng/ml
GSM645700 1	Hypocotyl segments of the ckh1-1 mutant was cultured for 3 days on CIM containing 100 ng/ml 2,4-D and high level (200 ng/ml) of kinetin.	ckh1-1 mutant, cultured on CIM in the presence of high level of cytokinin.	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ler	ckh1-1 mutant	hypocotyl	tissue culture	cultured for 3 days on CIM containing 100 ng/ml 2,4-D and high level (200 ng/ml) of kinetin.	P-GSE26297-2	P-GSE26297-3	P-GSE26297-4	GSM645700 extract 1	total RNA	P-GSE26297-5	GSM645700 LE 1	biotin	P-GSE26297-6	GSM645700	A-AFFY-2	P-GSE26297-7	P-GSE26297-8	GSM645700.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26297/E-GEOD-26297.raw.1.zip	P-GSE26297-1	GSM645700_sample_table.txt norm	GSM645700_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26297/E-GEOD-26297.processed.1.zip	ckh1-1 mutant	kinetin	200	ng/ml
