Source Name	Comment [Sample_source_name]	Characteristics[organism]	Characteristics[organism part]	Characteristics[genotype]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue[infect]	FactorValue[time]	Unit[time unit]
GSM656520 1	"edr1 rosettes, 96 hpi with Golovinomyces cichoracearum"	Arabidopsis thaliana	rosette	edr1 mutant	P-GSE26679-2	P-GSE26679-3	P-GSE26679-4	GSM656520 extract 1	total RNA	P-GSE26679-5	GSM656520 LE 1	biotin	P-GSE26679-6	GSM656520	A-AFFY-2	P-GSE26679-7	P-GSE26679-8	GSM656520.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.raw.1.zip	P-GSE26679-1	GSM656520_sample_table.txt norm	GSM656520_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.processed.1.zip	edr1 mutant	Golovinomyces cichoracearum	96	hour
GSM656519 1	"edr1 rosettes, 96 hpi with Golovinomyces cichoracearum"	Arabidopsis thaliana	rosette	edr1 mutant	P-GSE26679-2	P-GSE26679-3	P-GSE26679-4	GSM656519 extract 1	total RNA	P-GSE26679-5	GSM656519 LE 1	biotin	P-GSE26679-6	GSM656519	A-AFFY-2	P-GSE26679-7	P-GSE26679-8	GSM656519.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.raw.1.zip	P-GSE26679-1	GSM656519_sample_table.txt norm	GSM656519_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.processed.1.zip	edr1 mutant	Golovinomyces cichoracearum	96	hour
GSM656518 1	"edr1 rosettes, 96 hpi with Golovinomyces cichoracearum"	Arabidopsis thaliana	rosette	edr1 mutant	P-GSE26679-2	P-GSE26679-3	P-GSE26679-4	GSM656518 extract 1	total RNA	P-GSE26679-5	GSM656518 LE 1	biotin	P-GSE26679-6	GSM656518	A-AFFY-2	P-GSE26679-7	P-GSE26679-8	GSM656518.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.raw.1.zip	P-GSE26679-1	GSM656518_sample_table.txt norm	GSM656518_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.processed.1.zip	edr1 mutant	Golovinomyces cichoracearum	96	hour
GSM656517 1	"edr1 rosettes, 96 hpi with Golovinomyces cichoracearum"	Arabidopsis thaliana	rosette	edr1 mutant	P-GSE26679-2	P-GSE26679-3	P-GSE26679-4	GSM656517 extract 1	total RNA	P-GSE26679-5	GSM656517 LE 1	biotin	P-GSE26679-6	GSM656517	A-AFFY-2	P-GSE26679-7	P-GSE26679-8	GSM656517.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.raw.1.zip	P-GSE26679-1	GSM656517_sample_table.txt norm	GSM656517_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.processed.1.zip	edr1 mutant	Golovinomyces cichoracearum	96	hour
GSM656516 1	"edr1 rosettes, 36 hpi with Golovinomyces cichoracearum"	Arabidopsis thaliana	rosette	edr1 mutant	P-GSE26679-2	P-GSE26679-3	P-GSE26679-4	GSM656516 extract 1	total RNA	P-GSE26679-5	GSM656516 LE 1	biotin	P-GSE26679-6	GSM656516	A-AFFY-2	P-GSE26679-7	P-GSE26679-8	GSM656516.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.raw.1.zip	P-GSE26679-1	GSM656516_sample_table.txt norm	GSM656516_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.processed.1.zip	edr1 mutant	Golovinomyces cichoracearum	36	hour
GSM656515 1	"edr1 rosettes, 36 hpi with Golovinomyces cichoracearum"	Arabidopsis thaliana	rosette	edr1 mutant	P-GSE26679-2	P-GSE26679-3	P-GSE26679-4	GSM656515 extract 1	total RNA	P-GSE26679-5	GSM656515 LE 1	biotin	P-GSE26679-6	GSM656515	A-AFFY-2	P-GSE26679-7	P-GSE26679-8	GSM656515.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.raw.1.zip	P-GSE26679-1	GSM656515_sample_table.txt norm	GSM656515_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.processed.1.zip	edr1 mutant	Golovinomyces cichoracearum	36	hour
GSM656514 1	"edr1 rosettes, 36 hpi with Golovinomyces cichoracearum"	Arabidopsis thaliana	rosette	edr1 mutant	P-GSE26679-2	P-GSE26679-3	P-GSE26679-4	GSM656514 extract 1	total RNA	P-GSE26679-5	GSM656514 LE 1	biotin	P-GSE26679-6	GSM656514	A-AFFY-2	P-GSE26679-7	P-GSE26679-8	GSM656514.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.raw.1.zip	P-GSE26679-1	GSM656514_sample_table.txt norm	GSM656514_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.processed.1.zip	edr1 mutant	Golovinomyces cichoracearum	36	hour
GSM656513 1	"edr1 rosettes, 36 hpi with Golovinomyces cichoracearum"	Arabidopsis thaliana	rosette	edr1 mutant	P-GSE26679-2	P-GSE26679-3	P-GSE26679-4	GSM656513 extract 1	total RNA	P-GSE26679-5	GSM656513 LE 1	biotin	P-GSE26679-6	GSM656513	A-AFFY-2	P-GSE26679-7	P-GSE26679-8	GSM656513.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.raw.1.zip	P-GSE26679-1	GSM656513_sample_table.txt norm	GSM656513_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.processed.1.zip	edr1 mutant	Golovinomyces cichoracearum	36	hour
GSM656512 1	"edr1 rosettes, 18 hpi with Golovinomyces cichoracearum"	Arabidopsis thaliana	rosette	edr1 mutant	P-GSE26679-2	P-GSE26679-3	P-GSE26679-4	GSM656512 extract 1	total RNA	P-GSE26679-5	GSM656512 LE 1	biotin	P-GSE26679-6	GSM656512	A-AFFY-2	P-GSE26679-7	P-GSE26679-8	GSM656512.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.raw.1.zip	P-GSE26679-1	GSM656512_sample_table.txt norm	GSM656512_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.processed.1.zip	edr1 mutant	Golovinomyces cichoracearum	18	hour
GSM656511 1	"edr1 rosettes, 18 hpi with Golovinomyces cichoracearum"	Arabidopsis thaliana	rosette	edr1 mutant	P-GSE26679-2	P-GSE26679-3	P-GSE26679-4	GSM656511 extract 1	total RNA	P-GSE26679-5	GSM656511 LE 1	biotin	P-GSE26679-6	GSM656511	A-AFFY-2	P-GSE26679-7	P-GSE26679-8	GSM656511.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.raw.1.zip	P-GSE26679-1	GSM656511_sample_table.txt norm	GSM656511_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.processed.1.zip	edr1 mutant	Golovinomyces cichoracearum	18	hour
