Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [ecotype]	Characteristics [age]	Unit [time unit]	Characteristics[developmental stage]	Characteristics [organism part]	Characteristics [genotype]	Comment [Sample_source_name]	Comment [Sample_title]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]
GSM660718 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	18	day	seedling	shoot	brm-1 mutant	18-d old shoots	brm-1 rep3	P-GSE26848-2	ArrayExpress	P-GSE26848-3	ArrayExpress	GSM660718 extract 1	total RNA	P-GSE26848-4	ArrayExpress	GSM660718 LE 1	biotin	P-GSE26848-5	ArrayExpress	GSM660718	A-AFFY-2	ArrayExpress	array assay	P-GSE26848-6	ArrayExpress	P-GSE26848-7	ArrayExpress	GSM660718.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26848/E-GEOD-26848.raw.1.zip	P-GSE26848-1	ArrayExpress	GSM660718_sample_table.txt norm	GSM660718_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26848/E-GEOD-26848.processed.1.zip	brm-1 mutant
GSM660717 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	18	day	seedling	shoot	brm-1 mutant	18-d old shoots	brm-1 rep2	P-GSE26848-2	ArrayExpress	P-GSE26848-3	ArrayExpress	GSM660717 extract 1	total RNA	P-GSE26848-4	ArrayExpress	GSM660717 LE 1	biotin	P-GSE26848-5	ArrayExpress	GSM660717	A-AFFY-2	ArrayExpress	array assay	P-GSE26848-6	ArrayExpress	P-GSE26848-7	ArrayExpress	GSM660717.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26848/E-GEOD-26848.raw.1.zip	P-GSE26848-1	ArrayExpress	GSM660717_sample_table.txt norm	GSM660717_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26848/E-GEOD-26848.processed.1.zip	brm-1 mutant
GSM660716 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	18	day	seedling	shoot	brm-1 mutant	18-d old shoots	brm-1 rep1	P-GSE26848-2	ArrayExpress	P-GSE26848-3	ArrayExpress	GSM660716 extract 1	total RNA	P-GSE26848-4	ArrayExpress	GSM660716 LE 1	biotin	P-GSE26848-5	ArrayExpress	GSM660716	A-AFFY-2	ArrayExpress	array assay	P-GSE26848-6	ArrayExpress	P-GSE26848-7	ArrayExpress	GSM660716.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26848/E-GEOD-26848.raw.1.zip	P-GSE26848-1	ArrayExpress	GSM660716_sample_table.txt norm	GSM660716_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26848/E-GEOD-26848.processed.1.zip	brm-1 mutant
GSM660715 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	18	day	seedling	shoot	ga1-3/brm-1 double mutant	18-d old shoots	ga1-3/brm-1 rep3	P-GSE26848-2	ArrayExpress	P-GSE26848-3	ArrayExpress	GSM660715 extract 1	total RNA	P-GSE26848-4	ArrayExpress	GSM660715 LE 1	biotin	P-GSE26848-5	ArrayExpress	GSM660715	A-AFFY-2	ArrayExpress	array assay	P-GSE26848-6	ArrayExpress	P-GSE26848-7	ArrayExpress	GSM660715.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26848/E-GEOD-26848.raw.1.zip	P-GSE26848-1	ArrayExpress	GSM660715_sample_table.txt norm	GSM660715_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26848/E-GEOD-26848.processed.1.zip	ga1-3/brm-1 double mutant
GSM660714 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	18	day	seedling	shoot	ga1-3/brm-1 double mutant	18-d old shoots	ga1-3/brm-1 rep2	P-GSE26848-2	ArrayExpress	P-GSE26848-3	ArrayExpress	GSM660714 extract 1	total RNA	P-GSE26848-4	ArrayExpress	GSM660714 LE 1	biotin	P-GSE26848-5	ArrayExpress	GSM660714	A-AFFY-2	ArrayExpress	array assay	P-GSE26848-6	ArrayExpress	P-GSE26848-7	ArrayExpress	GSM660714.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26848/E-GEOD-26848.raw.1.zip	P-GSE26848-1	ArrayExpress	GSM660714_sample_table.txt norm	GSM660714_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26848/E-GEOD-26848.processed.1.zip	ga1-3/brm-1 double mutant
GSM660713 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	18	day	seedling	shoot	ga1-3/brm-1 double mutant	18-d old shoots	ga1-3/brm-1 rep1	P-GSE26848-2	ArrayExpress	P-GSE26848-3	ArrayExpress	GSM660713 extract 1	total RNA	P-GSE26848-4	ArrayExpress	GSM660713 LE 1	biotin	P-GSE26848-5	ArrayExpress	GSM660713	A-AFFY-2	ArrayExpress	array assay	P-GSE26848-6	ArrayExpress	P-GSE26848-7	ArrayExpress	GSM660713.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26848/E-GEOD-26848.raw.1.zip	P-GSE26848-1	ArrayExpress	GSM660713_sample_table.txt norm	GSM660713_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26848/E-GEOD-26848.processed.1.zip	ga1-3/brm-1 double mutant
GSM660712 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	18	day	seedling	shoot	ga1-3 mutant	18-d old shoots	ga1-3 rep3	P-GSE26848-2	ArrayExpress	P-GSE26848-3	ArrayExpress	GSM660712 extract 1	total RNA	P-GSE26848-4	ArrayExpress	GSM660712 LE 1	biotin	P-GSE26848-5	ArrayExpress	GSM660712	A-AFFY-2	ArrayExpress	array assay	P-GSE26848-6	ArrayExpress	P-GSE26848-7	ArrayExpress	GSM660712.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26848/E-GEOD-26848.raw.1.zip	P-GSE26848-1	ArrayExpress	GSM660712_sample_table.txt norm	GSM660712_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26848/E-GEOD-26848.processed.1.zip	ga1-3 mutant
GSM660711 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	18	day	seedling	shoot	ga1-3 mutant	18-d old shoots	ga1-3 rep2	P-GSE26848-2	ArrayExpress	P-GSE26848-3	ArrayExpress	GSM660711 extract 1	total RNA	P-GSE26848-4	ArrayExpress	GSM660711 LE 1	biotin	P-GSE26848-5	ArrayExpress	GSM660711	A-AFFY-2	ArrayExpress	array assay	P-GSE26848-6	ArrayExpress	P-GSE26848-7	ArrayExpress	GSM660711.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26848/E-GEOD-26848.raw.1.zip	P-GSE26848-1	ArrayExpress	GSM660711_sample_table.txt norm	GSM660711_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26848/E-GEOD-26848.processed.1.zip	ga1-3 mutant
GSM660710 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	18	day	seedling	shoot	ga1-3 mutant	18-d old shoots	ga1-3 rep1	P-GSE26848-2	ArrayExpress	P-GSE26848-3	ArrayExpress	GSM660710 extract 1	total RNA	P-GSE26848-4	ArrayExpress	GSM660710 LE 1	biotin	P-GSE26848-5	ArrayExpress	GSM660710	A-AFFY-2	ArrayExpress	array assay	P-GSE26848-6	ArrayExpress	P-GSE26848-7	ArrayExpress	GSM660710.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26848/E-GEOD-26848.raw.1.zip	P-GSE26848-1	ArrayExpress	GSM660710_sample_table.txt norm	GSM660710_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26848/E-GEOD-26848.processed.1.zip	ga1-3 mutant
GSM660709 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	18	day	seedling	shoot	wild type	18-d old shoots	wt rep3	P-GSE26848-2	ArrayExpress	P-GSE26848-3	ArrayExpress	GSM660709 extract 1	total RNA	P-GSE26848-4	ArrayExpress	GSM660709 LE 1	biotin	P-GSE26848-5	ArrayExpress	GSM660709	A-AFFY-2	ArrayExpress	array assay	P-GSE26848-6	ArrayExpress	P-GSE26848-7	ArrayExpress	GSM660709.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26848/E-GEOD-26848.raw.1.zip	P-GSE26848-1	ArrayExpress	GSM660709_sample_table.txt norm	GSM660709_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26848/E-GEOD-26848.processed.1.zip	wild type
