Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[organism]	Characteristics[age]	Unit[time unit]	Characteristics[ecotype]	Characteristics[genotype]	Characteristics[RNA]	Characteristics[organism part]	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [RNA]
GSM698628 1	18-AVA030_WT_PL3; Based on our analysis, the data from replicates #1 and #2  more closely resemble each other than replicate #3. Microarray data were generated on the following dates:  replicate 1 and replicate 2:  5/13/2009, replicate 3: 12/2/2009.	wild type, polysome mRNA	Arabidopsis thaliana	11	day	Columbia	wild type	polysome mRNA	aerial part	P-GSE28223-2	P-GSE28223-3	P-GSE28223-4	P-GSE28223-5	GSM698628 extract 1	total RNA	P-GSE28223-6	GSM698628 LE 1	biotin	P-GSE28223-7	GSM698628	A-AFFY-2	P-GSE28223-8	P-GSE28223-9	GSM698628.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28223/E-GEOD-28223.raw.1.zip	P-GSE28223-1	GSM698628_sample_table.txt norm	GSM698628_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28223/E-GEOD-28223.processed.1.zip	wild type	polysome mRNA
GSM698627 1	17-AVA031_WT_NP3; Based on our analysis, the data from replicates #1 and #2  more closely resemble each other than replicate #3. Microarray data were generated on the following dates:  replicate 1 and replicate 2:  5/13/2009, replicate 3: 12/2/2009.	wild type, non-polysome mRNA	Arabidopsis thaliana	11	day	Columbia	wild type	non-polysome mRNA	aerial part	P-GSE28223-2	P-GSE28223-3	P-GSE28223-4	P-GSE28223-5	GSM698627 extract 1	total RNA	P-GSE28223-6	GSM698627 LE 1	biotin	P-GSE28223-7	GSM698627	A-AFFY-2	P-GSE28223-8	P-GSE28223-9	GSM698627.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28223/E-GEOD-28223.raw.1.zip	P-GSE28223-1	GSM698627_sample_table.txt norm	GSM698627_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28223/E-GEOD-28223.processed.1.zip	wild type	non-polysome mRNA
GSM698626 1	16-AVA025_WT5_PL2; Based on our analysis, the data from replicates #1 and #2  more closely resemble each other than replicate #3. Microarray data were generated on the following dates:  replicate 1 and replicate 2:  5/13/2009, replicate 3: 12/2/2009.	wild type, polysome mRNA	Arabidopsis thaliana	11	day	Columbia	wild type	polysome mRNA	aerial part	P-GSE28223-2	P-GSE28223-3	P-GSE28223-4	P-GSE28223-5	GSM698626 extract 1	total RNA	P-GSE28223-6	GSM698626 LE 1	biotin	P-GSE28223-7	GSM698626	A-AFFY-2	P-GSE28223-8	P-GSE28223-9	GSM698626.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28223/E-GEOD-28223.raw.1.zip	P-GSE28223-1	GSM698626_sample_table.txt norm	GSM698626_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28223/E-GEOD-28223.processed.1.zip	wild type	polysome mRNA
GSM698625 1	15-AVA026_WT5_NP2; Based on our analysis, the data from replicates #1 and #2  more closely resemble each other than replicate #3. Microarray data were generated on the following dates:  replicate 1 and replicate 2:  5/13/2009, replicate 3: 12/2/2009.	wild type, non-polysome mRNA	Arabidopsis thaliana	11	day	Columbia	wild type	non-polysome mRNA	aerial part	P-GSE28223-2	P-GSE28223-3	P-GSE28223-4	P-GSE28223-5	GSM698625 extract 1	total RNA	P-GSE28223-6	GSM698625 LE 1	biotin	P-GSE28223-7	GSM698625	A-AFFY-2	P-GSE28223-8	P-GSE28223-9	GSM698625.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28223/E-GEOD-28223.raw.1.zip	P-GSE28223-1	GSM698625_sample_table.txt norm	GSM698625_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28223/E-GEOD-28223.processed.1.zip	wild type	non-polysome mRNA
GSM698624 1	14-AVA019_WT4_PL1; Based on our analysis, the data from replicates #1 and #2  more closely resemble each other than replicate #3. Microarray data were generated on the following dates:  replicate 1 and replicate 2:  5/13/2009, replicate 3: 12/2/2009.	wild type, polysome mRNA	Arabidopsis thaliana	11	day	Columbia	wild type	polysome mRNA	aerial part	P-GSE28223-2	P-GSE28223-3	P-GSE28223-4	P-GSE28223-5	GSM698624 extract 1	total RNA	P-GSE28223-6	GSM698624 LE 1	biotin	P-GSE28223-7	GSM698624	A-AFFY-2	P-GSE28223-8	P-GSE28223-9	GSM698624.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28223/E-GEOD-28223.raw.1.zip	P-GSE28223-1	GSM698624_sample_table.txt norm	GSM698624_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28223/E-GEOD-28223.processed.1.zip	wild type	polysome mRNA
GSM698623 1	13-AVA020_WT4_NP1; Based on our analysis, the data from replicates #1 and #2  more closely resemble each other than replicate #3. Microarray data were generated on the following dates:  replicate 1 and replicate 2:  5/13/2009, replicate 3: 12/2/2009.	wild type, non-polysome mRNA	Arabidopsis thaliana	11	day	Columbia	wild type	non-polysome mRNA	aerial part	P-GSE28223-2	P-GSE28223-3	P-GSE28223-4	P-GSE28223-5	GSM698623 extract 1	total RNA	P-GSE28223-6	GSM698623 LE 1	biotin	P-GSE28223-7	GSM698623	A-AFFY-2	P-GSE28223-8	P-GSE28223-9	GSM698623.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28223/E-GEOD-28223.raw.1.zip	P-GSE28223-1	GSM698623_sample_table.txt norm	GSM698623_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28223/E-GEOD-28223.processed.1.zip	wild type	non-polysome mRNA
GSM698622 1	12-AVA033_3k3_PL3; eif3k: Locus ID: At4g33250, T-DNA insertion line GK-274H04-015098, AL943500 (Vector: pAC161); confirmed insertion site: intron #6.; Based on our analysis, the data from replicates #1 and #2  more closely resemble each other than replicate #3. Microarray data were generated on the following dates:  replicate 1 and replicate 2:  5/13/2009, replicate 3: 12/2/2009.	eif3k, polysome mRNA	Arabidopsis thaliana	11	day	Columbia	eif3k mutant	polysome mRNA	aerial part	P-GSE28223-2	P-GSE28223-3	P-GSE28223-4	P-GSE28223-5	GSM698622 extract 1	total RNA	P-GSE28223-6	GSM698622 LE 1	biotin	P-GSE28223-7	GSM698622	A-AFFY-2	P-GSE28223-8	P-GSE28223-9	GSM698622.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28223/E-GEOD-28223.raw.1.zip	P-GSE28223-1	GSM698622_sample_table.txt norm	GSM698622_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28223/E-GEOD-28223.processed.1.zip	eif3k mutant	polysome mRNA
GSM698621 1	11-AVA034_3k3_NP3; eif3k: Locus ID: At4g33250, T-DNA insertion line GK-274H04-015098, AL943500 (Vector: pAC161); confirmed insertion site: intron #6.; Based on our analysis, the data from replicates #1 and #2  more closely resemble each other than replicate #3. Microarray data were generated on the following dates:  replicate 1 and replicate 2:  5/13/2009, replicate 3: 12/2/2009.	eif3k, non-polysome mRNA	Arabidopsis thaliana	11	day	Columbia	eif3k mutant	non-polysome mRNA	aerial part	P-GSE28223-2	P-GSE28223-3	P-GSE28223-4	P-GSE28223-5	GSM698621 extract 1	total RNA	P-GSE28223-6	GSM698621 LE 1	biotin	P-GSE28223-7	GSM698621	A-AFFY-2	P-GSE28223-8	P-GSE28223-9	GSM698621.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28223/E-GEOD-28223.raw.1.zip	P-GSE28223-1	GSM698621_sample_table.txt norm	GSM698621_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28223/E-GEOD-28223.processed.1.zip	eif3k mutant	non-polysome mRNA
GSM698620 1	10-AVA027_3K5_PL2; eif3k: Locus ID: At4g33250, T-DNA insertion line GK-274H04-015098, AL943500 (Vector: pAC161); confirmed insertion site: intron #6.; Based on our analysis, the data from replicates #1 and #2  more closely resemble each other than replicate #3. Microarray data were generated on the following dates:  replicate 1 and replicate 2:  5/13/2009, replicate 3: 12/2/2009.	eif3k, polysome mRNA	Arabidopsis thaliana	11	day	Columbia	eif3k mutant	polysome mRNA	aerial part	P-GSE28223-2	P-GSE28223-3	P-GSE28223-4	P-GSE28223-5	GSM698620 extract 1	total RNA	P-GSE28223-6	GSM698620 LE 1	biotin	P-GSE28223-7	GSM698620	A-AFFY-2	P-GSE28223-8	P-GSE28223-9	GSM698620.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28223/E-GEOD-28223.raw.1.zip	P-GSE28223-1	GSM698620_sample_table.txt norm	GSM698620_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28223/E-GEOD-28223.processed.1.zip	eif3k mutant	polysome mRNA
GSM698619 1	09-AVA028_3K5_NP2; eif3k: Locus ID: At4g33250, T-DNA insertion line GK-274H04-015098, AL943500 (Vector: pAC161); confirmed insertion site: intron #6.; Based on our analysis, the data from replicates #1 and #2  more closely resemble each other than replicate #3. Microarray data were generated on the following dates:  replicate 1 and replicate 2:  5/13/2009, replicate 3: 12/2/2009.	eif3k, non-polysome mRNA	Arabidopsis thaliana	11	day	Columbia	eif3k mutant	non-polysome mRNA	aerial part	P-GSE28223-2	P-GSE28223-3	P-GSE28223-4	P-GSE28223-5	GSM698619 extract 1	total RNA	P-GSE28223-6	GSM698619 LE 1	biotin	P-GSE28223-7	GSM698619	A-AFFY-2	P-GSE28223-8	P-GSE28223-9	GSM698619.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28223/E-GEOD-28223.raw.1.zip	P-GSE28223-1	GSM698619_sample_table.txt norm	GSM698619_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28223/E-GEOD-28223.processed.1.zip	eif3k mutant	non-polysome mRNA
