Source Name	Comment [Sample_description]	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[age]	Unit[time unit]	Characteristics[genotype]	Characteristics[organism part]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [compound]	FactorValue[dose]	Unit[concentration unit]
GSM698653 1	WT-chitooctaose-3	Gene expression data from WT whole seedlings after treatment with chitooctaose for 30 minutes.	WT treated with chitooctaose for 30 minutes	WT treated with chitooctaose, biological rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	14	day 	wild type	seedling	EFO	EFO_0001992	P-GSE28227-2	P-GSE28227-3	P-GSE28227-4	GSM698653 extract 1	total RNA	P-GSE28227-5	GSM698653 LE 1	biotin	P-GSE28227-6	GSM698653	A-AFFY-2	P-GSE28227-7	P-GSE28227-8	GSM698653.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28227/E-GEOD-28227.raw.1.zip	P-GSE28227-1	GSM698653_sample_table.txt norm	GSM698653_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28227/E-GEOD-28227.processed.1.zip	wild type	chitooctaose	1	micromolar
GSM698652 1	WT-chitooctaose-2	Gene expression data from WT whole seedlings after treatment with chitooctaose for 30 minutes.	WT treated with chitooctaose for 30 minutes	WT treated with chitooctaose, biological rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	14	day 	wild type	seedling	EFO	EFO_0001992	P-GSE28227-2	P-GSE28227-3	P-GSE28227-4	GSM698652 extract 1	total RNA	P-GSE28227-5	GSM698652 LE 1	biotin	P-GSE28227-6	GSM698652	A-AFFY-2	P-GSE28227-7	P-GSE28227-8	GSM698652.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28227/E-GEOD-28227.raw.1.zip	P-GSE28227-1	GSM698652_sample_table.txt norm	GSM698652_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28227/E-GEOD-28227.processed.1.zip	wild type	chitooctaose	1	micromolar
GSM698651 1	WT-chitooctaose-1	Gene expression data from WT whole seedlings after treatment with chitooctaose for 30 minutes.	WT treated with chitooctaose for 30 minutes	WT treated with chitooctaose, biological rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	14	day 	wild type	seedling	EFO	EFO_0001992	P-GSE28227-2	P-GSE28227-3	P-GSE28227-4	GSM698651 extract 1	total RNA	P-GSE28227-5	GSM698651 LE 1	biotin	P-GSE28227-6	GSM698651	A-AFFY-2	P-GSE28227-7	P-GSE28227-8	GSM698651.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28227/E-GEOD-28227.raw.1.zip	P-GSE28227-1	GSM698651_sample_table.txt norm	GSM698651_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28227/E-GEOD-28227.processed.1.zip	wild type	chitooctaose	1	micromolar
GSM698650 1	WT-water-3	Gene expression data from WT whole seedlings after treatment with water for 30 minutes.	WT treated with water for 30 minutes	WT treated with water, biological rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	14	day 	wild type	seedling	EFO	EFO_0001992	P-GSE28227-2	P-GSE28227-3	P-GSE28227-4	GSM698650 extract 1	total RNA	P-GSE28227-5	GSM698650 LE 1	biotin	P-GSE28227-6	GSM698650	A-AFFY-2	P-GSE28227-7	P-GSE28227-8	GSM698650.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28227/E-GEOD-28227.raw.1.zip	P-GSE28227-1	GSM698650_sample_table.txt norm	GSM698650_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28227/E-GEOD-28227.processed.1.zip	wild type	none	  	        
GSM698649 1	WT-water-2	Gene expression data from WT whole seedlings after treatment with water for 30 minutes.	WT treated with water for 30 minutes	WT treated with water, biological rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	14	day 	wild type	seedling	EFO	EFO_0001992	P-GSE28227-2	P-GSE28227-3	P-GSE28227-4	GSM698649 extract 1	total RNA	P-GSE28227-5	GSM698649 LE 1	biotin	P-GSE28227-6	GSM698649	A-AFFY-2	P-GSE28227-7	P-GSE28227-8	GSM698649.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28227/E-GEOD-28227.raw.1.zip	P-GSE28227-1	GSM698649_sample_table.txt norm	GSM698649_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28227/E-GEOD-28227.processed.1.zip	wild type	none	  	        
GSM698648 1	WT-water-1	Gene expression data from WT whole seedlings after treatment with water for 30 minutes.	WT treated with water for 30 minutes	WT treated with water, biological rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	14	day 	wild type	seedling	EFO	EFO_0001992	P-GSE28227-2	P-GSE28227-3	P-GSE28227-4	GSM698648 extract 1	total RNA	P-GSE28227-5	GSM698648 LE 1	biotin	P-GSE28227-6	GSM698648	A-AFFY-2	P-GSE28227-7	P-GSE28227-8	GSM698648.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28227/E-GEOD-28227.raw.1.zip	P-GSE28227-1	GSM698648_sample_table.txt norm	GSM698648_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28227/E-GEOD-28227.processed.1.zip	wild type	none	  	        
GSM698647 1	Mutant-chitooctaose-3	Gene expression data from erf5/6 whole seedlings after treatment with chitooctaose for 30 minutes.	erf5/6 mutant treated with chitooctaose for 30 minutes	Mutant treated with chitooctaose, biological rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	14	day 	erf5/6 double mutant 	seedling	EFO	EFO_0001992	P-GSE28227-2	P-GSE28227-3	P-GSE28227-4	GSM698647 extract 1	total RNA	P-GSE28227-5	GSM698647 LE 1	biotin	P-GSE28227-6	GSM698647	A-AFFY-2	P-GSE28227-7	P-GSE28227-8	GSM698647.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28227/E-GEOD-28227.raw.1.zip	P-GSE28227-1	GSM698647_sample_table.txt norm	GSM698647_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28227/E-GEOD-28227.processed.1.zip	erf5/6 double mutant 	chitooctaose	1	micromolar
GSM698646 1	Mutant-chitooctaose-2	Gene expression data from erf5/6 whole seedlings after treatment with chitooctaose for 30 minutes.	erf5/6 mutant treated with chitooctaose for 30 minutes	Mutant treated with chitooctaose, biological rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	14	day 	erf5/6 double mutant 	seedling	EFO	EFO_0001992	P-GSE28227-2	P-GSE28227-3	P-GSE28227-4	GSM698646 extract 1	total RNA	P-GSE28227-5	GSM698646 LE 1	biotin	P-GSE28227-6	GSM698646	A-AFFY-2	P-GSE28227-7	P-GSE28227-8	GSM698646.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28227/E-GEOD-28227.raw.1.zip	P-GSE28227-1	GSM698646_sample_table.txt norm	GSM698646_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28227/E-GEOD-28227.processed.1.zip	erf5/6 double mutant 	chitooctaose	1	micromolar
GSM698645 1	Mutant-chitooctaose-1	Gene expression data from erf5/6 whole seedlings after treatment with chitooctaose for 30 minutes.	erf5/6 mutant treated with chitooctaose for 30 minutes	Mutant treated with chitooctaose, biological rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	14	day 	erf5/6 double mutant 	seedling	EFO	EFO_0001992	P-GSE28227-2	P-GSE28227-3	P-GSE28227-4	GSM698645 extract 1	total RNA	P-GSE28227-5	GSM698645 LE 1	biotin	P-GSE28227-6	GSM698645	A-AFFY-2	P-GSE28227-7	P-GSE28227-8	GSM698645.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28227/E-GEOD-28227.raw.1.zip	P-GSE28227-1	GSM698645_sample_table.txt norm	GSM698645_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28227/E-GEOD-28227.processed.1.zip	erf5/6 double mutant 	chitooctaose	1	micromolar
GSM698644 1	Mutant-water-3	Gene expression data from erf5/6 whole seedlings after treatment with water for 30 minutes.	erf5/6 mutant treated with water for 30 minutes	Mutant treated with water, biological rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	14	day 	erf5/6 double mutant 	seedling	EFO	EFO_0001992	P-GSE28227-2	P-GSE28227-3	P-GSE28227-4	GSM698644 extract 1	total RNA	P-GSE28227-5	GSM698644 LE 1	biotin	P-GSE28227-6	GSM698644	A-AFFY-2	P-GSE28227-7	P-GSE28227-8	GSM698644.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28227/E-GEOD-28227.raw.1.zip	P-GSE28227-1	GSM698644_sample_table.txt norm	GSM698644_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28227/E-GEOD-28227.processed.1.zip	erf5/6 double mutant 	none	  	        
