Source Name	Comment [Sample_source_name]	Characteristics[organism]	Characteristics[developmental stage]	Characteristics[ecotype]	Characteristics[genotype]	Comment[stock code]	Characteristics[organism part]	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue[growth condition]
GSM712397 1	Landsberg erecta (Ler-0)	Arabidopsis thaliana	Boyes key 9.7	Landsberg erecta	wild type	NW20	seed	P-GSE28747-9	P-GSE28747-3	GSM712397 extract 1	total RNA	P-GSE28747-4	GSM712397 LE 1	biotin	P-GSE28747-5	GSM712397	A-AFFY-2	P-GSE28747-6	P-GSE28747-7	GSM712397.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28747/E-GEOD-28747.raw.1.zip	P-GSE28747-1	GSM712397_sample_table.txt norm	GSM712397_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28747/E-GEOD-28747.processed.1.zip	wild type	long 16h days at 20 degrees celsius followed by 10 degrees celsius after flowering until maturity
GSM712396 1	Landsberg erecta (Ler-0)	Arabidopsis thaliana	Boyes key 9.7	Landsberg erecta	wild type	NW20	seed	P-GSE28747-9	P-GSE28747-3	GSM712396 extract 1	total RNA	P-GSE28747-4	GSM712396 LE 1	biotin	P-GSE28747-5	GSM712396	A-AFFY-2	P-GSE28747-6	P-GSE28747-7	GSM712396.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28747/E-GEOD-28747.raw.1.zip	P-GSE28747-1	GSM712396_sample_table.txt norm	GSM712396_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28747/E-GEOD-28747.processed.1.zip	wild type	long 16h days at 20 degrees celsius followed by 10 degrees celsius after flowering until maturity
GSM712395 1	Landsberg erecta (Ler-0)	Arabidopsis thaliana	Boyes key 9.7	Landsberg erecta	wild type	NW20	seed	P-GSE28747-9	P-GSE28747-3	GSM712395 extract 1	total RNA	P-GSE28747-4	GSM712395 LE 1	biotin	P-GSE28747-5	GSM712395	A-AFFY-2	P-GSE28747-6	P-GSE28747-7	GSM712395.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28747/E-GEOD-28747.raw.1.zip	P-GSE28747-1	GSM712395_sample_table.txt norm	GSM712395_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28747/E-GEOD-28747.processed.1.zip	wild type	long 16h days at 20 degrees celsius followed by 10 degrees celsius after flowering until maturity
GSM712394 1	Landsberg erecta (Ler-0)	Arabidopsis thaliana	Boyes key 9.7	Landsberg erecta	wild type	NW20	seed	P-GSE28747-8	P-GSE28747-3	GSM712394 extract 1	total RNA	P-GSE28747-4	GSM712394 LE 1	biotin	P-GSE28747-5	GSM712394	A-AFFY-2	P-GSE28747-6	P-GSE28747-7	GSM712394.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28747/E-GEOD-28747.raw.1.zip	P-GSE28747-1	GSM712394_sample_table.txt norm	GSM712394_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28747/E-GEOD-28747.processed.1.zip	wild type	short 8h days at 20 degrees celsius
GSM712393 1	Landsberg erecta (Ler-0)	Arabidopsis thaliana	Boyes key 9.7	Landsberg erecta	wild type	NW20	seed	P-GSE28747-8	P-GSE28747-3	GSM712393 extract 1	total RNA	P-GSE28747-4	GSM712393 LE 1	biotin	P-GSE28747-5	GSM712393	A-AFFY-2	P-GSE28747-6	P-GSE28747-7	GSM712393.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28747/E-GEOD-28747.raw.1.zip	P-GSE28747-1	GSM712393_sample_table.txt norm	GSM712393_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28747/E-GEOD-28747.processed.1.zip	wild type	short 8h days at 20 degrees celsius
GSM712392 1	Landsberg erecta (Ler-0)	Arabidopsis thaliana	Boyes key 9.7	Landsberg erecta	wild type	NW20	seed	P-GSE28747-8	P-GSE28747-3	GSM712392 extract 1	total RNA	P-GSE28747-4	GSM712392 LE 1	biotin	P-GSE28747-5	GSM712392	A-AFFY-2	P-GSE28747-6	P-GSE28747-7	GSM712392.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28747/E-GEOD-28747.raw.1.zip	P-GSE28747-1	GSM712392_sample_table.txt norm	GSM712392_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28747/E-GEOD-28747.processed.1.zip	wild type	short 8h days at 20 degrees celsius
GSM712391 1	Glabra	Arabidopsis thaliana	Boyes key 9.7	Landsberg erecta	ft-1 mutant	N65	seed	P-GSE28747-2	P-GSE28747-3	GSM712391 extract 1	total RNA	P-GSE28747-4	GSM712391 LE 1	biotin	P-GSE28747-5	GSM712391	A-AFFY-2	P-GSE28747-6	P-GSE28747-7	GSM712391.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28747/E-GEOD-28747.raw.1.zip	P-GSE28747-1	GSM712391_sample_table.txt norm	GSM712391_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28747/E-GEOD-28747.processed.1.zip	ft-1 mutant	long 16h days at 20 degrees celsius
GSM712390 1	Glabra	Arabidopsis thaliana	Boyes key 9.7	Landsberg erecta	ft-1 mutant	N65	seed	P-GSE28747-2	P-GSE28747-3	GSM712390 extract 1	total RNA	P-GSE28747-4	GSM712390 LE 1	biotin	P-GSE28747-5	GSM712390	A-AFFY-2	P-GSE28747-6	P-GSE28747-7	GSM712390.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28747/E-GEOD-28747.raw.1.zip	P-GSE28747-1	GSM712390_sample_table.txt norm	GSM712390_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28747/E-GEOD-28747.processed.1.zip	ft-1 mutant	long 16h days at 20 degrees celsius
GSM712389 1	Glabra	Arabidopsis thaliana	Boyes key 9.7	Landsberg erecta	ft-1 mutant	N65	seed	P-GSE28747-2	P-GSE28747-3	GSM712389 extract 1	total RNA	P-GSE28747-4	GSM712389 LE 1	biotin	P-GSE28747-5	GSM712389	A-AFFY-2	P-GSE28747-6	P-GSE28747-7	GSM712389.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28747/E-GEOD-28747.raw.1.zip	P-GSE28747-1	GSM712389_sample_table.txt norm	GSM712389_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28747/E-GEOD-28747.processed.1.zip	ft-1 mutant	long 16h days at 20 degrees celsius
GSM712388 1	Landsberg erecta (Ler-0)	Arabidopsis thaliana	Boyes key 9.7	Landsberg erecta	wild type	NW20	seed	P-GSE28747-2	P-GSE28747-3	GSM712388 extract 1	total RNA	P-GSE28747-4	GSM712388 LE 1	biotin	P-GSE28747-5	GSM712388	A-AFFY-2	P-GSE28747-6	P-GSE28747-7	GSM712388.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28747/E-GEOD-28747.raw.1.zip	P-GSE28747-1	GSM712388_sample_table.txt norm	GSM712388_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28747/E-GEOD-28747.processed.1.zip	wild type	long 16h days at 20 degrees celsius
