Source Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics[age]	Unit[time unit]	Characteristics[organism part]	Comment [Sample_description]	Comment [Sample_description]	Comment [Sample_source_name]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [ecotype]	FactorValue [growth condition]	FactorValue [time]	Unit[time unit]
GSM720641 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Kas-1	30	day	root	BrW_ATH1_121410_24_KmR48.CEL	Gene expression data from roots after 48h in -Fe solution	Arabidopsis Kas-1 roots after 48h in -Fe nutrient solution	P-GSE29086-2	P-GSE29086-3	P-GSE29086-4	GSM720641 extract 1	total RNA	P-GSE29086-5	GSM720641 LE 1	biotin	P-GSE29086-6	GSM720641	A-AFFY-2	P-GSE29086-7	P-GSE29086-8	GSM720641.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29086/E-GEOD-29086.raw.1.zip	P-GSE29086-1	GSM720641_sample_table.txt norm	GSM720641_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29086/E-GEOD-29086.processed.1.zip	Kas-1	complete solution minus iron	48	hour
GSM720640 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Kas-1	30	day	root	BrW_ATH1_121410_23_KmR48.CEL	Gene expression data from roots after 48h in -Fe solution	Arabidopsis Kas-1 roots after 48h in -Fe nutrient solution	P-GSE29086-2	P-GSE29086-3	P-GSE29086-4	GSM720640 extract 1	total RNA	P-GSE29086-5	GSM720640 LE 1	biotin	P-GSE29086-6	GSM720640	A-AFFY-2	P-GSE29086-7	P-GSE29086-8	GSM720640.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29086/E-GEOD-29086.raw.1.zip	P-GSE29086-1	GSM720640_sample_table.txt norm	GSM720640_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29086/E-GEOD-29086.processed.1.zip	Kas-1	complete solution minus iron	48	hour
GSM720639 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Kas-1	30	day	root	BrW_ATH1_121410_22_KmR48.CEL	Gene expression data from roots after 48h in -Fe solution	Arabidopsis Kas-1 roots after 48h in -Fe nutrient solution	P-GSE29086-2	P-GSE29086-3	P-GSE29086-4	GSM720639 extract 1	total RNA	P-GSE29086-5	GSM720639 LE 1	biotin	P-GSE29086-6	GSM720639	A-AFFY-2	P-GSE29086-7	P-GSE29086-8	GSM720639.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29086/E-GEOD-29086.raw.1.zip	P-GSE29086-1	GSM720639_sample_table.txt norm	GSM720639_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29086/E-GEOD-29086.processed.1.zip	Kas-1	complete solution minus iron	48	hour
GSM720638 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Kas-1	30	day	root	BrW_ATH1_121410_18_KmR24.CEL	Gene expression data from roots after 24h in -Fe solution	Arabidopsis Kas-1 roots after 24h in -Fe nutrient solution	P-GSE29086-2	P-GSE29086-3	P-GSE29086-4	GSM720638 extract 1	total RNA	P-GSE29086-5	GSM720638 LE 1	biotin	P-GSE29086-6	GSM720638	A-AFFY-2	P-GSE29086-7	P-GSE29086-8	GSM720638.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29086/E-GEOD-29086.raw.1.zip	P-GSE29086-1	GSM720638_sample_table.txt norm	GSM720638_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29086/E-GEOD-29086.processed.1.zip	Kas-1	complete solution minus iron	24	hour
GSM720637 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Kas-1	30	day	root	BrW_ATH1_121410_17_KmR24.CEL	Gene expression data from roots after 24h in -Fe solution	Arabidopsis Kas-1 roots after 24h in -Fe nutrient solution	P-GSE29086-2	P-GSE29086-3	P-GSE29086-4	GSM720637 extract 1	total RNA	P-GSE29086-5	GSM720637 LE 1	biotin	P-GSE29086-6	GSM720637	A-AFFY-2	P-GSE29086-7	P-GSE29086-8	GSM720637.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29086/E-GEOD-29086.raw.1.zip	P-GSE29086-1	GSM720637_sample_table.txt norm	GSM720637_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29086/E-GEOD-29086.processed.1.zip	Kas-1	complete solution minus iron	24	hour
GSM720636 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Kas-1	30	day	root	BrW_ATH1_121410_16_KmR24.CEL	Gene expression data from roots after 24h in -Fe solution	Arabidopsis Kas-1 roots after 24h in -Fe nutrient solution	P-GSE29086-2	P-GSE29086-3	P-GSE29086-4	GSM720636 extract 1	total RNA	P-GSE29086-5	GSM720636 LE 1	biotin	P-GSE29086-6	GSM720636	A-AFFY-2	P-GSE29086-7	P-GSE29086-8	GSM720636.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29086/E-GEOD-29086.raw.1.zip	P-GSE29086-1	GSM720636_sample_table.txt norm	GSM720636_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29086/E-GEOD-29086.processed.1.zip	Kas-1	complete solution minus iron	24	hour
GSM720635 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Kas-1	30	day	root	BrW_ATH1_121410_15_KpR24.CEL	Gene expression data from roots after 24h in complete solution	Arabidopsis Kas-1 roots after 24h in complete nutrient solution	P-GSE29086-2	P-GSE29086-3	P-GSE29086-4	GSM720635 extract 1	total RNA	P-GSE29086-5	GSM720635 LE 1	biotin	P-GSE29086-6	GSM720635	A-AFFY-2	P-GSE29086-7	P-GSE29086-8	GSM720635.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29086/E-GEOD-29086.raw.1.zip	P-GSE29086-1	GSM720635_sample_table.txt norm	GSM720635_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29086/E-GEOD-29086.processed.1.zip	Kas-1	complete solution	24	hour
GSM720634 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Kas-1	30	day	root	BrW_ATH1_121410_14_KpR24.CEL	Gene expression data from roots after 24h in complete solution	Arabidopsis Kas-1 roots after 24h in complete nutrient solution	P-GSE29086-2	P-GSE29086-3	P-GSE29086-4	GSM720634 extract 1	total RNA	P-GSE29086-5	GSM720634 LE 1	biotin	P-GSE29086-6	GSM720634	A-AFFY-2	P-GSE29086-7	P-GSE29086-8	GSM720634.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29086/E-GEOD-29086.raw.1.zip	P-GSE29086-1	GSM720634_sample_table.txt norm	GSM720634_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29086/E-GEOD-29086.processed.1.zip	Kas-1	complete solution	24	hour
GSM720633 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Kas-1	30	day	root	BrW_ATH1_121410_13_KpR24.CEL	Gene expression data from roots after 24h in complete solution	Arabidopsis Kas-1 roots after 24h in complete nutrient solution	P-GSE29086-2	P-GSE29086-3	P-GSE29086-4	GSM720633 extract 1	total RNA	P-GSE29086-5	GSM720633 LE 1	biotin	P-GSE29086-6	GSM720633	A-AFFY-2	P-GSE29086-7	P-GSE29086-8	GSM720633.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29086/E-GEOD-29086.raw.1.zip	P-GSE29086-1	GSM720633_sample_table.txt norm	GSM720633_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29086/E-GEOD-29086.processed.1.zip	Kas-1	complete solution	24	hour
GSM720632 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Tsu-1	30	day	root	BrW_ATH1_121410_12_TmR48.CEL	Gene expression data from roots after 48h in -Fe solution	Arabidopsis Tsu-1 roots after 48h in -Fe nutrient solution	P-GSE29086-2	P-GSE29086-3	P-GSE29086-4	GSM720632 extract 1	total RNA	P-GSE29086-5	GSM720632 LE 1	biotin	P-GSE29086-6	GSM720632	A-AFFY-2	P-GSE29086-7	P-GSE29086-8	GSM720632.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29086/E-GEOD-29086.raw.1.zip	P-GSE29086-1	GSM720632_sample_table.txt norm	GSM720632_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29086/E-GEOD-29086.processed.1.zip	Tsu-1	complete solution minus iron	48	hour
