Source Name	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[specimen with known storage state]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[organism part]	Characteristics[age]	Unit[time unit]	Characteristics[ecotype]	Characteristics[genotype]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [growth condition]	FactorValue[genotype]
GSM722209 1	whole_rosette	amiRAP_hypoxic_rep3	Francesco Licausi	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette	5	week	Columbia-0	35S::amiRAP2.2-12	P-GSE29187-9	P-GSE29187-3	P-GSE29187-4	GSM722209 extract 1	total RNA	P-GSE29187-5	GSM722209 LE 1	Biotin	P-GSE29187-6	GSM722209	A-AFFY-2	P-GSE29187-7	P-GSE29187-8	GSM722209.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29187/E-GEOD-29187.raw.1.zip	P-GSE29187-1	GSM722209_sample_table.txt norm	GSM722209_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29187/E-GEOD-29187.processed.1.zip	hypoxia	35S::amiRAP2.2-12
GSM722208 1	whole_rosette	amiRAP_hypoxic_rep2	Francesco Licausi	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette	5	week	Columbia-0	35S::amiRAP2.2-12	P-GSE29187-9	P-GSE29187-3	P-GSE29187-4	GSM722208 extract 1	total RNA	P-GSE29187-5	GSM722208 LE 1	Biotin	P-GSE29187-6	GSM722208	A-AFFY-2	P-GSE29187-7	P-GSE29187-8	GSM722208.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29187/E-GEOD-29187.raw.1.zip	P-GSE29187-1	GSM722208_sample_table.txt norm	GSM722208_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29187/E-GEOD-29187.processed.1.zip	hypoxia	35S::amiRAP2.2-12
GSM722207 1	whole_rosette	amiRAP_hypoxic_rep1	Francesco Licausi	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette	5	week	Columbia-0	35S::amiRAP2.2-12	P-GSE29187-9	P-GSE29187-3	P-GSE29187-4	GSM722207 extract 1	total RNA	P-GSE29187-5	GSM722207 LE 1	Biotin	P-GSE29187-6	GSM722207	A-AFFY-2	P-GSE29187-7	P-GSE29187-8	GSM722207.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29187/E-GEOD-29187.raw.1.zip	P-GSE29187-1	GSM722207_sample_table.txt norm	GSM722207_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29187/E-GEOD-29187.processed.1.zip	hypoxia	35S::amiRAP2.2-12
GSM722206 1	whole_rosette	amiRAP_aerobic_rep3	Francesco Licausi	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette	5	week	Columbia-0	35S::amiRAP2.2-12	P-GSE29187-2	P-GSE29187-3	P-GSE29187-4	GSM722206 extract 1	total RNA	P-GSE29187-5	GSM722206 LE 1	Biotin	P-GSE29187-6	GSM722206	A-AFFY-2	P-GSE29187-7	P-GSE29187-8	GSM722206.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29187/E-GEOD-29187.raw.1.zip	P-GSE29187-1	GSM722206_sample_table.txt norm	GSM722206_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29187/E-GEOD-29187.processed.1.zip	aerobic	35S::amiRAP2.2-12
GSM722205 1	whole_rosette	amiRAP_aerobic_rep2	Francesco Licausi	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette	5	week	Columbia-0	35S::amiRAP2.2-12	P-GSE29187-2	P-GSE29187-3	P-GSE29187-4	GSM722205 extract 1	total RNA	P-GSE29187-5	GSM722205 LE 1	Biotin	P-GSE29187-6	GSM722205	A-AFFY-2	P-GSE29187-7	P-GSE29187-8	GSM722205.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29187/E-GEOD-29187.raw.1.zip	P-GSE29187-1	GSM722205_sample_table.txt norm	GSM722205_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29187/E-GEOD-29187.processed.1.zip	aerobic	35S::amiRAP2.2-12
GSM722204 1	whole_rosette	amiRAP_aerobic_rep1	Francesco Licausi	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette	5	week	Columbia-0	35S::amiRAP2.2-12	P-GSE29187-2	P-GSE29187-3	P-GSE29187-4	GSM722204 extract 1	total RNA	P-GSE29187-5	GSM722204 LE 1	Biotin	P-GSE29187-6	GSM722204	A-AFFY-2	P-GSE29187-7	P-GSE29187-8	GSM722204.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29187/E-GEOD-29187.raw.1.zip	P-GSE29187-1	GSM722204_sample_table.txt norm	GSM722204_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29187/E-GEOD-29187.processed.1.zip	aerobic	35S::amiRAP2.2-12
GSM722175 1	whole_rosette	HARAP_hypoxic_rep3	Francesco Licausi	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette	5	week	Columbia-0	35S::HA::RAP2.12	P-GSE29187-9	P-GSE29187-3	P-GSE29187-4	GSM722175 extract 1	total RNA	P-GSE29187-5	GSM722175 LE 1	Biotin	P-GSE29187-6	GSM722175	A-AFFY-2	P-GSE29187-7	P-GSE29187-8	GSM722175.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29187/E-GEOD-29187.raw.1.zip	P-GSE29187-1	GSM722175_sample_table.txt norm	GSM722175_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29187/E-GEOD-29187.processed.1.zip	hypoxia	35S::HA::RAP2.12
GSM722174 1	whole_rosette	HARAP_hypoxic_rep2	Francesco Licausi	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette	5	week	Columbia-0	35S::HA::RAP2.12	P-GSE29187-9	P-GSE29187-3	P-GSE29187-4	GSM722174 extract 1	total RNA	P-GSE29187-5	GSM722174 LE 1	Biotin	P-GSE29187-6	GSM722174	A-AFFY-2	P-GSE29187-7	P-GSE29187-8	GSM722174.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29187/E-GEOD-29187.raw.1.zip	P-GSE29187-1	GSM722174_sample_table.txt norm	GSM722174_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29187/E-GEOD-29187.processed.1.zip	hypoxia	35S::HA::RAP2.12
GSM722131 1	whole_rosette	HARAP_hypoxic_rep1	Francesco Licausi	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette	5	week	Columbia-0	35S::HA::RAP2.12	P-GSE29187-9	P-GSE29187-3	P-GSE29187-4	GSM722131 extract 1	total RNA	P-GSE29187-5	GSM722131 LE 1	Biotin	P-GSE29187-6	GSM722131	A-AFFY-2	P-GSE29187-7	P-GSE29187-8	GSM722131.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29187/E-GEOD-29187.raw.1.zip	P-GSE29187-1	GSM722131_sample_table.txt norm	GSM722131_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29187/E-GEOD-29187.processed.1.zip	hypoxia	35S::HA::RAP2.12
GSM722130 1	whole_rosette	HARAP_aerobic_rep3	Francesco Licausi	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette	5	week	Columbia-0	35S::HA::RAP2.12	P-GSE29187-2	P-GSE29187-3	P-GSE29187-4	GSM722130 extract 1	total RNA	P-GSE29187-5	GSM722130 LE 1	Biotin	P-GSE29187-6	GSM722130	A-AFFY-2	P-GSE29187-7	P-GSE29187-8	GSM722130.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29187/E-GEOD-29187.raw.1.zip	P-GSE29187-1	GSM722130_sample_table.txt norm	GSM722130_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29187/E-GEOD-29187.processed.1.zip	aerobic	35S::HA::RAP2.12
