Source Name	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[biological replicate]	Characteristics[genotype]	Characteristics[organism part]	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [BIOLOGICAL REPLICATE]	FactorValue [ORGANISM PART]	FactorValue [TREATMENT]
GSM731494 1	aerial organ explants, callus induction, 96 h	aerial organ explants, incubated on callus inducing medium, 96 h, replicate 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	3 of three	Columbia-0, wild-type	aerial organ explants	P-GSE29543-9	P-GSE29543-4	GSM731494 extract 1	total RNA	P-GSE29543-5	GSM731494 LE 1	biotin	P-GSE29543-6	GSM731494	A-AFFY-2	  	P-GSE29543-7	P-GSE29543-8	GSM731494_CB2009176_xcy3_5a.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.raw.1.zip	P-GSE29543-1	GSM731494_sample_table.txt norm	GSM731494_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.processed.1.zip	3 of three	aerial organ explants	96 hours after incubating on callus inducing medium
GSM731489 1	aerial organ explants, callus induction, 96 h	aerial organ explants, incubated on callus inducing medium, 96 h, replicate 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2 of three	Columbia-0, wild-type	aerial organ explants	P-GSE29543-9	P-GSE29543-4	GSM731489 extract 1	total RNA	P-GSE29543-5	GSM731489 LE 1	biotin	P-GSE29543-6	GSM731489	A-AFFY-2	  	P-GSE29543-7	P-GSE29543-8	GSM731489_CB2009176_xcy2_5a.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.raw.1.zip	P-GSE29543-1	GSM731489_sample_table.txt norm	GSM731489_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.processed.1.zip	2 of three	aerial organ explants	96 hours after incubating on callus inducing medium
GSM731486 1	aerial organ explants, callus induction, 96 h	aerial organ explants, incubated on callus inducing medium, 96 h, replicate 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	1 of three	Columbia-0, wild-type	aerial organ explants	P-GSE29543-9	P-GSE29543-4	GSM731486 extract 1	total RNA	P-GSE29543-5	GSM731486 LE 1	biotin	P-GSE29543-6	GSM731486	A-AFFY-2	  	P-GSE29543-7	P-GSE29543-8	GSM731486_CB2009176_xcy1_5a.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.raw.1.zip	P-GSE29543-1	GSM731486_sample_table.txt norm	GSM731486_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.processed.1.zip	1 of three	aerial organ explants	96 hours after incubating on callus inducing medium
GSM731485 1	aerial organ explants, callus induction, 48 h	aerial organ explants, incubated on callus inducing medium, 48 h, replicate 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	3 of three	Columbia-0, wild-type	aerial organ explants	P-GSE29543-9	P-GSE29543-4	GSM731485 extract 1	total RNA	P-GSE29543-5	GSM731485 LE 1	biotin	P-GSE29543-6	GSM731485	A-AFFY-2	  	P-GSE29543-7	P-GSE29543-8	GSM731485_CB2009176_xcy3_4a.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.raw.1.zip	P-GSE29543-1	GSM731485_sample_table.txt norm	GSM731485_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.processed.1.zip	3 of three	aerial organ explants	48 hours after incubating on callus inducing medium
GSM731484 1	aerial organ explants, callus induction, 48 h	aerial organ explants, incubated on callus inducing medium, 48 h, replicate 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2 of three	Columbia-0, wild-type	aerial organ explants	P-GSE29543-9	P-GSE29543-4	GSM731484 extract 1	total RNA	P-GSE29543-5	GSM731484 LE 1	biotin	P-GSE29543-6	GSM731484	A-AFFY-2	  	P-GSE29543-7	P-GSE29543-8	GSM731484_CB2009176_xcy2_4a.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.raw.1.zip	P-GSE29543-1	GSM731484_sample_table.txt norm	GSM731484_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.processed.1.zip	2 of three	aerial organ explants	48 hours after incubating on callus inducing medium
GSM731481 1	aerial organ explants, callus induction, 48 h	aerial organ explants, incubated on callus inducing medium, 48 h, replicate 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	1 of three	Columbia-0, wild-type	aerial organ explants	P-GSE29543-9	P-GSE29543-4	GSM731481 extract 1	total RNA	P-GSE29543-5	GSM731481 LE 1	biotin	P-GSE29543-6	GSM731481	A-AFFY-2	  	P-GSE29543-7	P-GSE29543-8	GSM731481_CB2009176_xcy1_4a.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.raw.1.zip	P-GSE29543-1	GSM731481_sample_table.txt norm	GSM731481_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.processed.1.zip	1 of three	aerial organ explants	48 hours after incubating on callus inducing medium
GSM731476 1	aerial organ explants, callus induction, 24 h	aerial organ explants, incubated on callus inducing medium, 24 h, replicate 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	3 of three	Columbia-0, wild-type	aerial organ explants	P-GSE29543-9	P-GSE29543-4	GSM731476 extract 1	total RNA	P-GSE29543-5	GSM731476 LE 1	biotin	P-GSE29543-6	GSM731476	A-AFFY-2	  	P-GSE29543-7	P-GSE29543-8	GSM731476_CB2009176_xcy3_3a.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.raw.1.zip	P-GSE29543-1	GSM731476_sample_table.txt norm	GSM731476_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.processed.1.zip	3 of three	aerial organ explants	24 hours after incubating on callus inducing medium
GSM731473 1	aerial organ explants, callus induction, 24 h	aerial organ explants, incubated on callus inducing medium, 24 h, replicate 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2 of three	Columbia-0, wild-type	aerial organ explants	P-GSE29543-9	P-GSE29543-4	GSM731473 extract 1	total RNA	P-GSE29543-5	GSM731473 LE 1	biotin	P-GSE29543-6	GSM731473	A-AFFY-2	  	P-GSE29543-7	P-GSE29543-8	GSM731473_CB2009176_xcy2_3a.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.raw.1.zip	P-GSE29543-1	GSM731473_sample_table.txt norm	GSM731473_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.processed.1.zip	2 of three	aerial organ explants	24 hours after incubating on callus inducing medium
GSM731466 1	aerial organ explants, callus induction, 24 h	aerial organ explants, incubated on callus inducing medium, 24 h, replicate 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	1 of three	Columbia-0, wild-type	aerial organ explants	P-GSE29543-9	P-GSE29543-4	GSM731466 extract 1	total RNA	P-GSE29543-5	GSM731466 LE 1	biotin	P-GSE29543-6	GSM731466	A-AFFY-2	  	P-GSE29543-7	P-GSE29543-8	GSM731466_CB2009176_xcy1_3a.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.raw.1.zip	P-GSE29543-1	GSM731466_sample_table.txt norm	GSM731466_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.processed.1.zip	1 of three	aerial organ explants	24 hours after incubating on callus inducing medium
GSM731465 1	aerial organ explants, callus induction, 12 h	aerial organ explants, incubated on callus inducing medium, 12 h, replicate 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	3 of three	Columbia-0, wild-type	aerial organ explants	P-GSE29543-9	P-GSE29543-4	GSM731465 extract 1	total RNA	P-GSE29543-5	GSM731465 LE 1	biotin	P-GSE29543-6	GSM731465	A-AFFY-2	  	P-GSE29543-7	P-GSE29543-8	GSM731465_CB2009176_xcy3_2a.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.raw.1.zip	P-GSE29543-1	GSM731465_sample_table.txt norm	GSM731465_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.processed.1.zip	3 of three	aerial organ explants	12 hours after incubating on callus inducing medium
