Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[OrganismPart]	Characteristics[Ecotype]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue[GROWTH CONDITION]	FactorValue[TREATMENT TIME]	Unit[TimeUnit]
GSM744811 1	Expression analysis of roots transferred to sulfur deficient media for 72H	whole roots transferred to sulfur deficient media, 72H	Whole root - S_72H_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Columbia	P-GSE30098-2	P-GSE30098-3	P-GSE30098-4	GSM744811 extract 1	total RNA	P-GSE30098-5	GSM744811 LE 1	biotin	P-GSE30098-6	GSM744811	A-AFFY-2	P-GSE30098-7	P-GSE30098-8	GSM744811.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30098/E-GEOD-30098.raw.1.zip	P-GSE30098-1	GSM744811_sample_table.txt norm	GSM744811_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30098/E-GEOD-30098.processed.1.zip	sulfur deficient media	72	hours
GSM744810 1	Expression analysis of roots transferred to sulfur deficient media for 72H	whole roots transferred to sulfur deficient media, 72H	Whole root - S_72H_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Columbia	P-GSE30098-2	P-GSE30098-3	P-GSE30098-4	GSM744810 extract 1	total RNA	P-GSE30098-5	GSM744810 LE 1	biotin	P-GSE30098-6	GSM744810	A-AFFY-2	P-GSE30098-7	P-GSE30098-8	GSM744810.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30098/E-GEOD-30098.raw.1.zip	P-GSE30098-1	GSM744810_sample_table.txt norm	GSM744810_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30098/E-GEOD-30098.processed.1.zip	sulfur deficient media	72	hours
GSM744809 1	Expression analysis of roots transferred to sulfur deficient media for 48H	whole roots transferred to sulfur deficient media, 48H	Whole root - S_48H_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Columbia	P-GSE30098-2	P-GSE30098-3	P-GSE30098-4	GSM744809 extract 1	total RNA	P-GSE30098-5	GSM744809 LE 1	biotin	P-GSE30098-6	GSM744809	A-AFFY-2	P-GSE30098-7	P-GSE30098-8	GSM744809.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30098/E-GEOD-30098.raw.1.zip	P-GSE30098-1	GSM744809_sample_table.txt norm	GSM744809_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30098/E-GEOD-30098.processed.1.zip	sulfur deficient media	48	hours
GSM744808 1	Expression analysis of roots transferred to sulfur deficient media for 48H	whole roots transferred to sulfur deficient media, 48H	Whole root - S_48H_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Columbia	P-GSE30098-2	P-GSE30098-3	P-GSE30098-4	GSM744808 extract 1	total RNA	P-GSE30098-5	GSM744808 LE 1	biotin	P-GSE30098-6	GSM744808	A-AFFY-2	P-GSE30098-7	P-GSE30098-8	GSM744808.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30098/E-GEOD-30098.raw.1.zip	P-GSE30098-1	GSM744808_sample_table.txt norm	GSM744808_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30098/E-GEOD-30098.processed.1.zip	sulfur deficient media	48	hours
GSM744807 1	Expression analysis of roots transferred to sulfur deficient media for 24H	whole roots transferred to sulfur deficient media, 24H	Whole root - S_24H_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Columbia	P-GSE30098-2	P-GSE30098-3	P-GSE30098-4	GSM744807 extract 1	total RNA	P-GSE30098-5	GSM744807 LE 1	biotin	P-GSE30098-6	GSM744807	A-AFFY-2	P-GSE30098-7	P-GSE30098-8	GSM744807.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30098/E-GEOD-30098.raw.1.zip	P-GSE30098-1	GSM744807_sample_table.txt norm	GSM744807_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30098/E-GEOD-30098.processed.1.zip	sulfur deficient media	24	hours
GSM744806 1	Expression analysis of roots transferred to sulfur deficient media for 24H	whole roots transferred to sulfur deficient media, 24H	Whole root - S_24H_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Columbia	P-GSE30098-2	P-GSE30098-3	P-GSE30098-4	GSM744806 extract 1	total RNA	P-GSE30098-5	GSM744806 LE 1	biotin	P-GSE30098-6	GSM744806	A-AFFY-2	P-GSE30098-7	P-GSE30098-8	GSM744806.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30098/E-GEOD-30098.raw.1.zip	P-GSE30098-1	GSM744806_sample_table.txt norm	GSM744806_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30098/E-GEOD-30098.processed.1.zip	sulfur deficient media	24	hours
GSM744805 1	Expression analysis of roots transferred to sulfur deficient media for 12H	whole roots transferred to sulfur deficient media, 12H	Whole root - S_12H_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Columbia	P-GSE30098-2	P-GSE30098-3	P-GSE30098-4	GSM744805 extract 1	total RNA	P-GSE30098-5	GSM744805 LE 1	biotin	P-GSE30098-6	GSM744805	A-AFFY-2	P-GSE30098-7	P-GSE30098-8	GSM744805.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30098/E-GEOD-30098.raw.1.zip	P-GSE30098-1	GSM744805_sample_table.txt norm	GSM744805_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30098/E-GEOD-30098.processed.1.zip	sulfur deficient media	12	hours
GSM744804 1	Expression analysis of roots transferred to sulfur deficient media for 12H	whole roots transferred to sulfur deficient media, 12H	Whole root - S_12H_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Columbia	P-GSE30098-2	P-GSE30098-3	P-GSE30098-4	GSM744804 extract 1	total RNA	P-GSE30098-5	GSM744804 LE 1	biotin	P-GSE30098-6	GSM744804	A-AFFY-2	P-GSE30098-7	P-GSE30098-8	GSM744804.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30098/E-GEOD-30098.raw.1.zip	P-GSE30098-1	GSM744804_sample_table.txt norm	GSM744804_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30098/E-GEOD-30098.processed.1.zip	sulfur deficient media	12	hours
GSM744803 1	Expression analysis of roots transferred to sulfur deficient media for 3H	whole roots transferred to sulfur deficient media, 3H	Whole root - S_3H_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Columbia	P-GSE30098-2	P-GSE30098-3	P-GSE30098-4	GSM744803 extract 1	total RNA	P-GSE30098-5	GSM744803 LE 1	biotin	P-GSE30098-6	GSM744803	A-AFFY-2	P-GSE30098-7	P-GSE30098-8	GSM744803.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30098/E-GEOD-30098.raw.1.zip	P-GSE30098-1	GSM744803_sample_table.txt norm	GSM744803_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30098/E-GEOD-30098.processed.1.zip	sulfur deficient media	3	hours
GSM744802 1	Expression analysis of roots transferred to sulfur deficient media for 3H	whole roots transferred to sulfur deficient media, 3H	Whole root - S_3H_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Columbia	P-GSE30098-2	P-GSE30098-3	P-GSE30098-4	GSM744802 extract 1	total RNA	P-GSE30098-5	GSM744802 LE 1	biotin	P-GSE30098-6	GSM744802	A-AFFY-2	P-GSE30098-7	P-GSE30098-8	GSM744802.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30098/E-GEOD-30098.raw.1.zip	P-GSE30098-1	GSM744802_sample_table.txt norm	GSM744802_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30098/E-GEOD-30098.processed.1.zip	sulfur deficient media	3	hours
GSM744801 1	Expression analysis of roots transferred to fresh MS (i.e. 0H)	whole roots transferred to std media, 0H	Whole root - S_0H_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Columbia	P-GSE30098-2	P-GSE30098-3	P-GSE30098-4	GSM744801 extract 1	total RNA	P-GSE30098-5	GSM744801 LE 1	biotin	P-GSE30098-6	GSM744801	A-AFFY-2	P-GSE30098-7	P-GSE30098-8	GSM744801.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30098/E-GEOD-30098.raw.1.zip	P-GSE30098-1	GSM744801_sample_table.txt norm	GSM744801_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30098/E-GEOD-30098.processed.1.zip	standard media	0	hours
GSM744800 1	Expression analysis of roots transferred to fresh MS (i.e. 0H)	whole roots transferred to std media, 0H	Whole root - S_0H_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Columbia	P-GSE30098-2	P-GSE30098-3	P-GSE30098-4	GSM744800 extract 1	total RNA	P-GSE30098-5	GSM744800 LE 1	biotin	P-GSE30098-6	GSM744800	A-AFFY-2	P-GSE30098-7	P-GSE30098-8	GSM744800.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30098/E-GEOD-30098.raw.1.zip	P-GSE30098-1	GSM744800_sample_table.txt norm	GSM744800_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30098/E-GEOD-30098.processed.1.zip	standard media	0	hours
