Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics[organism part]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue[growth condition]
GSM748468 1	Gene expression data from freshly harvested seed	Arabidopsis seed freshly harvested (H)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seed	P-GSE30223-2	P-GSE30223-3	P-GSE30223-4	GSM748468 extract 1	total RNA	P-GSE30223-5	GSM748468 LE 1	Biotin	P-GSE30223-6	GSM748468	A-AFFY-2	P-GSE30223-7	P-GSE30223-8	GSM748468_Har_rep_3_Arab.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.raw.1.zip	P-GSE30223-1	GSM748468_sample_table.txt norm	GSM748468_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.processed.1.zip	freshly harvested seed (H)
GSM748467 1	Gene expression data from freshly harvested seed	Arabidopsis seed freshly harvested (H)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seed	P-GSE30223-2	P-GSE30223-3	P-GSE30223-4	GSM748467 extract 1	total RNA	P-GSE30223-5	GSM748467 LE 1	Biotin	P-GSE30223-6	GSM748467	A-AFFY-2	P-GSE30223-7	P-GSE30223-8	GSM748467_Har_rep_2_Arab.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.raw.1.zip	P-GSE30223-1	GSM748467_sample_table.txt norm	GSM748467_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.processed.1.zip	freshly harvested seed (H)
GSM748466 1	Gene expression data from freshly harvested seed	Arabidopsis seed freshly harvested (H)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seed	P-GSE30223-2	P-GSE30223-3	P-GSE30223-4	GSM748466 extract 1	total RNA	P-GSE30223-5	GSM748466 LE 1	Biotin	P-GSE30223-6	GSM748466	A-AFFY-2	P-GSE30223-7	P-GSE30223-8	GSM748466_Har_rep_1_Arab.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.raw.1.zip	P-GSE30223-1	GSM748466_sample_table.txt norm	GSM748466_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.processed.1.zip	freshly harvested seed (H)
GSM748471 1	Gene expression data from dry seed	Arabidopsis dry seed (0 h)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seed	P-GSE30223-2	P-GSE30223-3	P-GSE30223-4	GSM748471 extract 1	total RNA	P-GSE30223-5	GSM748471 LE 1	Biotin	P-GSE30223-6	GSM748471	A-AFFY-2	P-GSE30223-7	P-GSE30223-8	GSM748471_0_h_dry_rep_3_Arab.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.raw.1.zip	P-GSE30223-1	GSM748471_sample_table.txt norm	GSM748471_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.processed.1.zip	seed following 15 days of ripening (0 h)
GSM748470 1	Gene expression data from dry seed	Arabidopsis dry seed (0 h)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seed	P-GSE30223-2	P-GSE30223-3	P-GSE30223-4	GSM748470 extract 1	total RNA	P-GSE30223-5	GSM748470 LE 1	Biotin	P-GSE30223-6	GSM748470	A-AFFY-2	P-GSE30223-7	P-GSE30223-8	GSM748470_0_h_dry_rep_2_Arab.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.raw.1.zip	P-GSE30223-1	GSM748470_sample_table.txt norm	GSM748470_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.processed.1.zip	seed following 15 days of ripening (0 h)
GSM748469 1	Gene expression data from dry seed	Arabidopsis dry seed (0 h)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seed	P-GSE30223-2	P-GSE30223-3	P-GSE30223-4	GSM748469 extract 1	total RNA	P-GSE30223-5	GSM748469 LE 1	Biotin	P-GSE30223-6	GSM748469	A-AFFY-2	P-GSE30223-7	P-GSE30223-8	GSM748469_0_h_dry_rep_1_Arab.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.raw.1.zip	P-GSE30223-1	GSM748469_sample_table.txt norm	GSM748469_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.processed.1.zip	seed following 15 days of ripening (0 h)
GSM748474 1	Gene expression data from seed during stratification	Arabidopsis seed during stratification	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seed	P-GSE30223-2	P-GSE30223-3	P-GSE30223-4	GSM748474 extract 1	total RNA	P-GSE30223-5	GSM748474 LE 1	Biotin	P-GSE30223-6	GSM748474	A-AFFY-2	P-GSE30223-7	P-GSE30223-8	GSM748474_1_h_strat_rep_3_Arab.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.raw.1.zip	P-GSE30223-1	GSM748474_sample_table.txt norm	GSM748474_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.processed.1.zip	seed after 1 h of stratification (1 h S)
GSM748473 1	Gene expression data from seed during stratification	Arabidopsis seed during stratification	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seed	P-GSE30223-2	P-GSE30223-3	P-GSE30223-4	GSM748473 extract 1	total RNA	P-GSE30223-5	GSM748473 LE 1	Biotin	P-GSE30223-6	GSM748473	A-AFFY-2	P-GSE30223-7	P-GSE30223-8	GSM748473_1_h_strat_rep_2_Arab.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.raw.1.zip	P-GSE30223-1	GSM748473_sample_table.txt norm	GSM748473_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.processed.1.zip	seed after 1 h of stratification (1 h S)
GSM748472 1	Gene expression data from seed during stratification	Arabidopsis seed during stratification	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seed	P-GSE30223-2	P-GSE30223-3	P-GSE30223-4	GSM748472 extract 1	total RNA	P-GSE30223-5	GSM748472 LE 1	Biotin	P-GSE30223-6	GSM748472	A-AFFY-2	P-GSE30223-7	P-GSE30223-8	GSM748472_1_h_strat_rep_1_Arab.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.raw.1.zip	P-GSE30223-1	GSM748472_sample_table.txt norm	GSM748472_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.processed.1.zip	seed after 1 h of stratification (1 h S)
GSM748477 1	Gene expression data from seed during stratification	Arabidopsis seed during stratification	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seed	P-GSE30223-2	P-GSE30223-3	P-GSE30223-4	GSM748477 extract 1	total RNA	P-GSE30223-5	GSM748477 LE 1	Biotin	P-GSE30223-6	GSM748477	A-AFFY-2	P-GSE30223-7	P-GSE30223-8	GSM748477_12_h_strat_rep_3_Arab.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.raw.1.zip	P-GSE30223-1	GSM748477_sample_table.txt norm	GSM748477_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.processed.1.zip	seed after 12 h of stratification (12 h S)
