Source Name	Material Type	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [developmental stage]	Characteristics[age]	Unit[time unit]	Characteristics [ecotype]	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[time]	Unit[time unit]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	Factor Value [block]	Factor Value[time]	Unit[time unit]
GSM761658 1	whole organism	Collection day two	35S::KAN1-GR seedlings, 60min DEX treatment	KAN1-GR_60min_biorep3	seedling	7	day	Columbia	35S::KAN1-GR	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	60	minute	P-GSE30702-2	ArrayExpress	P-GSE30702-3	ArrayExpress	P-GSE30702-4	ArrayExpress	GSM761658 extract 1	total RNA	P-GSE30702-5	ArrayExpress	GSM761658 LE 1	biotin	P-GSE30702-6	ArrayExpress	GSM761658	A-AFFY-2	ArrayExpress	array assay	P-GSE30702-7	ArrayExpress	GSM761658.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30702/E-GEOD-30702.raw.1.zip	P-GSE30702-1	ArrayExpress	GSM761658_sample_table.txt norm	GSM761658_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30702/E-GEOD-30702.processed.1.zip	transgenic KANADI1 fused to GR domain	Collection day two	60	minute
GSM761657 1	whole organism	Collection day two	35S::KAN1-GR seedlings, 60min DEX treatment	KAN1-GR_60min_biorep2	seedling	7	day	Columbia	35S::KAN1-GR	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	60	minute	P-GSE30702-2	ArrayExpress	P-GSE30702-3	ArrayExpress	P-GSE30702-4	ArrayExpress	GSM761657 extract 1	total RNA	P-GSE30702-5	ArrayExpress	GSM761657 LE 1	biotin	P-GSE30702-6	ArrayExpress	GSM761657	A-AFFY-2	ArrayExpress	array assay	P-GSE30702-7	ArrayExpress	GSM761657.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30702/E-GEOD-30702.raw.1.zip	P-GSE30702-1	ArrayExpress	GSM761657_sample_table.txt norm	GSM761657_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30702/E-GEOD-30702.processed.1.zip	transgenic KANADI1 fused to GR domain	Collection day two	60	minute
GSM761656 1	whole organism	Collection day two	35S::KAN1-GR seedlings, 60min DEX treatment	KAN1-GR_60min_biorep1	seedling	7	day	Columbia	35S::KAN1-GR	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	60	minute	P-GSE30702-2	ArrayExpress	P-GSE30702-3	ArrayExpress	P-GSE30702-4	ArrayExpress	GSM761656 extract 1	total RNA	P-GSE30702-5	ArrayExpress	GSM761656 LE 1	biotin	P-GSE30702-6	ArrayExpress	GSM761656	A-AFFY-2	ArrayExpress	array assay	P-GSE30702-7	ArrayExpress	GSM761656.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30702/E-GEOD-30702.raw.1.zip	P-GSE30702-1	ArrayExpress	GSM761656_sample_table.txt norm	GSM761656_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30702/E-GEOD-30702.processed.1.zip	transgenic KANADI1 fused to GR domain	Collection day two	60	minute
GSM761655 1	whole organism	Collection day two	35S::KAN1-GR seedlings, 30min DEX treatment	KAN1-GR_30min_biorep3	seedling	7	day	Columbia	35S::KAN1-GR	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	30	minute	P-GSE30702-2	ArrayExpress	P-GSE30702-3	ArrayExpress	P-GSE30702-4	ArrayExpress	GSM761655 extract 1	total RNA	P-GSE30702-5	ArrayExpress	GSM761655 LE 1	biotin	P-GSE30702-6	ArrayExpress	GSM761655	A-AFFY-2	ArrayExpress	array assay	P-GSE30702-7	ArrayExpress	GSM761655.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30702/E-GEOD-30702.raw.1.zip	P-GSE30702-1	ArrayExpress	GSM761655_sample_table.txt norm	GSM761655_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30702/E-GEOD-30702.processed.1.zip	transgenic KANADI1 fused to GR domain	Collection day two	30	minute
GSM761654 1	whole organism	Collection day two	35S::KAN1-GR seedlings, 30min DEX treatment	KAN1-GR_30min_biorep2	seedling	7	day	Columbia	35S::KAN1-GR	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	30	minute	P-GSE30702-2	ArrayExpress	P-GSE30702-3	ArrayExpress	P-GSE30702-4	ArrayExpress	GSM761654 extract 1	total RNA	P-GSE30702-5	ArrayExpress	GSM761654 LE 1	biotin	P-GSE30702-6	ArrayExpress	GSM761654	A-AFFY-2	ArrayExpress	array assay	P-GSE30702-7	ArrayExpress	GSM761654.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30702/E-GEOD-30702.raw.1.zip	P-GSE30702-1	ArrayExpress	GSM761654_sample_table.txt norm	GSM761654_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30702/E-GEOD-30702.processed.1.zip	transgenic KANADI1 fused to GR domain	Collection day two	30	minute
GSM761653 1	whole organism	Collection day two	35S::KAN1-GR seedlings, 30min DEX treatment	KAN1-GR_30min_biorep1	seedling	7	day	Columbia	35S::KAN1-GR	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	30	minute	P-GSE30702-2	ArrayExpress	P-GSE30702-3	ArrayExpress	P-GSE30702-4	ArrayExpress	GSM761653 extract 1	total RNA	P-GSE30702-5	ArrayExpress	GSM761653 LE 1	biotin	P-GSE30702-6	ArrayExpress	GSM761653	A-AFFY-2	ArrayExpress	array assay	P-GSE30702-7	ArrayExpress	GSM761653.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30702/E-GEOD-30702.raw.1.zip	P-GSE30702-1	ArrayExpress	GSM761653_sample_table.txt norm	GSM761653_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30702/E-GEOD-30702.processed.1.zip	transgenic KANADI1 fused to GR domain	Collection day two	30	minute
GSM761652 1	whole organism	Collection day two	35S::KAN1-GR seedlings, 0min DEX treatment	KAN1-GR_0min_biorep3	seedling	7	day	Columbia	35S::KAN1-GR	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	0	minute	P-GSE30702-2	ArrayExpress	P-GSE30702-3	ArrayExpress	P-GSE30702-4	ArrayExpress	GSM761652 extract 1	total RNA	P-GSE30702-5	ArrayExpress	GSM761652 LE 1	biotin	P-GSE30702-6	ArrayExpress	GSM761652	A-AFFY-2	ArrayExpress	array assay	P-GSE30702-7	ArrayExpress	GSM761652.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30702/E-GEOD-30702.raw.1.zip	P-GSE30702-1	ArrayExpress	GSM761652_sample_table.txt norm	GSM761652_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30702/E-GEOD-30702.processed.1.zip	transgenic KANADI1 fused to GR domain	Collection day two	0	minute
GSM761651 1	whole organism	Collection day two	35S::KAN1-GR seedlings, 0min DEX treatment	KAN1-GR_0min_biorep2	seedling	7	day	Columbia	35S::KAN1-GR	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	0	minute	P-GSE30702-2	ArrayExpress	P-GSE30702-3	ArrayExpress	P-GSE30702-4	ArrayExpress	GSM761651 extract 1	total RNA	P-GSE30702-5	ArrayExpress	GSM761651 LE 1	biotin	P-GSE30702-6	ArrayExpress	GSM761651	A-AFFY-2	ArrayExpress	array assay	P-GSE30702-7	ArrayExpress	GSM761651.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30702/E-GEOD-30702.raw.1.zip	P-GSE30702-1	ArrayExpress	GSM761651_sample_table.txt norm	GSM761651_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30702/E-GEOD-30702.processed.1.zip	transgenic KANADI1 fused to GR domain	Collection day two	0	minute
GSM761650 1	whole organism	Collection day two	35S::KAN1-GR seedlings, 0min DEX treatment	KAN1-GR_0min_biorep1	seedling	7	day	Columbia	35S::KAN1-GR	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	0	minute	P-GSE30702-2	ArrayExpress	P-GSE30702-3	ArrayExpress	P-GSE30702-4	ArrayExpress	GSM761650 extract 1	total RNA	P-GSE30702-5	ArrayExpress	GSM761650 LE 1	biotin	P-GSE30702-6	ArrayExpress	GSM761650	A-AFFY-2	ArrayExpress	array assay	P-GSE30702-7	ArrayExpress	GSM761650.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30702/E-GEOD-30702.raw.1.zip	P-GSE30702-1	ArrayExpress	GSM761650_sample_table.txt norm	GSM761650_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30702/E-GEOD-30702.processed.1.zip	transgenic KANADI1 fused to GR domain	Collection day two	0	minute
GSM761649 1	whole organism	Collection day one	35S::GR-REV seedlings, 120min DEX treatment	GR-REV_120min_biorep3	seedling	7	day	Columbia	35S::GR-REV	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	120	minute	P-GSE30702-2	ArrayExpress	P-GSE30702-3	ArrayExpress	P-GSE30702-4	ArrayExpress	GSM761649 extract 1	total RNA	P-GSE30702-5	ArrayExpress	GSM761649 LE 1	biotin	P-GSE30702-6	ArrayExpress	GSM761649	A-AFFY-2	ArrayExpress	array assay	P-GSE30702-7	ArrayExpress	GSM761649.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30702/E-GEOD-30702.raw.1.zip	P-GSE30702-1	ArrayExpress	GSM761649_sample_table.txt norm	GSM761649_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30702/E-GEOD-30702.processed.1.zip	trasngenic REVOLUTA fused to GR domain	Collection day one	120	minute
