Source Name	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Genotype]	Characteristics[tissue]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [GENOTYPE]	FactorValue[GROWTH CONDITION]	FactorValue [ORGANISM PART]	Term Source REF	Term Accession Number
GSM771397 1	10 do MPK6 Over Expression Arabidopsis Shoot 9 h Hypoxia	MPK6 Over Expression Shoot Hypoxia Biological Rep 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	35S::MPK6 Overexpression	shoot	EFO	EFO_0000992	P-GSE31158-2	P-GSE31158-3	P-GSE31158-4	GSM771397 extract 1	total RNA	P-GSE31158-5	GSM771397 LE 1	biotin	P-GSE31158-6	GSM771397	A-AFFY-2	P-GSE31158-7	P-GSE31158-8	GSM771397.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31158/E-GEOD-31158.raw.1.zip	P-GSE31158-1	GSM771397_sample_table.txt norm	GSM771397_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31158/E-GEOD-31158.processed.1.zip	35S::MPK6 Overexpression	Hypoxia	shoot	EFO	EFO_0000992
GSM771396 1	10 do MPK6 Over Expression Arabidopsis Shoot 9 h Hypoxia	MPK6 Over Expression Shoot Hypoxia Biological Rep 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	35S::MPK6 Overexpression	shoot	EFO	EFO_0000992	P-GSE31158-2	P-GSE31158-3	P-GSE31158-4	GSM771396 extract 1	total RNA	P-GSE31158-5	GSM771396 LE 1	biotin	P-GSE31158-6	GSM771396	A-AFFY-2	P-GSE31158-7	P-GSE31158-8	GSM771396.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31158/E-GEOD-31158.raw.1.zip	P-GSE31158-1	GSM771396_sample_table.txt norm	GSM771396_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31158/E-GEOD-31158.processed.1.zip	35S::MPK6 Overexpression	Hypoxia	shoot	EFO	EFO_0000992
GSM771395 1	10 do MPK6 Over Expression Arabidopsis Root 9 h Hypoxia	MPK6 Over Expression Root Hypoxia Biological Rep 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	35S::MPK6 Overexpression	root	EFO	EFO_0000989	P-GSE31158-2	P-GSE31158-3	P-GSE31158-4	GSM771395 extract 1	total RNA	P-GSE31158-5	GSM771395 LE 1	biotin	P-GSE31158-6	GSM771395	A-AFFY-2	P-GSE31158-7	P-GSE31158-8	GSM771395.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31158/E-GEOD-31158.raw.1.zip	P-GSE31158-1	GSM771395_sample_table.txt norm	GSM771395_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31158/E-GEOD-31158.processed.1.zip	35S::MPK6 Overexpression	Hypoxia	root	EFO	EFO_0000989
GSM771394 1	10 do MPK6 Over Expression Arabidopsis Root 9 h Hypoxia	MPK6 Over Expression Root Hypoxia Biological Rep 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	35S::MPK6 Overexpression	root	EFO	EFO_0000989	P-GSE31158-2	P-GSE31158-3	P-GSE31158-4	GSM771394 extract 1	total RNA	P-GSE31158-5	GSM771394 LE 1	biotin	P-GSE31158-6	GSM771394	A-AFFY-2	P-GSE31158-7	P-GSE31158-8	GSM771394.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31158/E-GEOD-31158.raw.1.zip	P-GSE31158-1	GSM771394_sample_table.txt norm	GSM771394_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31158/E-GEOD-31158.processed.1.zip	35S::MPK6 Overexpression	Hypoxia	root	EFO	EFO_0000989
GSM771393 1	10 do MPK6 Over Expression Arabidopsis Root 9 h Hypoxia	MPK6 Over Expression Root Hypoxia Biological Rep 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	35S::MPK6 Overexpression	root	EFO	EFO_0000989	P-GSE31158-2	P-GSE31158-3	P-GSE31158-4	GSM771393 extract 1	total RNA	P-GSE31158-5	GSM771393 LE 1	biotin	P-GSE31158-6	GSM771393	A-AFFY-2	P-GSE31158-7	P-GSE31158-8	GSM771393.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31158/E-GEOD-31158.raw.1.zip	P-GSE31158-1	GSM771393_sample_table.txt norm	GSM771393_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31158/E-GEOD-31158.processed.1.zip	35S::MPK6 Overexpression	Hypoxia	root	EFO	EFO_0000989
GSM771392 1	10 do MPK6 Over Expression Arabidopsis Shoot Normoxia (mock)	MPK6 Over Expression Shoot Normoxia (mock) Biological Rep 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	35S::MPK6 Overexpression	shoot	EFO	EFO_0000992	P-GSE31158-2	P-GSE31158-3	P-GSE31158-4	GSM771392 extract 1	total RNA	P-GSE31158-5	GSM771392 LE 1	biotin	P-GSE31158-6	GSM771392	A-AFFY-2	P-GSE31158-7	P-GSE31158-8	GSM771392.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31158/E-GEOD-31158.raw.1.zip	P-GSE31158-1	GSM771392_sample_table.txt norm	GSM771392_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31158/E-GEOD-31158.processed.1.zip	35S::MPK6 Overexpression	Normoxia (mock)	shoot	EFO	EFO_0000992
GSM771391 1	10 do MPK6 Over Expression Arabidopsis Shoot Normoxia (mock)	MPK6 Over Expression Shoot Normoxia (mock) Biological Rep 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	35S::MPK6 Overexpression	shoot	EFO	EFO_0000992	P-GSE31158-2	P-GSE31158-3	P-GSE31158-4	GSM771391 extract 1	total RNA	P-GSE31158-5	GSM771391 LE 1	biotin	P-GSE31158-6	GSM771391	A-AFFY-2	P-GSE31158-7	P-GSE31158-8	GSM771391.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31158/E-GEOD-31158.raw.1.zip	P-GSE31158-1	GSM771391_sample_table.txt norm	GSM771391_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31158/E-GEOD-31158.processed.1.zip	35S::MPK6 Overexpression	Normoxia (mock)	shoot	EFO	EFO_0000992
GSM771390 1	10 do MPK6 Over Expression Arabidopsis Root Normoxia (mock)	MPK6 Over Expression Root Normoxia (mock) Biological Rep 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	35S::MPK6 Overexpression	root	EFO	EFO_0000989	P-GSE31158-2	P-GSE31158-3	P-GSE31158-4	GSM771390 extract 1	total RNA	P-GSE31158-5	GSM771390 LE 1	biotin	P-GSE31158-6	GSM771390	A-AFFY-2	P-GSE31158-7	P-GSE31158-8	GSM771390.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31158/E-GEOD-31158.raw.1.zip	P-GSE31158-1	GSM771390_sample_table.txt norm	GSM771390_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31158/E-GEOD-31158.processed.1.zip	35S::MPK6 Overexpression	Normoxia (mock)	root	EFO	EFO_0000989
GSM771389 1	10 do MPK6 Over Expression Arabidopsis Root Normoxia (mock)	MPK6 Over Expression Root Normoxia (mock) Biological Rep 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	35S::MPK6 Overexpression	root	EFO	EFO_0000989	P-GSE31158-2	P-GSE31158-3	P-GSE31158-4	GSM771389 extract 1	total RNA	P-GSE31158-5	GSM771389 LE 1	biotin	P-GSE31158-6	GSM771389	A-AFFY-2	P-GSE31158-7	P-GSE31158-8	GSM771389.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31158/E-GEOD-31158.raw.1.zip	P-GSE31158-1	GSM771389_sample_table.txt norm	GSM771389_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31158/E-GEOD-31158.processed.1.zip	35S::MPK6 Overexpression	Normoxia (mock)	root	EFO	EFO_0000989
GSM771388 1	10 do mpk6 T-DNA insertion Knockout Arabidopsis Shoot 9 h Hypoxia	mpk6 T-DNA insertion Knockout Shoot Hypoxia Biological Rep 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T-DNA insertion mpk6 knockout	shoot	EFO	EFO_0000992	P-GSE31158-2	P-GSE31158-3	P-GSE31158-4	GSM771388 extract 1	total RNA	P-GSE31158-5	GSM771388 LE 1	biotin	P-GSE31158-6	GSM771388	A-AFFY-2	P-GSE31158-7	P-GSE31158-8	GSM771388.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31158/E-GEOD-31158.raw.1.zip	P-GSE31158-1	GSM771388_sample_table.txt norm	GSM771388_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31158/E-GEOD-31158.processed.1.zip	T-DNA insertion mpk6 knockout	Hypoxia	shoot	EFO	EFO_0000992
